Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1985-09-25,,,,111.175,
1985-09-26,,,,110.64,
1985-09-27,,,,110.64,
1985-09-30,,,,110.62,
1985-10-01,,,,112.14,
1985-10-02,,,,110.84,
1985-10-03,,,,110.87,
1985-10-04,,110.87,109.93,110.075,
1985-10-07,,110.075,108.2,108.2,
1985-10-08,,108.2,106.77,107.16,
1985-10-09,,108.96,107.16,108.63,
1985-10-10,,109.51,107.81,109.435,
1985-10-11,,111.12,109.475,111.05,
1985-10-14,,113.27,111.05,113.185,
1985-10-15,,113.98,112.79,113.38,
1985-10-16,,114.315,113.24,114.315,
1985-10-17,,115.34,114.315,114.74,
1985-10-18,,114.965,113.83,114.32,
1985-10-21,,114.455,113.65,113.68,
1985-10-22,,114.89,113.425,114.44,
1985-10-23,,115.525,114.44,115.065,
1985-10-24,,116.105,115.065,115.485,
1985-10-25,,115.545,113.74,113.91,
1985-10-28,,113.91,113.205,113.82,
1985-10-29,,115.735,113.805,115.4,
1985-10-30,,116.125,115.34,115.77,
1985-10-31,,116.11,115.155,115.48,
1985-11-01,,116.775,115.48,116.275,
1985-11-04,,117.075,115.825,116.04,
1985-11-05,,116.565,115.88,116.44,
1985-11-06,,117.62,116.44,117.38,
1985-11-07,,117.965,117.38,117.62,
1985-11-08,,119.28,117.62,119.26,
1985-11-11,,120.52,119.235,120.4,
1985-11-12,,122.01,120.39,121.82,
1985-11-13,,121.885,120.92,121.165,
1985-11-14,,121.915,120.8,121.835,
1985-11-15,,123.075,121.735,122.175,
1985-11-18,,122.275,121.76,121.955,
1985-11-19,,122.775,121.745,122.57,
1985-11-20,,122.795,122.2,122.2,
1985-11-21,,123.805,122.2,123.61,
1985-11-22,,124.305,123.445,123.97,
1985-11-25,,124.11,122.83,123.135,
1985-11-26,,124.235,123.115,123.95,
1985-11-27,,125.85,123.95,125.77,
1985-11-29,,126.435,125.52,126.06,
1985-12-02,,126.23,124.875,125.185,
1985-12-03,,125.42,124.72,125.23,
1985-12-04,,128.02,125.23,127.94,
1985-12-05,,129.855,128.07,128.46,
1985-12-06,,128.46,126.775,126.955,
1985-12-09,,127.645,126.83,127.485,
1985-12-10,,128.525,127.155,127.975,
1985-12-11,,129.64,127.975,129.18,
1985-12-12,,130.1,129.18,129.765,
1985-12-13,,132.17,129.765,132.125,
1985-12-16,,133.115,132.06,132.61,
1985-12-17,,132.595,131.355,131.535,
1985-12-18,,131.975,130.715,131.14,
1985-12-19,,132.03,130.91,131.925,
1985-12-20,,132.58,131.695,132.26,
1985-12-23,,132.26,130.365,130.725,
1985-12-24,,130.725,129.305,130.03,
1985-12-26,,130.635,129.89,130.345,
1985-12-27,,131.59,130.25,131.485,
1985-12-30,,132.13,131.245,131.945,
1985-12-31,,132.66,131.905,132.295,
1986-01-02,,132.325,131.065,131.255,
1986-01-03,,131.255,130.0,130.55,
1986-01-06,,130.7,129.845,130.355,
1986-01-07,,132.79,130.355,132.79,
1986-01-08,,133.885,131.15,131.16,
1986-01-09,,131.005,128.055,128.8,
1986-01-10,,129.92,128.8,129.565,
1986-01-13,,129.565,128.63,129.095,
1986-01-14,,129.915,129.03,129.18,
1986-01-15,,131.635,129.04,131.535,
1986-01-16,,133.06,131.535,133.06,
1986-01-17,,133.545,132.62,132.77,
