Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-12-09,23.95,25.44,23.46,24.6,11855094.0
2013-12-10,24.5,25.17,24.41,24.88,3738307.0
2013-12-11,25.44,27.17,25.37,25.99,5681364.0
2013-12-12,26.2,26.7,25.45,25.45,2786339.0
2013-12-13,25.75,26.3,25.54,26.23,1508658.0
2013-12-16,26.63,26.76,26.35,26.61,2136021.0
2013-12-17,26.47,26.57,25.97,26.1,1395620.0
2013-12-18,25.99,26.23,25.56,26.23,1622616.0
2013-12-19,26.09,26.47,25.83,26.12,933994.0
2013-12-20,26.16,26.49,26.15,26.33,1299335.0
2013-12-23,26.29,26.49,26.05,26.18,1844646.0
2013-12-24,26.0,26.25,26.0,26.25,549405.0
2013-12-26,26.12,26.34,25.98,26.13,642815.0
2013-12-27,25.95,26.1,24.92,24.94,2146656.0
2013-12-30,24.87,25.23,24.66,24.78,1366238.0
2013-12-31,24.74,25.25,24.64,25.25,1486800.0
2014-01-02,25.07,25.82,25.07,25.36,1605207.0
2014-01-03,25.55,26.75,25.55,26.54,1839537.0
2014-01-06,26.62,27.2,26.6,27.03,1631925.0
2014-01-07,27.09,27.39,26.68,26.96,1418967.0
2014-01-08,26.37,27.68,26.35,27.63,2999163.0
2014-01-09,28.24,29.59,28.2,29.42,4145211.0
2014-01-10,29.05,29.82,28.77,29.35,2051117.0
2014-01-13,29.27,29.52,28.58,28.65,1866891.0
2014-01-14,28.75,29.03,28.75,28.87,1767545.0
2014-01-15,28.95,29.43,28.7,28.84,1397805.0
2014-01-16,28.73,29.38,28.7,29.34,1337130.0
2014-01-17,29.3,30.02,29.18,30.02,2769651.0
2014-01-21,30.52,30.8,30.2,30.66,2172672.0
2014-01-22,30.73,31.24,30.66,31.2,1231826.0
2014-01-23,30.65,31.46,30.62,31.35,1490787.0
2014-01-24,31.02,31.135,29.91,30.4,2373512.0
2014-01-27,30.4,30.84,28.67,30.18,2689714.0
2014-01-28,30.32,32.19,30.02,31.96,3962067.0
2014-01-29,32.24,33.4,32.15,32.98,4055486.0
2014-01-30,33.36,34.19,33.21,33.8,1834731.0
2014-01-31,33.15,34.08,33.0,33.55,2495023.0
2014-02-03,34.04,34.47,33.05,33.96,3294147.0
2014-02-04,34.05,34.38,33.59,34.05,1998050.0
2014-02-05,33.82,33.97,33.41,33.8,2284415.0
2014-02-06,33.71,34.92,33.71,34.66,2612246.0
2014-02-07,34.81,35.7,34.65,35.67,3209915.0
2014-02-10,36.1,36.15,35.39,35.58,1886269.0
2014-02-11,35.58,35.6,34.4,35.13,1882550.0
2014-02-12,34.89,35.0,34.365,34.69,1640045.0
2014-02-13,34.07,35.03,34.07,35.03,1857804.0
2014-02-14,34.85,35.17,34.22,34.41,1391257.0
2014-02-18,34.73,34.95,34.2,34.31,1563685.0
2014-02-19,34.25,35.09,34.12,34.59,1487647.0
2014-02-20,34.43,35.665,34.43,35.66,1614188.0
2014-02-21,35.78,36.45,35.75,36.17,1298078.0
2014-02-24,36.2,36.66,36.03,36.65,1451821.0
2014-02-25,36.63,37.15,36.54,37.0,1348638.0
2014-02-26,37.12,37.25,36.585,36.75,1387327.0
2014-02-27,36.88,36.93,36.35,36.56,829204.0
2014-02-28,36.11,36.97,36.08,36.93,1362034.0
2014-03-03,36.15,36.38,35.33,36.1,1597711.0
2014-03-04,36.57,37.45,36.57,37.34,2795870.0
2014-03-05,37.6,38.03,37.51,37.86,1568628.0
2014-03-06,38.33,39.32,38.33,38.81,2622358.0
2014-03-07,39.16,39.29,38.12,39.02,1658494.0
2014-03-10,38.7,39.875,38.55,38.96,2166214.0
2014-03-11,38.65,39.26,37.95,38.08,1825785.0
2014-03-12,37.97,38.07,37.24,37.55,1658200.0
2014-03-13,37.9,37.98,35.75,36.74,2237291.0
2014-03-14,36.0,37.17,35.67,36.34,1385215.0
2014-03-17,36.62,37.77,36.55,37.7,1923299.0
2014-03-18,37.75,38.04,37.09,37.35,1174910.0
2014-03-19,37.27,37.63,36.68,37.08,840263.0
2014-03-20,36.61,37.08,36.28,36.56,1298402.0
2014-03-21,36.78,36.82,35.92,36.11,9000568.0
2014-03-24,36.25,36.86,36.04,36.8,1536285.0
2014-03-25,36.88,38.19,36.88,37.9,2260704.0
2014-03-26,38.15,38.26,36.64,36.7,1491071.0
2014-03-27,36.62,36.72,35.02,35.77,2140972.0
2014-03-28,35.77,36.5,35.355,35.39,1261539.0
2014-03-31,35.84,36.87,35.84,36.6,1585294.0
2014-04-01,36.95,38.185,36.85,37.94,2111506.0
2014-04-02,38.24,38.89,37.48,37.71,1983884.0
2014-04-03,37.72,38.4,36.96,37.34,1261830.0
2014-04-04,37.41,37.7,36.31,36.53,1805544.0
2014-04-07,36.78,37.48,35.47,35.78,2233332.0
2014-04-08,36.0,36.22,33.63,35.98,4175470.0
2014-04-09,36.04,37.0,35.21,36.9,2252797.0
2014-04-10,36.7,37.37,34.61,35.29,3214803.0
2014-04-11,34.04,35.45,33.59,33.7,3843128.0
2014-04-14,34.0,34.75,32.78,33.37,2883334.0
2014-04-15,33.52,34.33,31.86,33.72,2908757.0
2014-04-16,34.17,35.59,33.945,35.51,3576197.0
2014-04-17,35.5,35.86,34.83,35.4,2359022.0
2014-04-21,34.94,35.79,34.88,35.67,1590633.0
2014-04-22,35.76,36.74,35.75,36.16,1780745.0
2014-04-23,37.18,37.6,36.42,37.09,3202109.0
2014-04-24,37.75,38.24,35.8,37.26,4505102.0
2014-04-25,37.0,37.09,35.915,36.0,1766967.0
2014-04-28,36.41,36.7,34.34,35.16,2829083.0
2014-04-29,35.2,35.65,34.98,35.51,2155162.0
2014-04-30,35.68,35.88,34.89,35.07,1579363.0
2014-05-01,35.88,36.7,35.47,36.39,2701740.0
2014-05-02,36.27,36.71,36.06,36.49,1797407.0
2014-05-05,36.08,36.77,35.795,36.6,1552403.0
2014-05-06,37.14,37.39,36.395,36.67,1911996.0
2014-05-07,36.58,37.305,36.31,37.22,2103819.0
2014-05-08,37.05,38.25,37.05,38.25,3557297.0
2014-05-09,37.96,38.69,37.91,38.26,2413324.0
2014-05-12,38.35,39.49,38.35,39.39,2560779.0
2014-05-13,38.96,39.73,38.87,39.31,1801831.0
2014-05-14,39.08,39.22,38.56,38.84,1774302.0
2014-05-15,38.6,38.72,37.49,38.19,2736591.0
2014-05-16,38.01,38.68,37.76,38.525,1502975.0
2014-05-19,38.18,39.16,38.1,38.57,1418206.0
2014-05-20,38.54,38.87,38.025,38.24,1525067.0
2014-05-21,38.28,38.85,38.05,38.32,1633644.0
2014-05-22,38.3,38.87,38.3,38.72,1748274.0
2014-05-23,38.53,39.5,38.53,39.11,2035440.0
2014-05-27,39.38,39.93,39.23,39.35,1850514.0
2014-05-28,39.4,40.325,39.19,39.8,2075692.0
2014-05-29,39.89,40.26,39.36,39.82,1747276.0
2014-05-30,39.83,40.17,39.69,40.16,4636677.0
2014-06-02,40.0,41.25,40.0,41.22,2160012.0
2014-06-03,41.13,42.08,41.13,41.44,1878908.0
2014-06-04,41.52,42.9,41.22,42.82,2502468.0
2014-06-05,43.0,43.48,42.27,42.41,1565757.0
2014-06-06,42.45,43.9,42.42,43.88,2136581.0
2014-06-09,43.96,44.43,43.07,43.59,2200373.0
2014-06-10,43.5,43.86,42.935,43.66,1826789.0
2014-06-11,42.9,43.29,42.04,42.29,2773712.0
2014-06-12,41.27,41.4,38.855,40.2,7405124.0
2014-06-13,40.2,40.92,39.57,40.38,2712590.0
2014-06-16,39.67,41.29,39.67,41.06,2720875.0
2014-06-17,41.08,42.19,40.78,41.87,3453647.0
2014-06-18,41.93,42.82,41.57,42.66,2640395.0
2014-06-19,42.83,43.49,42.66,43.06,3452812.0
2014-06-20,43.04,44.55,43.03,44.55,21826143.0
2014-06-23,44.28,44.88,43.81,44.36,4898402.0
2014-06-24,44.11,44.6,42.76,43.2,3280827.0
2014-06-25,42.9,44.0,42.3,43.91,2801075.0
2014-06-26,43.85,44.59,43.51,44.55,2560395.0
2014-06-27,44.3,44.75,43.91,44.0,16187387.0
2014-06-30,44.04,44.08,42.83,42.96,2728975.0
2014-07-01,43.32,43.9,43.06,43.86,2489085.0
2014-07-02,42.8,42.94,41.43,41.95,4754033.0
2014-07-03,42.61,42.925,41.41,41.51,1774306.0
2014-07-07,41.72,41.72,39.92,40.1,3191597.0
2014-07-08,39.25,40.33,37.91,40.26,5874937.0
2014-07-09,42.1,42.35,40.505,41.985,4804212.0
2014-07-10,41.0,42.98,40.78,42.82,2589915.0
2014-07-11,42.95,43.22,42.525,42.88,2177925.0
2014-07-14,43.26,43.59,42.73,42.98,1628681.0
2014-07-15,43.33,43.73,42.78,43.7,1823072.0
2014-07-16,44.0,44.0,43.31,43.48,1430302.0
2014-07-17,43.04,43.44,41.65,41.7,3971193.0
2014-07-18,42.23,43.21,42.15,42.91,2967565.0
2014-07-21,42.91,42.95,42.25,42.48,1673036.0
2014-07-22,42.7,42.86,42.15,42.38,1752389.0
2014-07-23,42.72,43.66,42.71,43.33,2180500.0
2014-07-24,42.5,43.94,41.71,42.16,3659468.0
2014-07-25,42.25,42.67,41.34,41.68,2471439.0
2014-07-28,41.87,41.94,39.81,40.29,3682000.0
2014-07-29,40.65,40.84,39.39,39.53,2599630.0
2014-07-30,39.9,40.25,39.295,39.55,2064712.0
2014-07-31,38.9,39.4,38.05,38.85,3102883.0
