Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-11-15,7.04,7.04,7.04,7.04,200.0
2010-11-16,7.2,7.2,7.2,7.2,
2010-11-17,5.86,6.0,5.8,5.95,11574.0
2010-11-18,6.0,6.0,5.5,5.5,6190.0
2010-11-19,5.63,5.63,5.18,5.2,8300.0
2010-11-22,5.2,5.48,5.2,5.47,8790.0
2010-11-23,5.47,5.47,5.38,5.38,4900.0
2010-11-24,5.47,5.51,5.25,5.34,5000.0
2010-11-26,5.25,5.25,5.22,5.22,959.0
2010-11-29,5.21,5.22,5.21,5.21,700.0
2010-11-30,5.2,5.2,5.02,5.07,3900.0
2010-12-01,5.14,5.14,5.01,5.01,2300.0
2010-12-02,5.02,5.09,4.82,4.88,1800.0
2010-12-03,4.86,4.86,4.71,4.76,2500.0
2010-12-06,5.07,6.25,4.74,4.74,6700.0
2010-12-07,4.98,4.98,4.95,4.95,1450.0
2010-12-08,4.89,4.91,4.86,4.86,1200.0
2010-12-09,4.79,4.79,4.79,4.79,4080.0
2010-12-10,4.85,4.85,4.66,4.66,1600.0
2010-12-13,4.79,4.8,4.61,4.71,3000.0
2010-12-14,4.65,4.67,4.65,4.67,17200.0
2010-12-15,4.63,4.63,4.62,4.62,641.0
2010-12-16,4.6,4.71,4.6,4.71,1600.0
2010-12-17,4.66,4.66,4.6,4.66,9970.0
2010-12-20,4.6,4.6,4.5,4.5,1200.0
2010-12-21,4.67,4.67,4.51,4.52,1000.0
2010-12-22,4.67,4.67,4.57,4.57,800.0
2010-12-23,4.6,4.6,4.48,4.48,1680.0
2010-12-27,5.78,5.78,4.76,4.76,1382.0
2010-12-29,4.62,4.62,4.62,4.62,500.0
2010-12-31,4.59,4.6,4.59,4.6,700.0
2011-01-03,4.58,4.58,4.58,4.58,200.0
2011-01-04,4.74,4.78,4.74,4.74,900.0
2011-01-06,4.88,4.88,4.84,4.85,3100.0
2011-01-07,5.1,5.15,5.1,5.15,1600.0
2011-01-10,5.37,5.51,5.37,5.41,2700.0
2011-01-11,6.25,6.25,5.63,5.75,7227.0
2011-01-12,5.73,5.73,5.73,5.73,100.0
2011-01-13,5.52,5.96,5.52,5.9,5614.0
2011-01-14,5.99,6.11,5.86,5.99,2450.0
2011-01-18,7.28,7.49,6.39,6.85,19314.0
2011-01-19,7.19,7.65,6.85,7.37,14820.0
2011-01-20,7.94,7.94,6.62,6.7,10202.0
2011-01-21,6.63,6.78,6.63,6.66,3000.0
2011-01-24,6.76,6.93,6.65,6.9,9100.0
2011-01-25,6.87,7.08,6.84,6.99,5700.0
2011-01-26,7.0,7.0,6.82,6.85,788.0
2011-01-27,6.89,6.89,6.53,6.53,2740.0
2011-01-28,6.73,6.73,6.03,6.03,7455.0
2011-01-31,6.0,6.01,6.0,6.01,600.0
2011-02-01,5.89,6.26,5.89,6.07,2525.0
2011-02-02,5.96,5.96,5.93,5.93,600.0
2011-02-03,5.88,5.88,5.65,5.65,6000.0
2011-02-04,5.57,5.57,5.48,5.48,678.0
2011-02-07,5.31,5.31,4.62,5.14,14854.0
2011-02-08,5.12,5.12,4.98,4.98,3057.0
2011-02-09,5.0,5.0,5.0,5.0,500.0
2011-02-10,5.2,5.25,5.11,5.25,1918.0
2011-02-11,5.28,5.3,5.14,5.14,800.0
2011-02-14,5.25,5.25,5.2,5.2,2582.0
2011-02-15,5.25,5.25,5.16,5.2,4800.0
2011-02-16,5.23,5.25,5.1,5.1,900.0
2011-02-17,5.22,5.22,5.22,5.22,1600.0
2011-02-18,5.19,5.25,5.19,5.25,8800.0
2011-02-22,5.25,5.25,5.03,5.05,4485.0
2011-02-23,5.01,5.06,4.9,5.0,5500.0
2011-02-24,4.91,4.94,4.9,4.94,1100.0
2011-02-25,4.92,4.98,4.92,4.98,1220.0
2011-02-28,4.89,5.0,4.89,5.0,3525.0
2011-03-01,4.95,5.0,4.95,5.0,3200.0
2011-03-02,4.91,4.91,4.8,4.81,1700.0
2011-03-03,4.64,4.87,4.64,4.85,900.0
2011-03-04,4.9,4.9,4.67,4.8,3385.0
2011-03-07,4.76,4.76,4.68,4.69,400.0
2011-03-08,4.68,4.7,4.68,4.69,2337.0
2011-03-09,4.7,4.73,4.7,4.73,1100.0
2011-03-10,4.67,4.71,4.64,4.64,200.0
2011-03-11,4.87,4.87,4.87,4.87,600.0
2011-03-14,4.6,4.74,4.59,4.74,2100.0
2011-03-15,4.58,4.58,4.57,4.57,1070.0
2011-03-16,4.46,4.5,4.18,4.29,5101.0
2011-03-17,4.0,4.2,3.67,3.9,6403.0
2011-03-18,4.0,4.0,3.6,3.71,5820.0
2011-03-21,3.68,3.75,3.58,3.63,14350.0
2011-03-22,3.59,3.59,3.48,3.48,700.0
2011-03-23,3.47,3.57,3.45,3.46,2500.0
2011-03-24,3.57,3.57,3.34,3.56,1000.0
2011-03-25,3.32,3.33,3.24,3.24,3028.0
2011-03-28,3.2,3.27,2.94,2.96,29363.0
2011-03-29,3.0,3.07,2.97,3.0,10445.0
2011-03-30,3.09,3.12,3.0,3.12,4475.0
2011-03-31,3.19,3.19,3.12,3.12,2358.0
2011-04-01,3.15,3.21,3.14,3.16,7200.0
2011-04-04,3.23,3.25,3.15,3.17,6050.0
2011-04-05,3.12,3.16,3.07,3.12,1800.0
2011-04-06,3.21,3.21,3.07,3.07,700.0
2011-04-07,3.14,3.2,3.03,3.03,14875.0
2011-04-08,3.0,3.0,3.0,3.0,11000.0
2011-04-11,2.99,3.09,2.99,3.08,900.0
2011-04-12,3.04,3.04,3.02,3.02,1700.0
2011-04-14,3.1,3.1,2.95,2.97,6978.0
2011-04-15,2.93,2.99,2.93,2.99,8300.0
2011-04-18,2.85,2.85,2.69,2.69,2876.0
2011-04-19,2.72,2.72,2.72,2.72,200.0
2011-04-20,2.79,2.8,2.79,2.8,300.0
2011-04-21,2.71,2.99,2.71,2.93,11543.0
2011-04-25,2.92,3.18,3.07,3.1,4950.0
2011-04-26,3.13,3.13,3.13,3.13,200.0
2011-04-28,3.02,3.06,2.97,2.97,3200.0
2011-04-29,3.0,3.13,3.0,3.01,2366.0
2011-05-02,2.98,3.09,2.98,3.09,2425.0
2011-05-03,2.96,2.98,2.92,2.97,6275.0
2011-05-04,3.13,3.13,3.04,3.04,300.0
2011-05-05,3.12,3.0,2.84,2.84,2500.0
2011-05-06,2.85,2.85,2.8,2.8,476.0
2011-05-09,2.71,2.94,2.71,2.94,1100.0
2011-05-10,2.94,2.94,2.69,2.94,3700.0
2011-05-11,2.94,2.94,2.82,2.82,1000.0
2011-05-12,2.82,2.82,2.74,2.74,1600.0
2011-05-13,2.74,2.95,2.74,2.93,2200.0
2011-05-16,2.82,2.82,2.82,2.82,200.0
2011-05-17,2.9,2.9,2.77,2.77,4500.0
2011-05-18,2.82,2.9,2.76,2.76,3200.0
2011-05-19,2.78,2.78,2.78,2.78,360.0
2011-05-20,2.76,2.76,2.75,2.75,465.0
2011-05-23,2.78,2.78,2.71,2.72,500.0
2011-05-24,2.865,2.865,2.8,2.8,4261.0
2011-05-25,2.89,2.9,2.89,2.9,1420.0
2011-05-26,2.88,2.88,2.88,2.88,500.0
2011-05-27,3.0,3.18,2.77,3.16,11759.0
2011-05-31,3.32,3.4,3.29,3.33,1600.0
2011-06-01,3.34,3.35,3.33,3.35,800.0
2011-06-02,3.3,3.3,3.3,3.3,3700.0
2011-06-03,3.21,3.21,3.01,3.07,6500.0
2011-06-06,3.24,3.24,3.24,3.24,1200.0
2011-06-07,3.18,3.19,2.93,2.93,1700.0
2011-06-08,3.0,3.0,3.0,3.0,100.0
2011-06-09,2.85,2.85,2.79,2.84,500.0
2011-06-10,2.86,2.87,2.58,2.66,5150.0
2011-06-13,2.86,2.86,2.71,2.71,600.0
2011-06-14,2.7,2.75,2.7,2.75,1000.0
2011-06-15,2.79,2.92,2.76,2.76,4000.0
2011-06-16,2.75,2.75,2.75,2.75,1000.0
2011-06-17,2.65,2.73,2.6,2.63,5600.0
2011-06-20,2.7,2.7,2.67,2.67,3830.0
2011-06-21,2.6,2.7,2.6,2.7,6194.0
2011-06-22,2.6,2.65,2.51,2.51,10170.0
2011-06-23,2.5,2.5,2.47,2.5,1550.0
2011-06-24,2.58,2.58,2.44,2.5,2782.0
2011-06-27,2.49,2.49,2.49,2.49,100.0
2011-06-28,2.6,2.6,2.44,2.44,6717.0
2011-06-29,2.5,2.65,2.5,2.6,8600.0
2011-06-30,2.64,2.64,2.5,2.51,3800.0
2011-07-01,2.4,2.4,2.38,2.38,1427.0
2011-07-05,2.43,2.46,2.4,2.46,3700.0
2011-07-06,2.47,2.47,2.47,2.47,250.0
2011-07-07,2.42,2.42,2.42,2.42,100.0
2011-07-08,2.36,2.45,2.27,2.45,4880.0
2011-07-11,2.3,2.35,2.25,2.35,9800.0
2011-07-12,2.35,2.35,2.35,2.35,200.0
2011-07-13,2.4,2.41,2.4,2.41,500.0
2011-07-14,2.36,2.36,2.35,2.35,500.0
2011-07-15,2.3,2.3,2.28,2.3,1000.0
2011-07-18,2.3,2.3,2.3,2.3,1000.0
2011-07-19,2.4,2.4,2.4,2.4,300.0
2011-07-20,2.4,2.4,2.4,2.4,100.0
2011-07-21,2.46,2.6,2.46,2.5,900.0
2011-07-22,2.6,2.63,2.6,2.63,700.0
2011-07-25,2.6,2.6,2.6,2.6,300.0
2011-07-26,2.55,2.55,2.55,2.55,700.0
2011-07-28,2.41,2.41,2.23,2.23,650.0
2011-07-29,2.41,2.41,2.41,2.41,300.0
2011-08-01,2.41,2.41,2.41,2.41,100.0
2011-08-02,2.31,2.33,2.23,2.33,4200.0
2011-08-03,2.29,2.3,2.21,2.22,3305.0
2011-08-04,2.12,2.15,2.01,2.03,5625.0
2011-08-05,2.18,2.21,1.85,1.9,4510.0
2011-08-08,1.97,1.97,1.92,1.92,500.0
2011-08-09,2.03,2.4,1.81,2.4,4160.0
2011-08-10,2.37,2.37,2.11,2.31,950.0
2011-08-11,2.25,2.25,2.14,2.17,2700.0
2011-08-12,2.31,2.31,2.31,2.31,200.0
2011-08-15,2.3,2.31,2.3,2.31,650.0
2011-08-16,2.15,2.35,2.15,2.35,600.0
2011-08-17,2.36,2.36,2.15,2.16,700.0
2011-08-18,1.9,2.0,1.9,2.0,200.0
2011-08-19,1.96,1.96,1.96,1.96,100.0
2011-08-23,2.25,2.25,1.95,1.95,4200.0
2011-08-24,1.8,1.95,1.8,1.95,5900.0
2011-08-25,1.97,1.97,1.9,1.9,1100.0
