Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-10-07,11.94,11.98,11.0,11.05,621380.0
2015-10-08,11.14,11.28,10.99,11.05,12979.0
2015-10-09,11.0,13.98,11.0,12.5,28690.0
2015-10-12,13.34,14.05,12.51,13.6,41251.0
2015-10-13,13.6,13.89,12.32,12.46,17598.0
2015-10-14,12.95,14.36,12.6,14.36,12835.0
2015-10-15,14.58,17.0,14.58,15.56,18885.0
2015-10-16,15.78,15.78,14.19,14.57,2440.0
2015-10-19,14.91,15.42,13.85,15.42,20696.0
2015-10-20,14.96,15.8,14.56,15.43,8522.0
2015-10-21,15.18,15.18,14.36,14.92,3372.0
2015-10-22,15.41,15.41,13.65,14.5,18982.0
2015-10-23,14.48,15.5,12.99,14.43,31482.0
2015-10-26,14.44,14.86,14.41,14.48,4202.0
2015-10-27,14.64,14.76,14.32,14.66,5109.0
2015-10-28,14.28,14.59,13.75,14.31,8495.0
2015-10-29,14.03,14.91,13.96,14.38,7438.0
2015-10-30,14.02,14.6,14.02,14.47,3866.0
2015-11-02,14.22,15.14,14.22,14.61,12351.0
2015-11-03,14.28,15.27,14.28,15.13,11072.0
2015-11-04,14.93,15.24,14.68,14.91,10993.0
2015-11-05,15.15,15.21,14.84,15.21,4230.0
2015-11-06,14.86,15.08,14.65,15.01,1721.0
2015-11-09,14.67,15.29,14.58,15.16,6281.0
2015-11-10,15.44,17.7,14.98,17.29,15241.0
2015-11-11,17.42,17.49,15.85,16.61,13343.0
2015-11-12,16.7,17.02,16.25,16.91,11639.0
2015-11-13,17.19,18.15,16.38,18.15,14184.0
2015-11-16,18.17,18.67,16.7,18.52,11448.0
2015-11-17,18.9,18.9,18.06,18.81,9731.0
2015-11-18,22.14,22.14,19.85,19.95,26591.0
2015-11-19,19.92,19.92,18.61,19.9,10810.0
2015-11-20,19.68,22.04,19.35,20.84,19527.0
2015-11-23,20.46,24.14,20.28,23.65,9837.0
2015-11-24,23.16,24.0,20.61,23.5,11402.0
2015-11-25,23.06,24.45,22.18,23.39,16682.0
2015-11-27,23.5,23.92,22.51,23.4,8284.0
2015-11-30,23.6,23.6,22.81,23.31,5876.0
2015-12-01,23.6,23.6,22.72,23.24,7342.0
2015-12-02,23.13,23.3,21.4,21.4,10249.0
2015-12-03,21.3,21.93,19.98,20.55,11321.0
2015-12-04,20.37,21.5,20.04,21.13,2754.0
2015-12-07,21.19,21.52,19.8,21.025,11963.0
2015-12-08,21.38,21.38,20.69,21.1,15526.0
2015-12-09,20.86,21.55,20.53,21.0,11573.0
2015-12-10,21.15,21.3,20.51,21.06,8337.0
2015-12-11,21.11,22.39,20.58,22.05,11853.0
2015-12-14,22.7,24.16,21.56,22.67,8244.0
2015-12-15,22.74,22.74,21.31,22.55,10439.0
2015-12-16,21.18,25.97,20.87,25.97,18232.0
2015-12-17,26.26,33.22,26.26,28.92,48614.0
2015-12-18,28.41,29.7,27.57,28.68,487564.0
2015-12-21,28.72,30.0,28.72,29.14,23069.0
2015-12-22,29.24,29.44,28.98,29.28,7666.0
2015-12-23,30.0,30.0,28.4,28.69,10064.0
2015-12-24,28.59,29.0,28.5,28.99,2548.0
2015-12-28,28.97,28.97,28.42,28.78,8565.0
2015-12-29,28.83,28.83,23.59,24.09,21478.0
2015-12-30,23.68,26.21,23.68,25.59,11837.0
2015-12-31,25.85,27.8,25.63,26.94,10988.0
2016-01-04,26.86,26.93,25.06,26.39,26564.0
2016-01-05,26.36,27.72,24.32,27.37,14308.0
2016-01-06,27.22,27.22,25.38,25.68,12688.0
2016-01-07,25.09,25.09,23.81,23.98,8636.0
2016-01-08,23.98,24.35,23.49,23.5,7312.0
2016-01-11,23.6,24.43,16.6,19.44,23056.0
2016-01-12,19.72,20.47,18.4,20.43,18692.0
2016-01-13,20.46,20.86,19.26,20.18,11503.0
2016-01-14,20.4,21.19,19.41,21.15,10306.0
2016-01-15,20.53,20.82,19.49,20.42,13212.0
2016-01-19,20.5,20.5,19.21,19.98,18318.0
2016-01-20,19.69,21.47,19.69,21.05,13999.0
2016-01-21,21.3,23.08,20.64,22.56,10651.0
2016-01-22,22.85,23.93,21.85,22.0,15037.0
2016-01-25,22.24,22.24,20.03,20.15,9217.0
2016-01-26,20.24,22.25,19.52,21.84,13750.0
2016-01-27,22.16,22.3,20.75,20.88,11641.0
2016-01-28,21.27,21.38,20.7,20.94,12268.0
2016-01-29,21.05,22.29,21.05,22.23,14163.0
2016-02-01,22.26,22.26,21.11,21.65,11192.0
2016-02-02,21.34,22.14,21.3,21.93,4504.0
2016-02-03,22.27,22.27,21.7,22.0,1839.0
2016-02-04,21.95,22.09,21.3,21.97,5253.0
2016-02-05,21.71,22.62,21.54,21.54,11985.0
2016-02-08,21.4,21.53,20.31,20.46,6237.0
2016-02-09,20.17,20.18,19.56,19.6,2410.0
2016-02-10,20.04,20.94,20.04,20.12,6195.0
2016-02-11,19.9,21.18,19.9,19.9,4093.0
2016-02-12,20.3,20.32,19.36,19.45,4972.0
2016-02-16,19.51,19.51,18.26,18.78,12272.0
2016-02-17,18.95,19.41,14.44,15.65,49649.0
2016-02-18,15.61,16.09,15.1,15.12,12335.0
2016-02-19,15.09,15.3,14.51,15.29,9305.0
2016-02-22,15.4,16.85,15.4,16.76,14335.0
2016-02-23,17.16,18.25,17.16,18.01,21536.0
2016-02-24,18.0,19.7,18.0,18.6,18258.0
2016-02-25,18.82,19.7,18.74,18.95,18525.0
2016-02-26,18.89,19.0,15.66,18.93,11084.0
2016-02-29,19.1,19.32,17.96,18.34,18771.0
2016-03-01,18.24,18.88,17.2,17.71,20615.0
2016-03-02,17.61,17.61,16.85,17.39,12296.0
2016-03-03,17.29,17.34,16.53,17.33,7318.0
2016-03-04,17.2,18.54,17.2,18.02,5120.0
2016-03-07,18.07,18.53,17.55,17.92,9020.0
2016-03-08,18.02,18.3,17.42,17.42,8069.0
2016-03-09,17.58,17.89,16.53,16.93,7294.0
2016-03-10,16.86,17.35,16.65,16.74,8583.0
2016-03-11,17.01,17.01,16.65,16.84,4922.0
2016-03-14,16.76,17.48,16.4,16.4,8474.0
2016-03-15,16.22,16.7,16.05,16.14,5458.0
2016-03-16,16.15,16.37,16.14,16.14,4309.0
2016-03-17,16.1,16.34,15.81,15.99,8706.0
2016-03-18,16.11,16.11,15.52,15.71,11790.0
2016-03-21,15.42,16.0,15.42,15.8,12089.0
2016-03-22,15.67,16.14,15.28,15.37,4816.0
2016-03-23,15.28,15.53,14.8,15.0,6391.0
2016-03-24,14.86,14.97,14.39,14.77,10914.0
2016-03-28,14.68,14.99,14.68,14.91,3505.0
2016-03-29,14.9,15.49,14.9,15.49,7983.0
