Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-07-19,13.15,16.8,13.15,15.0,260405.0
2018-07-20,15.0,15.15,13.75,13.965,153501.0
2018-07-23,13.5,14.45,13.34,14.2,156664.0
2018-07-24,13.9,14.25,13.9,14.08,122314.0
2018-07-25,13.85,14.36,13.85,14.05,75517.0
2018-07-26,13.9,14.42,13.7,14.42,65318.0
2018-07-27,14.21,14.86,14.21,14.86,17937.0
2018-07-30,14.51,14.94,14.51,14.93,20490.0
2018-07-31,14.75,15.05,14.59,14.61,25994.0
2018-08-01,14.65,14.95,14.65,14.95,15504.0
2018-08-02,14.76,14.94,14.69,14.73,34470.0
2018-08-03,14.76,14.94,14.75,14.8,14146.0
2018-08-06,14.9,15.0,14.76,14.98,45685.0
2018-08-07,14.8,15.02,14.8,14.98,62441.0
2018-08-08,14.82,14.89,14.78,14.88,24264.0
2018-08-09,14.78,14.99,14.78,14.85,36846.0
2018-08-10,14.81,15.5,14.81,15.5,43342.0
2018-08-13,15.41,16.0,15.35,16.0,37877.0
2018-08-14,15.85,16.49,15.52,16.31,79728.0
2018-08-15,16.21,16.34,15.73,16.34,27311.0
2018-08-16,16.24,16.46,15.82,16.43,39971.0
2018-08-17,16.45,16.45,16.12,16.42,40540.0
2018-08-20,16.38,16.49,16.2,16.49,40187.0
2018-08-21,16.39,16.48,16.25,16.4,18847.0
2018-08-22,16.45,16.49,16.32,16.49,32430.0
2018-08-23,16.36,16.72,16.36,16.63,41965.0
2018-08-24,16.5,16.74,16.38,16.74,40459.0
2018-08-27,16.6,16.66,16.36,16.52,36898.0
2018-08-28,16.37,16.66,16.26,16.47,39461.0
2018-08-29,16.47,16.62,16.16,16.35,33502.0
2018-08-30,16.42,16.42,15.76,15.86,37863.0
2018-08-31,15.8,15.9,15.64,15.75,32043.0
2018-09-04,15.65,15.88,15.55,15.64,19755.0
2018-09-05,15.56,16.0,15.48,15.99,30228.0
2018-09-06,15.98,15.98,15.54,15.89,10277.0
2018-09-07,15.96,15.96,15.22,15.54,26103.0
2018-09-10,15.36,16.74,14.91,16.25,215135.0
2018-09-11,16.16,16.39,15.79,16.22,101108.0
2018-09-12,16.12,16.72,16.04,16.7,91316.0
2018-09-13,16.56,16.73,16.42,16.69,85708.0
2018-09-14,16.65,16.88,16.61,16.85,97211.0
2018-09-17,16.88,17.17,16.81,17.0,95222.0
2018-09-18,16.95,17.77,16.95,17.51,148247.0
2018-09-19,16.99,18.185,16.99,17.69,698787.0
2018-09-20,17.68,18.47,17.62,17.76,525855.0
2018-09-21,17.67,17.97,17.24,17.53,1886868.0
2018-09-24,17.49,17.65,16.26,16.32,348803.0
2018-09-25,16.32,16.81,15.57,15.62,367110.0
2018-09-26,15.54,15.85,15.2,15.22,47966.0
2018-09-27,15.2,15.38,14.85,14.95,73289.0
2018-09-28,14.92,15.28,14.755,15.26,53621.0
2018-10-01,15.58,15.73,15.03,15.29,90576.0
2018-10-02,15.22,15.3,14.78,15.11,57239.0
2018-10-03,15.05,15.22,14.95,15.06,31021.0
2018-10-04,14.99,14.99,14.7,14.77,29065.0
2018-10-05,14.75,14.85,14.12,14.15,35252.0
2018-10-08,14.17,14.94,14.17,14.35,21468.0
2018-10-09,14.31,14.8,14.3,14.79,27448.0
2018-10-10,14.59,15.0,14.59,14.96,68881.0
2018-10-11,14.88,14.92,14.37,14.55,86636.0
2018-10-12,14.47,14.68,13.4,14.49,87882.0
2018-10-15,14.21,14.51,13.9,14.51,85870.0
2018-10-16,14.49,14.49,13.92,14.0,63131.0
2018-10-17,14.09,14.47,13.93,14.27,35005.0
2018-10-18,14.1,14.27,14.06,14.16,26268.0
2018-10-19,14.16,14.16,13.95,14.09,35401.0
2018-10-22,14.04,14.1,13.76,13.85,61394.0
2018-10-23,13.75,14.28,13.75,14.0,49442.0
2018-10-24,13.96,14.16,13.81,13.9,31837.0
2018-10-25,14.0,14.1,13.62,13.85,54714.0
2018-10-26,13.7,13.81,13.55,13.64,43232.0
2018-10-29,13.74,13.78,13.41,13.55,31199.0
2018-10-30,13.65,13.72,13.32,13.54,49669.0
2018-10-31,13.32,13.71,13.16,13.37,106980.0
2018-11-01,13.45,13.51,13.01,13.24,22466.0
2018-11-02,13.17,13.5,13.04,13.39,36048.0
2018-11-05,13.36,13.47,13.16,13.22,37753.0
2018-11-06,13.19,13.55,12.52,12.67,65555.0
2018-11-07,12.49,12.7,12.08,12.23,36132.0
2018-11-08,12.07,12.7,12.0,12.27,44395.0
2018-11-09,12.32,13.03,12.32,12.79,30775.0
2018-11-12,12.89,13.24,12.65,13.11,45104.0
2018-11-13,13.11,13.53,13.1,13.48,45183.0
2018-11-14,13.51,13.62,12.89,13.03,86651.0
2018-11-15,13.15,13.35,12.97,13.13,87249.0
2018-11-16,13.12,14.14,13.09,14.14,80390.0
2018-11-19,14.02,14.05,13.71,14.0,66364.0
2018-11-20,13.83,14.03,13.67,13.92,59263.0
2018-11-21,13.88,13.95,13.65,13.77,26527.0
2018-11-23,13.6,14.01,13.6,13.86,69588.0
2018-11-26,13.65,13.95,13.61,13.86,65545.0
2018-11-27,13.66,13.92,13.4,13.65,62655.0
2018-11-28,13.59,13.95,13.59,13.72,27051.0
2018-11-29,13.66,13.87,13.37,13.39,34636.0
2018-11-30,13.31,13.99,13.31,13.84,501530.0
2018-12-03,13.89,13.91,13.4,13.58,43989.0
2018-12-04,13.54,13.63,13.15,13.28,52490.0
2018-12-06,13.06,13.49,12.86,13.49,62378.0
2018-12-07,13.39,13.68,13.02,13.49,102100.0
2018-12-10,13.39,14.19,13.35,13.71,141266.0
2018-12-11,13.86,13.98,13.54,13.57,76370.0
2018-12-12,13.51,13.92,13.25,13.56,53210.0
2018-12-13,13.57,14.11,13.57,13.94,76682.0
2018-12-14,13.89,13.89,12.83,13.12,97114.0
2018-12-17,13.08,13.33,13.02,13.2,412775.0
2018-12-18,13.33,13.89,13.32,13.85,497431.0
2018-12-19,13.72,13.98,13.63,13.86,399855.0
2018-12-20,13.76,13.94,13.76,13.9,394267.0
2018-12-21,14.0,14.0,13.21,13.52,1030606.0
2018-12-24,13.34,13.49,13.1,13.32,69480.0
2018-12-26,13.23,13.69,13.23,13.67,35909.0
2018-12-27,13.7,13.78,13.25,13.54,38200.0
2018-12-28,13.48,13.59,13.29,13.46,108810.0
2018-12-31,13.37,13.47,13.045,13.32,95489.0
2019-01-02,13.1,13.31,13.01,13.17,44269.0
2019-01-03,13.12,13.55,13.06,13.41,72510.0
2019-01-04,13.47,13.63,13.28,13.37,49021.0
2019-01-07,13.34,13.65,13.24,13.51,52238.0
2019-01-08,13.52,13.85,13.48,13.78,33485.0
2019-01-09,13.78,13.87,13.57,13.6,48455.0
2019-01-10,13.49,13.72,12.96,13.19,93416.0
2019-01-11,13.0,13.14,12.8,13.09,94086.0
2019-01-14,13.17,13.29,12.76,12.97,92338.0
2019-01-15,12.82,13.49,12.82,13.21,128236.0
2019-01-16,12.95,13.34,12.95,13.26,134284.0
2019-01-17,13.15,13.4,13.15,13.38,64299.0
2019-01-18,13.25,13.29,12.85,13.1,165764.0
2019-01-22,12.96,13.22,12.87,12.93,92014.0
2019-01-23,12.88,13.15,12.77,12.89,68998.0
2019-01-24,12.82,12.85,12.6,12.73,57477.0
2019-01-25,12.66,13.09,12.61,13.02,91405.0
2019-01-28,12.98,13.2,12.76,13.19,53050.0
2019-01-29,13.07,13.14,12.73,12.75,60742.0
2019-01-30,12.69,13.16,12.68,13.0,79992.0
2019-01-31,12.98,13.19,12.81,12.99,79506.0
2019-02-01,12.92,12.99,12.65,12.78,56534.0
2019-02-04,12.71,12.83,12.31,12.37,84531.0
2019-02-05,12.4,12.69,12.17,12.63,67377.0
2019-02-06,12.62,12.82,12.53,12.55,43159.0
2019-02-07,12.4,12.51,12.02,12.07,67335.0
2019-02-08,12.03,12.18,11.85,11.87,76185.0
2019-02-11,11.82,12.07,11.73,11.84,84019.0
2019-02-12,11.81,11.95,11.18,11.34,99541.0
2019-02-13,11.26,11.45,11.15,11.3,106971.0
2019-02-14,11.08,11.305,10.87,11.16,372272.0
2019-02-15,11.15,11.19,10.87,11.03,124620.0
2019-02-19,11.02,11.52,10.9,11.42,104334.0
2019-02-20,11.44,11.5,10.85,11.07,237212.0
2019-02-21,11.19,11.39,11.05,11.33,102449.0
2019-02-22,11.2,11.49,11.06,11.43,115800.0
2019-02-25,11.5,11.5,11.19,11.35,66134.0
2019-02-26,11.37,11.46,11.27,11.4,129035.0
2019-02-27,11.31,11.42,10.75,10.8,146057.0
2019-02-28,10.78,10.98,10.6,10.81,241052.0
2019-03-01,10.81,11.0,10.545,10.64,81542.0
2019-03-04,10.64,10.92,10.4,10.69,129500.0
2019-03-05,10.64,10.79,10.54,10.56,232378.0
2019-03-06,10.56,11.08,10.46,10.88,214494.0
2019-03-07,10.71,11.12,10.71,10.76,143966.0
2019-03-08,10.75,10.86,10.55,10.7,97011.0
2019-03-11,10.65,10.93,10.65,10.85,115279.0
2019-03-12,10.85,11.05,10.73,10.91,99771.0
2019-03-13,10.95,11.2,10.87,11.05,416475.0
2019-03-14,11.08,11.34,11.01,11.09,451162.0
2019-03-15,11.1,11.17,10.96,11.13,396646.0
2019-03-18,11.1,11.24,10.82,10.98,448618.0
2019-03-19,10.95,10.99,10.69,10.81,370032.0
2019-03-20,10.77,11.17,10.77,10.95,163919.0
2019-03-21,10.94,11.21,10.91,11.13,133366.0
2019-03-22,11.11,11.15,10.69,10.75,150367.0
2019-03-25,10.79,10.85,10.54,10.68,59229.0
2019-03-26,10.67,10.94,10.65,10.7,66029.0
2019-03-27,10.71,10.76,10.62,10.7,67137.0
2019-03-28,10.65,10.82,10.65,10.77,59153.0
2019-03-29,10.83,10.85,10.63,10.8,134574.0
2019-04-01,10.83,10.84,10.6,10.81,129770.0
2019-04-02,10.79,10.79,10.57,10.71,87980.0
2019-04-03,10.68,10.87,10.68,10.72,62951.0
2019-04-04,10.74,10.85,10.53,10.62,88499.0
2019-04-05,10.62,10.72,10.52,10.62,57604.0
2019-04-08,10.61,10.68,10.47,10.53,77669.0
2019-04-09,10.42,10.5,10.06,10.12,126588.0
2019-04-10,10.16,10.49,10.16,10.46,167847.0
2019-04-11,10.52,10.52,10.13,10.19,62029.0
2019-04-12,10.17,10.29,10.03,10.16,62788.0
2019-04-15,10.16,10.27,9.92,10.02,79010.0
2019-04-16,10.0,10.02,9.67,9.81,105107.0
2019-04-17,9.76,9.82,9.42,9.72,238528.0
2019-04-18,9.7,9.79,9.6,9.66,124848.0
2019-04-22,9.48,9.62,9.375,9.52,214407.0
2019-04-23,9.53,9.69,9.47,9.61,100677.0
2019-04-24,9.61,9.81,9.56,9.59,72455.0
2019-04-25,9.61,9.7,9.51,9.66,233449.0
2019-04-26,9.64,9.8,9.6,9.74,71216.0
2019-04-29,9.73,9.87,9.64,9.69,118020.0
2019-04-30,9.65,9.84,9.6,9.81,115694.0
2019-05-01,9.75,9.89,9.69,9.69,85390.0
2019-05-02,9.71,9.78,9.6,9.76,93536.0
2019-05-03,9.73,10.06,9.73,9.93,94515.0
2019-05-06,9.85,9.99,9.78,9.83,122974.0
2019-05-07,9.74,9.855,9.48,9.52,145193.0
2019-05-08,9.53,10.08,9.53,9.9,100316.0
2019-05-09,9.82,10.18,9.69,10.11,106208.0
2019-05-10,10.07,10.4,10.07,10.305,144045.0
2019-05-13,10.29,10.39,10.06,10.31,183320.0
