Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-05-23,5.5,6.05,5.13,5.54,1313670.0
2014-05-27,5.51,5.6,5.49,5.55,141385.0
2014-05-28,5.53,5.92,5.53,5.8,112834.0
2014-05-29,5.9,6.01,5.75,5.94,100829.0
2014-05-30,5.95,5.95,5.66,5.85,55025.0
2014-06-02,5.9,6.04,5.79,5.97,71821.0
2014-06-03,6.05,6.44,5.98,6.4,51052.0
2014-06-04,6.33,6.5,6.16,6.16,14547.0
2014-06-05,6.05,6.1,5.7,5.81,23680.0
2014-06-06,5.75,5.9,5.63,5.89,10443.0
2014-06-09,6.19,6.19,5.64,6.01,11947.0
2014-06-10,6.0,6.33,5.8,6.3,18504.0
2014-06-11,6.3,6.62,6.3,6.48,47877.0
2014-06-12,6.42,6.92,6.42,6.9,32923.0
2014-06-13,6.92,6.92,6.63,6.92,6699.0
2014-06-16,6.86,6.86,6.63,6.78,9968.0
2014-06-17,7.26,7.84,6.9,7.39,127885.0
2014-06-18,7.4,7.86,7.4,7.82,43639.0
2014-06-19,8.17,8.17,7.86,7.89,13104.0
2014-06-20,7.86,8.03,7.38,7.65,7271.0
2014-06-23,8.2,12.53,7.91,10.33,352563.0
2014-06-24,10.77,11.2,10.36,10.65,175965.0
2014-06-25,10.81,11.0,10.22,10.4,40331.0
2014-06-26,10.25,10.27,9.15,9.62,43485.0
2014-06-27,9.54,9.54,8.8,9.25,49241.0
2014-06-30,8.94,8.94,8.28,8.72,21947.0
2014-07-01,8.5,8.89,8.5,8.89,7536.0
2014-07-02,8.86,9.5,8.64,8.79,16957.0
2014-07-03,9.2,9.2,8.745,8.93,7315.0
2014-07-07,9.23,9.23,8.5,8.54,10413.0
2014-07-08,8.77,8.77,8.42,8.56,5457.0
2014-07-09,8.52,8.59,8.01,8.21,5465.0
2014-07-10,8.03,8.04,7.56,8.01,5076.0
2014-07-11,7.92,8.11,7.92,8.06,2103.0
2014-07-14,8.02,8.02,7.5,7.62,20621.0
2014-07-15,7.45,7.45,6.99,7.01,19748.0
2014-07-16,7.01,7.06,7.0,7.0,4356.0
2014-07-17,7.0,7.02,6.97,6.995,3868.0
2014-07-18,7.03,7.33,7.03,7.24,7665.0
2014-07-21,7.18,7.22,7.09,7.15,3691.0
2014-07-22,7.16,7.16,7.0,7.11,6779.0
2014-07-23,7.15,7.15,7.0,7.03,3360.0
2014-07-24,7.0,7.0,6.57,6.71,8179.0
2014-07-25,6.71,6.93,6.7,6.76,4851.0
2014-07-28,6.76,6.79,6.54,6.58,1954.0
2014-07-29,6.6,6.6,6.1,6.11,9657.0
2014-07-30,6.1,6.2,6.09,6.09,2134.0
2014-07-31,6.06,6.28,5.96,6.28,5038.0
2014-08-01,6.31,6.31,5.98,6.0,4767.0
2014-08-04,5.98,5.99,5.9,5.91,6913.0
2014-08-05,5.93,5.93,5.865,5.91,4300.0
2014-08-06,5.91,6.12,5.91,6.08,4811.0
2014-08-07,6.07,6.7,5.99,6.57,11106.0
2014-08-08,6.61,6.74,6.2,6.45,7416.0
2014-08-11,6.53,6.6,6.52,6.55,4400.0
2014-08-12,6.54,6.54,6.33,6.35,1350.0
2014-08-13,6.33,6.33,6.12,6.15,3510.0
2014-08-14,6.18,6.47,6.0,6.22,13690.0
2014-08-15,7.95,8.0,6.42,7.36,24713.0
2014-08-18,7.26,7.26,6.95,7.24,12286.0
2014-08-19,7.23,7.54,7.23,7.42,4225.0
2014-08-20,7.46,7.79,7.46,7.77,5847.0
2014-08-21,7.75,7.76,7.55,7.6,1864.0
2014-08-22,7.63,7.66,7.6,7.63,2294.0
2014-08-25,7.68,7.78,7.57,7.68,4518.0
2014-08-26,7.42,7.48,7.4,7.47,1593.0
2014-08-27,7.45,7.67,7.08,7.56,5295.0
2014-08-28,7.57,7.86,7.57,7.7,1469.0
2014-08-29,7.69,8.47,7.69,8.44,15286.0
2014-09-02,8.79,9.38,8.63,9.38,16052.0
2014-09-03,9.39,9.97,9.32,9.95,7177.0
2014-09-04,10.0,10.01,9.4,9.4,25548.0
2014-09-05,9.43,9.44,8.86,9.36,2996.0
2014-09-08,9.31,10.5,9.31,9.97,6982.0
2014-09-09,10.01,10.09,9.87,10.0,4880.0
2014-09-10,9.97,10.04,9.97,9.98,1584.0
2014-09-11,9.94,10.01,9.05,9.94,11819.0
2014-09-12,9.95,9.95,9.51,9.54,3901.0
2014-09-15,9.57,9.57,8.7,8.7,8439.0
2014-09-16,8.7,9.24,7.99,8.54,22499.0
2014-09-17,8.32,8.8,8.26,8.26,7008.0
2014-09-18,8.45,9.06,8.26,8.75,9882.0
2014-09-19,8.82,9.82,8.39,8.4,67258.0
2014-09-22,8.42,8.55,7.6,7.75,17368.0
2014-09-23,7.66,7.82,7.54,7.67,2211.0
2014-09-24,7.67,8.14,7.67,7.71,2997.0
2014-09-25,7.91,8.12,7.87,7.98,4117.0
2014-09-26,8.01,8.25,8.0,8.05,3150.0
2014-09-29,7.7,7.7,7.4,7.64,8600.0
2014-09-30,7.52,7.52,6.51,7.3,49588.0
2014-10-01,7.24,7.24,6.05,6.38,23418.0
2014-10-02,6.33,6.48,6.25,6.34,2377.0
2014-10-03,6.34,6.56,6.3,6.33,5988.0
