Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-07-14,8.13,9.51,8.1,9.48,1712536.0
2017-07-17,9.7,10.5,9.65,10.48,357484.0
2017-07-18,10.25,10.27,9.88,10.1,123594.0
2017-07-19,10.06,11.27,9.9,11.11,148662.0
2017-07-20,11.05,12.79,11.0,12.405,191259.0
2017-07-21,12.3,14.0,12.25,13.53,244819.0
2017-07-24,13.67,15.24,13.16,14.9,163260.0
2017-07-25,14.9,16.21,13.375,13.77,132914.0
2017-07-26,13.58,14.8,13.55,14.48,58225.0
2017-07-27,15.07,15.84,14.59,14.88,82776.0
2017-07-28,14.9,14.91,13.35,13.36,57502.0
2017-07-31,13.36,14.5,13.36,14.39,31766.0
2017-08-01,14.39,15.1,13.9,14.96,39480.0
2017-08-02,14.8,15.8,14.75,15.43,48425.0
2017-08-03,15.42,15.42,13.95,13.95,32298.0
2017-08-04,14.02,15.11,13.83,14.99,51761.0
2017-08-07,14.77,14.98,14.14,14.9,17029.0
2017-08-08,15.62,15.8,14.62,14.7,51052.0
2017-08-09,14.96,14.99,13.77,14.65,40962.0
2017-08-10,14.83,15.08,14.26,14.65,64440.0
2017-08-11,14.57,14.75,13.85,14.21,42727.0
2017-08-14,14.2,14.45,13.95,14.04,30567.0
2017-08-15,14.0,14.25,13.86,14.13,34740.0
2017-08-16,14.06,14.48,14.06,14.35,16848.0
2017-08-17,14.21,14.74,14.01,14.31,17246.0
2017-08-18,14.19,14.22,13.9,14.1,24925.0
2017-08-21,14.09,15.36,14.09,15.08,101843.0
2017-08-22,15.15,17.53,15.06,17.33,114463.0
2017-08-23,17.01,17.57,16.9,17.44,98472.0
2017-08-24,17.33,19.5,17.0,18.87,118892.0
2017-08-25,19.03,19.15,18.03,18.38,51268.0
2017-08-28,18.34,19.75,18.34,19.59,78864.0
2017-08-29,19.46,21.63,19.0,20.52,122843.0
2017-08-30,20.19,21.01,20.0,20.75,53854.0
2017-08-31,21.23,22.39,18.13,18.65,149910.0
2017-09-01,18.71,19.6,18.15,19.34,86425.0
2017-09-05,19.53,23.0,19.53,22.74,145494.0
2017-09-06,22.52,24.68,21.57,24.36,118913.0
2017-09-07,24.44,25.63,20.86,21.39,286248.0
2017-09-08,21.56,22.88,21.02,21.77,96091.0
2017-09-11,21.99,23.0,21.99,22.53,119536.0
2017-09-12,22.59,23.4,22.08,22.83,97404.0
2017-09-13,23.24,23.9,22.98,23.67,189522.0
2017-09-14,23.24,23.9,23.0,23.73,240897.0
2017-09-15,23.95,25.7,23.625,23.87,1660368.0
2017-09-18,23.83,24.37,23.595,24.0,199372.0
2017-09-19,24.2,25.1,24.2,24.68,212004.0
2017-09-20,24.97,25.23,24.58,25.21,66803.0
2017-09-21,25.3,26.76,25.23,26.41,75632.0
