Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2012-10-10,6.71,6.85,6.0,6.06,1372091.0
2012-10-11,6.06,6.34,6.0,6.08,80755.0
2012-10-12,6.05,6.3,6.01,6.23,37426.0
2012-10-15,6.35,6.36,6.06,6.15,30722.0
2012-10-16,6.15,6.3,6.0,6.01,69039.0
2012-10-17,6.0,6.08,5.99,6.0,23520.0
2012-10-18,6.2,6.2,5.56,6.0,60695.0
2012-10-19,6.08,6.08,6.0,6.0,100661.0
2012-10-22,6.47,6.47,6.1,6.11,73383.0
2012-10-23,6.18,6.18,6.0,6.0,7901.0
2012-10-24,6.01,6.09,6.01,6.02,8600.0
2012-10-25,6.1,6.3,6.05,6.24,59734.0
2012-10-26,6.19,6.69,6.19,6.58,53584.0
2012-10-31,6.78,7.33,6.64,7.33,41563.0
2012-11-01,8.44,8.44,7.42,7.65,43969.0
2012-11-02,7.81,8.2,7.53,7.7,17199.0
2012-11-05,8.1,8.4,7.85,8.23,31332.0
2012-11-06,8.7,8.77,8.35,8.51,58158.0
2012-11-07,8.6,8.72,8.15,8.19,88188.0
2012-11-08,8.2,8.31,7.7,7.82,25534.0
2012-11-09,7.82,8.02,7.7,8.0,40952.0
2012-11-12,8.0,8.0,7.53,7.73,18369.0
2012-11-13,7.95,8.0,7.68,8.0,10700.0
2012-11-14,8.03,8.03,7.81,7.88,8335.0
2012-11-15,7.6,8.44,7.6,8.36,27950.0
2012-11-16,8.35,8.87,8.29,8.71,22192.0
2012-11-19,8.9,9.5,8.89,9.22,47848.0
2012-11-20,9.22,9.48,9.2,9.31,18350.0
2012-11-21,9.5,9.5,9.06,9.15,13930.0
2012-11-23,9.15,9.365,9.15,9.28,1700.0
2012-11-26,9.3,9.31,8.81,8.92,12952.0
2012-11-27,8.91,8.91,8.65,8.88,11643.0
2012-11-28,8.73,8.79,8.65,8.73,4841.0
2012-11-29,8.8,8.9,8.7,8.71,5036.0
2012-11-30,8.85,8.87,8.65,8.71,2001.0
2012-12-03,9.0,9.01,8.69,8.7,3412.0
2012-12-04,8.73,8.77,8.3,8.63,13214.0
2012-12-05,8.56,8.98,8.54,8.98,25239.0
2012-12-06,9.04,9.54,8.64,9.08,58362.0
2012-12-07,9.1,9.19,8.91,9.02,28184.0
2012-12-10,9.23,9.23,8.61,8.72,6067.0
2012-12-11,8.84,9.03,8.65,8.92,3864.0
2012-12-12,8.99,9.41,8.98,9.29,28316.0
2012-12-13,9.41,9.43,9.26,9.35,19847.0
2012-12-14,8.91,10.29,8.77,9.1,60063.0
2012-12-17,9.35,10.09,8.8,10.0,50347.0
2012-12-18,10.0,10.45,9.87,10.36,57062.0
2012-12-19,10.23,10.3,9.97,10.18,26730.0
2012-12-20,10.16,10.17,9.91,10.0,17561.0
2012-12-21,9.85,9.9,9.29,9.76,304008.0
2012-12-24,9.69,9.69,9.22,9.59,16088.0
2012-12-26,9.62,10.01,9.55,10.0,19839.0
2012-12-27,10.25,10.49,10.0,10.43,32010.0
2012-12-28,10.35,11.15,10.35,11.0,78092.0
2012-12-31,11.0,11.18,10.93,11.15,49359.0
2013-01-02,11.98,11.99,11.29,11.95,59392.0
2013-01-03,12.0,12.03,11.65,11.73,24833.0
2013-01-04,11.73,11.9,11.73,11.88,32777.0
2013-01-07,12.1,12.1,11.89,11.93,27730.0
2013-01-08,11.9,12.06,11.84,12.06,16050.0
2013-01-09,12.17,12.98,12.12,12.94,40884.0
2013-01-10,13.14,13.41,12.53,13.05,27531.0
2013-01-11,13.13,13.13,12.77,12.78,22961.0
2013-01-14,12.79,12.99,12.26,12.81,29501.0
2013-01-15,12.71,12.8,12.61,12.75,11120.0
2013-01-16,12.76,12.8,12.5,12.6,7575.0
2013-01-17,12.64,12.75,11.26,11.45,76075.0
2013-01-18,11.48,11.84,11.4,11.67,29561.0
2013-01-22,11.75,12.28,11.72,12.19,37726.0
2013-01-23,12.15,12.26,11.92,11.99,29383.0
2013-01-24,11.97,12.03,11.5,11.63,23110.0
2013-01-25,11.71,11.86,11.52,11.84,11596.0
2013-01-28,11.79,11.84,11.5,11.57,15963.0
2013-01-29,11.52,11.7,11.46,11.52,7748.0
2013-01-30,11.6,11.62,10.08,10.16,72008.0
2013-01-31,10.24,10.24,9.57,9.96,75599.0
2013-02-01,10.02,10.55,10.02,10.48,35577.0
2013-02-04,10.52,10.52,10.12,10.24,17563.0
2013-02-05,10.22,10.275,9.92,9.98,28545.0
2013-02-06,9.95,10.1,9.91,9.99,15188.0
2013-02-07,9.75,10.12,9.65,9.98,49528.0
2013-02-08,9.93,10.0,9.56,9.73,9860.0
2013-02-11,9.73,9.73,9.06,9.42,26842.0
2013-02-12,9.45,9.7,9.4,9.7,12670.0
2013-02-13,9.73,9.8,9.6,9.68,15891.0
2013-02-14,9.78,9.88,9.51,9.51,31476.0
2013-02-15,9.57,9.82,9.14,9.8,54140.0
2013-02-19,9.85,10.13,9.79,9.87,8675.0
2013-02-20,9.91,10.0,9.35,9.49,34469.0
2013-02-21,9.44,9.45,9.2,9.31,13938.0
2013-02-22,9.3,9.68,9.3,9.49,35180.0
2013-02-25,9.59,9.92,9.59,9.59,10445.0
2013-02-26,9.68,9.77,9.64,9.74,6678.0
2013-02-27,9.78,9.91,9.64,9.75,14922.0
2013-02-28,9.72,10.075,9.72,9.96,23882.0
2013-03-01,9.86,10.61,9.86,10.58,21952.0
2013-03-04,10.59,10.59,9.98,10.15,26513.0
2013-03-05,10.3,10.65,10.2,10.58,27074.0
2013-03-06,10.66,11.62,10.65,11.54,28991.0
2013-03-07,11.82,12.15,11.34,11.97,48922.0
2013-03-08,13.45,14.71,13.01,13.58,327958.0
2013-03-11,14.0,14.35,13.4,13.74,98273.0
2013-03-12,13.85,13.89,12.43,12.79,73045.0
2013-03-13,12.85,13.64,12.69,13.31,38708.0
2013-03-14,13.28,14.0,12.96,13.9,36655.0
2013-03-15,13.96,13.98,13.39,13.49,39547.0
2013-03-18,13.44,13.71,12.08,12.35,98903.0
2013-03-19,12.46,12.81,12.26,12.62,60319.0
2013-03-20,12.77,13.325,12.75,12.94,46002.0
2013-03-21,12.86,13.04,12.65,12.95,19407.0
2013-03-22,12.99,13.17,12.78,12.9,28405.0
2013-03-25,13.4,14.54,13.4,14.13,160286.0
2013-03-26,14.37,15.44,14.26,15.04,179614.0
2013-03-27,15.19,15.26,14.58,14.79,112108.0
2013-03-28,14.76,15.91,14.76,15.66,94593.0
2013-04-01,15.91,16.0,14.57,14.87,146089.0
2013-04-02,15.14,15.54,14.86,14.94,70414.0
2013-04-03,14.96,14.97,13.23,13.7,265934.0
