Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-11-25,4.125,5.875,4.125,5.875,2283400.0
1997-11-26,5.875,5.9375,5.625,5.8125,655600.0
1997-11-28,5.75,5.84375,5.3125,5.5,469000.0
1997-12-01,5.5,5.5,5.1875,5.1875,843000.0
1997-12-02,5.3125,5.34375,5.1875,5.28125,642200.0
1997-12-03,5.28125,5.3125,5.125,5.1875,1440600.0
1997-12-04,5.125,5.3125,5.125,5.25,712400.0
1997-12-05,5.3125,5.3125,5.125,5.25,715000.0
1997-12-08,5.375,5.375,5.1875,5.1875,199800.0
1997-12-09,5.1875,5.375,5.1875,5.375,116600.0
1997-12-10,5.375,5.375,5.25,5.375,74000.0
1997-12-11,5.25,5.375,5.1875,5.3125,491000.0
1997-12-12,5.25,5.375,5.25,5.375,226800.0
1997-12-15,5.375,5.375,4.9375,5.0,947600.0
1997-12-16,5.0625,5.125,4.875,4.9375,543200.0
1997-12-17,4.9375,5.25,4.9375,5.1875,1325600.0
1997-12-18,5.125,5.1875,4.8125,4.875,1283600.0
1997-12-19,4.8125,5.0625,4.8125,4.9375,17800.0
1997-12-22,5.125,5.375,4.96875,5.0625,97600.0
1997-12-23,5.125,5.375,5.0625,5.125,180200.0
1997-12-24,5.0625,5.0625,5.0,5.0625,39800.0
1997-12-26,5.0,5.0625,4.9375,4.96875,175600.0
1997-12-29,4.96875,5.3125,4.9375,5.21875,90200.0
1997-12-30,5.375,6.125,5.375,6.125,158000.0
1997-12-31,6.125,6.75,5.96875,6.1875,114000.0
1998-01-02,6.25,6.5625,6.125,6.5,131800.0
1998-01-05,6.25,7.1875,6.25,6.875,247800.0
1998-01-06,7.0,7.1875,6.9375,7.0,229800.0
1998-01-07,7.0625,7.125,6.90625,7.0,173400.0
1998-01-08,7.125,7.125,7.0,7.0,98000.0
1998-01-09,7.03125,7.03125,6.75,6.75,132800.0
1998-01-12,6.6875,6.78125,6.5625,6.75,102600.0
1998-01-13,6.875,7.125,6.78125,7.0,53000.0
1998-01-14,7.0,7.0,6.6875,6.75,29600.0
1998-01-15,6.9375,6.9375,6.6875,6.6875,1600.0
1998-01-16,6.9375,7.75,6.875,7.5625,214800.0
1998-01-20,7.6875,7.6875,7.25,7.5,275800.0
1998-01-21,7.6875,8.5625,7.6875,8.5,1832400.0
1998-01-22,8.5625,8.90625,8.4375,8.625,1949200.0
1998-01-23,8.625,8.8125,8.625,8.8125,472200.0
1998-01-26,8.8125,8.8125,8.6875,8.75,406000.0
1998-01-27,8.75,8.8125,8.6875,8.8125,91200.0
1998-01-28,8.8125,8.875,8.6875,8.875,133600.0
1998-01-29,8.75,9.25,8.75,9.25,650400.0
1998-01-30,9.3125,9.5625,9.25,9.5625,507600.0
1998-02-02,9.75,9.875,9.625,9.75,368600.0
1998-02-03,9.75,9.8125,9.75,9.8125,67800.0
1998-02-04,9.625,9.6875,9.3125,9.5625,131200.0
1998-02-05,9.625,9.75,8.6875,8.8125,1040800.0
1998-02-06,8.8125,8.8125,8.0625,8.0625,547000.0
1998-02-09,8.25,8.625,7.9375,8.4375,432400.0
1998-02-10,8.5,8.75,8.4375,8.625,141800.0
1998-02-11,8.625,8.75,8.5625,8.6875,59800.0
1998-02-12,8.75,8.8125,8.5625,8.8125,86000.0
1998-02-13,8.75,9.125,8.75,9.0625,62400.0
1998-02-17,9.1875,9.25,9.0625,9.1875,237000.0
1998-02-18,9.25,9.3125,9.21875,9.28125,65000.0
1998-02-19,9.28125,9.28125,9.25,9.25,57000.0
1998-02-20,9.1875,9.28125,9.0,9.125,205800.0
1998-02-23,9.1875,9.1875,8.875,9.0,178600.0
1998-02-24,8.8125,9.0625,8.6875,8.875,46800.0
1998-02-25,8.875,9.25,8.8125,9.03125,193400.0
1998-02-26,9.25,9.5625,9.03125,9.4375,263200.0
1998-02-27,9.5,9.5625,9.25,9.375,124600.0
1998-03-02,9.25,9.375,9.1875,9.25,218400.0
1998-03-03,9.28125,9.28125,9.0,9.125,447000.0
1998-03-04,9.0625,9.15625,9.0,9.125,22600.0
1998-03-05,9.0625,9.0625,8.6875,9.0,279400.0
1998-03-06,8.875,9.125,8.875,9.09375,541600.0
1998-03-09,9.0625,9.09375,8.875,8.90625,107400.0
1998-03-10,8.8125,9.0,8.8125,8.9375,227600.0
1998-03-11,8.9375,9.875,8.875,9.75,217400.0
1998-03-12,10.375,11.0,10.0,10.9375,5201800.0
1998-03-13,11.0,11.0,10.5625,10.8125,1042400.0
1998-03-16,10.9375,11.9375,10.8125,11.8125,1696800.0
1998-03-17,11.9375,12.5,11.6875,11.84375,1078400.0
1998-03-18,11.875,12.125,11.75,11.9375,677400.0
1998-03-19,12.125,12.1875,11.5625,11.6875,924400.0
1998-03-20,11.6875,12.0625,11.6875,11.875,202800.0
1998-03-23,11.9375,12.0,11.75,11.9375,109600.0
1998-03-24,11.75,12.0,11.75,11.8125,521600.0
1998-03-25,11.875,12.125,11.75,11.90625,515400.0
1998-03-26,11.9375,11.9375,11.4375,11.6875,541000.0
1998-03-27,11.625,11.8125,11.625,11.8125,324000.0
1998-03-30,11.75,11.8125,11.25,11.3125,596600.0
1998-03-31,11.4375,11.5,11.25,11.25,297000.0
1998-04-01,11.25,11.4375,10.75,11.25,273200.0
1998-04-02,11.4375,11.5625,11.25,11.5625,155400.0
1998-04-03,11.5,11.5625,10.625,11.1875,1321400.0
1998-04-06,11.1875,11.1875,10.8125,11.125,154600.0
1998-04-07,11.125,11.1875,10.8125,11.0,290000.0
1998-04-08,10.96875,11.0,10.6875,10.875,198200.0
1998-04-09,10.8125,11.125,10.6875,10.875,323200.0
1998-04-13,10.75,11.25,10.75,11.25,235800.0
1998-04-14,11.25,11.6875,11.25,11.40625,584800.0
1998-04-15,11.5,12.875,11.375,12.625,1212600.0
1998-04-16,12.46875,12.625,12.1875,12.46875,351200.0
1998-04-17,12.5,12.78125,12.375,12.78125,891400.0
1998-04-20,13.0625,14.0,13.0,13.75,1388400.0
1998-04-21,13.375,13.6875,13.375,13.4375,404800.0
1998-04-22,13.625,13.6875,13.4375,13.5,450200.0
1998-04-23,13.625,13.625,13.0,13.375,134400.0
1998-04-24,13.375,14.1875,13.1875,13.5625,417000.0
1998-04-27,13.125,13.125,12.0,12.5,381200.0
1998-04-28,12.5625,13.125,12.5625,12.75,84800.0
1998-04-29,12.875,13.4375,12.875,13.3125,123600.0
1998-04-30,13.5,14.0,13.5,13.8125,193200.0
1998-05-01,14.0,14.5,13.75,14.5,248400.0
1998-05-04,14.5,15.0,14.0625,14.5,194600.0
1998-05-05,14.5625,14.625,14.375,14.4375,103800.0
1998-05-06,14.4375,14.4375,12.9375,13.03125,4216400.0
1998-05-07,13.5,13.5,12.5,13.1875,286200.0
1998-05-08,13.25,13.5,13.0625,13.375,231200.0
1998-05-11,13.4375,13.5,12.5625,12.75,233600.0
1998-05-12,12.625,13.0,12.1875,12.3125,109600.0
1998-05-13,12.5,13.0,12.3125,12.375,366800.0
1998-05-14,12.5,12.6875,12.125,12.46875,675200.0
1998-05-15,12.375,12.4375,11.0,11.0,330600.0
1998-05-18,10.75,11.0,9.5,10.5,762800.0
1998-05-19,10.75,11.6875,10.75,11.40625,598800.0
1998-05-20,11.75,11.75,11.25,11.34375,238400.0
1998-05-21,11.4375,11.4375,11.0,11.125,472800.0
