Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-28,9.65,9.68,9.65,9.68,74400.0
2019-01-29,9.68,9.69,9.68,9.68,13000.0
2019-01-30,9.68,9.68,9.68,9.68,43500.0
2019-01-31,9.69,9.69,9.68,9.68,37900.0
2019-02-01,9.7,9.71,9.7,9.71,401.0
2019-02-06,10.23,10.23,9.74,9.74,25003.0
2019-02-07,9.74,9.74,9.73,9.73,400.0
2019-02-19,10.0,10.0,10.0,10.0,100.0
2019-02-28,9.75,9.75,9.75,9.75,1.0
2019-03-04,9.76,9.76,9.76,9.76,1.0
2019-03-11,9.73,9.8,9.73,9.8,26700.0
2019-03-14,9.83,9.83,9.83,9.83,18800.0
2019-03-18,9.85,9.85,9.82,9.83,69902.0
2019-03-19,9.85,9.86,9.8,9.8,8400.0
2019-03-20,9.82,9.82,9.81,9.81,60000.0
2019-03-25,9.84,9.84,9.81,9.84,328.0
2019-03-27,9.84,9.84,9.84,9.84,200.0
2019-03-29,9.84,9.84,9.84,9.84,100.0
2019-04-01,9.85,9.85,9.84,9.84,545.0
2019-04-02,9.84,9.85,9.84,9.84,3300.0
2019-04-03,9.84,9.84,9.84,9.84,1625.0
2019-04-05,9.82,9.82,9.82,9.82,32.0
2019-04-08,9.85,9.85,9.85,9.85,3000.0
2019-04-09,,,,,13.0
2019-04-10,9.85,9.85,9.84,9.84,272.0
2019-04-12,9.9,9.9,9.9,9.9,416.0
2019-04-15,9.9,9.9,9.9,9.9,100.0
2019-04-16,9.86,9.89,9.86,9.86,5913.0
2019-04-17,9.87,9.87,9.87,9.87,1.0
2019-04-23,9.9,9.9,9.9,9.9,16.0
2019-04-24,9.86,9.86,9.85,9.85,189.0
2019-04-29,9.85,9.86,9.85,9.86,17600.0
2019-04-30,9.9,9.9,9.87,9.87,9002.0
2019-05-10,9.85,9.85,9.85,9.85,100.0
2019-05-13,9.85,9.85,9.85,9.85,5100.0
2019-05-14,9.84,9.84,9.84,9.84,100.0
2019-05-15,9.81,9.81,9.81,9.81,15.0
2019-05-17,9.85,9.85,9.85,9.85,15.0
2019-05-20,9.85,9.85,9.85,9.85,3699.0
2019-05-22,9.84,9.84,9.84,9.84,1.0
2019-05-23,9.86,9.86,9.86,9.86,4200.0
2019-05-24,9.86,9.86,9.86,9.86,127200.0
2019-05-28,9.87,9.88,9.86,9.88,2502.0
2019-05-29,9.85,9.86,9.85,9.86,28411.0
2019-05-30,9.88,9.88,9.86,9.88,21901.0
2019-06-05,9.87,9.87,9.86,9.86,9899.0
2019-06-07,9.9,9.9,9.9,9.9,24378.0
2019-06-10,9.92,9.92,9.92,9.92,100.0
2019-06-12,9.89,9.89,9.89,9.89,200.0
2019-06-14,9.92,9.92,9.92,9.92,25000.0
2019-06-17,9.95,9.95,9.95,9.95,1.0
2019-06-18,9.95,9.95,9.95,9.95,101.0
2019-06-21,9.95,9.95,9.95,9.95,1.0
2019-06-25,9.93,9.93,9.93,9.93,100.0
2019-06-27,9.95,9.95,9.94,9.94,5100.0
2019-06-28,9.94,9.94,9.94,9.94,300.0
2019-07-02,9.93,9.93,9.93,9.93,200.0
2019-07-09,9.98,9.98,9.98,9.98,200.0
2019-07-15,9.94,9.94,9.94,9.94,2400.0
2019-07-19,10.0,10.0,10.0,10.0,50000.0
2019-07-22,10.0,10.02,10.0,10.0,35444.0
2019-07-23,10.01,10.01,9.99,10.0,27804.0
2019-07-24,9.98,10.02,9.97,10.02,62800.0
2019-07-31,9.98,10.0,9.98,10.0,204.0
2019-08-02,9.95,10.0,9.95,10.0,26201.0
2019-08-12,9.98,9.98,9.98,9.98,202.0
2019-08-14,9.99,9.99,9.99,9.99,10000.0
2019-08-15,9.98,9.98,9.98,9.98,30161.0
2019-08-16,9.99,9.99,9.99,9.99,400.0
2019-08-20,9.99,9.99,9.99,9.99,1600.0
2019-08-27,10.0,10.0,9.99,10.0,64114.0
2019-08-28,10.0,10.0,10.0,10.0,25000.0
2019-08-29,10.02,10.02,10.02,10.02,200.0
2019-08-30,9.99,9.99,9.97,9.97,194176.0
2019-09-03,10.0,10.0,10.0,10.0,16325.0
2019-09-10,10.0,10.0,10.0,10.0,43200.0
2019-09-11,10.0,10.03,10.0,10.0,164840.0
2019-09-16,10.02,10.04,10.02,10.04,2512.0
2019-09-17,10.0,10.0,10.0,10.0,199.0
2019-09-20,10.04,10.05,10.04,10.05,2000.0
2019-09-25,10.01,10.01,10.01,10.01,200.0
2019-09-27,10.03,10.03,10.03,10.03,20020.0
2019-09-30,10.03,10.03,10.03,10.03,10000.0
2019-10-01,10.03,10.03,10.03,10.03,20000.0
2019-10-02,10.03,10.03,10.03,10.03,10000.0
2019-10-03,10.03,10.03,10.03,10.03,10000.0
2019-10-07,10.03,10.03,10.03,10.03,5.0
2019-10-10,10.03,10.03,10.03,10.03,1.0
2019-10-15,10.04,10.04,10.03,10.03,2625.0
2019-10-16,10.03,10.03,10.03,10.03,40368.0
2019-10-18,10.04,10.04,10.04,10.04,100.0
2019-10-21,10.03,10.03,10.03,10.03,100.0
2019-10-22,10.05,10.05,10.05,10.05,100.0
2019-10-24,10.03,10.03,10.03,10.03,22499.0
2019-10-28,10.05,10.05,10.05,10.05,739.0
2019-11-06,10.05,10.05,10.05,10.05,26000.0
2019-11-18,10.07,10.07,10.07,10.07,894.0
2019-11-25,10.04,10.04,10.04,10.04,99.0
2019-11-26,10.06,10.06,10.06,10.06,99.0
2019-11-27,10.07,10.07,10.07,10.07,1.0
2019-11-29,10.07,10.07,10.07,10.07,107.0
2019-12-02,10.07,10.08,10.07,10.08,26000.0
2019-12-03,10.09,10.09,10.09,10.09,25100.0
2019-12-04,10.09,10.09,10.09,10.09,2500.0
2019-12-05,10.1,10.1,10.1,10.1,5.0
2019-12-06,10.11,10.11,10.11,10.11,7.0
2019-12-16,10.12,10.12,10.12,10.12,6000.0
2019-12-17,10.12,10.13,10.11,10.11,1300.0
2019-12-18,10.13,10.13,10.13,10.13,3800.0
2019-12-24,10.14,10.14,10.14,10.14,1.0
2019-12-27,10.14,10.14,10.14,10.14,100764.0
2019-12-30,10.12,10.12,10.12,10.12,100.0
