Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-12-08,10.0,10.0,10.0,10.0,1015.0
2017-12-11,10.0,11.0,10.0,11.0,842.0
2017-12-12,11.0,17.99,11.0,16.01,8302.0
2017-12-13,16.67,24.75,16.67,21.88,10597.0
2017-12-14,22.0,22.0,17.7,18.0,9458.0
2017-12-15,18.0,19.0,18.0,18.16,5310.0
2017-12-18,19.99,21.7,19.49,20.98,2979.0
2017-12-19,20.5,21.15,20.09,21.15,2976.0
2017-12-20,25.0,25.0,21.5,22.36,20268.0
2017-12-21,23.0,23.0,20.5,21.4,14184.0
2017-12-22,21.91,24.0,21.91,24.0,4639.0
2017-12-26,24.0,24.0,22.81,23.5,4150.0
2017-12-27,23.5,23.85,23.4,23.74,3004.0
2017-12-28,23.75,25.0,23.75,23.98,4245.0
2017-12-29,23.8,24.5,23.8,24.0,8142.0
2018-01-02,24.35,24.35,23.94,24.0,788.0
2018-01-03,24.34,24.34,23.99,24.0,3622.0
2018-01-04,23.32,24.15,23.32,24.01,3325.0
2018-01-05,23.5,24.39,23.5,24.0,2453.0
2018-01-08,24.0,24.0,23.6,23.99,2738.0
2018-01-09,23.99,27.0,23.99,26.9,13653.0
2018-01-10,27.0,29.37,27.0,28.99,5321.0
2018-01-11,29.64,29.78,28.05,28.05,10148.0
2018-01-12,28.07,29.0,28.0,28.9,7992.0
2018-01-16,28.9,29.9,28.86,29.0,10380.0
2018-01-17,30.0,30.0,27.5,27.5,9162.0
2018-01-18,28.13,28.25,20.6,22.34,41960.0
2018-01-19,22.34,23.95,22.34,23.75,4422.0
2018-01-22,23.91,24.07,22.8,22.8,27275.0
2018-01-23,22.8,22.88,21.9,22.68,16015.0
2018-01-24,22.41,22.41,20.91,21.14,5137.0
2018-01-25,21.4,21.4,17.58,19.95,25605.0
2018-01-26,19.7,19.7,18.35,19.5,3422.0
2018-01-29,19.93,20.92,19.69,20.13,3529.0
2018-01-30,20.0,20.0,18.5,19.95,6650.0
2018-01-31,19.83,19.83,17.73,18.67,8989.0
2018-02-01,18.27,18.88,17.62,17.62,8183.0
2018-02-02,17.65,18.63,17.65,17.85,6802.0
2018-02-05,17.94,19.75,17.94,19.7,7337.0
2018-02-06,19.5,19.5,18.87,18.95,4944.0
2018-02-07,18.91,19.69,18.82,19.69,6104.0
2018-02-08,19.65,19.9,18.61,19.2,2817.0
2018-02-09,19.5,20.25,19.5,20.25,3618.0
2018-02-12,20.25,21.7,19.38,19.38,8334.0
2018-02-13,19.2,19.2,18.26,18.4,2250.0
2018-02-14,18.67,20.2,18.65,20.2,8939.0
2018-02-15,20.29,21.6,19.15,21.6,3445.0
2018-02-16,21.42,22.68,20.74,22.5,8392.0
2018-02-20,21.89,22.0,21.7,22.0,6539.0
2018-02-21,22.04,22.05,20.92,20.92,2471.0
2018-02-22,21.12,21.12,20.34,20.57,2793.0
2018-02-23,20.87,21.0,19.19,19.75,2327.0
2018-02-26,19.78,19.78,18.5,18.5,5483.0
2018-02-27,18.64,20.0,18.64,20.0,3602.0
2018-02-28,19.88,20.5,19.21,20.2,5762.0
2018-03-01,20.05,21.0,19.73,20.6,5072.0
2018-03-02,20.32,20.49,18.54,18.55,15166.0
2018-03-05,19.0,19.94,18.45,19.26,13652.0
2018-03-06,19.2,20.23,19.1,20.18,12687.0
2018-03-07,20.02,21.0,19.42,20.21,9035.0
2018-03-08,20.36,22.0,20.02,22.0,15832.0
2018-03-09,22.0,22.55,21.41,21.41,6919.0
2018-03-12,21.45,21.885,21.13,21.45,7983.0
2018-03-13,21.38,21.38,19.5,20.46,10145.0
2018-03-14,20.68,20.68,19.18,19.22,19802.0
2018-03-15,19.27,19.7,18.96,19.13,10126.0
2018-03-16,19.26,19.26,17.54,17.54,42908.0
2018-03-19,17.53,18.05,17.5,17.6,16322.0
2018-03-20,17.55,17.55,16.68,16.68,31952.0
2018-03-21,16.75,17.6,16.72,16.8,5262.0
2018-03-22,16.63,17.05,16.63,16.63,2087.0
2018-03-23,17.0,17.0,15.0,15.0,9718.0
2018-03-26,15.38,15.97,14.7,15.6,21235.0
2018-03-27,15.78,16.57,15.78,16.15,5383.0
2018-03-28,16.18,16.18,15.61,15.96,1486.0
2018-03-29,16.03,16.16,15.88,15.95,3966.0
2018-04-02,15.86,18.9,15.86,17.66,9539.0
2018-04-03,17.93,18.5,16.38,17.68,9300.0
2018-04-04,17.49,17.56,15.71,15.71,14880.0
2018-04-05,15.9,16.14,15.6,15.75,7566.0
2018-04-06,15.54,15.55,14.92,14.95,5593.0
2018-04-09,15.27,15.31,14.8,14.8,7961.0
2018-04-10,14.86,14.87,14.1,14.49,3495.0
2018-04-11,14.37,14.39,13.8,13.83,3944.0
2018-04-12,13.37,13.75,13.14,13.4,7757.0
2018-04-13,13.49,13.99,13.35,13.8,4363.0
2018-04-16,13.87,14.44,13.45,13.52,8772.0
2018-04-17,13.61,13.66,13.49,13.5,3032.0
2018-04-18,13.55,13.98,13.55,13.98,578.0
