Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-08-29,18.0,18.0,18.0,18.0,133.33333333333334
2018-08-30,18.9,21.0,18.0,21.0,1031.3333333333333
2018-08-31,28.17,28.17,28.17,28.17,66.66666666666667
2018-09-04,41.04,259.23,30.150000000000002,174.09,1564.0
2018-09-05,153.09,153.09,61.5,75.75,5808.666666666667
2018-09-06,93.0,93.0,59.25,60.75,2902.6666666666665
2018-09-07,60.75,60.75,39.0,45.0,1215.6666666666667
2018-09-10,44.400000000000006,45.0,44.25,45.0,941.0
2018-09-11,44.400000000000006,44.400000000000006,34.5,42.75,1431.0
2018-09-12,44.25,44.25,36.480000000000004,36.480000000000004,253.0
2018-09-13,37.44,43.5,36.75,42.0,3607.6666666666665
2018-09-14,42.45,46.5,42.45,44.28,1087.3333333333333
2018-09-17,44.28,44.28,42.36,42.36,201.33333333333334
2018-09-18,41.25,42.75,41.25,41.25,674.6666666666666
2018-09-19,41.28,41.28,39.0,39.0,18.0
2018-09-20,40.68,40.68,36.0,37.5,316.0
2018-09-21,36.480000000000004,39.0,36.480000000000004,39.0,291.6666666666667
2018-09-24,39.3,39.3,36.0,36.0,116.66666666666667
2018-09-25,36.75,38.55,36.3,38.55,807.0
2018-09-26,38.7,39.3,38.400000000000006,38.88,419.3333333333333
2018-09-27,39.0,39.3,37.230000000000004,37.230000000000004,238.33333333333334
2018-09-28,38.099999999999994,38.099999999999994,36.75,36.75,121.66666666666667
2018-10-01,36.900000000000006,36.900000000000006,35.7,35.7,336.6666666666667
2018-10-02,36.0,36.900000000000006,35.25,36.18,1463.0
2018-10-03,37.2,37.2,34.5,34.5,290.6666666666667
2018-10-04,33.78,34.05,33.78,34.05,56.666666666666664
2018-10-05,33.839999999999996,33.96,33.75,33.900000000000006,316.3333333333333
2018-10-08,33.78,33.78,33.75,33.75,246.33333333333334
2018-10-09,35.849999999999994,40.5,34.05,34.05,451.6666666666667
2018-10-10,34.29,34.5,32.25,32.25,801.6666666666666
2018-10-11,31.950000000000003,31.950000000000003,31.950000000000003,31.950000000000003,11.0
2018-10-12,31.5,31.5,30.0,30.0,1853.6666666666667
2018-10-15,30.0,30.0,30.0,30.0,33.333333333333336
2018-10-16,30.119999999999997,30.119999999999997,30.0,30.0,504.0
2018-10-17,30.0,30.0,26.25,28.049999999999997,1994.6666666666667
2018-10-18,30.0,31.11,30.0,31.11,150.0
2018-10-19,30.119999999999997,30.119999999999997,30.119999999999997,30.119999999999997,4.0
2018-10-22,28.11,28.11,28.11,28.11,7.666666666666667
2018-10-24,29.7,29.7,29.7,29.7,100.0
2018-10-25,27.1,27.5,27.1,27.5,156.0
2018-10-26,28.18,28.18,27.1,27.1,286.0
2018-10-29,24.38,24.38,23.02,23.02,104.0
2018-10-30,22.8,22.8,21.35,21.35,1037.0
2018-10-31,21.0,23.0,20.25,22.0,3791.0
2018-11-01,21.6,21.6,19.06,19.55,861.0
2018-11-02,19.51,21.21,19.51,20.92,1029.0
2018-11-06,21.49,21.49,20.0,20.0,200.0
2018-11-07,20.54,20.54,17.0,17.0,843.0
2018-11-08,17.22,18.48,16.95,18.11,3142.0
2018-11-13,17.65,17.65,17.1,17.1,100.0
2018-11-14,16.89,16.89,16.88,16.88,180.0
2018-11-15,16.75,16.75,16.0,16.0,1031.0
2018-11-19,16.0,16.0,15.99,15.99,374.0
2018-11-21,15.91,15.91,15.91,15.91,100.0
2018-11-23,15.71,15.71,15.5,15.5,196.0
2018-11-26,15.1,15.1,12.0,12.0,6870.0
2018-11-27,13.1,15.2,13.1,15.2,11056.0
2018-11-28,15.0,16.0,15.0,16.0,1780.0
2018-11-29,16.0,16.0,15.77,16.0,730.0
2018-11-30,16.0,16.75,16.0,16.75,691.0
2018-12-03,16.5,16.5,15.81,15.81,398.0
2018-12-04,15.85,15.85,15.1,15.1,893.0
2018-12-06,15.1,15.27,14.0,14.0,1699.0
2018-12-10,14.12,16.7,13.03,13.03,548.0
2018-12-11,19.0,19.95,14.25,14.34,27848.0
2018-12-12,14.44,14.44,13.01,13.01,712.0
2018-12-14,13.17,13.17,11.75,11.75,1289.0
2018-12-17,11.83,11.84,11.83,11.84,178.0
2018-12-18,12.0,12.0,12.0,12.0,229.0
2018-12-19,13.2,13.24,13.0,13.0,502192.0
2018-12-20,13.0,13.05,13.0,13.0,34567.0
2018-12-21,13.25,13.45,13.0,13.45,13240.0
2018-12-24,13.75,13.75,13.0,13.0,7346.0
2018-12-26,13.23,13.23,13.0,13.0,1276.0
2018-12-27,13.03,13.03,13.0,13.0,491.0
2018-12-28,13.1,13.24,13.01,13.01,3130.0
2018-12-31,13.05,13.25,13.01,13.01,4750.0
2019-01-02,13.04,13.15,13.0,13.15,2499.0
2019-01-03,13.13,13.34,13.0,13.0,8549.0
2019-01-04,13.06,13.25,13.0,13.2,6903.0
2019-01-07,13.04,13.35,13.04,13.1,5848.0
2019-01-08,13.12,13.29,13.11,13.24,11209.0
2019-01-09,13.5,14.09,13.33,14.0,21135.0
2019-01-10,13.98,13.98,13.55,13.69,10349.0
2019-01-11,13.55,13.99,13.55,13.99,6934.0
2019-01-14,13.7,13.725,13.54,13.7,1935.0
2019-01-15,13.98,13.98,13.3,13.5,12039.0
2019-01-16,13.46,13.5,13.05,13.2,11679.0
2019-01-17,13.17,13.25,13.0,13.25,37964.0
2019-01-18,13.29,13.79,13.02,13.5,23785.0
2019-01-22,13.14,13.59,13.1,13.59,9123.0
2019-01-23,13.55,13.55,11.9,13.55,28453.0
2019-01-24,13.6,13.6,13.215,13.4,10127.0
2019-01-25,13.35,13.49,13.35,13.49,2439.0
2019-01-28,13.21,13.48,13.21,13.48,1585.0
2019-01-29,13.43,13.5,13.35,13.48,7894.0
2019-01-30,13.55,14.36,13.55,13.98,34383.0
2019-01-31,13.91,14.05,13.75,14.0,9049.0
2019-02-01,14.01,14.1,13.95,13.95,6060.0
2019-02-04,13.94,14.09,13.9,14.06,10118.0
2019-02-05,14.11,14.25,14.0,14.12,4540.0
2019-02-06,14.02,14.65,13.88,14.64,29085.0
2019-02-07,14.5,14.55,14.25,14.44,7785.0
2019-02-08,14.45,15.5,14.45,15.0,15381.0
2019-02-11,15.04,15.73,15.04,15.45,12153.0
2019-02-12,15.6,15.6,15.15,15.27,11643.0
2019-02-13,15.15,15.8,15.01,15.39,15084.0
2019-02-14,15.4,15.69,15.29,15.5,6708.0
