Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-02-08,21.0,28.59,21.0,28.47,9758147.0
2007-02-09,28.5,31.09,27.6,29.45,1617740.0
2007-02-12,29.6,30.0,27.85,28.55,702778.0
2007-02-13,29.0,29.4,26.77,27.61,725291.0
2007-02-14,27.6,28.2,26.59,26.62,442711.0
2007-02-15,26.55,27.5,26.05,26.4,447866.0
2007-02-16,26.49,27.4,26.2,27.25,400004.0
2007-02-20,27.36,28.0,27.3,27.65,186501.0
2007-02-21,28.08,28.08,27.35,27.95,194369.0
2007-02-22,28.0,28.0,26.51,27.27,227186.0
2007-02-23,27.12,27.4,26.75,27.01,113880.0
2007-02-26,27.39,27.39,26.42,26.65,123824.0
2007-02-27,26.04,26.5,25.5,25.76,291500.0
2007-02-28,25.7,26.3,25.01,25.48,201674.0
2007-03-01,25.0,25.32,24.06,25.2,304741.0
2007-03-02,24.88,25.0,24.05,24.25,170649.0
2007-03-05,24.02,25.14,24.02,24.32,287647.0
2007-03-06,24.75,24.75,24.0,24.39,185957.0
2007-03-07,24.48,25.42,24.32,24.61,102964.0
2007-03-08,24.87,25.1,24.78,24.86,67612.0
2007-03-09,25.35,26.36,24.5,25.87,176824.0
2007-03-12,25.99,26.16,25.17,25.5,107220.0
2007-03-13,25.76,25.96,24.58,24.75,151195.0
2007-03-14,24.7,25.04,24.51,24.89,75986.0
2007-03-15,25.05,25.05,24.0,24.5,125668.0
2007-03-16,21.75,23.72,19.66,23.6,1006902.0
2007-03-19,23.78,24.15,23.65,24.08,194429.0
2007-03-20,24.0,24.09,21.66,21.75,373050.0
2007-03-21,21.9,21.98,19.79,21.18,715736.0
2007-03-22,21.05,22.5,20.76,22.39,295681.0
2007-03-23,22.44,22.77,22.21,22.7,173061.0
2007-03-26,22.75,22.75,21.92,22.23,117568.0
2007-03-27,22.6,23.03,22.3,22.85,97287.0
2007-03-28,23.07,23.08,22.65,22.85,73837.0
2007-03-29,23.12,23.19,22.2,22.31,100044.0
2007-03-30,22.35,25.2,22.15,22.24,690864.0
2007-04-02,22.44,22.45,21.67,22.03,180320.0
2007-04-03,22.3,22.57,21.97,22.41,103666.0
2007-04-04,22.54,22.7,22.14,22.48,132931.0
2007-04-05,22.6,23.35,22.38,23.24,115132.0
