Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-10-27,777.75,808.5,696.0,722.625,2003050.0
2000-10-30,709.125,729.75,646.125,673.125,1196216.666667
2000-10-31,688.125,762.0,687.0,758.25,1357983.333333
2000-11-01,743.625,759.75,704.625,723.375,947500.0
2000-11-02,755.25,795.75,747.0,783.0,1117816.666667
2000-11-03,784.40625,831.75,758.25,797.25,1169600.0
2000-11-06,777.375,846.375,777.0,820.125,1280650.0
2000-11-07,816.0,831.75,752.625,771.75,1103466.666667
2000-11-08,765.0,773.25,672.0,684.75,1362733.333333
2000-11-09,662.25,687.75,607.5,618.75,2208750.0
2000-11-10,603.375,648.75,598.5,603.0,1479966.666667
2000-11-13,567.5625,589.875,516.0,548.25,2495100.0
2000-11-14,586.125,626.25,583.5,592.5,1762833.333333
2000-11-15,597.0,600.0,540.0,552.0,1711850.0
2000-11-16,541.125,554.625,466.125,467.25,2738683.333333
2000-11-17,488.625,501.75,437.25,456.375,3954183.333333
2000-11-20,436.5,441.375,399.75,404.25,3331750.0
2000-11-21,411.75,444.0,393.75,433.5,2190566.666667
2000-11-22,410.625,438.0,391.125,408.75,2452916.666667
2000-11-24,442.875,475.5,433.125,470.625,973783.333333
2000-11-27,486.0,486.0,397.5,402.0,3158666.666667
2000-11-28,411.0,421.5,363.75,370.5,1914500.0
2000-11-29,373.21875,377.25,324.75,347.25,2624333.333333
2000-11-30,324.375,381.0,310.5,373.5,2847483.333333
2000-12-01,382.875,405.0,357.75,365.625,1988050.0
2000-12-04,371.625,390.0,347.25,368.625,1852883.333333
2000-12-05,388.875,476.25,374.25,475.125,2753350.0
2000-12-06,468.0,486.0,417.0,423.0,2093433.333333
2000-12-07,433.5,468.0,432.0,444.0,2409450.0
2000-12-08,475.125,510.0,468.0,495.0,2428066.666667
2000-12-11,499.5,540.0,492.0,521.25,2021716.666667
2000-12-12,501.75,506.25,459.0,460.125,1920233.333333
2000-12-13,482.625,485.25,423.75,427.125,1939966.666667
2000-12-14,430.6875,446.625,391.5,397.875,1377816.666667
2000-12-15,393.0,415.5,371.25,402.75,2094166.666667
2000-12-18,421.875,422.625,358.5,373.5,1830816.666667
2000-12-19,357.75,408.375,349.78125,355.5,2160550.0
2000-12-20,336.0,342.0,264.0,283.5,2924750.0
2000-12-21,298.5,317.25,261.375,287.25,2393583.333333
2000-12-22,306.375,336.0,300.75,327.65625,1570750.0
2000-12-26,330.0,345.0,295.875,313.875,1335133.333333
2000-12-27,308.625,342.75,300.75,334.125,1271866.666667
2000-12-28,331.125,354.75,331.125,346.125,1099483.333333
2000-12-29,347.625,355.40625,315.0,321.75,1391966.666667
2001-01-02,325.875,327.0,246.0,252.65625,2277533.333333
2001-01-03,235.5,299.25,203.25,292.5,4735616.666667
2001-01-04,285.375,296.25,253.875,257.25,1855516.666667
2001-01-05,259.5,259.5,202.6875,204.375,3594966.666667
2001-01-08,215.25,225.0,192.75,222.375,3388783.333333
2001-01-09,237.0,242.25,217.125,221.625,2225433.333333
2001-01-10,209.8125,242.25,207.0,240.375,2051733.333333
2001-01-11,252.0,286.5,243.375,260.25,6538733.333333
2001-01-12,238.5,240.75,207.0,211.125,14149516.666667
2001-01-16,210.375,219.75,204.0,217.875,3716183.333333
2001-01-17,225.75,234.0,215.25,216.0,4058966.666667
2001-01-18,217.5,228.0,207.75,222.75,3062783.333333
2001-01-19,235.5,236.625,223.5,229.5,3257583.333333
2001-01-22,225.75,234.75,220.125,220.875,1877966.666667
2001-01-23,221.25,253.5,217.5,250.78125,3864633.333333
2001-01-24,253.125,258.75,240.75,245.25,3138400.0
2001-01-25,245.25,258.0,226.5,229.5,2913866.666667
2001-01-26,224.625,243.75,222.375,240.0,1928700.0
2001-01-29,213.75,231.0,212.25,230.25,4827800.0
2001-01-30,244.5,246.0,227.25,231.0,2931416.666667
2001-01-31,236.625,238.5,219.375,223.875,2521966.666667
2001-02-01,225.0,226.875,216.0,216.75,1615833.333333
2001-02-02,217.875,218.625,204.0,204.75,1400883.333333
2001-02-05,199.5,203.625,187.5,196.125,2308266.666667
2001-02-06,195.375,200.25,188.34375,190.5,1307483.333333
2001-02-07,183.375,189.0,169.5,174.0,2417866.666667
2001-02-08,178.125,186.0,166.5,167.625,1665600.0
2001-02-09,165.0,165.0,144.375,148.125,2717516.666667
2001-02-12,148.875,150.75,139.5,143.25,2282733.333333
2001-02-13,148.5,153.75,134.25,134.625,2379666.666667
2001-02-14,134.625,138.0,126.75,132.375,2989883.333333
2001-02-15,140.625,153.0,136.125,144.375,3768250.0
2001-02-16,129.0,133.125,127.5,129.0,2110816.666667
2001-02-20,130.875,130.875,108.0,108.0,3185166.666667
2001-02-21,105.9375,124.125,105.75,114.75,3289000.0
2001-02-22,117.375,120.75,100.875,107.25,3644850.0
2001-02-23,105.0,107.25,98.25,106.125,2703583.333333
2001-02-26,109.875,120.0,103.5,118.125,3692033.333333
2001-02-27,110.25,115.875,103.5,103.5,2530283.333333
2001-02-28,106.125,109.5,97.125,99.0,2179250.0
2001-03-01,97.875,104.25,92.625,102.375,2568233.333333
2001-03-02,93.0,98.25,87.375,87.375,3642216.666667
2001-03-05,90.375,91.6875,84.0,85.875,1647950.0
2001-03-06,91.5,96.0,89.25,89.625,2369533.333333
2001-03-07,97.125,97.5,91.5,92.25,2562483.333333
2001-03-08,91.5,92.625,80.625,81.75,3345266.666667
2001-03-09,77.625,78.75,68.25,69.0,3425100.0
2001-03-12,64.5,74.625,61.5,67.875,3818666.666667
2001-03-13,70.5,79.5,69.0,78.0,3012666.666667
2001-03-14,72.0,79.125,70.875,72.0,2361100.0
2001-03-15,76.875,78.375,66.375,66.375,2127266.666667
2001-03-16,67.125,69.375,59.4375,61.125,2861450.0
2001-03-19,64.125,69.75,62.25,68.25,2408600.0
2001-03-20,71.625,74.25,61.5,61.875,2733933.333333
2001-03-21,63.0,66.0,60.375,61.125,2206633.333333
2001-03-22,61.5,67.5,54.75,66.75,3745933.333333
2001-03-23,70.875,71.25,60.0,61.125,3013316.666667
2001-03-26,64.875,68.25,61.875,66.0,2305950.0
2001-03-27,64.125,66.0,59.0625,60.375,3451983.333333
2001-03-28,56.25,57.75,47.8125,49.5,4109950.0
2001-03-29,48.9375,49.875,42.75,47.8125,6035083.333333
2001-03-30,47.25,49.125,44.625,47.4375,3236533.333333
2001-04-02,46.5,49.875,35.90625,39.1875,5904333.333333
2001-04-03,30.1875,33.75,26.25,26.625,9974116.666667
2001-04-04,27.9375,31.5,27.375,28.875,4114483.333333
2001-04-05,33.5625,36.0,30.375,32.0625,2829083.333333
2001-04-06,30.75,31.3125,27.0,29.0625,2336633.333333
2001-04-09,30.18,31.44,29.04,30.36,1219066.666667
2001-04-10,32.1,35.76,31.26,33.48,2055450.0
2001-04-11,37.44,39.0,33.9,35.28,1898283.333333
2001-04-12,35.22,37.86,34.8,37.44,1644683.333333
2001-04-16,37.38,37.8,34.62,35.1,1320583.333333
2001-04-17,34.08,36.12,33.06,34.56,1175683.333333
2001-04-18,38.04,39.36,36.0,36.3,3070266.666667
2001-04-19,37.68,42.3,34.98,42.18,4039100.0
2001-04-20,44.7,51.6,41.46,46.56,9146800.0
2001-04-23,43.2,44.76,41.04,41.46,4130633.333333
2001-04-24,42.24,44.04,38.7,39.0,2239066.666667
2001-04-25,39.78,41.76,38.4,41.52,2061083.333333
2001-04-26,42.6,43.38,39.72,40.38,1322866.666667
2001-04-27,42.42,44.4,41.7,44.34,2062716.666667
2001-04-30,46.44,49.5,44.16,46.38,2559866.666667
2001-05-01,49.62,53.94,48.0,53.82,3667533.333333
2001-05-02,55.68,58.128,53.28,56.04,4199450.0
2001-05-03,53.22,55.86,51.12,53.28,2239833.333333
2001-05-04,50.22,55.08,49.56,53.46,2827716.666667
2001-05-07,53.46,55.32,50.25,51.0,1508000.0
2001-05-08,53.88,54.0,49.68,51.12,1252316.666667
2001-05-09,49.02,50.16,48.0,48.54,1193150.0
2001-05-10,50.76,51.0,47.7,48.9,1465516.666667
2001-05-11,48.3,48.36,40.5,41.4,3375466.666667
2001-05-14,39.06,39.18,34.98,36.18,3481183.333333
2001-05-15,36.9,41.1,36.24,38.04,2672050.0
2001-05-16,37.5,43.62,37.2,41.46,2558383.333333
2001-05-17,42.54,43.98,39.72,40.14,1945950.0
2001-05-18,40.5,41.4,38.34,39.36,1332483.333333
2001-05-21,39.66,42.66,39.54,41.52,1836816.666667
2001-05-22,42.3,44.25,41.4,42.12,1502916.666667
2001-05-23,40.62,41.76,39.9,40.5,1537133.333333
2001-05-24,40.56,40.8,38.7,40.32,856316.666667
2001-05-25,40.32,40.98,38.22,39.06,904233.333333
2001-05-29,39.12,39.18,35.64,36.84,1170566.666667
2001-05-30,34.86,35.7,32.88,33.78,1088766.666667
2001-05-31,34.92,36.18,34.2,34.26,1104200.0
2001-06-01,35.88,36.0,33.9,35.22,449183.333333
2001-06-04,36.3,36.6,34.56,35.1,502333.333333
