Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1986-09-24,,3.875,3.8125,3.8125,1277800.0
1986-09-25,,3.8125,3.6875,3.6875,611000.0
1986-09-26,,3.875,3.75,3.75,199000.0
1986-09-29,,3.8125,3.6875,3.6875,80200.0
1986-09-30,,3.875,3.8125,3.8125,117800.0
1986-10-01,,4.0625,3.875,3.875,241400.0
1986-10-02,,4.0,3.8125,3.8125,72400.0
1986-10-03,,3.875,3.8125,3.8125,72000.0
1986-10-06,,4.0,3.9375,3.9375,91600.0
1986-10-07,,3.9375,3.8125,3.8125,70400.0
1986-10-08,,3.9375,3.8125,3.8125,27400.0
1986-10-09,,3.9375,3.8125,3.8125,121400.0
1986-10-10,,3.9375,3.875,3.875,28800.0
1986-10-13,,3.9375,3.8125,3.8125,37200.0
1986-10-14,,3.9375,3.8125,3.8125,41000.0
1986-10-15,,3.9375,3.875,3.875,28800.0
1986-10-16,,3.9375,3.875,3.875,28800.0
1986-10-17,,4.5625,4.4375,4.4375,287400.0
1986-10-20,,4.875,4.6875,4.6875,139600.0
1986-10-21,,5.25,5.0625,5.0625,185400.0
1986-10-22,,5.125,5.0,5.0,56200.0
1986-10-23,,5.125,5.0,5.0,12400.0
1986-10-24,,5.125,5.0,5.0,69000.0
1986-10-27,,5.125,5.0,5.0,46600.0
1986-10-28,,5.125,5.0,5.0,19200.0
1986-10-29,,5.0625,4.875,4.875,61200.0
1986-10-30,,5.125,4.875,4.875,15800.0
1986-10-31,,5.125,5.0625,5.0625,21800.0
1986-11-03,,5.0625,4.9375,4.9375,15800.0
1986-11-04,,5.0625,4.875,4.875,39800.0
1986-11-05,,5.0625,4.875,4.875,46800.0
1986-11-06,,4.875,4.6875,4.6875,22400.0
1986-11-07,,4.75,4.625,4.625,8200.0
1986-11-10,,4.75,4.625,4.625,35000.0
1986-11-11,,5.125,5.0,5.0,90000.0
1986-11-12,,5.25,5.125,5.125,27800.0
1986-11-13,,5.0625,4.875,4.875,34000.0
1986-11-14,,4.9375,4.75,4.75,40400.0
1986-11-17,,4.9375,4.75,4.75,23000.0
1986-11-18,,4.875,4.6875,4.6875,21000.0
1986-11-19,,4.875,4.6875,4.6875,48400.0
1986-11-20,,4.875,4.6875,4.6875,4800.0
1986-11-21,,4.875,4.75,4.75,17200.0
1986-11-24,,4.875,4.6875,4.6875,17400.0
1986-11-25,,5.0,4.8125,4.8125,64200.0
1986-11-26,,5.0,4.8125,4.8125,12400.0
1986-11-28,,5.125,4.9375,4.9375,13200.0
1986-12-01,,5.375,5.125,5.125,9600.0
1986-12-02,,5.375,5.25,5.25,16600.0
1986-12-03,,5.6875,5.5,5.5,19400.0
1986-12-04,,5.5,5.4375,5.4375,42800.0
1986-12-05,,5.5,5.375,5.375,4400.0
1986-12-08,,5.4375,5.375,5.375,5400.0
1986-12-09,,5.4375,5.25,5.25,2800.0
1986-12-10,,5.4375,5.3125,5.3125,17400.0
1986-12-11,,5.4375,5.3125,5.3125,6800.0
1986-12-12,,5.4375,5.3125,5.3125,1200.0
1986-12-15,,5.375,5.25,5.25,1400.0
1986-12-16,,5.375,5.25,5.25,2200.0
1986-12-17,,5.4375,5.25,5.25,5400.0
1986-12-18,,5.375,5.25,5.25,30200.0
1986-12-19,,5.125,5.0625,5.0625,16000.0
1986-12-22,,5.0,4.875,4.875,32400.0
1986-12-23,,5.0,4.875,4.875,4200.0
1986-12-29,,5.0,4.8125,4.8125,12000.0
1986-12-30,,5.0,4.8125,4.8125,82000.0
1986-12-31,,5.0,4.875,4.875,10600.0
1987-01-02,,5.1875,5.0,5.0,6200.0
1987-01-05,,5.375,5.1875,5.1875,11200.0
1987-01-06,,6.125,5.875,5.875,49000.0
1987-01-07,,6.125,5.875,5.875,15000.0
1987-01-08,,7.0,6.875,6.875,74400.0
1987-01-09,,7.0,6.75,6.75,27000.0
1987-01-12,,7.0,6.75,6.75,44800.0
