Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-08-02,6.32,6.5,6.32,6.5,2800.0
2017-08-03,6.9,6.9,6.32,6.34,609.0
2017-08-04,6.32,6.32,6.23,6.23,1195.0
2017-08-07,5.75,6.33,5.75,6.32,1741.0
2017-08-08,6.72,6.72,6.13,6.15,570.0
2017-08-09,6.15,6.15,6.1,6.1,2340.0
2017-08-11,5.82,6.1,5.77,6.1,5630.0
2017-08-14,5.98,5.99,5.9,5.97,2672.0
2017-08-15,5.77,5.995,5.75,5.85,1394.0
2017-08-16,6.1,6.1,6.1,6.1,270.0
2017-08-18,5.9,5.9,5.9,5.9,600.0
2017-08-21,5.77,6.0,5.77,5.95,2318.0
2017-08-22,6.0,6.0,5.75,5.83,2865.0
2017-08-23,5.88,6.0,5.88,5.98,1665.0
2017-08-24,5.99,5.99,5.67,5.99,3590.0
2017-08-25,5.9,5.9,5.72,5.82,896.0
2017-08-28,5.65,6.0,5.5,5.69,3241.0
2017-08-29,5.51,5.88,5.49,5.55,7249.0
2017-08-30,5.49,5.76,5.49,5.5,2953.0
2017-08-31,5.35,6.08,5.35,5.95,4368.0
2017-09-01,6.1,6.1,5.89,5.99,3352.0
2017-09-05,5.7,6.12,5.61,6.12,8757.0
2017-09-06,6.06,6.75,5.87,6.6,8530.0
2017-09-07,6.7,7.21,6.63,6.91,6258.0
2017-09-08,6.99,7.19,6.9,6.9,7092.0
2017-09-11,7.25,7.5,6.75,6.98,6290.0
2017-09-12,7.15,7.25,7.09,7.2,10610.0
2017-09-13,7.05,7.25,6.94,6.94,21567.0
2017-09-14,6.94,7.15,5.66,6.93,20957.0
2017-09-15,6.5,7.02,6.5,6.77,73802.0
2017-09-18,6.7,6.73,6.46,6.46,22226.0
2017-09-19,6.33,6.48,6.14,6.21,8342.0
2017-09-20,6.22,6.44,6.21,6.29,4477.0
2017-09-21,6.27,6.39,6.27,6.33,1009.0
2017-09-22,6.3,6.35,6.14,6.35,1567.0
2017-09-25,6.34,6.35,6.22,6.285,4339.0
2017-09-26,6.305,6.305,5.9,6.04,36659.0
2017-09-27,6.1,6.12,6.1,6.12,1353.0
2017-09-28,6.15,6.25,6.15,6.18,2152.0
2017-09-29,6.26,6.28,6.15,6.28,2978.0
2017-10-02,6.21,6.33,6.21,6.33,4558.0
2017-10-03,6.33,6.8,6.33,6.51,8662.0
