Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-11-06,2.7,2.75,2.7,2.75,2233.0
2018-11-07,2.81,2.82,2.81,2.82,547.0
2018-11-08,2.83,2.83,2.79,2.79,255.0
2018-11-09,2.78,2.78,2.78,2.78,100.0
2018-11-14,2.78,2.8,2.78,2.8,590.0
2018-11-16,2.79,2.79,2.79,2.79,460.0
2018-11-19,2.79,2.8,2.79,2.8,1784.0
2018-11-20,2.8,2.8,2.8,2.8,145.0
2018-11-21,2.75,2.9,2.75,2.9,400.0
2018-11-23,2.9,2.9,2.9,2.9,143.0
2018-11-26,2.25,2.25,2.1,2.1,210.0
2018-11-27,2.2,2.2,2.2,2.2,100.0
2018-11-28,2.4,2.4,2.4,2.4,50.0
2018-11-30,2.55,2.73,2.55,2.73,1400.0
2018-12-06,2.5,2.5,2.5,2.5,200.0
2018-12-07,2.6,2.6,2.6,2.6,450.0
2018-12-10,2.73,2.75,2.73,2.75,2000.0
2018-12-11,2.79,2.8,2.79,2.8,1800.0
2018-12-12,2.85,2.85,2.85,2.85,100.0
2018-12-14,2.85,2.85,2.85,2.85,400.0
2018-12-17,2.58,2.89,2.58,2.89,680.0
2018-12-18,2.95,3.0,2.94,3.0,2050.0
2018-12-19,3.03,3.1,2.41,2.7,1739.0
2018-12-20,2.75,2.75,2.13,2.35,3524.0
2018-12-21,2.8,2.8,2.22,2.22,410.0
2018-12-24,2.17,2.17,2.17,2.17,75.0
2018-12-26,2.6,2.68,2.6,2.68,300.0
2018-12-27,2.86,2.86,2.16,2.16,2229.0
2018-12-28,2.1,2.1,2.1,2.1,81.0
2018-12-31,2.75,2.75,2.75,2.75,200.0
2019-01-02,2.06,2.53,2.06,2.53,233.0
2019-01-03,2.84,2.85,2.455,2.85,882.0
2019-01-04,2.65,2.88,2.65,2.88,3368.0
2019-01-07,2.98,3.18,2.98,3.15,4450.0
2019-01-08,3.2,3.2,2.64,2.95,1710.0
2019-01-09,3.17,3.17,3.0,3.0,357.0
2019-01-10,3.3,3.3,3.25,3.25,216.0
2019-01-11,3.31,3.4,2.85,3.4,1142.0
2019-01-14,3.48,3.48,3.38,3.48,1183.0
2019-01-15,3.54,3.86,3.48,3.86,1795.0
2019-01-16,3.87,3.9,3.05,3.9,4223.0
2019-01-17,3.9,4.15,3.89,4.15,3065.0
2019-01-18,4.3,5.92,4.2,5.6,21566.0
2019-01-22,5.92,13.5,5.74,12.55,441770.0
2019-01-23,10.02,12.79,4.4,4.6,907455.0
2019-01-24,4.9,5.13,3.8,4.0,182556.0
2019-01-25,4.0,6.12,3.8,4.23,659674.0
2019-01-28,6.98,9.25,5.75,6.93,4697288.0
2019-01-29,7.3,8.05,5.91,6.17,691356.0
2019-01-30,5.81,5.98,5.09,5.67,238283.0
2019-01-31,5.61,5.8,5.16,5.43,67573.0
2019-02-01,5.27,5.85,5.27,5.42,68505.0
2019-02-04,5.53,5.53,5.05,5.23,29482.0
2019-02-05,5.1,5.67,5.05,5.31,47839.0
2019-02-06,5.16,5.6,5.15,5.3,45586.0
2019-02-07,5.28,5.45,4.77,5.17,55345.0
2019-02-08,5.15,5.17,4.73,4.74,45745.0
2019-02-11,5.93,6.02,4.45,4.53,1136129.0
2019-02-12,4.45,4.55,4.1,4.52,111149.0
2019-02-13,4.4,4.4,4.21,4.3,44332.0
2019-02-14,4.24,4.28,4.09,4.185,26483.0
2019-02-15,4.2,4.29,4.06,4.23,16817.0
2019-02-19,4.15,4.15,3.95,3.96,38735.0
2019-02-20,4.03,4.03,3.94,3.99,29613.0
2019-02-21,3.96,3.98,3.9,3.95,22033.0
2019-02-22,3.88,3.9,3.62,3.68,44136.0
2019-02-25,3.63,3.63,3.43,3.43,27529.0
2019-02-26,3.43,3.65,3.43,3.63,26718.0
2019-02-27,3.54,3.62,3.45,3.45,12742.0
2019-02-28,3.47,3.48,3.22,3.39,25947.0
2019-03-01,3.39,4.07,3.28,3.73,54205.0
2019-03-04,3.7,4.01,3.6,3.63,30696.0
2019-03-05,3.63,3.71,3.52,3.57,6715.0
2019-03-06,3.56,4.19,3.56,3.92,57472.0
2019-03-07,3.99,4.12,3.52,3.64,36955.0
2019-03-08,3.59,3.93,3.59,3.84,24058.0
2019-03-11,3.93,3.93,3.71,3.75,11190.0
2019-03-12,3.75,4.07,3.75,3.87,18872.0
2019-03-13,4.02,4.13,3.92,4.13,170627.0
2019-03-14,4.16,5.07,4.16,4.65,197714.0
2019-03-15,4.64,4.64,4.06,4.42,107187.0
2019-03-18,4.39,4.49,4.12,4.49,130710.0
2019-03-19,4.5,4.62,4.28,4.62,91914.0
2019-03-20,4.55,5.48,4.49,5.32,85756.0
2019-03-21,5.3,5.3,4.91,5.3,37045.0
2019-03-22,5.29,5.29,5.1,5.15,6885.0
2019-03-25,5.24,5.24,4.93,5.05,9324.0
2019-03-26,5.1,5.29,4.91,5.29,11835.0
2019-03-27,5.32,5.32,5.13,5.26,11377.0
2019-03-28,5.24,5.24,4.96,5.13,18857.0
2019-03-29,5.1,5.4,5.01,5.4,30553.0
2019-04-01,5.44,5.63,5.17,5.63,29325.0
2019-04-02,5.56,5.56,5.11,5.17,21588.0
2019-04-03,5.23,5.23,4.83,5.11,45829.0
2019-04-04,5.06,5.06,4.56,4.76,24190.0
2019-04-05,4.77,4.85,4.65,4.7,14285.0
2019-04-08,4.68,4.68,4.39,4.42,12355.0
2019-04-09,4.64,4.75,4.45,4.6,14096.0
2019-04-10,4.65,4.65,4.46,4.55,7631.0
2019-04-11,4.6,4.85,4.51,4.85,11235.0
2019-04-12,4.85,4.85,4.68,4.75,10347.0
2019-04-15,4.7,4.77,4.55,4.64,12518.0
2019-04-16,4.65,4.84,4.56,4.56,10787.0
2019-04-17,4.66,4.91,4.57,4.75,22693.0
2019-04-18,4.79,4.8,4.56,4.78,8316.0
2019-04-22,4.73,4.73,4.61,4.71,5333.0
2019-04-23,4.67,4.81,4.67,4.73,5445.0
2019-04-24,4.84,5.09,4.79,5.09,17663.0
2019-04-25,3.15,3.2,2.65,2.82,399626.0
2019-04-26,2.85,2.85,2.75,2.81,86730.0
2019-04-29,2.82,2.85,2.68,2.72,59248.0
2019-04-30,2.73,2.73,2.46,2.52,56459.0
2019-05-01,2.5,2.59,2.4,2.59,29518.0
2019-05-02,2.55,2.55,2.37,2.44,70626.0
2019-05-03,2.43,2.44,2.34,2.42,11097.0
2019-05-06,2.34,2.51,2.34,2.44,36288.0
2019-05-07,2.46,2.47,2.33,2.33,22531.0
2019-05-08,2.37,2.5,2.36,2.49,16705.0
2019-05-09,2.44,2.46,2.34,2.42,10971.0
2019-05-10,2.4,2.52,2.37,2.5,26631.0
2019-05-13,2.42,2.5,2.33,2.45,23706.0
2019-05-14,2.45,2.53,2.37,2.45,10473.0
2019-05-15,2.41,2.59,2.41,2.53,11752.0
2019-05-16,2.51,2.55,2.34,2.36,18578.0
2019-05-17,2.36,2.39,2.28,2.31,14575.0
2019-05-20,2.28,2.38,2.19,2.31,17439.0
