Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-08-09,3.505,3.505,2.85,2.99,89909.0
2013-08-12,3.07,3.07,2.96,2.98,17731.0
2013-08-13,3.05,3.05,2.97,2.99,4445.0
2013-08-14,3.0,3.0,2.97,2.97,10320.0
2013-08-15,2.99,3.0,2.95,2.98,4727.0
2013-08-16,3.0,3.0,2.93,2.96,10896.0
2013-08-19,3.03,3.03,2.94,3.0,10018.0
2013-08-20,2.85,3.07,2.85,3.0,5048.0
2013-08-21,3.0,3.0,2.99,3.0,11102.0
2013-08-22,3.0,3.0,2.98,3.0,2250.0
2013-08-23,3.0,3.05,3.0,3.05,10400.0
2013-08-26,3.05,3.29,3.05,3.29,2990.0
2013-08-27,3.25,3.25,3.18,3.23,13200.0
2013-08-28,3.25,3.27,3.15,3.27,8800.0
2013-08-29,3.22,3.23,3.19,3.22,6063.0
2013-08-30,3.21,3.24,3.21,3.24,2400.0
2013-09-03,3.18,3.22,3.18,3.2,3600.0
2013-09-04,3.24,3.3,3.23,3.27,9240.0
2013-09-05,3.27,3.3,3.22,3.3,3600.0
2013-09-06,3.3,3.5,3.3,3.5,10083.0
2013-09-09,3.45,4.07,3.45,3.95,17431.0
2013-09-10,3.99,4.09,3.92,4.05,11981.0
2013-09-11,4.1,4.3,4.03,4.15,7500.0
2013-09-12,4.19,4.39,4.15,4.37,12994.0
2013-09-13,4.35,4.5,4.35,4.49,13426.0
2013-09-16,4.59,4.59,4.27,4.28,13365.0
2013-09-17,4.33,4.5,4.32,4.49,6900.0
2013-09-18,4.54,4.54,4.32,4.42,17021.0
2013-09-19,4.53,4.55,4.44,4.51,15100.0
2013-09-20,4.47,4.55,4.0,4.29,83811.0
2013-09-23,4.35,4.5,4.26,4.32,8084.0
2013-09-24,4.36,4.5,4.29,4.42,4085.0
2013-09-25,4.53,4.53,4.44,4.46,2000.0
2013-09-26,4.53,4.54,4.45,4.48,2000.0
2013-09-27,4.45,4.46,4.45,4.45,3586.0
2013-09-30,4.44,4.5,4.43,4.44,6122.0
2013-10-01,4.42,4.42,4.37,4.42,9620.0
2013-10-02,4.505,4.505,4.15,4.45,7103.0
2013-10-03,4.41,4.41,4.12,4.36,4687.0
2013-10-04,4.39,4.485,4.24,4.41,2300.0
2013-10-07,4.45,4.45,4.16,4.41,4684.0
2013-10-08,4.41,4.42,4.18,4.18,2209.0
2013-10-09,4.22,4.31,4.19,4.19,2510.0
2013-10-10,4.26,4.28,4.0,4.11,12079.0
2013-10-11,4.17,4.24,4.17,4.24,1170.0
2013-10-14,4.26,4.3,4.17,4.19,3363.0
2013-10-15,4.18,4.3,4.06,4.19,1928.0
2013-10-16,4.24,4.47,4.24,4.44,3001.0
2013-10-17,4.39,4.49,4.22,4.44,1453.0
2013-10-18,4.48,4.5,4.22,4.41,2104.0
2013-10-21,4.45,4.56,4.4,4.4,6442.0
2013-10-22,4.41,4.49,4.27,4.44,2471.0
2013-10-23,4.44,4.49,4.31,4.43,1298.0
2013-10-24,4.41,4.56,4.41,4.54,3769.0
2013-10-25,4.26,4.46,4.24,4.46,1281.0
2013-10-28,4.49,4.49,4.26,4.26,1194.0
2013-10-29,4.39,4.5,4.37,4.37,1756.0
2013-10-30,4.46,4.54,4.46,4.51,3571.0
2013-10-31,4.42,4.47,4.3,4.45,4180.0
2013-11-01,4.45,4.45,4.31,4.31,791.0
2013-11-04,4.43,4.43,4.32,4.32,4679.0
2013-11-05,4.36,4.4,4.3,4.31,1173.0
2013-11-06,4.32,4.32,4.32,4.32,285.0
2013-11-07,4.32,4.32,4.31,4.31,769.0
2013-11-08,4.31,4.36,4.3,4.32,1130.0
2013-11-11,4.45,4.45,4.03,4.15,13831.0
2013-11-12,4.14,4.14,3.54,3.77,12310.0
2013-11-13,3.75,3.75,3.54,3.64,7735.0
2013-11-14,3.67,3.7,3.67,3.67,737.0
2013-11-15,3.69,3.99,3.69,3.94,5965.0
2013-11-18,3.94,4.12,3.94,4.12,585.0
2013-11-19,4.14,4.14,4.1,4.13,677.0
2013-11-20,4.15,4.15,4.03,4.03,2870.0
2013-11-21,3.96,4.01,3.96,4.0,2547.0
2013-11-22,3.89,3.98,3.88,3.98,741.0
2013-11-25,3.96,4.03,3.82,4.03,3100.0
2013-11-26,3.95,4.0,3.95,4.0,1626.0
2013-11-27,3.91,3.91,3.91,3.91,444.0
2013-11-29,3.95,3.95,3.95,3.95,718.0
2013-12-02,3.95,4.03,3.95,4.03,1203.0
2013-12-03,4.03,4.03,3.91,3.91,498.0
2013-12-04,3.91,4.0,3.91,3.94,1475.0
2013-12-05,3.95,4.0,3.95,3.95,2003.0
2013-12-06,4.0,4.0,3.91,3.91,717.0
2013-12-09,3.92,3.99,3.91,3.91,1109.0
2013-12-10,3.98,3.98,3.87,3.87,2424.0
2013-12-11,3.9,3.9,3.75,3.81,2210.0
2013-12-12,3.75,3.79,3.61,3.75,4535.0
2013-12-13,3.73,3.74,3.65,3.71,1416.0
2013-12-16,3.75,3.75,3.63,3.63,1167.0
2013-12-17,3.65,3.65,3.5,3.57,4088.0
2013-12-18,3.7,3.7,3.51,3.64,5445.0
2013-12-19,3.69,3.69,3.52,3.55,2790.0
2013-12-20,3.5,3.7,3.25,3.35,20793.0
2013-12-23,3.45,3.5,3.4,3.44,3137.0
2013-12-24,3.47,3.48,3.47,3.48,99.0
2013-12-26,3.41,3.49,3.41,3.49,9148.0
2013-12-27,3.44,3.58,3.34,3.47,5052.0
2013-12-30,3.45,3.6,3.44,3.59,18013.0
2013-12-31,4.65,5.17,4.21,4.49,328647.0
2014-01-02,4.81,5.0,4.63,4.81,80886.0
2014-01-03,4.97,5.0,4.83,4.86,31558.0
2014-01-06,4.82,4.85,4.8,4.8,26597.0
2014-01-07,4.83,4.83,4.71,4.82,8057.0
2014-01-08,4.8,4.8,4.05,4.19,21213.0
2014-01-09,4.0,4.3,4.0,4.3,29618.0
2014-01-10,4.46,4.5,4.3,4.3,5817.0
2014-01-13,4.3,4.41,4.3,4.39,4799.0
2014-01-14,4.36,4.55,4.36,4.38,15252.0
2014-01-15,4.42,4.62,4.4,4.62,7775.0
2014-01-16,4.64,4.68,4.59,4.68,5095.0
2014-01-17,4.69,4.69,4.57,4.57,891.0
2014-01-21,4.52,4.55,4.42,4.43,2610.0
2014-01-22,4.42,4.44,4.37,4.37,2275.0
2014-01-23,4.33,4.4,4.15,4.22,1678.0
2014-01-24,4.21,4.24,4.01,4.13,12390.0
2014-01-27,4.16,4.2,3.81,3.94,18264.0
2014-01-28,3.88,4.05,3.86,4.04,11048.0
2014-01-29,3.98,3.98,3.84,3.97,6104.0
2014-01-30,3.97,3.97,3.86,3.89,8478.0
2014-01-31,3.76,4.03,3.76,4.03,5866.0
2014-02-03,4.0,4.25,4.0,4.03,7678.0
2014-02-04,4.01,4.5,4.01,4.16,7057.0
2014-02-05,4.19,4.23,4.06,4.07,9320.0
2014-02-06,4.19,4.34,4.05,4.05,5988.0
2014-02-07,4.09,4.32,4.09,4.25,5598.0
2014-02-10,4.29,4.39,4.21,4.21,3686.0
2014-02-11,4.33,4.33,4.25,4.25,2033.0
2014-02-12,4.29,4.29,4.19,4.25,2570.0
2014-02-13,4.25,4.35,4.25,4.27,2352.0
2014-02-14,4.39,4.39,4.36,4.36,718.0
2014-02-18,4.4,4.4,4.15,4.2,10436.0
2014-02-19,4.22,4.27,4.19,4.19,9663.0
2014-02-20,4.22,4.4,4.19,4.4,1812.0
2014-02-21,4.13,4.38,4.13,4.38,10229.0
2014-02-24,4.3,4.3,4.14,4.25,11144.0
2014-02-25,4.22,4.24,4.13,4.24,1966.0
2014-02-26,4.07,4.12,4.01,4.08,7707.0
2014-02-27,4.02,4.12,4.02,4.12,5201.0
2014-02-28,4.1,4.1,4.0,4.04,2024.0
2014-03-03,3.99,4.1,3.9,4.1,7012.0
2014-03-04,4.14,4.14,3.93,3.99,2010.0
2014-03-05,4.1,4.1,3.93,3.99,4706.0
2014-03-06,3.97,4.0,3.92,3.95,4242.0
2014-03-07,3.92,3.94,3.65,3.65,14152.0
2014-03-10,3.6,3.7,3.6,3.7,5142.0
2014-03-11,3.68,3.68,3.61,3.64,5148.0
2014-03-12,3.65,3.65,3.35,3.37,27147.0
2014-03-13,3.47,3.5,3.23,3.23,27530.0
2014-03-14,3.26,3.35,3.22,3.22,12471.0
2014-03-17,3.3,3.38,3.19,3.19,7301.0
2014-03-18,3.19,3.38,3.19,3.35,3382.0
2014-03-19,3.32,3.38,3.32,3.34,2548.0
2014-03-20,3.39,3.39,3.355,3.355,526.0
2014-03-21,3.38,3.38,3.3,3.37,8322.0
2014-03-24,3.31,3.31,3.15,3.16,8460.0
2014-03-25,3.19,3.19,3.06,3.06,3070.0
2014-03-26,3.09,3.1,3.03,3.03,5392.0
2014-03-27,3.06,3.06,2.86,2.9,15086.0
2014-03-28,2.86,2.98,2.85,2.87,9634.0
