Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-10-20,127.0,127.0,107.4,113.0,442.2
2017-10-23,122.0,122.0,90.60000000000001,96.0,169.65
2017-10-24,92.0,94.0,91.6,94.0,87.8
2017-10-25,88.0,88.0,56.0,65.8,5177.0
2017-10-26,71.6,74.0,65.0,72.0,1388.55
2017-10-27,74.0,76.0,72.0,73.60000000000001,937.0
2017-10-30,73.4,74.0,63.4,67.0,535.1
2017-10-31,69.80000000000001,69.80000000000001,65.6,66.0,648.2
2017-11-01,63.8,67.6,63.8,67.6,5.45
2017-11-02,67.0,67.0,67.0,67.0,40.0
2017-11-03,69.0,69.0,68.0,69.0,100.05
2017-11-06,72.2,72.2,68.0,69.6,150.75
2017-11-07,74.0,76.0,69.0,70.6,357.5
2017-11-08,70.0,70.0,70.0,70.0,25.0
2017-11-09,72.0,72.0,68.60000000000001,69.6,515.0
2017-11-10,76.0,76.0,61.2,61.2,2432.3
2017-11-13,64.0,64.0,48.0,56.8,756.85
2017-11-14,56.0,56.0,51.8,55.599999999999994,38.65
2017-11-15,53.0,55.599999999999994,53.0,53.8,250.15
2017-11-16,53.8,60.0,53.0,60.0,61.9
2017-11-17,60.0,61.0,56.0,60.599999999999994,1030.35
2017-11-20,60.0,60.0,59.2,60.0,132.15
2017-11-21,61.0,61.0,51.8,52.0,266.25
2017-11-22,54.0,62.0,54.0,61.0,360.05
2017-11-24,60.0,60.0,56.2,56.2,129.9
2017-11-27,55.8,58.0,55.8,57.599999999999994,35.05
2017-11-28,62.0,64.0,55.8,59.800000000000004,827.85
2017-11-29,58.0,58.0,49.0,53.0,694.05
2017-11-30,52.800000000000004,58.8,50.199999999999996,56.4,336.15
2017-12-01,57.800000000000004,58.0,57.5,58.0,210.25
2017-12-04,58.2,59.0,57.0,59.0,37.45
2017-12-05,59.6,59.6,54.6,55.0,272.55
2017-12-06,55.0,56.0,55.0,56.0,47.25
2017-12-07,56.4,56.4,51.6,51.6,88.2
2017-12-08,52.199999999999996,54.6,49.0,51.0,144.3
2017-12-11,52.199999999999996,56.0,52.199999999999996,55.8,884.3
2017-12-12,56.0,64.0,44.6,50.199999999999996,8724.55
2017-12-13,50.599999999999994,56.0,50.599999999999994,53.0,850.4
2017-12-14,54.400000000000006,56.0,52.800000000000004,55.8,233.85
2017-12-15,56.0,123.0,49.0,49.0,24703.9
2017-12-18,51.8,53.0,49.400000000000006,50.0,786.45
2017-12-19,49.6,49.6,43.2,47.199999999999996,1031.85
2017-12-20,47.0,48.6,43.0,44.2,914.35
2017-12-21,44.2,45.4,41.2,43.8,181.55
2017-12-22,43.4,44.0,42.199999999999996,43.6,590.1
2017-12-26,45.599999999999994,46.8,43.0,43.8,339.15
2017-12-27,43.4,45.0,42.0,42.599999999999994,397.85
2017-12-28,42.599999999999994,44.800000000000004,42.599999999999994,44.800000000000004,196.05
2017-12-29,45.199999999999996,45.199999999999996,42.800000000000004,44.6,361.05
2018-01-02,44.800000000000004,47.599999999999994,44.800000000000004,46.2,128.8
2018-01-03,47.0,49.800000000000004,47.0,49.2,286.9
2018-01-04,50.8,50.8,49.0,49.0,188.55
2018-01-05,49.6,51.6,49.2,51.6,436.4
2018-01-08,50.599999999999994,50.599999999999994,48.4,50.599999999999994,141.55
2018-01-09,48.2,48.6,47.199999999999996,47.199999999999996,207.0
2018-01-10,47.599999999999994,50.0,47.599999999999994,48.4,130.25
2018-01-11,49.2,50.0,48.0,48.0,83.75
2018-01-12,48.6,56.8,48.6,56.2,1923.45
2018-01-16,58.0,77.2,56.0,67.4,4631.25
2018-01-17,67.2,77.6,63.6,75.8,4355.55
2018-01-18,75.8,84.80000000000001,68.0,72.6,2735.0
2018-01-19,72.2,72.6,63.4,68.2,976.05
2018-01-22,67.6,67.6,62.199999999999996,65.0,663.1
2018-01-23,68.2,68.2,66.0,67.4,629.4
2018-01-24,69.0,71.39999999999999,64.0,71.0,1583.9
2018-01-25,70.6,76.6,70.6,72.4,696.15
2018-01-26,74.80000000000001,76.0,70.6,73.2,885.85
2018-01-29,72.6,72.8,63.2,63.8,933.45
2018-01-30,62.0,62.400000000000006,58.0,59.800000000000004,2029.05
2018-01-31,59.6,59.6,56.2,57.599999999999994,175.25
2018-02-01,59.400000000000006,62.400000000000006,56.0,56.2,82.45
2018-02-02,53.4,55.8,53.0,53.0,170.5
2018-02-05,53.0,64.0,53.0,60.0,1958.55
2018-02-06,60.0,60.0,54.6,57.0,63.6
2018-02-07,56.4,60.8,56.4,58.0,56.75
2018-02-08,58.0,58.4,54.2,55.099999999999994,167.55
2018-02-09,48.0,48.0,35.4,40.0,3846.05
2018-02-12,40.199999999999996,40.199999999999996,35.8,35.8,724.95
2018-02-13,29.4,30.0,24.6,26.400000000000002,2998.1
2018-02-14,26.400000000000002,27.0,25.0,25.0,1363.7
2018-02-15,25.4,29.0,25.4,26.8,2304.4
2018-02-16,27.0,27.0,26.0,26.6,236.05
2018-02-20,27.200000000000003,28.799999999999997,27.200000000000003,27.200000000000003,938.95
2018-02-21,32.400000000000006,37.400000000000006,23.2,23.2,16776.35
2018-02-22,23.0,23.599999999999998,20.0,20.0,2869.25
2018-02-23,20.0,21.400000000000002,17.096,17.798000000000002,5937.0
2018-02-26,18.2,18.2,13.0,13.600000000000001,6612.25
2018-02-27,14.399999999999999,14.874,9.200000000000001,9.8,7717.15
2018-02-28,10.2,20.0,10.2,12.818000000000001,24445.65
2018-03-01,12.3,13.4,11.0,11.120000000000001,9136.45
2018-03-02,7.800000000000001,8.6,7.6,8.024000000000001,221300.45
2018-03-05,8.398,8.58,8.002,8.2,41805.8
2018-03-06,8.398,8.421999999999999,7.800000000000001,8.4,48062.4
2018-03-07,8.4,8.8,8.044,8.24,62208.4
2018-03-08,8.4,8.6,8.100000000000001,8.2,29669.95
2018-03-09,8.394,8.4,7.6,7.802,18701.7
2018-03-12,8.0,8.196,7.6,8.100000000000001,7478.55
2018-03-13,8.2,8.4,8.02,8.120000000000001,3218.9
2018-03-14,8.378,8.95,8.040000000000001,8.6,31112.35
2018-03-15,8.66,8.84,8.2,8.299999999999999,16029.95
2018-03-16,8.33,8.8,8.219999999999999,8.6,33903.95
2018-03-19,8.8,8.8,8.299999999999999,8.516,5386.35
2018-03-20,8.6,9.399999999999999,8.6,8.82,122979.65
2018-03-21,9.0,9.3,8.44,8.55,59449.2
2018-03-22,9.0,9.0,8.302,8.586,13021.5
2018-03-23,8.6,10.198,8.5,9.7,59892.7
2018-03-26,10.18,12.2,10.168,12.0,140775.05
2018-03-27,12.986,15.2,12.894000000000002,14.399999999999999,232445.95
2018-03-28,14.0,14.036,11.204,11.898,109283.2
2018-03-29,12.0,13.302,11.022,12.74,48271.95
2018-04-02,12.6,12.629999999999999,11.68,11.992,15831.5
2018-04-03,11.639999999999999,11.799999999999999,10.046,10.620000000000001,25570.25
2018-04-04,10.8,10.8,9.200000000000001,9.709999999999999,30567.85
2018-04-05,9.8,10.596,9.8,10.4,7019.35
2018-04-06,10.600000000000001,12.2,10.600000000000001,11.299999999999999,24238.65
2018-04-09,11.76,12.6,11.235999999999999,12.5,23260.2
2018-04-10,12.8,12.8,11.5,12.4,13791.8
2018-04-11,12.2,12.2,11.202000000000002,11.416,7646.7
2018-04-12,11.200000000000001,11.398,10.56,10.600000000000001,15606.25
2018-04-13,11.200000000000001,11.25,10.398,10.4,12825.45
2018-04-16,10.25,10.600000000000001,9.9,10.120000000000001,11298.4
2018-04-17,10.38,11.370000000000001,10.2,10.42,11691.5
2018-04-18,10.5,11.0,10.5,10.600000000000001,16697.4
2018-04-19,10.79,12.32,10.42,12.219999999999999,69564.2
2018-04-20,12.4,12.6,11.43,11.719999999999999,21833.1
2018-04-23,11.719999999999999,11.899999999999999,11.0,11.384,13298.3
2018-04-24,11.6,12.572000000000001,11.398,11.6,26024.45
2018-04-25,11.756,11.756,10.9,11.200000000000001,19486.0
2018-04-26,11.200000000000001,11.94,11.200000000000001,11.200000000000001,15312.0
2018-04-27,11.45,11.84,11.200000000000001,11.354,20250.3
2018-04-30,9.6,9.78,9.200000000000001,9.3,37590.55
2018-05-01,9.58,9.58,8.0,8.374,27284.3
2018-05-02,7.78,7.9479999999999995,6.812,7.9,28702.7
2018-05-03,8.0,8.352,7.6,8.152000000000001,6686.65
2018-05-04,8.2,8.28,7.800000000000001,8.196,8899.75
2018-05-07,8.4,8.74,7.83,8.568,7566.0
2018-05-08,8.54,8.54,7.98,8.0,4983.5
2018-05-09,8.4,8.4,7.640000000000001,7.7459999999999996,3303.15
2018-05-10,7.7,7.7,7.22,7.224,7094.0
2018-05-11,7.199999999999999,7.378,6.502,6.526,11285.95
2018-05-14,6.904,8.092,6.904,7.880000000000001,26680.8
2018-05-15,10.798000000000002,10.798000000000002,7.800000000000001,8.174,97708.45
