Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1994-03-04,6.25,6.5,6.0,6.5,415500.0
1994-03-07,6.625,6.625,6.25,6.25,218400.0
1994-03-08,6.5,6.625,6.25,6.5,155300.0
1994-03-09,6.5625,6.625,6.5,6.625,54300.0
1994-03-10,6.75,6.75,6.5,6.625,36900.0
1994-03-11,6.5,6.625,6.375,6.4375,20000.0
1994-03-14,6.625,6.625,6.375,6.375,19300.0
1994-03-15,6.375,6.625,6.375,6.375,10400.0
1994-03-16,6.5,6.5,6.125,6.25,21200.0
1994-03-17,6.375,6.375,6.125,6.125,2700.0
1994-03-18,6.1875,6.375,6.125,6.25,26000.0
1994-03-21,6.25,6.375,6.0,6.0,30000.0
1994-03-22,6.0,6.25,6.0,6.25,39700.0
1994-03-23,6.25,6.25,6.0,6.25,17600.0
1994-03-24,6.25,6.375,6.0,6.375,9900.0
1994-03-25,6.25,6.375,6.125,6.375,16100.0
1994-03-28,6.375,6.375,6.125,6.125,3300.0
1994-03-29,6.125,6.375,6.125,6.125,48100.0
1994-03-30,6.0,6.25,5.75,6.0,45700.0
1994-03-31,5.75,5.875,5.5,5.5,15200.0
1994-04-04,5.5,5.75,5.0,5.0,33600.0
1994-04-05,5.25,5.375,5.125,5.25,23300.0
1994-04-06,5.25,5.25,5.0,5.0,1200.0
1994-04-07,5.0,5.0,4.75,5.0,38600.0
1994-04-08,4.875,5.25,4.875,5.25,46600.0
1994-04-11,5.25,5.25,5.125,5.1875,13400.0
1994-04-12,5.375,5.375,5.125,5.125,63300.0
1994-04-13,5.375,5.375,5.0,5.375,27900.0
1994-04-14,5.125,5.375,4.75,5.0,31000.0
1994-04-15,5.0,5.0,4.75,5.0,33400.0
1994-04-18,4.875,5.0,4.75,4.875,14500.0
1994-04-19,4.625,4.75,4.375,4.5,23300.0
1994-04-20,4.5,4.5,3.375,3.5,81200.0
1994-04-21,3.625,4.625,3.375,4.0,195400.0
1994-04-22,4.0,4.125,3.875,4.0,42100.0
1994-04-25,4.125,4.25,4.0,4.25,21600.0
1994-04-26,4.125,4.5,4.125,4.5,18900.0
1994-04-28,4.625,5.5,4.5,5.375,80300.0
1994-04-29,5.375,5.75,5.125,5.625,50100.0
1994-05-02,5.625,5.75,5.375,5.625,41600.0
1994-05-03,5.75,5.75,5.5,5.5,26900.0
1994-05-04,5.625,5.625,5.375,5.625,13500.0
1994-05-05,5.625,5.625,5.375,5.625,10600.0
1994-05-06,5.5,5.75,5.5,5.75,13500.0
1994-05-09,5.75,5.75,5.5,5.625,20800.0
1994-05-10,5.5,5.875,5.5,5.875,8100.0
1994-05-11,5.875,5.875,5.5,5.75,7400.0
1994-05-12,5.75,5.75,5.625,5.625,4800.0
1994-05-13,5.875,5.875,5.625,5.875,5000.0
1994-05-16,5.625,5.875,5.5625,5.5625,7700.0
1994-05-17,5.75,5.75,5.375,5.375,8500.0
1994-05-18,5.375,5.625,5.375,5.625,10900.0
1994-05-19,5.625,5.625,5.375,5.625,4100.0
1994-05-20,5.375,5.5,5.125,5.375,15500.0
1994-05-23,5.125,5.5,5.125,5.5,1400.0
1994-05-24,5.1875,5.375,5.1875,5.375,3000.0
1994-05-25,5.125,5.125,5.0,5.0,5000.0
1994-05-26,5.0,5.0,4.625,4.875,16900.0
1994-05-27,4.625,5.0,4.625,5.0,12600.0
