Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-04-09,4.5,4.5,4.3,4.3,6825.0
2018-04-10,4.35,4.35,4.2,4.35,1649.0
2018-04-11,4.5,4.5,4.1,4.1,3585.0
2018-04-12,4.1,4.1,4.0,4.0,1100.0
2018-04-13,3.96,4.02,3.96,3.96,3100.0
2018-04-16,3.96,3.96,3.86,3.86,5160.0
2018-04-17,3.86,3.86,3.5,3.5,2898.0
2018-04-18,3.49,3.7,3.49,3.7,3939.0
2018-04-19,3.71,3.75,3.71,3.71,925.0
2018-04-20,3.72,3.74,3.5,3.5,3175.0
2018-04-23,3.78,3.93,3.78,3.93,1770.0
2018-04-24,3.91,3.91,3.74,3.74,432.0
2018-04-25,3.74,3.79,3.69,3.79,2058.0
2018-04-26,3.76,3.76,3.7,3.7,553.0
2018-04-27,3.7,3.7,2.88,3.1,9017.0
2018-04-30,3.25,3.25,3.22,3.22,1720.0
2018-05-01,3.25,3.25,3.17,3.17,3675.0
2018-05-02,2.98,3.02,2.98,3.0,2555.0
2018-05-03,3.01,3.01,3.0,3.0,2296.0
2018-05-04,3.1,3.24,3.1,3.24,1442.0
2018-05-07,3.25,3.25,3.24,3.24,2454.0
2018-05-08,3.24,3.5,3.24,3.5,2965.0
2018-05-09,3.5,3.625,3.5,3.625,255.0
2018-05-10,3.67,3.7,3.6,3.7,1270.0
2018-05-11,3.8,3.8,3.69,3.69,2376.0
2018-05-14,3.65,3.75,3.6,3.75,1332.0
2018-05-15,3.7,3.7,3.7,3.7,1349.0
2018-05-16,3.68,3.68,3.52,3.59,1336.0
2018-05-17,3.5,3.52,3.5,3.52,524.0
2018-05-18,3.54,3.65,3.54,3.62,864.0
2018-05-21,3.65,3.65,3.2,3.39,21449.0
2018-05-22,3.37,3.4,3.2,3.37,2506.0
2018-05-23,3.39,3.39,3.29,3.35,1035.0
2018-05-24,3.3,3.31,3.25,3.31,1313.0
2018-05-25,3.3,3.38,3.25,3.38,1550.0
2018-05-29,3.45,3.7,3.45,3.7,1935.0
2018-05-30,3.7,3.7,3.45,3.5,877.0
2018-05-31,3.5,3.65,3.44,3.44,2824.0
2018-06-01,3.27,3.63,3.27,3.63,600.0
2018-06-04,3.7,3.7,3.59,3.59,4115.0
2018-06-05,3.7,3.7,3.36,3.36,10168.0
2018-06-06,3.4,3.8,3.4,3.68,2460.0
2018-06-07,3.65,3.9,3.64,3.64,6990.0
2018-06-08,3.81,3.94,3.8,3.8,4029.0
2018-06-11,3.88,5.7,3.88,5.27,48095.0
2018-06-12,4.75,5.0,4.25,4.68,22592.0
2018-06-13,4.68,5.14,4.66,4.78,25651.0
2018-06-14,4.84,5.2,4.84,4.95,36519.0
2018-06-15,5.22,5.22,4.25,4.25,19673.0
2018-06-18,4.5,4.8,4.1,4.1,26411.0
2018-06-19,4.02,4.18,4.02,4.05,4752.0
2018-06-20,4.04,4.05,4.0,4.0,1706.0
2018-06-21,4.02,4.15,4.0,4.15,1689.0
2018-06-22,4.15,4.6,4.04,4.6,18098.0
2018-06-25,4.54,4.54,4.11,4.11,3090.0
2018-06-26,4.14,4.24,4.11,4.24,497.0
2018-06-27,4.14,4.145,4.07,4.07,3111.0
2018-06-28,4.09,4.09,4.01,4.07,578.0
2018-06-29,4.07,4.07,3.81,3.84,3054.0
2018-07-02,3.8,3.84,3.74,3.84,880.0
2018-07-03,3.81,3.81,3.55,3.8,1084.0
2018-07-05,3.73,3.73,3.73,3.73,266.0
2018-07-06,3.85,3.85,3.73,3.73,1317.0
2018-07-09,3.88,3.88,3.67,3.67,1121.0
2018-07-10,3.69,3.7,3.68,3.68,1118.0
2018-07-11,3.72,3.81,3.68,3.69,950.0
2018-07-12,3.72,3.79,3.66,3.79,1477.0
2018-07-13,3.76,3.76,3.55,3.55,2925.0
2018-07-16,3.53,3.53,3.3,3.42,9538.0
2018-07-17,3.4,3.47,3.35,3.36,2478.0
2018-07-18,3.53,3.53,3.37,3.47,2571.0
2018-07-19,3.48,3.5,3.38,3.38,998.0
2018-07-20,3.4,3.5,3.4,3.5,156.0
2018-07-23,3.5,3.5,3.5,3.5,182.0
2018-07-24,3.52,3.52,3.4,3.4,247.0
2018-07-25,3.42,3.53,3.41,3.53,496.0
2018-07-26,3.55,3.7,3.52,3.68,1593.0
2018-07-30,3.59,3.59,3.53,3.53,742.0
2018-07-31,3.59,3.59,3.58,3.58,230.0
2018-08-01,3.67,3.74,3.53,3.61,3330.0
2018-08-02,3.58,3.58,3.58,3.58,200.0
2018-08-03,3.61,3.73,3.6,3.73,642.0
2018-08-06,3.71,3.75,3.67,3.67,1476.0
2018-08-07,3.7,3.8,3.7,3.77,1760.0
2018-08-08,3.84,4.12,3.84,4.1,6463.0
2018-08-09,4.01,4.01,4.0,4.0,3948.0
2018-08-10,4.0,4.2,3.98,4.135,6899.0
2018-08-13,4.1,4.25,4.05,4.05,1709.0
2018-08-14,4.05,4.36,4.05,4.355,7159.0
2018-08-15,4.4,4.4,4.31,4.4,8091.0
2018-08-16,4.5,4.5,4.01,4.3,9107.0
2018-08-17,4.27,4.27,4.15,4.16,2334.0
2018-08-20,4.18,4.18,4.01,4.02,2126.0
2018-08-21,4.0,4.05,3.95,3.95,1964.0
2018-08-22,3.95,4.1,3.94,4.1,1429.0
2018-08-23,4.1,4.1,4.02,4.1,4140.0
2018-08-24,4.02,4.02,3.96,3.99,3277.0
2018-08-27,3.99,3.99,3.8,3.8,3970.0
