Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-03-26,3.9,4.08,3.9,4.0,13522.0
2014-03-27,4.27,4.27,3.92,3.93,1626.0
2014-03-28,4.02,4.02,3.68,3.68,1616.0
2014-03-31,3.7,3.71,3.7,3.705,500.0
2014-04-01,3.72,3.8,3.68,3.68,1752.0
2014-04-02,3.72,3.8,3.72,3.72,14115.0
2014-04-03,3.9,3.9,3.74,3.83,5483.0
2014-04-04,3.9,3.9,3.5,3.55,9207.0
2014-04-07,3.6,3.6,3.34,3.36,1590.0
2014-04-08,3.25,3.5,3.25,3.43,1011.0
2014-04-09,3.5,3.5,3.3,3.35,10378.0
2014-04-10,3.5,3.5,3.3,3.39,2946.0
2014-04-11,3.4,3.8,3.34,3.65,83435.0
2014-04-14,4.35,4.35,3.51,3.77,63213.0
2014-04-15,3.97,3.97,3.74,3.82,25433.0
2014-04-16,4.05,4.05,3.66,3.66,23948.0
2014-04-17,3.7,3.7,3.51,3.52,2277.0
2014-04-21,3.6,3.75,3.6,3.7,11073.0
2014-04-22,3.89,3.89,3.66,3.66,3481.0
2014-04-23,3.7,3.7,3.42,3.5,12486.0
2014-04-24,3.8,3.8,3.39,3.4,7248.0
2014-04-25,3.61,3.61,3.2,3.33,7194.0
2014-04-28,3.3,3.3,3.12,3.12,6942.0
2014-04-29,3.12,3.12,3.0,3.02,5963.0
2014-04-30,3.0,3.0,2.85,2.9,21971.0
2014-05-01,2.79,2.83,2.71,2.73,24207.0
2014-05-02,2.75,2.8,2.75,2.75,10190.0
2014-05-05,2.76,2.76,2.67,2.67,13580.0
2014-05-06,2.65,2.72,2.39,2.39,32519.0
2014-05-07,2.47,2.47,1.93,2.05,52484.0
2014-05-08,2.39,2.39,1.91,2.0,25890.0
2014-05-09,1.85,2.0,1.85,1.99,22611.0
2014-05-12,2.0,2.19,1.86,2.1,8601.0
2014-05-13,2.15,2.35,2.11,2.35,13467.0
2014-05-14,2.56,2.56,2.32,2.43,48561.0
2014-05-15,2.45,2.5,2.4,2.48,20011.0
2014-05-16,2.6,2.6,2.4,2.5,10986.0
2014-05-19,2.5,2.5,2.44,2.48,8700.0
2014-05-20,2.48,2.51,2.26,2.26,27722.0
2014-05-21,2.22,2.3,2.22,2.29,3286.0
2014-05-22,2.34,2.36,2.27,2.32,6940.0
2014-05-23,2.35,2.37,2.33,2.33,10970.0
2014-05-27,2.45,2.45,2.4,2.42,15063.0
2014-05-28,2.55,2.55,2.46,2.51,6998.0
2014-05-29,2.53,2.53,2.41,2.44,5380.0
2014-05-30,2.53,2.53,2.32,2.32,9000.0
2014-06-02,2.36,2.36,2.29,2.34,5200.0
2014-06-03,2.4,2.4,2.17,2.23,17608.0
2014-06-04,2.29,2.33,2.17,2.19,4238.0
2014-06-05,2.18,2.19,2.1,2.13,11178.0
2014-06-06,2.3,2.3,2.22,2.24,1591.0
2014-06-09,2.47,2.48,2.31,2.32,7803.0
