Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-02-13,150.0,153.75,120.9,134.55,48430.46666666667
2015-02-17,134.85,138.9,131.25,138.6,1250.5333333333333
2015-02-18,147.45,147.45,136.64999999999998,138.6,1205.0666666666666
2015-02-19,138.75,142.5,136.5,138.6,623.8
2015-02-20,150.0,150.0,135.75,141.3,346.8666666666667
2015-02-23,138.75,144.75,138.6,144.14999999999998,660.2666666666667
2015-02-24,136.79999999999998,143.4,136.79999999999998,140.85000000000002,3032.0666666666666
2015-02-25,141.75,144.0,141.15,142.35,1184.4
2015-02-26,147.0,177.75,139.8,171.75,1344.4666666666667
2015-02-27,179.1,193.5,165.75,180.0,2837.266666666667
2015-03-02,180.0,180.0,167.4,179.1,1636.0666666666666
2015-03-03,174.45000000000002,177.0,173.7,175.35,1643.0
2015-03-04,176.1,176.25,150.15,169.8,941.1333333333333
2015-03-05,176.25,176.25,162.75,174.75,520.6
2015-03-06,168.9,176.25,168.9,174.60000000000002,1415.2
2015-03-09,169.8,169.8,157.65,161.25,281.8666666666667
2015-03-10,153.9,153.9,145.35,148.04999999999998,509.53333333333336
2015-03-11,147.0,157.5,145.5,152.4,201.0
2015-03-12,147.75,153.3,146.85,153.3,86.2
2015-03-13,147.15,147.15,146.25,146.25,11.666666666666666
2015-03-16,165.0,171.0,159.0,168.0,1860.2666666666667
2015-03-17,168.3,172.35,168.3,170.70000000000002,757.2666666666667
2015-03-18,166.95000000000002,168.3,163.8,166.05,543.4666666666667
2015-03-19,161.25,162.0,156.3,161.7,330.1333333333333
2015-03-20,159.75,168.0,159.75,166.5,579.5333333333333
2015-03-23,166.79999999999998,166.79999999999998,153.0,153.0,1168.8
2015-03-24,151.64999999999998,158.25,151.2,154.35,1734.5333333333333
2015-03-25,154.5,157.05,150.0,151.35,725.5333333333333
2015-03-26,150.0,155.39999999999998,150.0,155.39999999999998,106.66666666666667
2015-03-27,155.54999999999998,155.54999999999998,148.8,150.0,371.53333333333336
2015-03-30,150.45,150.45,136.64999999999998,140.25,802.4666666666667
2015-03-31,139.04999999999998,140.25,134.70000000000002,137.7,441.06666666666666
2015-04-01,141.6,142.5,137.85,140.175,129.0
2015-04-02,137.4,147.3,137.4,146.4,227.53333333333333
2015-04-06,143.25,147.89999999999998,140.54999999999998,146.25,139.93333333333334
2015-04-07,149.4,151.35,149.4,151.2,186.6
2015-04-08,151.64999999999998,154.5,151.5,151.5,117.6
2015-04-09,152.7,152.7,151.35,151.5,59.0
2015-04-10,147.15,150.75,147.15,150.0,80.4
2015-04-13,150.45,153.0,149.85,152.85,114.13333333333334
2015-04-14,153.0,154.95,153.0,154.95,233.73333333333332
2015-04-15,156.75,156.75,156.75,156.75,13.333333333333334
2015-04-16,157.5,158.25,157.5,157.5,27.666666666666668
2015-04-17,159.0,159.0,153.3,154.95,596.5333333333333
2015-04-20,157.5,157.5,146.25,148.5,359.2
2015-04-21,154.65,154.65,144.45000000000002,150.9,343.06666666666666
2015-04-22,152.4,152.4,147.0,149.85,108.46666666666667
2015-04-23,145.8,149.85,145.8,149.85,40.8
2015-04-24,146.54999999999998,146.54999999999998,142.65,145.2,82.6
2015-04-27,140.25,147.3,140.25,142.79999999999998,195.4
2015-04-28,145.8,145.8,120.3,132.75,569.4
2015-04-29,132.6,136.95000000000002,132.6,136.5,666.1333333333333
2015-04-30,138.9,138.9,135.6,138.6,82.46666666666667
2015-05-01,136.2,139.04999999999998,124.80000000000001,139.04999999999998,262.3333333333333
2015-05-04,136.5,136.5,127.94999999999999,128.7,322.1333333333333
2015-05-05,126.0,135.0,124.50000000000001,125.70000000000002,1955.6
2015-05-06,124.80000000000001,128.85,124.50000000000001,128.85,163.53333333333333
2015-05-07,131.25,131.7,126.6,126.825,95.66666666666667
2015-05-08,127.64999999999999,127.64999999999999,125.54999999999998,127.5,68.4
2015-05-11,129.45000000000002,131.85,122.99999999999999,127.94999999999999,652.2666666666667
2015-05-12,126.74999999999999,129.29999999999998,124.80000000000001,129.29999999999998,123.53333333333333
2015-05-13,123.60000000000001,127.5,123.60000000000001,127.5,33.06666666666667
2015-05-14,126.3,129.60000000000002,126.3,129.45000000000002,70.8
2015-05-15,129.45000000000002,130.2,127.5,130.2,88.06666666666666
2015-05-18,128.85,128.85,121.64999999999999,124.50000000000001,353.6
2015-05-19,122.25,125.25,122.25,125.25,46.06666666666667
2015-05-20,125.70000000000002,133.20000000000002,123.89999999999999,133.20000000000002,574.5333333333333
2015-05-21,128.85,135.6,128.85,135.29999999999998,315.1333333333333
2015-05-22,135.9,138.75,135.75,135.75,349.6666666666667
2015-05-26,134.4,140.54999999999998,134.4,140.1,147.73333333333332
2015-05-27,141.0,144.0,140.85000000000002,140.85000000000002,240.86666666666667
2015-05-28,141.3,142.65,141.3,142.65,6.733333333333333
2015-05-29,142.95,142.95,139.2,139.2,27.6
2015-06-01,144.0,145.2,138.75,138.75,122.13333333333334
2015-06-02,142.5,142.5,139.2,140.1,179.0
2015-06-03,140.25,141.0,138.75,138.75,119.2
2015-06-04,140.1,140.25,128.1,133.35000000000002,2072.2
2015-06-05,133.04999999999998,134.70000000000002,130.2,134.70000000000002,161.06666666666666
2015-06-08,135.0,140.70000000000002,134.70000000000002,137.7,296.0
2015-06-09,138.3,140.39999999999998,136.64999999999998,136.95000000000002,303.8666666666667
2015-06-10,139.8,140.70000000000002,137.7,138.15,193.0
2015-06-11,140.70000000000002,140.85000000000002,136.5,140.85000000000002,227.06666666666666
2015-06-12,139.2,139.2,134.4,136.64999999999998,64.66666666666667
2015-06-15,136.05,141.0,134.4,134.70000000000002,349.3333333333333
2015-06-16,135.0,136.64999999999998,132.75,135.15,578.8
2015-06-17,134.70000000000002,138.0,133.04999999999998,133.65,142.0
