Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2001-03-13,21.5,25.0,21.0,22.56,3023200.0
2001-03-14,21.9,22.53,21.41,21.85,1965000.0
2001-03-15,21.5,21.87,20.75,21.17,3819000.0
2001-03-16,20.1,21.0,18.76,19.17,3204500.0
2001-03-19,19.17,20.95,19.17,20.95,2616100.0
2001-03-20,20.8,21.65,20.05,20.35,1624000.0
2001-03-21,20.35,20.9,19.75,20.35,1630300.0
2001-03-22,20.1,20.1,18.0,19.4,3523300.0
2001-03-23,19.3,21.25,19.3,20.59,1769500.0
2001-03-26,21.5,21.5,20.05,20.25,667700.0
2001-03-27,20.2,22.5,20.2,22.13,1437900.0
2001-03-28,21.75,21.76,19.52,19.8,1540500.0
2001-03-29,19.75,19.95,18.7,19.95,1457800.0
2001-03-30,19.8,21.6,19.65,21.5,2652000.0
2001-04-02,21.0,21.71,20.35,21.0,2030000.0
2001-04-03,20.3,20.3,18.4,19.05,2706900.0
2001-04-04,18.5,19.6,18.45,19.08,4576800.0
2001-04-05,19.5,23.5,19.5,23.3,3378700.0
2001-04-06,23.3,24.64,22.0,23.1,5327400.0
2001-04-09,23.05,24.3,23.01,24.0,1951300.0
2001-04-10,24.12,25.75,24.12,25.65,2207100.0
2001-04-11,25.98,26.53,24.2,25.16,2185200.0
2001-04-12,24.0,26.65,23.85,26.5,2388400.0
2001-04-16,25.95,25.96,24.5,25.09,1250900.0
2001-04-17,25.75,28.15,25.75,28.01,4404500.0
2001-04-18,28.5,30.5,28.15,28.34,3582500.0
2001-04-19,28.45,29.32,28.29,29.1,2588100.0
2001-04-20,29.1,29.18,28.15,28.66,2428700.0
2001-04-23,27.75,27.85,25.95,26.68,1439000.0
2001-04-24,26.55,27.8,26.15,27.15,1315400.0
2001-04-25,22.5,24.1,20.7,23.54,8863400.0
2001-04-26,23.79,24.55,22.8,23.45,2982400.0
2001-04-27,24.1,24.5,22.85,23.6,1575700.0
2001-04-30,24.0,24.33,23.25,24.19,1863000.0
2001-05-01,24.05,24.8,23.94,24.51,1808900.0
2001-05-02,25.25,26.2,24.85,25.65,1554000.0
2001-05-03,25.0,25.25,23.9,24.25,1791800.0
2001-05-04,23.8,25.75,23.61,25.41,1514600.0
2001-05-07,25.15,25.45,24.75,25.05,1209800.0
2001-05-08,24.9,26.0,24.89,25.32,2499100.0
2001-05-09,25.25,25.25,24.26,24.74,1276900.0
2001-05-10,24.74,24.99,23.29,23.46,2503400.0
2001-05-11,23.05,23.6,22.0,22.17,1641700.0
2001-05-14,22.8,22.8,21.6,22.29,1325600.0
2001-05-15,22.52,22.9,22.0,22.05,1482800.0
2001-05-16,22.25,23.8,22.0,23.75,1459000.0
2001-05-17,24.0,25.0,23.95,24.13,1567400.0
2001-05-18,24.15,24.64,24.12,24.3,921600.0
2001-05-21,25.0,26.24,24.78,26.1,1452700.0
2001-05-22,26.48,26.48,24.75,25.35,1447500.0
2001-05-23,25.48,25.49,24.25,24.52,1751200.0
2001-05-24,24.35,24.95,24.1,24.92,1195800.0
2001-05-25,25.05,25.83,24.75,25.25,1326400.0
2001-05-29,25.15,25.15,24.1,24.1,1550500.0
2001-05-30,24.1,24.15,22.71,22.88,1406500.0
2001-05-31,22.99,24.0,22.99,23.9,1373700.0
2001-06-01,23.8,25.6,23.8,25.1,2294700.0
2001-06-04,25.1,25.6,24.7,25.0,2003200.0
2001-06-05,25.1,26.77,25.09,26.56,1337300.0
2001-06-06,26.45,27.3,26.05,26.61,1335300.0
2001-06-07,27.0,27.51,26.96,27.51,2443500.0
2001-06-08,27.51,27.8,27.22,27.53,1107700.0
2001-06-11,27.4,27.55,27.2,27.5,1326000.0
2001-06-12,27.3,27.38,25.8,27.34,1294800.0
2001-06-13,27.19,27.97,26.95,27.7,1663700.0
2001-06-14,27.1,27.11,26.15,26.6,1917800.0
2001-06-15,26.6,27.58,25.85,26.72,1858200.0
2001-06-18,26.7,26.8,25.85,26.03,2502900.0
2001-06-19,26.75,26.97,26.32,26.32,2882800.0
2001-06-20,26.5,27.6,26.4,27.49,1413500.0
2001-06-21,27.5,29.0,27.1,28.88,1727300.0
2001-06-22,28.65,28.66,27.71,27.87,1534500.0
2001-06-25,27.85,28.46,27.34,27.95,1214000.0
2001-06-26,27.0,27.3,25.8,26.89,2499900.0
2001-06-27,26.75,26.75,25.5,25.55,4000800.0
2001-06-28,25.3,25.57,23.3,23.4,5422600.0
2001-06-29,23.4,24.3,22.54,22.54,6386100.0
2001-07-02,22.95,23.6,22.64,23.28,2989300.0
2001-07-03,23.3,25.0,22.57,23.61,2412000.0
2001-07-05,23.9,23.92,22.57,22.75,1934300.0
2001-07-06,21.0,21.2,20.2,20.68,3616600.0
2001-07-09,20.95,20.95,19.86,20.19,1319300.0
2001-07-10,20.35,20.8,19.05,19.17,1039400.0
2001-07-11,19.0,19.54,18.6,19.36,1715300.0
2001-07-12,19.9,22.09,19.86,21.78,2488400.0
2001-07-13,21.0,21.83,20.7,21.11,1292700.0
2001-07-16,21.0,21.0,20.3,20.35,1230600.0
2001-07-17,20.1,20.45,19.7,20.12,1704900.0
2001-07-18,20.0,20.04,19.05,19.3,1269100.0
2001-07-19,20.0,20.58,19.7,20.41,2191400.0
2001-07-20,20.41,21.0,20.05,20.65,1556600.0
2001-07-23,21.4,21.4,20.35,20.45,2386000.0
2001-07-24,19.55,19.65,18.6,19.0,2858500.0
2001-07-25,19.1,19.76,18.8,19.71,1949700.0
2001-07-26,19.71,20.15,19.6,20.1,1329800.0
2001-07-27,19.95,21.25,19.95,20.92,594000.0
2001-07-30,21.5,21.55,20.28,20.3,651400.0
2001-07-31,20.2,20.9,20.0,20.0,808800.0
2001-08-01,20.2,20.78,20.1,20.2,1051800.0
2001-08-02,21.0,21.04,20.16,20.69,791700.0
2001-08-03,20.55,20.55,19.95,20.06,711200.0
2001-08-06,19.75,19.85,19.2,19.65,723800.0
2001-08-07,19.9,19.9,19.25,19.5,1162800.0
2001-08-08,19.5,19.75,19.18,19.3,1171600.0
2001-08-09,19.25,19.5,19.09,19.36,901800.0
2001-08-10,19.36,19.36,18.5,19.07,988900.0
2001-08-13,19.07,19.35,18.81,19.05,888800.0
2001-08-14,19.0,19.0,18.51,18.8,1299900.0
2001-08-15,18.83,18.89,18.0,18.0,2067700.0
2001-08-16,17.95,17.95,17.38,17.75,1794700.0
2001-08-17,17.56,17.89,17.35,17.4,911100.0
2001-08-20,17.15,17.37,16.95,17.2,798900.0
2001-08-21,17.6,17.6,16.6,16.76,1186800.0
2001-08-22,17.0,17.17,16.87,17.09,1362000.0
2001-08-23,17.1,17.13,16.46,16.5,1175900.0
2001-08-24,16.9,17.31,16.6,17.2,1076300.0
2001-08-27,17.2,17.48,17.0,17.15,1122400.0
2001-08-28,17.2,17.2,16.1,16.1,1020900.0
2001-08-29,16.2,16.6,15.91,16.1,1211500.0
2001-08-30,16.2,16.2,15.85,16.0,1671300.0
2001-08-31,15.8,16.05,15.74,16.0,1862000.0
2001-09-04,16.5,16.7,15.96,15.96,1229500.0
2001-09-05,15.85,16.23,15.67,16.03,1629300.0
2001-09-06,15.75,16.0,15.1,15.27,1784000.0
2001-09-07,15.27,15.53,14.88,15.05,1595100.0
2001-09-10,14.7,15.2,14.7,14.97,1268000.0
2001-09-17,14.0,14.0,12.95,13.15,4310800.0
2001-09-18,13.1,13.1,12.55,12.55,2807600.0
2001-09-19,12.5,12.69,11.5,12.55,2818700.0
2001-09-20,12.05,12.35,12.0,12.35,2290400.0
2001-09-21,12.15,13.1,12.1,13.01,2688800.0
2001-09-24,14.0,14.1,13.3,13.3,3344100.0
2001-09-25,14.0,14.0,13.3,13.52,2017600.0
2001-09-26,13.5,13.65,12.95,13.1,1514300.0
2001-09-27,13.0,13.05,12.41,12.99,2822900.0
