Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-02-02,9.5,10.5,9.0,10.0,1789900.0
1995-02-03,10.5,12.0,10.25,11.25,541500.0
1995-02-06,11.25,13.0,11.25,12.75,369400.0
1995-02-07,12.75,12.75,10.75,11.75,267400.0
1995-02-08,11.75,11.75,11.0,11.0,120900.0
1995-02-09,11.0,11.75,11.0,11.375,12400.0
1995-02-10,11.75,12.25,11.25,12.25,100500.0
1995-02-13,12.25,12.75,11.75,12.25,185000.0
1995-02-14,12.5,12.5,11.75,12.25,66200.0
1995-02-15,11.75,12.5,11.75,12.0,63000.0
1995-02-16,12.0,12.5,12.0,12.25,51200.0
1995-02-17,12.5,12.5,12.0,12.125,105800.0
1995-02-21,12.0,12.25,11.0625,11.375,252100.0
1995-02-22,11.0,11.5,11.0,11.5,61900.0
1995-02-23,11.0,11.75,11.0,11.3125,73800.0
1995-02-24,11.75,11.75,11.25,11.4375,7400.0
1995-02-27,11.5,11.75,11.25,11.75,30000.0
1995-02-28,11.25,12.0,11.25,12.0,12900.0
1995-03-01,12.0,12.25,11.75,12.0,12800.0
1995-03-02,12.25,12.5,11.75,12.0,82800.0
1995-03-03,12.0,12.5,12.0,12.25,36500.0
1995-03-06,12.0,12.25,11.5,12.0,39400.0
1995-03-07,11.5,12.0,11.5,12.0,5000.0
1995-03-08,11.5,12.0,11.5,11.75,2600.0
1995-03-09,11.5,12.375,11.5,12.25,61500.0
1995-03-10,11.75,12.25,11.75,11.75,10800.0
1995-03-13,12.5,12.5,11.75,12.25,33400.0
1995-03-14,12.25,12.25,11.75,12.25,8500.0
1995-03-15,11.75,12.0625,11.75,12.0625,7000.0
1995-03-16,11.75,12.25,11.75,11.75,33600.0
1995-03-17,11.5,12.25,11.25,11.75,107100.0
1995-03-20,11.25,11.5,11.0,11.5,35700.0
1995-03-21,11.5,13.0,11.25,12.75,218300.0
1995-03-22,12.5,13.75,12.5,13.5,88100.0
1995-03-23,13.75,14.0,13.25,14.0,88500.0
1995-03-24,14.25,14.5,14.0,14.0,102700.0
1995-03-27,14.5,14.75,14.0,14.25,43300.0
1995-03-28,14.75,14.75,14.0,14.25,37800.0
1995-03-29,14.0,14.5,14.0,14.0625,47000.0
1995-03-30,14.0,14.5,13.0,13.25,92700.0
1995-03-31,13.25,13.5,13.0,13.0,76300.0
1995-04-03,13.5,13.5,13.0,13.5,21500.0
1995-04-04,13.0,13.5,13.0,13.125,28400.0
1995-04-05,13.5,13.5,12.75,13.125,15800.0
1995-04-06,13.5,14.5,13.0,14.0,70000.0
1995-04-07,14.5,14.5,13.5,13.75,24200.0
1995-04-10,13.25,13.75,13.25,13.75,4200.0
1995-04-11,13.25,13.75,13.0,13.25,14800.0
1995-04-12,12.75,13.25,12.75,13.25,4600.0
1995-04-13,13.0,13.75,13.0,13.75,63500.0
1995-04-17,13.75,14.0,13.5,14.0,31000.0
1995-04-18,13.5,14.25,13.5,14.0,75600.0
1995-04-19,14.25,14.25,13.75,14.0,83600.0
1995-04-20,14.25,14.5,13.75,14.5,196400.0
1995-04-21,14.5,14.75,14.25,14.25,28000.0
1995-04-24,14.25,14.75,14.0,14.5,15700.0
1995-04-25,14.25,14.5,13.75,13.75,32000.0
1995-04-26,14.0,14.0,13.625,14.0,13300.0
1995-04-27,13.75,14.5,13.75,14.25,34700.0
1995-04-28,14.5,14.5,14.0,14.125,43600.0
1995-05-01,14.5,14.5,13.75,13.875,79500.0
1995-05-02,13.75,14.25,13.5,13.5,53100.0
