Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-11-13,4.95,5.0,3.75,4.0,301800.0
2015-11-16,3.75,4.5,3.75,4.5,130240.0
2015-11-17,4.25,4.25,4.0,4.19,11400.0
2015-11-18,4.2,4.7,4.2,4.5,21265.0
2015-11-19,4.03,4.21,4.0,4.21,3580.0
2015-11-20,4.33,4.5,4.05,4.33,8756.0
2015-11-23,4.45,4.45,4.3,4.3,1000.0
2015-11-24,4.05,4.05,4.0,4.0,900.0
2015-11-25,4.4,4.4,4.1,4.36,1134.0
2015-11-27,4.29,4.51,4.25,4.39,5567.0
2015-11-30,4.4,4.4,4.2,4.2,300.0
2015-12-01,3.82,3.82,3.55,3.77,10436.0
2015-12-02,3.49,3.64,3.49,3.64,1800.0
2015-12-04,3.74,3.74,3.55,3.55,2100.0
2015-12-07,3.27,3.27,3.27,3.27,1.0
2015-12-08,3.26,3.26,2.75,3.21,20407.0
2015-12-09,3.25,3.3,3.0,3.25,14155.0
2015-12-10,3.25,3.25,3.11,3.25,4132.0
2015-12-11,3.26,3.26,3.01,3.13,1702.0
2015-12-14,3.05,3.3,2.85,3.1,6613.0
2015-12-15,3.0,3.66,3.0,3.66,9204.0
2015-12-16,3.94,3.94,3.5,3.5,1189.0
2015-12-17,3.54,3.57,3.13,3.14,4461.0
2015-12-18,3.39,3.53,3.12,3.12,4200.0
2015-12-21,3.3,4.16,3.3,3.95,13414.0
2015-12-22,3.98,4.14,3.71,3.99,2028.0
2015-12-23,3.86,4.0,3.86,3.98,500.0
2015-12-24,4.06,4.11,3.99,3.99,2000.0
2015-12-28,4.09,4.09,3.9,3.9,2223.0
2015-12-29,4.0,4.0,3.84,3.85,698.0
2015-12-30,3.77,3.9,3.58,3.58,2857.0
2015-12-31,3.73,3.73,3.35,3.35,3662.0
2016-01-04,3.28,4.3,3.28,3.85,28100.0
2016-01-05,3.89,4.77,3.89,4.37,23352.0
2016-01-06,4.41,4.57,4.3,4.45,16973.0
2016-01-07,4.45,4.45,4.25,4.25,102.0
2016-01-08,4.21,4.21,3.78,3.78,9037.0
2016-01-11,3.83,3.85,3.5,3.56,15999.0
2016-01-12,3.57,3.75,3.3,3.3,15920.0
2016-01-13,3.65,3.65,3.1,3.1,3855.0
2016-01-14,3.23,3.55,3.21,3.53,2097.0
2016-01-15,3.3,3.3,3.23,3.3,1103.0
2016-01-19,3.3,3.55,3.28,3.28,2692.0
2016-01-20,3.2,4.2,3.01,3.91,27764.0
2016-01-21,3.65,3.65,3.14,3.23,5173.0
2016-01-22,3.25,3.25,3.14,3.2,1700.0
2016-01-25,3.24,3.24,3.23,3.23,1000.0
2016-01-26,3.33,3.35,3.33,3.35,890.0
2016-01-27,3.4,3.4,2.96,2.96,2515.0
2016-01-28,3.05,3.16,3.04,3.1,5036.0
2016-01-29,3.16,3.16,3.16,3.16,99.0
2016-02-01,3.19,3.19,2.8,2.9,4351.0
2016-02-02,2.95,3.12,2.81,3.0,11543.0
2016-02-03,3.0,3.14,3.0,3.02,4300.0
2016-02-04,3.06,3.06,2.88,3.0,2282.0
2016-02-05,3.12,3.12,2.95,2.97,701.0
2016-02-08,3.0,3.03,3.0,3.03,1200.0
2016-02-09,2.97,2.98,2.95,2.98,500.0
2016-02-10,3.09,3.09,2.96,3.07,2953.0
2016-02-11,3.07,3.07,3.07,3.07,100.0
2016-02-12,2.96,2.96,2.85,2.91,3148.0
2016-02-16,3.1,3.1,3.0,3.02,5401.0
2016-02-17,3.1,3.1,2.9,3.1,4049.0
2016-02-18,2.88,3.0,2.77,3.0,9699.0
2016-02-19,2.9,3.04,2.9,3.0,3574.0
2016-02-22,3.0,3.04,3.0,3.0,1591.0
2016-02-23,2.9,3.04,2.9,3.03,1178.0
2016-02-24,2.94,3.02,2.93,3.02,400.0
2016-02-25,3.04,3.08,3.04,3.05,2300.0
2016-02-26,3.1,3.18,3.1,3.15,2600.0
2016-02-29,3.24,3.26,3.24,3.26,7702.0
2016-03-01,3.25,3.31,3.25,3.26,3524.0
2016-03-02,3.28,3.28,3.16,3.205,7458.0
2016-03-03,3.2,3.21,3.2,3.21,117.0
2016-03-04,3.37,3.37,3.25,3.25,209.0
2016-03-07,3.25,3.44,3.15,3.44,1229.0
2016-03-08,3.3,3.83,3.3,3.83,9446.0
2016-03-09,3.79,3.79,3.57,3.58,1055.0
2016-03-10,3.52,3.52,3.52,3.52,100.0
2016-03-14,3.52,4.75,3.52,4.45,23509.0
2016-03-15,4.95,4.95,4.32,4.48,9360.0
2016-03-16,4.6,4.69,3.82,4.69,16746.0
2016-03-17,4.77,4.92,4.62,4.92,14123.0
2016-03-18,4.88,5.04,4.23,4.23,39155.0
2016-03-21,4.23,4.5,3.63,3.69,17199.0
2016-03-22,3.68,3.68,3.49,3.65,5079.0
2016-03-23,3.72,3.72,3.35,3.62,6159.0
2016-03-24,3.55,3.7,3.47,3.7,494.0
2016-03-28,3.77,3.77,3.52,3.59,1074.0
2016-03-29,3.65,3.65,3.31,3.31,3579.0
2016-03-30,3.3,3.43,3.29,3.34,9042.0
2016-03-31,3.34,3.75,3.34,3.73,4796.0
2016-04-01,3.7,3.7,3.65,3.65,1272.0
2016-04-04,3.69,3.82,3.69,3.77,5575.0
2016-04-05,3.8,3.92,3.76,3.77,3760.0
2016-04-06,3.88,3.97,3.79,3.84,1304.0
2016-04-07,3.85,3.85,3.65,3.7,513.0
2016-04-08,3.73,3.96,3.73,3.96,1398.0
2016-04-11,3.95,3.95,3.7,3.89,6687.0
2016-04-12,3.82,3.86,3.6,3.7,2380.0
2016-04-13,4.15,4.35,3.85,3.97,67344.0
2016-04-14,3.97,4.15,3.79,3.79,8560.0
2016-04-15,3.86,3.86,3.65,3.65,2975.0
2016-04-18,3.84,3.84,3.52,3.64,3051.0
2016-04-19,3.74,3.74,3.54,3.61,1300.0
2016-04-20,3.56,3.56,3.35,3.39,8570.0
2016-04-21,3.35,3.75,3.35,3.73,7243.0
2016-04-22,3.79,3.88,3.76,3.79,6022.0
2016-04-25,3.78,3.78,3.58,3.66,3281.0
2016-04-26,3.65,3.75,3.65,3.75,601.0
2016-04-27,3.69,3.75,3.6,3.6,700.0
2016-04-28,3.62,3.85,3.62,3.78,8002.0
2016-04-29,3.94,3.94,3.84,3.91,6899.0
2016-05-02,3.81,3.88,3.8,3.83,7486.0
2016-05-03,3.84,3.96,3.84,3.96,1375.0
2016-05-04,3.96,3.98,3.77,3.77,13467.0
2016-05-05,3.8,3.85,3.62,3.73,12411.0
2016-05-06,3.69,3.8,3.59,3.8,5617.0
2016-05-09,3.84,3.89,3.74,3.84,4852.0
2016-05-10,3.86,3.86,3.68,3.82,7972.0
2016-05-11,3.7,3.925,3.37,3.9,11616.0
2016-05-12,3.81,4.0,3.81,3.89,5475.0
2016-05-13,3.66,3.86,3.66,3.8,15260.0
2016-05-16,3.62,3.87,3.62,3.74,16072.0
2016-05-17,3.67,3.73,3.44,3.47,6193.0
2016-05-18,3.44,3.565,3.25,3.53,14480.0
2016-05-19,3.45,3.83,3.34,3.44,7650.0
2016-05-20,3.38,3.49,3.15,3.21,6301.0
2016-05-23,3.13,3.25,2.95,3.1,13793.0
2016-05-24,3.05,3.06,2.92,3.0,7500.0
2016-05-25,3.02,3.02,2.5,2.64,55800.0
2016-05-26,2.7,2.7,2.45,2.55,30627.0
2016-05-27,2.53,2.53,2.31,2.49,10606.0
2016-05-31,2.5,2.5,2.24,2.34,17935.0
2016-06-01,2.33,2.33,2.27,2.28,12321.0
2016-06-02,2.22,2.435,2.19,2.31,14427.0
2016-06-03,2.27,2.315,2.15,2.19,10628.0
2016-06-06,2.21,2.3,1.94,1.94,23696.0
2016-06-07,2.06,2.45,1.96,2.39,46281.0
2016-06-08,2.34,2.57,2.27,2.29,22544.0
2016-06-09,2.33,2.4,2.29,2.4,4743.0
2016-06-10,2.36,2.4,2.06,2.34,24328.0
2016-06-13,2.33,2.33,2.21,2.21,407.0
2016-06-14,2.16,2.25,2.1,2.23,3362.0
2016-06-15,2.2,2.5,2.09,2.4,10367.0
2016-06-16,2.37,2.55,2.16,2.54,12971.0
2016-06-17,2.54,2.54,2.41,2.5,11466.0
2016-06-20,2.42,2.52,2.4,2.51,4986.0
2016-06-21,2.47,2.53,2.45,2.51,17823.0
2016-06-22,2.35,2.49,2.29,2.38,5956.0
2016-06-23,2.37,2.48,2.26,2.3,1566.0
2016-06-24,2.33,2.4,2.17,2.4,7898.0
2016-06-27,2.36,2.36,2.2,2.25,3015.0
2016-06-28,2.31,2.35,2.28,2.35,1936.0
2016-06-29,2.33,2.4,2.32,2.32,947.0
2016-06-30,2.35,2.35,2.2,2.2,2385.0
2016-07-01,2.22,2.29,2.2,2.29,1651.0
2016-07-05,2.28,2.3,2.08,2.21,2009.0
2016-07-06,2.24,2.35,2.24,2.35,1238.0
2016-07-07,2.4,2.57,2.4,2.57,4638.0
2016-07-08,2.57,2.57,2.42,2.53,527.0
2016-07-11,2.49,2.54,2.49,2.54,1274.0
2016-07-12,2.55,2.55,2.46,2.46,36.0
2016-07-13,2.5,2.56,2.5,2.53,3490.0
2016-07-14,2.56,2.56,2.24,2.36,6735.0
2016-07-15,2.38,2.38,2.3,2.35,1643.0
2016-07-18,2.35,2.36,2.33,2.36,1500.0
2016-07-19,2.37,2.41,2.33,2.38,1806.0
2016-07-20,2.36,2.39,2.35,2.36,3398.0
2016-07-21,2.35,2.39,2.35,2.39,248.0
2016-07-22,2.4,2.48,2.38,2.48,700.0
2016-07-25,2.4,2.56,2.4,2.53,2086.0
2016-07-26,2.47,2.49,2.34,2.38,7805.0
2016-07-27,2.4,2.41,2.4,2.41,238.0
2016-07-28,2.43,2.78,2.4,2.65,13777.0
2016-07-29,2.72,4.19,2.72,3.8,87394.0
2016-08-01,3.34,3.59,3.31,3.56,23273.0
2016-08-02,3.53,4.1,3.5,3.83,23666.0
2016-08-03,3.9,4.19,3.77,3.89,11963.0
2016-08-04,3.92,4.2,3.92,4.13,8301.0
2016-08-05,4.09,4.4,3.9,4.4,11391.0
2016-08-08,4.4,4.4,4.08,4.15,2047.0
2016-08-09,4.08,4.15,3.77,4.07,6460.0
2016-08-10,4.0,4.1,4.0,4.09,1922.0
2016-08-11,4.06,4.18,4.02,4.02,6163.0
2016-08-12,4.0,4.04,3.82,4.02,3532.0
2016-08-15,3.96,4.01,3.93,4.01,2978.0
2016-08-16,3.98,4.12,3.15,4.05,30431.0
2016-08-17,4.05,4.05,3.66,3.77,9175.0
2016-08-18,3.74,4.15,3.74,4.05,7409.0
2016-08-19,4.09,4.22,4.05,4.05,4642.0
2016-08-22,4.05,4.17,4.05,4.11,6043.0
2016-08-23,4.14,4.18,3.65,4.01,9425.0
2016-08-24,3.96,4.48,3.96,4.38,16273.0
2016-08-25,4.42,4.67,3.97,4.01,27155.0
2016-08-26,4.03,4.1,3.88,4.08,7083.0
2016-08-29,4.24,4.24,3.95,3.98,2601.0
2016-08-30,3.97,4.1,3.78,3.92,8130.0
2016-08-31,4.09,4.09,3.93,4.01,2779.0
2016-09-01,4.0,4.01,3.82,3.82,1747.0
2016-09-02,3.84,4.05,3.84,3.91,2670.0
2016-09-06,3.92,4.01,3.83,3.99,2961.0
2016-09-07,3.97,4.15,3.83,4.01,13434.0
2016-09-08,4.02,4.02,3.8,3.86,2890.0
2016-09-09,3.92,3.96,3.78,3.85,11249.0
2016-09-12,3.9,3.99,3.5,3.99,31616.0
2016-09-13,4.03,4.03,3.73,3.76,2149.0
2016-09-14,3.79,4.0,3.79,3.97,3581.0
2016-09-15,3.94,4.2,3.94,4.2,1864.0
2016-09-16,4.17,4.52,4.17,4.52,15991.0
2016-09-19,4.51,4.72,4.51,4.53,7463.0
2016-09-20,4.57,4.58,4.15,4.26,4308.0
2016-09-21,4.3,4.86,4.3,4.46,23687.0
2016-09-22,4.5,5.32,4.5,4.8,23587.0
2016-09-23,4.84,5.0,4.81,4.86,9085.0
2016-09-26,5.0,5.05,4.68,4.75,12386.0
2016-09-27,4.83,4.83,4.51,4.62,5724.0
2016-09-28,4.66,4.75,4.57,4.57,1824.0
2016-09-29,4.61,4.72,4.27,4.27,4120.0
2016-09-30,4.4,4.48,4.09,4.11,10091.0
2016-10-03,4.14,4.47,4.14,4.31,15158.0
2016-10-04,4.29,4.5,4.25,4.5,8863.0
2016-10-05,4.46,4.46,3.98,4.02,23418.0
2016-10-06,4.07,4.26,3.5,4.14,35225.0
2016-10-07,4.14,4.3,3.89,4.3,8930.0
2016-10-10,4.27,4.53,4.22,4.23,3037.0
2016-10-11,4.26,4.26,3.9,4.21,12053.0
2016-10-12,4.08,4.08,3.75,3.75,3000.0
2016-10-13,3.75,3.81,3.45,3.64,8454.0
2016-10-14,3.61,3.98,3.52,3.94,16642.0
2016-10-17,3.95,4.1,3.61,3.72,15429.0
2016-10-18,3.76,3.93,3.65,3.72,14396.0
2016-10-19,3.77,3.77,3.26,3.4,20810.0
2016-10-20,3.4,3.42,3.22,3.35,40418.0
2016-10-21,4.39,4.42,3.77,4.09,220284.0
2016-10-24,4.25,4.31,3.95,4.05,52013.0
2016-10-25,4.04,4.15,3.69,4.12,73954.0
2016-10-26,4.14,4.53,3.97,4.22,40245.0
2016-10-27,4.26,4.3,3.96,4.0,34898.0
2016-10-28,3.93,3.99,3.54,3.84,27657.0
2016-10-31,3.86,3.98,3.6,3.72,14323.0
2016-11-01,3.7,4.0,3.55,3.79,18875.0
2016-11-02,3.82,3.86,3.6,3.76,17874.0
2016-11-03,3.7,3.82,3.53,3.65,37782.0
2016-11-04,3.62,3.66,3.55,3.62,7212.0
2016-11-07,3.62,4.18,3.62,3.98,24516.0
2016-11-08,3.79,4.12,3.79,3.99,21745.0
