Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1983-08-02,,3.1875,3.0,3.0,400.0
1983-08-03,,3.0625,3.0,3.0,195200.0
1983-08-04,,3.0625,3.0,3.0,43600.0
1983-08-05,,3.125,3.0,3.0,148400.0
1983-08-08,,3.0625,2.9375,2.9375,70400.0
1983-08-09,,2.875,2.8125,2.8125,94400.0
1983-08-10,,2.9375,2.8125,2.8125,18800.0
1983-08-11,,2.875,2.6875,2.6875,6400.0
1983-08-12,,2.875,2.6875,2.6875,64800.0
1983-08-15,,2.875,2.75,2.75,5600.0
1983-08-16,,2.875,2.75,2.75,4000.0
1983-08-17,,2.875,2.75,2.75,40000.0
1983-08-18,,2.875,2.75,2.75,40800.0
1983-08-19,,2.875,2.75,2.75,4400.0
1983-08-22,,2.875,2.75,2.75,350400.0
1983-08-23,,2.9375,2.75,2.75,26800.0
1983-08-24,,2.9375,2.8125,2.8125,13200.0
1983-08-25,,2.875,2.8125,2.8125,1600.0
1983-08-26,,2.875,2.8125,2.8125,4400.0
1983-08-29,,2.875,2.8125,2.8125,3600.0
1983-08-31,,2.875,2.8125,2.8125,1600.0
1983-09-01,,2.875,2.8125,2.8125,20000.0
1983-09-02,,2.875,2.8125,2.8125,1200.0
1983-09-07,,2.875,2.8125,2.8125,2000.0
1983-09-08,,2.875,2.8125,2.8125,2000.0
1983-09-09,,2.9375,2.8125,2.8125,2000.0
1983-09-12,,2.9375,2.8125,2.8125,4000.0
1983-09-15,,2.75,2.625,2.625,1200.0
1983-09-16,,2.8125,2.6875,2.6875,5600.0
1983-09-19,,2.8125,2.6875,2.6875,1600.0
1983-09-23,,2.8125,2.6875,2.6875,3200.0
1983-09-27,,2.875,2.6875,2.6875,800.0
1983-09-28,,2.8125,2.6875,2.6875,24000.0
1983-09-29,,2.8125,2.6875,2.6875,4400.0
1983-09-30,,2.8125,2.6875,2.6875,80.0
1983-10-03,,2.8125,2.6875,2.6875,80.0
1983-10-04,,2.8125,2.6875,2.6875,400.0
1983-10-05,,2.75,2.6875,2.6875,400.0
1983-10-06,,2.75,2.625,2.625,114400.0
1983-10-10,,2.75,2.625,2.625,800.0
1983-10-11,,2.5625,2.4375,2.4375,7600.0
1983-10-12,,2.375,2.25,2.25,30400.0
1983-10-14,,2.25,2.125,2.125,26800.0
1983-10-17,,2.25,2.125,2.125,4000.0
1983-10-18,,2.0625,1.9375,1.9375,93600.0
1983-10-20,,2.0,1.875,1.875,48000.0
1983-10-21,,1.875,1.8125,1.8125,6000.0
1983-10-24,,1.6875,1.5625,1.5625,2400.0
1983-10-25,,1.6875,1.625,1.625,6800.0
1983-10-28,,2.0,1.875,1.875,8400.0
1983-10-31,,2.0625,1.9375,1.9375,800.0
1983-11-01,,2.0625,1.9375,1.9375,4000.0
1983-11-02,,2.0625,2.0,2.0,50800.0
1983-11-03,,2.3125,2.125,2.125,53200.0
1983-11-04,,2.3125,2.125,2.125,800.0
1983-11-07,,2.3125,2.125,2.125,41200.0
1983-11-08,,2.3125,2.1875,2.1875,40000.0
1983-11-10,,2.375,2.1875,2.1875,200.0
1983-11-18,,2.375,2.1875,2.1875,80.0
1983-11-22,,2.375,2.25,2.25,800.0
1983-11-23,,2.375,2.25,2.25,84000.0
1983-11-28,,2.375,2.25,2.25,14000.0
1983-11-29,,2.375,2.25,2.25,12000.0
1983-11-30,,2.25,2.125,2.125,32000.0
1983-12-01,,2.0625,1.875,1.875,29600.0
1983-12-02,,1.75,1.625,1.625,58800.0
1983-12-05,,1.75,1.6875,1.6875,265600.0
1983-12-06,,2.0625,1.875,1.875,18400.0
1983-12-07,,2.125,1.9375,1.9375,4000.0
1983-12-08,,2.125,1.9375,1.9375,1200.0
1983-12-09,,2.125,1.9375,1.9375,800.0
1983-12-12,,2.0625,1.9375,1.9375,44000.0
1983-12-15,,2.0625,1.9375,1.9375,2800.0
1983-12-19,,2.0,1.875,1.875,4400.0
1983-12-20,,1.6875,1.5,1.5,26000.0
1983-12-21,,1.75,1.625,1.625,18800.0
1983-12-22,,1.875,1.75,1.75,2800.0
1983-12-23,,1.875,1.75,1.75,24400.0
1983-12-27,,1.875,1.75,1.75,68000.0
1983-12-28,,1.9375,1.8125,1.8125,80000.0
1983-12-29,,2.0625,2.0,2.0,320800.0
1983-12-30,,2.125,2.0625,2.0625,58000.0
1984-01-03,,2.125,2.0625,2.0625,32400.0
1984-01-04,,2.125,2.0625,2.0625,64000.0
1984-01-05,,2.0625,1.9375,1.9375,138000.0
1984-01-06,,2.0625,1.9375,1.9375,11600.0
1984-01-09,,2.0625,1.9375,1.9375,20000.0
1984-01-11,,2.0625,2.0,2.0,40400.0
1984-01-12,,2.125,2.0625,2.0625,40800.0
1984-01-13,,2.1875,2.0625,2.0625,80000.0
1984-01-16,,2.1875,2.0625,2.0625,40000.0
1984-01-17,,2.125,2.0625,2.0625,44400.0
1984-01-18,,2.125,2.0625,2.0625,20000.0
1984-01-19,,2.3125,2.1875,2.1875,48800.0
1984-01-20,,2.3125,2.1875,2.1875,22400.0
1984-01-23,,2.3125,2.1875,2.1875,4000.0
1984-01-24,,2.3125,2.1875,2.1875,800.0
1984-01-25,,2.3125,2.1875,2.1875,1200.0
1984-01-26,,2.3125,2.1875,2.1875,8800.0
1984-01-27,,2.3125,2.1875,2.1875,75600.0
1984-01-30,,2.25,2.1875,2.1875,4400.0
1984-01-31,,2.3125,2.1875,2.1875,21200.0
1984-02-01,,2.3125,2.1875,2.1875,400.0
1984-02-02,,2.3125,2.1875,2.1875,2000.0
1984-02-03,,2.1875,2.0625,2.0625,24000.0
1984-02-06,,2.1875,2.0625,2.0625,400.0
1984-02-09,,1.875,1.8125,1.8125,12800.0
1984-02-10,,1.875,1.8125,1.8125,2000.0
1984-02-13,,1.875,1.8125,1.8125,4400.0
1984-02-14,,1.8125,1.6875,1.6875,400.0
1984-02-15,,1.75,1.625,1.625,80000.0
1984-02-16,,1.75,1.625,1.625,118000.0
1984-02-17,,1.75,1.625,1.625,68000.0
1984-02-21,,1.75,1.625,1.625,1600.0
1984-02-22,,1.75,1.625,1.625,8000.0
1984-02-23,,1.75,1.625,1.625,4400.0
1984-02-27,,1.8125,1.6875,1.6875,800.0
1984-02-28,,1.6875,1.5,1.5,4000.0
1984-02-29,,1.6875,1.5,1.5,800.0
1984-03-01,,1.625,1.5,1.5,4000.0
1984-03-02,,1.625,1.5,1.5,1600.0
1984-03-05,,1.625,1.5,1.5,2800.0
1984-03-07,,1.625,1.5,1.5,800.0
1984-03-08,,1.625,1.5,1.5,400.0
1984-03-12,,1.625,1.5,1.5,400.0
1984-03-13,,1.625,1.5,1.5,4800.0
1984-03-14,,1.625,1.5,1.5,400.0
1984-03-15,,1.625,1.5,1.5,6000.0
1984-03-16,,1.625,1.5,1.5,4000.0
1984-03-19,,1.625,1.5,1.5,2000.0
1984-03-20,,1.625,1.5,1.5,30000.0
1984-03-21,,1.625,1.5,1.5,24000.0
1984-03-22,,1.625,1.5,1.5,400.0
1984-03-23,,1.5,1.375,1.375,12400.0
1984-03-26,,1.625,1.4375,1.4375,1200.0
1984-03-27,,1.625,1.5,1.5,4000.0
1984-03-28,,1.625,1.5,1.5,6000.0
1984-04-02,,1.625,1.5,1.5,4000.0
1984-04-03,,1.625,1.5,1.5,2000.0
1984-04-04,,1.625,1.5625,1.5625,4400.0
1984-04-05,,1.625,1.5625,1.5625,800.0
1984-04-06,,1.625,1.5625,1.5625,400.0
1984-04-10,,1.5625,1.4375,1.4375,7600.0
1984-04-12,,1.4375,1.3125,1.3125,12400.0
1984-04-13,,1.4375,1.3125,1.3125,3200.0
1984-04-16,,1.4375,1.3125,1.3125,125200.0
1984-04-17,,1.4375,1.3125,1.3125,60400.0
1984-04-18,,1.4375,1.3125,1.3125,20000.0
1984-04-19,,1.4375,1.3125,1.3125,2400.0
1984-04-23,,1.4375,1.3125,1.3125,1200.0
1984-04-24,,1.4375,1.375,1.375,3600.0
1984-04-25,,1.4375,1.375,1.375,40000.0
1984-04-26,,1.4375,1.375,1.375,1600.0
1984-04-27,,1.4375,1.375,1.375,17200.0
1984-04-30,,1.4375,1.375,1.375,400.0
1984-05-01,,1.625,1.5,1.5,8000.0
1984-05-02,,1.625,1.5,1.5,165200.0
1984-05-04,,1.625,1.5,1.5,10800.0
1984-05-07,,1.625,1.5,1.5,6000.0
1984-05-08,,1.5625,1.4375,1.4375,4000.0
1984-05-09,,1.5625,1.4375,1.4375,12400.0
1984-05-14,,1.5625,1.4375,1.4375,16800.0
1984-05-15,,1.5625,1.4375,1.4375,22000.0
1984-05-18,,1.5,1.375,1.375,3200.0
1984-05-23,,1.4375,1.3125,1.3125,45200.0
1984-05-24,,1.375,1.25,1.25,2400.0
1984-05-29,,1.375,1.25,1.25,15200.0
1984-05-30,,1.5,1.3125,1.3125,7200.0
1984-05-31,,1.5,1.3125,1.3125,2400.0
1984-06-01,,1.6875,1.5,1.5,31600.0
1984-06-04,,1.6875,1.5625,1.5625,41200.0
1984-06-05,,1.6875,1.5625,1.5625,20000.0
1984-06-06,,1.6875,1.5625,1.5625,40000.0
1984-06-07,,1.6875,1.5625,1.5625,3200.0
1984-06-13,,1.625,1.5,1.5,4000.0
1984-06-15,,1.625,1.5,1.5,2800.0
1984-06-18,,1.625,1.5,1.5,2000.0
1984-06-19,,1.625,1.5,1.5,3200.0
1984-07-02,,1.59375,1.5,1.5,8800.0
1984-07-03,,1.59375,1.5,1.5,800.0
1984-07-06,,1.59375,1.5,1.5,8000.0
1984-07-11,,1.5,1.375,1.375,5600.0
1984-07-12,,1.46875,1.34375,1.34375,400.0
1984-07-13,,1.4375,1.34375,1.34375,10000.0
1984-07-16,,1.40625,1.3125,1.3125,4000.0
1984-07-19,,1.40625,1.3125,1.3125,4000.0
1984-07-20,,1.40625,1.3125,1.3125,800.0
1984-07-23,,1.40625,1.3125,1.3125,400.0
1984-07-24,,1.40625,1.3125,1.3125,3200.0
1984-07-25,,1.40625,1.3125,1.3125,6000.0
1984-07-27,,1.40625,1.3125,1.3125,1200.0
1984-07-30,,1.40625,1.3125,1.3125,26000.0
1984-07-31,,1.40625,1.3125,1.3125,4000.0
1984-08-02,,1.3125,1.21875,1.21875,8400.0
1984-08-03,,1.3125,1.21875,1.21875,2400.0
1984-08-06,,1.34375,1.25,1.25,14000.0
1984-08-07,,1.34375,1.25,1.25,39200.0
1984-08-08,,1.34375,1.25,1.25,800.0
1984-08-09,,1.3125,1.21875,1.21875,4800.0
1984-08-15,,1.3125,1.21875,1.21875,2000.0
1984-08-20,,1.34375,1.21875,1.21875,14400.0
1984-08-21,,1.3125,1.21875,1.21875,20000.0
1984-08-22,,1.25,1.15625,1.15625,4800.0
1984-08-23,,1.25,1.1875,1.1875,84400.0
1984-08-27,,1.3125,1.1875,1.1875,35600.0
1984-08-28,,1.3125,1.25,1.25,25200.0
1984-08-29,,1.3125,1.25,1.25,6400.0
1984-08-30,,1.3125,1.1875,1.1875,18400.0
1984-09-04,,1.28125,1.1875,1.1875,400.0
1984-09-05,,1.28125,1.1875,1.1875,6000.0
1984-09-06,,1.28125,1.1875,1.1875,5200.0
1984-09-07,,1.3125,1.1875,1.1875,140000.0
1984-09-10,,1.46875,1.375,1.375,197600.0
1984-09-11,,1.5,1.375,1.375,95200.0
1984-09-12,,1.5,1.375,1.375,130000.0
1984-09-13,,1.5,1.375,1.375,73600.0
1984-09-14,,1.5,1.375,1.375,24400.0
1984-09-17,,1.5,1.375,1.375,26000.0
1984-09-18,,1.5,1.375,1.375,14000.0
1984-09-19,,1.5,1.375,1.375,2000.0
1984-09-20,,1.46875,1.34375,1.34375,10400.0
1984-09-21,,1.46875,1.375,1.375,28000.0
1984-09-24,,1.46875,1.375,1.375,1200.0
1984-09-25,,1.46875,1.375,1.375,10000.0
1984-09-27,,1.46875,1.375,1.375,23600.0
1984-09-28,,1.46875,1.375,1.375,11600.0
1984-10-02,,1.46875,1.375,1.375,23600.0
1984-10-03,,1.46875,1.34375,1.34375,4400.0
1984-10-04,,1.46875,1.34375,1.34375,6800.0
1984-10-05,,1.46875,1.34375,1.34375,20000.0
1984-10-08,,1.46875,1.34375,1.34375,5200.0
1984-10-09,,1.46875,1.34375,1.34375,2800.0
1984-10-10,,1.4375,1.3125,1.3125,8800.0
1984-10-11,,1.4375,1.3125,1.3125,9600.0
1984-10-12,,1.40625,1.3125,1.3125,6000.0
1984-10-15,,1.375,1.28125,1.28125,66400.0
1984-10-16,,1.34375,1.25,1.25,27200.0
1984-10-17,,1.34375,1.25,1.25,5200.0
1984-10-18,,1.34375,1.25,1.25,44800.0
1984-10-19,,1.34375,1.25,1.25,4400.0
1984-10-22,,1.34375,1.28125,1.28125,54800.0
1984-10-23,,1.34375,1.28125,1.28125,2800.0
1984-10-24,,1.34375,1.21875,1.21875,21200.0
1984-10-26,,1.34375,1.21875,1.21875,12800.0
1984-10-29,,1.28125,1.25,1.25,92000.0
