Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1986-08-06,,1.8125,1.6875,1.6875,153400.0
1986-08-07,,1.875,1.6875,1.6875,29800.0
1986-08-08,,1.6875,1.5,1.5,80600.0
1986-08-11,,1.6875,1.5625,1.5625,74800.0
1986-08-12,,1.6875,1.5625,1.5625,13600.0
1986-08-13,,1.6875,1.5625,1.5625,19400.0
1986-08-14,,1.6875,1.5625,1.5625,30200.0
1986-08-15,,1.625,1.5625,1.5625,11400.0
1986-08-18,,1.625,1.5,1.5,16400.0
1986-08-19,,1.625,1.5,1.5,16200.0
1986-08-20,,1.625,1.5,1.5,6600.0
1986-08-21,,1.625,1.5,1.5,13000.0
1986-08-22,,1.625,1.5,1.5,32200.0
1986-08-25,,1.625,1.5,1.5,23200.0
1986-08-26,,1.625,1.5,1.5,26800.0
1986-08-27,,1.6875,1.5625,1.5625,35200.0
1986-08-28,,1.6875,1.5625,1.5625,9800.0
1986-08-29,,1.6875,1.5625,1.5625,4400.0
1986-09-02,,1.6875,1.5625,1.5625,2600.0
1986-09-03,,1.6875,1.5625,1.5625,14800.0
1986-09-04,,1.6875,1.5625,1.5625,4400.0
1986-09-05,,1.6875,1.625,1.625,4200.0
1986-09-08,,1.75,1.625,1.625,3400.0
1986-09-09,,1.75,1.625,1.625,7000.0
1986-09-10,,1.75,1.625,1.625,10000.0
1986-09-11,,1.75,1.625,1.625,6200.0
1986-09-12,,1.75,1.625,1.625,2000.0
1986-09-15,,1.75,1.625,1.625,23000.0
1986-09-16,,1.75,1.625,1.625,7400.0
1986-09-17,,1.75,1.625,1.625,6600.0
1986-09-18,,1.8125,1.6875,1.6875,14800.0
1986-09-19,,1.875,1.6875,1.6875,13000.0
1986-09-22,,1.875,1.6875,1.6875,4000.0
1986-09-24,,1.875,1.75,1.75,7400.0
1986-09-25,,1.875,1.75,1.75,11400.0
1986-09-26,,2.0,1.8125,1.8125,6000.0
1986-09-29,,2.0,1.8125,1.8125,12400.0
1986-09-30,,2.0,1.875,1.875,12600.0
1986-10-01,,2.0,1.875,1.875,9200.0
1986-10-02,,2.125,2.0,2.0,27600.0
1986-10-03,,2.1875,2.0,2.0,13200.0
1986-10-06,,2.1875,2.0,2.0,12600.0
1986-10-07,,2.1875,2.0,2.0,20800.0
1986-10-08,,2.1875,2.0625,2.0625,12200.0
1986-10-09,,2.1875,2.0625,2.0625,24800.0
1986-10-10,,2.1875,2.0625,2.0625,12400.0
