Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2012-04-25,4.11,4.34,4.01,4.2,156572.0
2012-04-26,4.12,4.2,4.12,4.2,7294.0
2012-04-27,4.2,4.28,4.17,4.28,4128.0
2012-04-30,4.39,6.14,4.26,4.79,32864.0
2012-05-01,5.5,5.5,4.91,5.13,18060.0
2012-05-02,5.25,5.25,5.02,5.24,4180.0
2012-05-03,5.37,7.91,5.25,5.89,39138.0
2012-05-04,6.01,7.45,6.01,7.44,74517.0
2012-05-07,8.22,9.63,7.87,9.39,65031.0
2012-05-08,9.2,9.25,8.07,8.43,24979.0
2012-05-09,8.29,8.29,7.3,7.46,17430.0
2012-05-10,7.39,7.65,7.26,7.35,8930.0
2012-05-11,7.55,8.63,7.55,7.8,4100.0
2012-05-14,7.9,7.9,7.42,7.42,5103.0
2012-05-15,7.84,7.89,7.25,7.26,1000.0
2012-05-16,7.38,7.38,6.3,6.34,18183.0
2012-05-17,6.26,6.31,5.72,5.775,18720.0
2012-05-18,5.75,6.2,5.61,6.02,7474.0
2012-05-21,6.07,6.46,6.0,6.0,3930.0
2012-05-22,6.06,6.13,5.85,5.85,6760.0
2012-05-23,6.07,6.42,5.54,5.54,12448.0
2012-05-24,5.63,5.7,5.34,5.64,14464.0
2012-05-25,5.65,5.69,5.34,5.44,3300.0
2012-05-29,5.74,5.74,5.43,5.45,10104.0
2012-05-30,5.38,5.45,5.25,5.45,1992.0
2012-05-31,5.41,5.41,5.02,5.16,4434.0
2012-06-01,5.16,5.16,4.9,5.1,8594.0
2012-06-04,4.98,5.37,4.91,5.37,8360.0
2012-06-05,5.25,6.0,5.25,5.54,7621.0
2012-06-06,5.54,6.01,5.53,5.99,2378.0
2012-06-07,5.99,6.31,5.99,6.15,4487.0
2012-06-08,6.13,6.37,5.85,6.37,2500.0
2012-06-11,6.38,6.39,6.03,6.39,600.0
2012-06-12,6.8,6.8,6.52,6.57,4700.0
2012-06-13,6.52,6.7,6.24,6.7,6907.0
2012-06-14,6.5,6.5,5.87,6.44,21015.0
2012-06-15,6.38,6.47,5.89,5.89,8901.0
2012-06-18,5.81,6.21,5.81,6.2,2248.0
2012-06-19,6.34,6.6,6.23,6.58,5300.0
2012-06-20,6.57,6.8,6.31,6.64,8900.0
2012-06-21,6.6,6.63,6.19,6.19,2600.0
2012-06-22,6.22,6.56,6.03,6.56,6733.0
2012-06-25,6.42,6.61,6.32,6.57,2401.0
2012-06-26,6.6,6.73,5.83,6.12,2597.0
2012-06-27,6.36,6.37,6.06,6.37,2247.0
2012-06-28,6.37,6.65,6.01,6.65,6203.0
2012-06-29,6.85,6.85,6.25,6.74,2000.0
2012-07-02,6.79,6.95,6.79,6.95,286.0
2012-07-03,6.9,6.9,6.89,6.89,550.0
2012-07-05,6.85,6.85,6.85,6.85,550.0
2012-07-06,6.71,6.76,6.11,6.24,13820.0
2012-07-09,6.22,6.26,6.22,6.23,778.0
2012-07-10,6.25,6.25,5.87,5.87,2755.0
2012-07-11,5.84,6.01,5.76,5.84,2511.0
2012-07-12,5.75,5.75,5.75,5.75,775.0
2012-07-13,5.84,5.84,5.78,5.8,1550.0
2012-07-16,5.77,5.77,5.77,5.77,
2012-07-17,5.72,5.72,5.55,5.55,600.0
2012-07-18,5.59,5.68,5.59,5.68,1796.0
2012-07-19,5.7,5.7,5.7,5.7,100.0
2012-07-20,5.69,5.69,5.69,5.69,500.0
2012-07-23,6.73,7.0,5.5,5.9,17818.0
2012-07-24,6.18,6.75,6.18,6.73,4017.0
2012-07-25,6.99,7.69,6.95,7.5,8000.0
2012-07-26,7.68,7.68,7.24,7.24,2992.0
2012-07-27,7.48,7.48,6.95,6.95,5790.0
2012-07-30,6.84,7.1,6.84,7.05,1573.0
2012-07-31,7.12,7.21,7.0,7.0,1700.0
2012-08-01,7.07,7.2,7.07,7.19,2839.0
2012-08-02,7.23,7.63,6.93,7.63,5100.0
2012-08-03,7.51,7.51,7.21,7.21,5076.0
