Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-07-03,3.62,4.0,3.62,3.9,3200.0
2019-07-05,4.09,4.85,3.9,4.0,1400.0
2019-07-08,4.1,4.1,3.7752,3.7752,5260.0
2019-07-09,3.85,3.85,3.8,3.815,2120.0
2019-07-10,4.19,4.19,3.9,3.9,1680.0
2019-07-11,4.0,4.0,3.65,3.6501,2945.0
2019-07-12,3.7,3.78,3.55,3.78,5651.0
2019-07-15,3.8,3.8,3.8,3.8,
2019-07-16,3.8116,3.8116,3.8116,3.8116,
2019-07-17,3.9,3.9,3.89,3.89,210.0
2019-07-18,3.85,3.85,3.8,3.8,200.0
2019-07-19,3.855,3.855,3.855,3.855,
2019-07-22,3.93,3.93,3.9,3.9,1.0
2019-07-23,3.97,3.97,3.92,3.92,475.0
2019-07-24,3.86,3.91,3.85,3.91,721.0
2019-07-25,3.85,3.86,3.85,3.85,1043.0
2019-07-26,3.82,4.0,3.82,3.99,2297.0
2019-07-29,3.93,3.93,3.898,3.898,100.0
2019-07-30,4.05,4.05,3.9,4.0,356.0
2019-07-31,4.0,4.0,3.99,4.0,1405.0
2019-08-01,4.06,4.15,3.9376,3.9376,184.0
2019-08-02,3.85,3.98,3.85,3.98,300.0
2019-08-05,4.0,4.15,3.9,4.03,4450.0
2019-08-06,4.0,4.2,4.0,4.2,1772.0
2019-08-07,4.69,4.69,4.265,4.265,9312.0
2019-08-08,4.12,4.25,3.82,4.15,7260.0
2019-08-09,3.98,3.98,3.98,3.98,
2019-08-12,4.09,4.09,3.78,3.879,1100.0
2019-08-13,4.05,4.05,3.59,3.775,4039.0
2019-08-14,3.88,3.88,3.26,3.5,4594.0
2019-08-15,3.36,3.47,3.36,3.47,1500.0
2019-08-16,3.47,3.5,3.45,3.5,957.0
2019-08-19,3.39,3.4,3.37,3.37,1871.0
2019-08-20,3.47,3.47,3.31,3.31,6239.0
2019-08-21,3.51,3.51,3.4,3.4,2553.0
2019-08-22,3.48,3.6,3.48,3.55,11374.0
2019-08-23,3.45,3.45,3.43,3.45,5160.0
2019-08-26,3.46,3.57,3.46,3.57,6435.0
2019-08-27,3.5,3.6,3.5,3.6,5683.0
2019-08-28,3.36,3.75,3.36,3.74,1136.0
2019-08-29,3.8,3.93,3.78,3.88,857.0
2019-08-30,3.89,3.92,3.89,3.92,450.0
2019-09-03,3.89,3.98,3.89,3.965,1267.0
2019-09-04,3.99,3.99,3.83,3.83,1855.0
2019-09-05,3.9,4.0,3.89,3.985,3226.0
2019-09-06,4.0,4.04,3.91,4.01,1698.0
2019-09-09,3.94,4.14,3.88,4.06,8909.0
2019-09-10,3.96,4.42,3.96,4.395,12968.0
2019-09-11,4.26,4.85,4.26,4.85,2186.0
2019-09-12,5.0,5.02,4.75,4.87,10876.0
2019-09-13,4.99,5.1,4.8,4.8,15887.0
2019-09-16,5.0,5.0,4.82,4.89,1788.0
2019-09-17,4.99,5.0,4.87,4.95,8670.0
2019-09-18,5.45,5.45,5.06,5.06,40645.0
2019-09-19,5.32,5.32,4.85,4.85,21689.0
2019-09-20,4.85,5.3,4.85,4.94,59203.0
2019-09-23,4.95,5.7,4.95,5.11,22539.0
2019-09-24,5.3,5.44,5.14,5.14,31529.0
2019-09-25,5.14,5.3,5.14,5.14,11384.0
2019-09-26,5.34,5.34,4.89,5.09,7081.0
2019-09-27,4.93,5.0,4.86,5.0,5728.0
2019-09-30,4.97,5.06,4.86,5.06,2414.0
2019-10-01,5.05,5.05,4.51,4.51,4686.0
2019-10-02,4.51,4.6,4.32,4.32,8174.0
2019-10-03,4.32,4.32,4.11,4.3,1466.0
2019-10-04,4.18,4.48,4.16,4.16,10748.0
2019-10-07,4.1,4.15,4.01,4.11,5489.0
2019-10-08,4.01,4.16,4.01,4.16,826.0
2019-10-09,4.1,4.16,4.1,4.15,2428.0
2019-10-10,4.2,4.22,4.06,4.1,4231.0
2019-10-11,4.29,4.29,4.15,4.15,2803.0
2019-10-14,4.22,4.22,4.05,4.11,2194.0
2019-10-15,4.1,4.33,4.1,4.33,309.0
2019-10-16,4.22,4.55,4.18,4.55,1866.0
2019-10-17,4.56,4.56,4.26,4.26,1893.0
2019-10-18,4.25,4.35,4.13,4.13,1450.0
2019-10-21,4.31,4.31,4.12,4.17,2352.0
2019-10-22,4.29,4.29,4.17,4.18,2205.0
2019-10-23,4.17,4.36,4.17,4.215,4922.0
2019-10-24,4.18,4.2,4.12,4.13,1813.0
2019-10-25,4.13,4.21,4.12,4.12,1510.0
2019-10-28,4.3,4.3,4.12,4.16,2378.0
2019-10-29,4.13,4.18,4.13,4.13,2918.0
2019-10-30,4.11,4.12,3.88,3.88,6189.0
2019-10-31,3.75,3.98,3.75,3.93,6384.0
2019-11-01,3.8,4.08,3.8,3.93,3558.0
2019-11-04,3.91,3.95,3.9,3.95,1333.0
2019-11-05,3.95,3.95,3.79,3.8,1317.0
2019-11-06,3.78,3.78,3.75,3.78,670.0
2019-11-07,3.72,4.08,3.72,3.87,5040.0
2019-11-08,3.9,3.95,3.82,3.87,12185.0
2019-11-11,3.87,4.02,3.87,4.02,908.0
2019-11-12,3.82,4.1,3.82,4.1,936.0
2019-11-13,4.4,4.4,3.99,3.99,9910.0
2019-11-14,3.96,4.0,3.96,3.99,1798.0
2019-11-15,4.0,4.0,3.96,3.96,2263.0
2019-11-18,4.03,4.1,3.65,3.65,2876.0
2019-11-19,3.65,4.07,3.65,3.82,2311.0
2019-11-20,3.93,3.98,3.71,3.71,5098.0
2019-11-21,3.95,3.95,3.45,3.6,7204.0
2019-11-22,3.7,3.73,3.59,3.72,4068.0
2019-11-25,3.88,3.88,3.58,3.71,652.0
2019-11-26,3.82,3.82,3.7,3.7,322.0
2019-11-27,3.81,3.95,3.8,3.8,6634.0
2019-11-29,3.9,4.07,3.9,4.04,14605.0
2019-12-02,4.14,4.14,3.9,3.9,2766.0
2019-12-03,3.98,3.98,3.7,3.88,1743.0
2019-12-04,4.01,4.01,3.8,3.8,3210.0
2019-12-05,3.72,3.91,3.72,3.9,874.0
2019-12-06,3.85,4.01,3.85,4.0,4528.0
2019-12-09,3.94,4.08,3.94,4.08,6017.0
2019-12-10,4.06,4.1,4.0,4.02,2210.0
2019-12-11,4.0,4.15,4.0,4.15,7060.0
2019-12-12,4.23,4.24,4.06,4.2,2806.0
2019-12-13,4.17,4.22,4.03,4.22,1806.0
2019-12-16,4.04,4.1,3.94,4.07,41964.0
2019-12-17,4.01,4.575,4.01,4.4,34640.0
2019-12-18,4.47,4.78,4.4,4.5,43027.0
2019-12-19,4.58,4.6,4.53,4.6,4725.0
2019-12-20,4.58,4.7,4.43,4.7,22637.0
2019-12-23,4.7,5.015,4.59,4.9,13803.0
2019-12-24,4.95,4.95,4.95,4.95,673.0
2019-12-26,5.0,5.0,4.76,4.9,2675.0
2019-12-27,4.76,5.05,4.76,5.03,11448.0
2019-12-30,5.03,5.03,4.84,4.85,2018.0
2019-12-31,4.84,5.07,4.8,4.8,5771.0
