Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-11-07,14.1,14.25,11.845,12.49,605022.0
2019-11-08,12.5,13.02,12.11,12.99,125512.0
2019-11-11,14.4,15.51,13.33,13.92,29749.0
2019-11-12,13.89,13.98,13.12,13.76,15814.0
2019-11-13,13.95,15.0,13.405,14.6,39675.0
2019-11-14,14.58,14.58,13.965,14.19,17951.0
2019-11-15,14.27,14.3,13.56,14.04,11035.0
2019-11-18,14.23,14.33,14.2,14.33,2951.0
2019-11-19,14.35,14.5,14.07,14.07,2458.0
2019-11-20,14.02,14.08,13.85,13.85,3547.0
2019-11-21,13.84,14.15,13.69,13.72,5460.0
2019-11-22,13.55,13.94,13.15,13.36,2948.0
2019-11-25,13.21,13.5,13.03,13.35,3601.0
2019-11-26,13.31,13.44,12.76,13.05,4367.0
2019-11-27,13.05,13.07,12.615,12.615,1180.0
2019-11-29,12.42,13.0,12.42,12.97,1470.0
2019-12-02,12.95,12.99,12.0,12.25,16631.0
2019-12-03,12.1,12.94,12.01,12.2,13753.0
2019-12-04,12.72,13.0,11.71,12.75,35308.0
2019-12-05,12.68,13.0,10.45,10.65,17888.0
2019-12-06,10.66,11.72,9.7,9.81,16247.0
2019-12-09,10.02,10.49,7.8,8.1,41438.0
2019-12-10,8.59,9.2,8.19,9.05,36734.0
2019-12-11,10.0,11.2,10.0,11.2,32216.0
2019-12-12,11.3,11.5,11.15,11.28,9481.0
2019-12-13,11.37,11.85,10.9,11.34,18454.0
2019-12-16,11.24,11.24,10.81,10.88,8482.0
2019-12-17,11.0,11.27,10.8,10.99,15673.0
2019-12-18,10.91,10.92,10.56,10.56,3670.0
2019-12-19,10.9,11.3,10.52,10.66,13471.0
2019-12-20,10.6,11.12,10.23,10.46,121182.0
2019-12-23,10.45,10.84,10.39,10.62,6792.0
2019-12-24,10.64,10.64,10.56,10.56,1292.0
2019-12-26,10.63,10.63,10.21,10.48,2220.0
2019-12-27,10.5,10.51,9.69,9.84,5122.0
2019-12-30,10.05,10.81,9.9,9.99,14381.0
2019-12-31,9.96,10.35,9.89,10.07,18180.0
