Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-03-12,4.36,4.75,4.36,4.75,942.0
2018-03-13,4.3,4.69,4.3,4.69,2784.0
2018-03-14,4.57,4.6,4.57,4.6,127.0
2018-03-15,4.75,4.75,4.75,4.75,183.0
2018-03-16,4.7,5.15,4.7,5.05,3950.0
2018-03-20,5.12,5.17,5.12,5.17,1170.0
2018-03-21,4.91,5.05,4.91,5.05,1716.0
2018-03-22,4.9,5.05,4.9,5.05,92.0
2018-03-26,5.97,6.25,5.7,5.7,2796.0
2018-03-27,5.7,5.7,5.5,5.5,281.0
2018-03-28,5.09,6.25,5.02,5.99,6843.0
2018-03-29,5.99,6.19,5.8,5.95,2602.0
2018-04-02,5.76,6.3,5.35,6.08,15736.0
2018-04-03,6.43,6.43,5.85,6.0,4587.0
2018-04-04,5.5,5.5,5.31,5.32,8627.0
2018-04-05,5.3,5.3,4.8,5.09,7165.0
2018-04-06,4.94,5.05,4.86,5.0,1875.0
2018-04-09,5.11,5.3,4.88,5.0,7631.0
2018-04-10,4.97,5.0,4.9,4.9,818.0
2018-04-11,4.87,4.87,4.71,4.71,697.0
2018-04-12,4.76,4.86,4.76,4.76,1614.0
2018-04-13,4.72,4.72,4.33,4.4,5898.0
2018-04-16,4.52,4.52,4.1,4.21,8468.0
2018-04-17,4.18,4.41,3.79,3.85,7653.0
2018-04-18,3.82,3.91,3.8,3.8,2181.0
2018-04-19,3.78,3.82,3.75,3.75,501.0
2018-04-20,3.84,3.84,3.6,3.6,2051.0
2018-04-23,3.57,3.59,3.25,3.25,2945.0
2018-04-24,3.25,3.27,3.25,3.26,956.0
2018-04-25,3.25,3.26,2.79,2.79,4996.0
2018-04-26,2.79,2.87,2.08,2.09,54769.0
2018-04-27,2.62,2.63,2.2,2.26,56583.0
2018-04-30,2.25,2.6,2.12,2.12,7747.0
2018-05-01,1.92,2.47,1.8,1.85,320985.0
2018-05-02,1.9,1.9,1.82,1.9,14155.0
2018-05-03,1.89,1.89,1.8,1.85,7747.0
2018-05-04,1.85,1.88,1.61,1.86,46773.0
2018-05-07,1.83,1.85,1.805,1.84,45441.0
2018-05-08,1.84,1.85,1.75,1.79,16615.0
2018-05-09,1.83,1.87,1.82,1.86,55666.0
2018-05-10,1.85,1.99,1.85,1.92,26593.0
2018-05-11,1.97,1.97,1.89,1.93,6482.0
2018-05-14,1.95,1.95,1.86,1.9,8228.0
2018-05-15,1.92,2.17,1.76,2.17,34845.0
2018-05-16,2.18,2.18,1.93,2.04,12506.0
2018-05-17,2.02,2.02,1.88,1.89,12253.0
2018-05-18,1.87,1.95,1.85,1.95,9586.0
2018-05-21,2.03,2.03,1.97,2.02,7221.0
2018-05-22,2.0,2.04,1.88,2.0,12136.0
2018-05-23,1.99,2.45,1.97,2.23,58937.0
2018-05-24,2.34,2.34,2.135,2.32,13396.0
2018-05-25,2.21,2.62,2.21,2.42,26255.0
2018-05-29,2.44,2.5,2.36,2.44,17162.0
2018-05-30,2.41,2.47,2.35,2.39,8607.0
2018-05-31,2.35,2.35,2.24,2.25,10683.0
2018-06-01,2.25,2.25,2.25,2.25,7508.0
2018-06-04,2.32,2.32,2.22,2.27,3241.0
2018-06-05,2.25,2.5,2.24,2.24,6534.0
2018-06-06,2.25,2.42,2.2,2.22,20158.0
2018-06-07,2.2,2.26,2.2,2.26,6740.0
2018-06-08,2.28,2.57,2.28,2.5,27033.0
2018-06-11,2.57,3.11,2.57,2.87,69651.0
2018-06-12,2.85,3.15,2.35,2.56,92152.0
2018-06-13,2.54,3.1,2.54,2.9,52727.0
2018-06-14,3.0,3.3,2.98,3.15,36774.0
2018-06-15,3.17,3.79,3.17,3.33,214077.0
2018-06-18,3.36,4.15,3.36,3.94,99640.0
2018-06-19,4.11,5.5,3.96,4.44,166593.0
2018-06-20,4.34,4.95,4.34,4.77,23345.0
2018-06-21,4.75,4.77,4.0,4.04,37668.0
2018-06-22,3.82,3.98,3.15,3.71,96529.0
2018-06-25,3.74,3.74,3.005,3.06,21126.0
2018-06-26,3.04,3.64,3.04,3.45,10651.0
2018-06-27,3.45,3.61,3.33,3.34,5448.0
2018-06-28,3.4,3.4,3.14,3.26,2619.0
2018-06-29,3.26,3.66,3.26,3.66,4881.0
2018-07-02,3.75,3.89,3.55,3.79,8524.0
2018-07-03,3.79,3.79,3.58,3.75,1047.0
2018-07-05,3.74,3.87,3.62,3.87,2640.0
2018-07-06,3.64,3.94,3.64,3.94,3381.0
2018-07-09,3.94,3.94,3.74,3.74,2298.0
2018-07-10,3.7,3.86,3.7,3.86,4032.0
2018-07-11,3.87,3.87,3.63,3.79,1701.0
2018-07-12,3.9,4.4,3.76,4.4,17480.0
2018-07-13,4.48,4.49,4.19,4.38,7075.0
2018-07-16,4.35,4.35,4.28,4.35,584.0
2018-07-17,4.38,4.58,4.38,4.4,19595.0
2018-07-18,4.48,4.96,4.48,4.95,15785.0
2018-07-19,4.84,5.09,4.81,4.87,7848.0
2018-07-20,4.9,4.94,4.81,4.87,2348.0
2018-07-23,4.84,4.84,4.6,4.635,9442.0
2018-07-24,4.62,4.92,4.61,4.61,7609.0
2018-07-25,4.635,4.78,4.6,4.78,2203.0
2018-07-26,4.73,4.73,4.43,4.43,5601.0
2018-07-27,4.47,4.6,4.34,4.53,6773.0
2018-07-30,4.5,4.5,4.26,4.26,2956.0
2018-07-31,4.3,4.37,3.905,4.03,10612.0
2018-08-01,4.05,4.17,4.05,4.17,300.0
2018-08-02,4.15,4.15,3.95,3.95,1294.0
2018-08-03,4.0,4.18,4.0,4.18,2032.0
2018-08-06,4.08,4.08,3.98,3.99,3788.0
2018-08-07,3.99,4.07,3.99,4.06,13777.0
2018-08-08,4.03,4.08,3.96,4.08,435.0
2018-08-09,4.04,4.11,3.99,4.03,7681.0
2018-08-10,4.11,4.12,3.75,3.75,5810.0
2018-08-13,3.84,3.95,3.84,3.9,3544.0
2018-08-14,3.79,3.905,3.79,3.8,6929.0
2018-08-15,3.75,3.9,3.74,3.9,8345.0
2018-08-16,3.88,3.88,3.72,3.75,466.0
2018-08-17,3.74,4.14,3.74,4.14,836.0
2018-08-20,4.19,4.2,4.1,4.11,5153.0
2018-08-21,4.1,4.1,3.56,3.56,14171.0
2018-08-22,3.53,3.74,3.45,3.74,3825.0
2018-08-23,3.78,3.79,3.6,3.79,863.0
2018-08-24,3.67,3.93,3.67,3.85,5498.0
2018-08-27,3.85,3.975,3.83,3.83,4811.0
2018-08-28,3.8,3.85,3.5,3.5,25852.0
2018-08-29,3.56,3.76,3.56,3.76,3805.0
2018-08-30,3.73,3.77,3.66,3.66,1129.0
2018-08-31,3.7,3.7,3.7,3.7,624.0
2018-09-04,3.75,4.0,3.69,3.93,4124.0
2018-09-05,3.78,3.89,3.73,3.76,5014.0
2018-09-06,3.84,3.87,3.74,3.87,263.0
2018-09-07,3.82,3.82,2.96,3.2,56812.0
2018-09-10,3.2,3.37,3.19,3.21,16918.0
2018-09-11,3.19,3.23,3.14,3.16,17148.0
2018-09-12,3.16,3.24,3.05,3.17,23543.0
2018-09-13,3.16,3.24,3.06,3.06,8893.0
2018-09-14,3.05,3.07,2.95,3.02,51322.0
2018-09-17,3.03,3.1,2.64,2.76,50721.0
2018-09-18,2.79,3.19,2.64,2.69,4756.0
2018-09-19,2.67,2.86,2.55,2.55,11165.0
2018-09-20,2.66,2.96,2.64,2.8,25380.0
2018-09-21,2.79,2.8,2.75,2.78,9908.0
2018-09-24,2.86,2.86,2.73,2.74,740.0
2018-09-25,2.73,2.77,2.17,2.3,12674.0
2018-09-26,2.28,2.36,2.24,2.31,6524.0
2018-09-27,2.33,2.44,2.33,2.44,3406.0
2018-09-28,2.37,2.51,2.37,2.5,7837.0
2018-10-01,2.49,2.54,2.45,2.5,5831.0
2018-10-02,2.48,2.675,2.48,2.6,3287.0
2018-10-03,2.61,3.0,2.61,2.93,9086.0
2018-10-04,2.95,2.95,2.92,2.92,2482.0
2018-10-05,2.9,3.0,2.7,2.7,5358.0
2018-10-08,2.79,2.79,2.74,2.74,563.0
2018-10-09,2.76,2.99,2.74,2.74,5354.0
2018-10-10,2.75,2.8,2.7,2.7,3979.0
2018-10-11,2.7,2.89,2.7,2.83,2357.0
2018-10-12,2.84,2.84,2.7,2.7,901.0
2018-10-15,2.7,2.71,2.665,2.7,4363.0
2018-10-16,2.7,2.7,2.67,2.67,424.0
2018-10-17,2.66,2.9,2.66,2.85,8562.0
2018-10-18,2.86,2.9,2.85,2.88,4317.0
2018-10-19,2.85,2.85,2.8,2.8,773.0
2018-10-22,2.84,2.84,2.62,2.66,14995.0
2018-10-23,2.64,2.64,2.4,2.55,2541.0
2018-10-24,2.53,2.53,1.92,2.03,21439.0
2018-10-25,2.03,2.2,1.98,1.98,5840.0
2018-10-26,1.93,1.98,1.85,1.86,12570.0
2018-10-29,1.91,1.91,1.66,1.72,13618.0
2018-10-30,1.71,1.8,1.65,1.65,3519.0
2018-10-31,1.66,1.98,1.66,1.85,17775.0
2018-11-01,1.84,2.0,1.81,1.82,16840.0
2018-11-02,1.82,1.82,1.71,1.78,11848.0
2018-11-05,1.77,1.77,1.51,1.6,32097.0
2018-11-06,1.61,1.725,1.61,1.7,12114.0
2018-11-07,1.69,1.71,1.53,1.66,10672.0
2018-11-08,1.7,2.0,1.7,1.92,12002.0
2018-11-09,1.92,1.97,1.805,1.83,5737.0
2018-11-12,1.75,2.13,1.75,2.05,24249.0
2018-11-13,2.08,2.7,2.08,2.7,24776.0
2018-11-14,2.5,2.73,2.44,2.6,10223.0
2018-11-15,2.75,3.08,2.705,2.77,13310.0
2018-11-16,2.82,2.85,2.7,2.71,2638.0
2018-11-19,2.71,2.97,2.61,2.97,11398.0
2018-11-20,2.96,2.96,2.73,2.89,2806.0
2018-11-21,2.87,2.96,2.81,2.85,899.0
2018-11-23,2.81,2.83,2.8,2.8,1992.0
2018-11-26,2.81,2.99,2.68,2.85,10940.0
2018-11-27,2.8,3.48,2.8,3.27,18190.0
2018-11-28,3.16,3.35,3.14,3.35,7586.0
2018-11-29,3.31,3.31,3.3,3.3,453.0
2018-11-30,3.32,3.62,3.32,3.5,15323.0
2018-12-03,3.55,3.55,3.5,3.55,3408.0
2018-12-04,3.57,3.59,3.45,3.59,3766.0
2018-12-06,3.59,3.69,3.56,3.65,4898.0
2018-12-07,3.56,3.82,3.56,3.68,11336.0
2018-12-10,3.75,3.76,3.56,3.56,2573.0
2018-12-11,3.58,3.61,3.52,3.52,3869.0
2018-12-12,3.54,3.59,3.5,3.54,1406.0
2018-12-13,3.59,3.59,3.21,3.43,8021.0
2018-12-14,3.42,3.42,2.92,3.13,8998.0
2018-12-17,3.15,3.15,3.07,3.07,411.0
2018-12-18,3.11,3.11,2.81,2.81,2816.0
2018-12-19,2.84,2.84,2.78,2.82,5837.0
2018-12-20,2.85,2.92,2.79,2.92,5546.0
2018-12-21,2.91,3.09,2.91,3.09,3715.0
2018-12-24,3.04,3.04,2.95,2.95,2495.0
2018-12-26,3.0,3.0,2.79,2.93,3825.0
2018-12-27,2.85,2.98,2.77,2.84,6498.0
2018-12-28,2.8,3.3,2.8,3.3,16010.0
2018-12-31,3.3,3.77,3.29,3.6,14067.0
2019-01-02,3.68,3.8,3.58,3.8,2588.0
2019-01-03,4.25,5.27,3.72,4.14,228855.0
2019-01-04,3.79,4.19,3.5,4.1,18817.0
2019-01-07,3.99,4.0,3.49,3.74,31664.0
2019-01-08,3.6,3.68,3.43,3.46,14495.0
2019-01-09,3.44,3.6,3.4,3.5,5787.0
2019-01-10,3.51,3.72,3.47,3.65,5677.0
2019-01-11,3.63,3.95,3.62,3.95,7572.0
2019-01-14,3.96,4.11,3.9,4.05,14057.0
2019-01-15,4.02,4.14,3.95,3.97,19684.0
2019-01-16,3.97,4.05,3.7,3.7,12897.0
2019-01-17,3.71,3.92,3.71,3.83,3169.0
2019-01-18,3.79,3.9,3.79,3.86,1654.0
2019-01-22,3.46,3.5,3.25,3.25,21329.0
2019-01-23,3.18,3.2,2.72,2.87,19727.0
2019-01-24,2.92,3.2,2.88,3.2,8313.0
2019-01-25,3.2,3.2,3.01,3.01,7382.0
2019-01-28,3.0,3.0,2.85,2.98,4015.0
2019-01-29,2.89,3.03,2.89,3.03,3556.0
