Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1980-03-17,,7.0,6.5,6.5,6200.0
1980-03-18,,7.0,6.5,6.5,5200.0
1980-03-19,,7.0,6.5,6.5,10400.0
1980-03-20,,7.0,6.5,6.5,7800.0
1980-03-21,,7.0,6.5,6.5,2800.0
1980-03-24,,6.75,6.25,6.25,3000.0
1980-03-25,,6.75,6.25,6.25,4600.0
1980-03-26,,6.75,6.25,6.25,11600.0
1980-03-27,,6.125,5.625,5.625,16600.0
1980-03-28,,6.5,6.0,6.0,7400.0
1980-03-31,,6.375,5.875,5.875,600.0
1980-04-01,,6.625,6.125,6.125,5000.0
1980-04-02,,6.625,6.125,6.125,2800.0
1980-04-03,,6.625,6.125,6.125,400.0
1980-04-07,,6.5,6.0,6.0,7800.0
1980-04-08,,6.5,6.0,6.0,800.0
1980-04-09,,6.75,6.25,6.25,3400.0
1980-04-10,,6.75,6.25,6.25,1000.0
1980-04-11,,6.75,6.25,6.25,2800.0
1980-04-14,,6.875,6.375,6.375,200.0
1980-04-15,,6.875,6.375,6.375,2000.0
1980-04-17,,6.875,6.375,6.375,600.0
1980-04-18,,6.875,6.375,6.375,2600.0
1980-04-21,,6.875,6.375,6.375,1200.0
1980-04-22,,7.0,6.5,6.5,4000.0
1980-04-23,,7.0,6.5,6.5,800.0
1980-04-24,,7.125,6.625,6.625,600.0
1980-04-25,,7.125,6.625,6.625,1400.0
1980-04-28,,7.125,6.625,6.625,8000.0
1980-04-29,,7.125,6.625,6.625,1000.0
1980-04-30,,7.125,6.625,6.625,5000.0
1980-05-01,,7.125,6.625,6.625,5200.0
1980-05-02,,7.125,6.625,6.625,1200.0
1980-05-05,,7.125,6.625,6.625,800.0
1980-05-06,,7.125,6.625,6.625,8000.0
1980-05-07,,7.25,6.75,6.75,1000.0
1980-05-08,,7.25,6.75,6.75,1400.0
1980-05-09,,7.25,6.75,6.75,2600.0
1980-05-12,,7.25,6.75,6.75,600.0
1980-05-13,,7.25,6.75,6.75,400.0
1980-05-14,,7.25,6.75,6.75,2000.0
1980-05-15,,7.25,6.75,6.75,4600.0
1980-05-16,,7.5,7.0,7.0,9600.0
1980-05-19,,8.25,7.75,7.75,21600.0
1980-05-20,,8.0,7.5,7.5,4600.0
1980-05-21,,7.875,7.375,7.375,3400.0
1980-05-22,,8.0,7.5,7.5,7600.0
1980-05-23,,8.0,7.5,7.5,3800.0
1980-05-27,,8.0,7.5,7.5,2000.0
1980-05-28,,7.75,7.25,7.25,11400.0
1980-05-29,,7.75,7.25,7.25,1400.0
1980-05-30,,7.625,7.125,7.125,400.0
1980-06-02,,7.625,7.125,7.125,2400.0
1980-06-03,,7.75,7.25,7.25,10200.0
1980-06-04,,7.75,7.25,7.25,3800.0
1980-06-05,,7.75,7.25,7.25,4800.0
1980-06-06,,7.875,7.375,7.375,6600.0
1980-06-09,,7.875,7.375,7.375,400.0
1980-06-10,,8.0,7.5,7.5,3800.0
1980-06-11,,7.875,7.375,7.375,7400.0
1980-06-12,,7.875,7.375,7.375,1200.0
1980-06-13,,7.875,7.375,7.375,4600.0
1980-06-16,,7.875,7.375,7.375,5200.0
1980-06-17,,7.875,7.375,7.375,3800.0
1980-06-19,,7.875,7.375,7.375,1000.0
1980-06-20,,7.875,7.375,7.375,3200.0
1980-06-23,,7.875,7.375,7.375,1400.0
1980-06-24,,7.875,7.375,7.375,2600.0
1980-06-25,,7.875,7.375,7.375,2400.0
1980-06-26,,7.875,7.375,7.375,1600.0
1980-06-27,,7.875,7.375,7.375,1800.0
1980-06-30,,8.0,7.5,7.5,2800.0
1980-07-01,,7.875,7.375,7.375,4600.0
1980-07-02,,7.875,7.375,7.375,600.0
1980-07-03,,7.875,7.375,7.375,600.0
1980-07-07,,7.625,7.375,7.375,1600.0
1980-07-08,,7.625,7.375,7.375,1400.0
1980-07-09,,7.625,7.375,7.375,2600.0
1980-07-10,,7.5,7.375,7.375,4800.0
1980-07-11,,7.625,7.375,7.375,4600.0
1980-07-14,,7.625,7.375,7.375,6400.0
1980-07-15,,7.75,7.625,7.625,5400.0
1980-07-16,,8.375,8.25,8.25,42600.0
1980-07-17,,8.0,7.75,7.75,15400.0
1980-07-18,,8.375,8.0,8.0,13600.0
1980-07-21,,8.25,8.0,8.0,4400.0
1980-07-22,,8.75,8.5,8.5,33000.0
1980-07-23,,8.75,8.5,8.5,10600.0
1980-07-24,,8.625,8.375,8.375,8600.0
1980-07-25,,8.5,8.125,8.125,2800.0
1980-07-28,,8.375,8.125,8.125,3800.0
