Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-02-08,15.0,16.25,14.07,14.275,20585732.0
2006-02-09,14.62,14.67,13.06,13.525,3693504.0
2006-02-10,13.5,13.75,13.01,13.275,1520502.0
2006-02-13,13.25,14.1245,13.195,13.85,1511428.0
2006-02-14,13.875,14.235,13.875,13.9,2338372.0
2006-02-15,14.0,14.0,13.895,14.0,1676848.0
2006-02-16,14.75,14.875,14.17,14.175,5042238.0
2006-02-17,14.275,14.275,13.525,13.7,1819708.0
2006-02-21,13.945,14.0,13.73,14.0,1486546.0
2006-02-22,14.1,14.1,13.5,13.585,881852.0
2006-02-23,13.6,14.015,13.51,13.845,546886.0
2006-02-24,13.99,14.3,13.76,14.23,698246.0
2006-02-27,14.38,14.38,13.875,14.225,743494.0
2006-02-28,14.185,14.185,13.72,13.745,1061322.0
2006-03-01,13.875,14.1,12.9,13.45,2423156.0
2006-03-02,13.385,13.71,13.25,13.3,2119994.0
2006-03-03,13.125,13.5,11.565,13.17,3724522.0
2006-03-06,13.16,13.395,12.63,13.025,895524.0
2006-03-07,12.705,12.985,12.68,12.875,834924.0
2006-03-08,12.755,13.345,12.575,12.975,889086.0
2006-03-09,12.995,13.0,12.58,12.75,1985366.0
2006-03-10,12.7,12.75,12.0,12.095,3785632.0
2006-03-13,12.24,12.51,11.7,11.74,1076810.0
2006-03-14,11.705,12.2,11.35,11.86,1416914.0
2006-03-15,11.93,12.23,11.89,12.03,626788.0
2006-03-16,12.21,12.845,12.175,12.55,894648.0
2006-03-17,12.72,12.765,12.035,12.165,707314.0
2006-03-20,12.66,12.66,11.405,11.5,2027492.0
2006-03-21,11.5,11.625,11.025,11.03,1358082.0
2006-03-22,11.0,11.0,10.165,10.815,3207360.0
2006-03-23,10.76,11.12,10.76,10.985,1178088.0
2006-03-24,10.925,11.855,10.82,11.755,2003532.0
2006-03-27,11.83,12.025,11.685,11.97,654098.0
2006-03-28,12.045,12.045,11.715,11.925,895496.0
2006-03-29,11.78,12.125,11.725,11.865,989428.0
2006-03-30,11.825,12.525,11.75,12.405,1055970.0
2006-03-31,12.5,12.965,12.34,12.575,1982322.0
2006-04-03,12.7,13.375,12.575,13.165,1368568.0
2006-04-04,13.27,14.0,13.245,13.545,1168144.0
2006-04-05,13.615,13.641,13.155,13.57,573040.0
2006-04-06,13.57,13.675,13.0,13.145,796604.0
2006-04-07,13.28,13.41,12.755,13.035,620240.0
2006-04-10,13.035,13.035,12.855,13.0,300124.0
2006-04-11,13.0,13.31,12.21,13.25,1065010.0
2006-04-12,13.045,13.9,13.0,13.345,1052578.0
2006-04-13,13.375,13.59,13.27,13.35,245298.0
2006-04-17,13.35,13.625,12.79,13.3,253330.0
2006-04-18,13.285,13.71,13.0,13.485,472356.0
2006-04-19,13.34,13.85,13.145,13.49,442514.0
2006-04-20,13.58,13.825,13.325,13.75,462594.0
2006-04-21,13.84,14.195,13.785,13.88,887012.0
2006-04-24,13.875,13.95,13.625,13.93,479780.0
2006-04-25,13.99,13.99,13.755,13.845,455884.0
2006-04-26,13.9,14.85,13.9,14.305,1281208.0
2006-04-27,14.495,15.25,14.0,14.955,1343768.0
2006-04-28,15.0,15.25,14.51,14.95,812580.0
2006-05-01,15.0,15.345,14.625,14.725,667816.0
2006-05-02,14.725,14.9,14.54,14.865,518334.0
2006-05-03,14.905,16.1,14.89,15.75,1759428.0
2006-05-04,16.0,16.225,15.625,16.17095,2881182.0
2006-05-05,17.68,18.5,15.64,15.925,7627170.0
2006-05-08,15.8,15.865,14.315,14.5,3472684.0
2006-05-09,14.46,14.96,14.255,14.905,2328182.0
2006-05-10,14.85,14.95,14.5,14.605,522414.0
2006-05-11,14.645,15.65,14.1,14.59995,2600708.0
2006-05-12,14.785,14.785,14.125,14.47,595864.0
2006-05-15,14.735,14.735,14.0,14.165,403244.0
2006-05-16,14.215,14.305,13.7,13.835,556620.0
2006-05-17,13.825,14.34,13.625,14.15,637436.0
2006-05-18,14.25,14.58995,13.76,14.005,918034.0
2006-05-19,14.02,14.785,14.02,14.51,1035506.0
2006-05-22,14.685,14.855,14.19,14.545,493610.0
2006-05-23,14.545,14.85,13.64145,14.0,582580.0
2006-05-24,14.32,14.32,13.065,13.205,1033072.0
2006-05-25,13.205,13.5,12.815,13.0,544514.0
2006-05-26,14.125,14.125,11.965,12.09,3133270.0
2006-05-30,12.215,12.215,11.665,11.775,1154238.0
2006-05-31,11.745,12.10995,11.405,11.455,838462.0
2006-06-01,11.555,12.22,11.405,12.045,1016218.0
2006-06-02,12.28,12.59,12.175,12.265,781120.0
2006-06-05,12.455,12.47,11.735,11.745,514824.0
2006-06-06,11.72,11.885,11.515,11.66,347966.0
2006-06-07,11.63,11.99495,11.52005,11.72,268022.0
2006-06-08,11.695,11.865,10.83,11.55,1096158.0
2006-06-09,11.735,12.34,11.675,12.165,536024.0
2006-06-12,12.125,12.225,11.645,11.65,638166.0
2006-06-13,11.6,11.875,11.04,11.05,322408.0
2006-06-14,11.045,11.67,10.78,11.495,492564.0
2006-06-15,11.665,12.05,11.66,11.805,238656.0
2006-06-16,11.85,12.345,11.825,12.155,679328.0
2006-06-19,12.165,12.305,11.55,11.75,343718.0
2006-06-20,11.73,12.07,11.73,11.95,273924.0
2006-06-21,12.04,12.04,11.8,11.875,435522.0
2006-06-22,11.91,12.075,11.755,11.955,466268.0
2006-06-23,11.915,12.18,11.75,11.99,363454.0
2006-06-26,12.03,12.11995,11.845,12.015,222964.0
2006-06-27,12.075,12.075,11.6,11.635,185628.0
2006-06-28,11.62,11.935,11.45,11.845,179828.0
2006-06-29,11.825,12.5,11.775,12.44,397028.0
2006-06-30,12.515,12.575,12.06,12.575,1029440.0
2006-07-03,12.625,12.84,12.505,12.835,278756.0
2006-07-05,12.935,12.935,12.155,12.36,533912.0
2006-07-06,12.45,12.59905,12.185,12.42,297662.0
2006-07-07,12.36,12.64,12.13,12.35,602076.0
2006-07-10,12.45,12.495,11.325,11.45,1105228.0
2006-07-11,11.4,12.0,11.4,11.755,658360.0
2006-07-12,11.71,12.035,11.54,11.9,535404.0
2006-07-13,11.95,12.245,11.75,11.93,603948.0
2006-07-14,11.95,12.06495,11.535,11.74,336256.0
2006-07-17,11.75,11.75,11.58,11.675,427172.0
2006-07-18,11.665,11.725,11.36,11.705,1087636.0
2006-07-19,11.665,12.495,11.665,12.3,692306.0
2006-07-20,12.475,12.475,12.225,12.315,366580.0
2006-07-21,12.24,12.68,12.0,12.465,466286.0
2006-07-24,12.5,13.61,12.125,13.35,1740436.0
2006-07-25,13.35,13.433,12.745,13.425,559560.0
2006-07-26,13.5,13.5,12.9,13.01,873000.0
2006-07-27,13.185,13.2,12.81,13.155,804228.0
2006-07-28,13.19,13.575,13.19,13.355,1086158.0
2006-07-31,13.5,14.22,13.35,13.835,1107256.0
2006-08-01,14.165,14.24,13.635,14.01,589180.0
2006-08-02,14.12,14.19,13.69,13.895,581264.0
2006-08-03,13.9,14.59,13.605,14.5,2729112.0
2006-08-04,15.165,15.375,13.025,13.705,5628972.0
2006-08-07,13.295,13.42,12.67,13.22,1431550.0
2006-08-08,13.4,13.4,12.58,12.68,479394.0
2006-08-09,13.0,13.0,12.52,12.69,485860.0
2006-08-10,12.525,12.73,12.365,12.645,664908.0
2006-08-11,12.685,13.445,12.585,13.44,1095206.0
2006-08-14,13.75,14.05,13.44,13.525,736036.0
2006-08-15,13.675,13.805,13.0,13.425,607718.0
2006-08-16,13.59,13.975,13.29,13.83,629866.0
2006-08-17,14.055,14.065,13.155,13.5,3406594.0
2006-08-18,13.49,13.5,13.025,13.27,940558.0
2006-08-21,13.15,13.8,13.1,13.77,989090.0
2006-08-22,13.51,14.105,13.5,13.625,1005684.0
2006-08-23,13.59,13.6,13.035,13.35,860782.0
2006-08-24,13.32,13.575,13.075,13.14,566290.0
2006-08-25,13.14,13.36,13.1,13.33,477624.0
2006-08-28,13.745,13.97,13.445,13.8,1671082.0
2006-08-29,13.85,14.05,13.555,13.915,1051718.0
2006-08-30,14.08,14.08,13.45,13.505,963536.0
2006-08-31,13.6,13.6,13.3,13.51,249006.0
2006-09-01,13.465,13.5,13.235,13.24,485248.0
2006-09-05,13.36,13.555,13.25,13.355,465380.0
2006-09-06,13.4,13.62,13.355,13.5,752012.0
2006-09-07,13.75,13.99,13.6,13.865,1493568.0
2006-09-08,14.06,14.115,13.645,13.86,993238.0
2006-09-11,13.8,13.8,13.365,13.615,670290.0
2006-09-12,13.55,14.355,13.55,14.3,1159756.0
2006-09-13,14.35,14.945,14.325,14.675,1205124.0
2006-09-14,14.59,15.24,14.555,14.8,1157834.0
2006-09-15,15.0,15.04,14.34,14.82,667070.0
2006-09-18,14.75,15.0,14.45,14.96,530132.0
2006-09-19,15.0,15.33,14.74,15.055,957194.0
2006-09-20,15.08,15.27,14.895,14.975,247990.0
2006-09-21,14.965,15.18,14.725,15.15,505978.0
2006-09-22,14.885,15.15,14.63,15.095,466960.0
2006-09-25,15.06,16.325,14.965,16.07,2811844.0
2006-09-26,16.105,17.175,15.665,16.83,4785806.0
2006-09-27,16.95,17.37,16.835,16.95,2101278.0
2006-09-28,17.505,17.525,16.755,16.97,2420716.0
2006-09-29,17.0,17.125,16.82,16.975,3603538.0
2006-10-02,16.88,16.925,15.83,16.2,1195300.0
2006-10-03,16.05,16.915,15.875,16.785,1017156.0
2006-10-04,17.085,17.2,16.69,17.125,1115726.0
2006-10-05,17.195,17.5,16.875,17.45,1485454.0
2006-10-06,17.465,17.5,17.005,17.125,430938.0
2006-10-09,17.0,17.235,16.565,16.985,349796.0
2006-10-10,17.0,18.0,16.85,17.88,1585664.0
2006-10-11,17.9,19.0,17.87,18.825,2274324.0
2006-10-12,19.235,19.455,18.69,19.34,1687326.0
2006-10-13,19.375,19.555,19.13,19.44,1115800.0
2006-10-16,19.5,19.625,19.2,19.27,1039460.0
2006-10-17,19.195,19.195,18.35,18.665,1182672.0
2006-10-18,18.715,18.91,18.375,18.605,555546.0
2006-10-19,18.54,19.125,18.325,18.455,688478.0
2006-10-20,18.52,19.0,18.05,18.455,572930.0
2006-10-23,18.5,18.68,18.32,18.475,557784.0
2006-10-24,18.525,19.22,18.43,18.895,2129808.0
2006-10-25,18.9,19.125,18.34,18.705,593960.0
2006-10-26,18.625,19.595,18.39,19.385,1080048.0
2006-10-27,19.385,19.875,18.875,19.475,1186108.0
2006-10-30,19.65,19.88,19.275,19.61,967374.0
2006-10-31,19.805,19.97,19.45,19.81,754942.0
2006-11-01,19.785,19.875,18.695,18.91,813928.0
2006-11-02,18.76,18.985,17.625,18.75,1613544.0
2006-11-03,19.21,20.25,19.02,19.5,3844136.0
2006-11-06,19.745,20.725,19.65,20.635,1305048.0
2006-11-07,21.0,22.555,20.995,22.16,5131280.0
2006-11-08,22.0,22.7,21.695,22.32,1672278.0
2006-11-09,22.5,22.625,21.805,22.35,1336894.0
2006-11-10,22.625,23.695,22.6,23.57,1986608.0
2006-11-13,23.505,24.575,23.5,24.41,2213478.0
2006-11-14,24.36,24.56,23.71,24.09,1972346.0
2006-11-15,23.9,25.125,23.3,23.925,2372100.0
2006-11-16,23.73,24.11,22.775,22.835,1262180.0
2006-11-17,22.09,23.55,21.77,23.245,1558354.0
2006-11-20,23.35,23.35,22.515,22.64,1276598.0
2006-11-21,22.0,22.015,20.975,21.395,5726936.0
2006-11-22,21.71,21.71,21.035,21.235,1435644.0
2006-11-24,21.185,21.71,21.07,21.225,732974.0
2006-11-27,21.095,21.2,20.56,20.885,1500864.0
