Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-06-23,2.995,3.045,2.5425,2.935,932388.0
2006-06-26,2.9,3.0,2.9,2.9975,82012.0
2006-06-27,2.945,3.0,2.801625,2.8025,69108.0
2006-06-28,2.67,2.795,2.625,2.725,222232.0
2006-06-29,2.67,2.85,2.67,2.8475,199600.0
2006-06-30,2.9575,2.9575,2.8525,2.8925,141600.0
2006-07-03,2.9675,2.9675,2.6525,2.8275,71600.0
2006-07-05,2.875,2.9,2.85,2.8625,57784.0
2006-07-06,2.8425,2.9725,2.8425,2.943375,45200.0
2006-07-07,2.9175,2.995,2.9125,2.925,65100.0
2006-07-10,2.875,2.9475,2.625,2.9375,42008.0
2006-07-11,2.955,3.0,2.955,3.0,45032.0
2006-07-12,3.01,3.0375,2.895,2.975,161860.0
2006-07-13,3.015,3.015,2.905,2.905,22900.0
2006-07-14,2.92,2.92,2.825,2.8825,37144.0
2006-07-17,2.86,2.895,2.86,2.895,37000.0
2006-07-18,2.9675,3.02,2.7575,2.9225,101500.0
2006-07-19,2.9725,2.9875,2.921375,2.92175,9420.0
2006-07-20,2.9025,2.9525,2.9025,2.95,124800.0
2006-07-21,2.9,2.9125,2.875,2.9125,33400.0
2006-07-24,3.0,3.0,2.8875,2.95,44872.0
2006-07-25,2.8875,2.9375,2.825,2.8675,58780.0
2006-07-26,2.875,2.925,2.875,2.9025,44160.0
2006-07-27,2.9025,2.9735,2.887,2.887,39700.0
2006-07-28,2.898375,2.935,2.88,2.88,55000.0
2006-07-31,2.85,3.02,2.85,3.02,49840.0
2006-08-01,3.0,3.0525,2.9975,3.0375,125904.0
2006-08-02,3.125,3.2875,3.0725,3.2875,249412.0
2006-08-03,3.11,3.475,3.11,3.44,150108.0
2006-08-04,3.3525,3.5,3.3525,3.425,28156.0
2006-08-07,3.375,3.5525,3.3225,3.3275,40216.0
2006-08-08,3.3275,3.4975,3.3275,3.47,69160.0
2006-08-09,3.44,3.47,3.345,3.4175,71300.0
2006-08-10,3.445,3.445,3.3575,3.365,62576.0
2006-08-11,3.3925,3.3925,3.3075,3.3075,7752.0
2006-08-14,3.3525,3.3525,3.2575,3.275,34828.0
2006-08-15,3.3725,3.375,3.31,3.3175,41272.0
2006-08-16,3.4075,3.42,3.34,3.375,53660.0
2006-08-17,3.52,3.52,3.365,3.445,89744.0
2006-08-18,3.52,3.52,3.4625,3.475,12688.0
2006-08-21,3.5,3.6425,3.5,3.53,31200.0
2006-08-22,3.3875,3.515,3.3875,3.4875,156280.0
2006-08-23,3.5,3.5425,3.4675,3.4675,88904.0
2006-08-24,3.44,3.5175,3.44,3.5,26228.0
2006-08-25,3.5375,3.5375,3.515,3.5325,10800.0
2006-08-28,3.52,3.5675,3.4975,3.5025,16048.0
