Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-01-02,11.99,12.47,11.1,11.63,136802.0
2018-01-03,11.88,12.86,11.88,12.75,62057.0
2018-01-04,13.08,14.0,13.08,13.75,89789.0
2018-01-05,15.5,15.5,14.5,14.96,95944.0
2018-01-08,15.0,15.0,13.8,14.6,51027.0
2018-01-09,14.72,15.0,14.54,14.99,35610.0
2018-01-10,14.99,15.43,14.53,14.78,24640.0
2018-01-11,15.35,15.4,15.04,15.21,30085.0
2018-01-12,15.11,15.5,15.11,15.5,18967.0
2018-01-16,15.9,16.1,14.89,15.53,49308.0
2018-01-17,15.69,15.76,15.26,15.37,12387.0
2018-01-18,15.15,15.15,14.02,14.66,18624.0
2018-01-19,14.86,14.86,14.32,14.45,18823.0
2018-01-22,14.5,15.57,14.5,15.48,33229.0
2018-01-23,15.63,15.99,15.4,15.6,16783.0
2018-01-24,15.75,15.81,15.38,15.7,15351.0
2018-01-25,15.99,16.0,15.37,15.83,15543.0
2018-01-26,15.91,15.91,15.37,15.49,20444.0
2018-01-29,15.5,15.8,15.35,15.55,33772.0
2018-01-30,15.42,15.42,14.64,15.08,11452.0
2018-01-31,15.22,15.325,14.95,15.15,20348.0
2018-02-01,15.01,15.1,14.61,14.95,18597.0
2018-02-02,14.88,15.08,14.66,14.95,22468.0
2018-02-05,15.0,15.05,14.04,14.74,16372.0
2018-02-06,14.5,14.75,14.21,14.42,16042.0
2018-02-07,14.34,14.86,13.74,14.49,14885.0
2018-02-08,14.3,14.58,14.07,14.16,6367.0
2018-02-09,14.27,14.4,13.84,14.18,38477.0
2018-02-12,14.23,14.81,13.23,13.69,24632.0
2018-02-13,13.5,13.95,13.455,13.57,11622.0
2018-02-14,13.59,14.62,13.52,14.35,9650.0
2018-02-15,14.47,14.94,14.11,14.34,9032.0
2018-02-16,14.5,14.94,14.3,14.9,12811.0
2018-02-20,14.85,14.85,14.47,14.72,5949.0
2018-02-21,14.67,15.7,14.42,15.24,29475.0
2018-02-22,15.3,15.42,14.66,15.02,9567.0
2018-02-23,15.0,15.45,14.8,15.0,10376.0
2018-02-26,15.14,15.38,14.9,15.24,9615.0
2018-02-27,15.19,15.19,14.64,15.11,15590.0
2018-02-28,15.09,15.24,14.84,15.15,9096.0
2018-03-01,15.13,15.13,14.75,14.81,9438.0
2018-03-02,14.72,15.44,14.72,15.1,20389.0
2018-03-05,15.1,16.35,14.72,16.14,77347.0
2018-03-06,16.25,16.45,15.745,16.4,32146.0
2018-03-07,16.24,16.5,16.0,16.3,28994.0
2018-03-08,16.5,17.4,16.5,17.25,54685.0
2018-03-09,17.25,17.48,16.5,16.89,30780.0
2018-03-12,16.88,17.36,16.49,16.69,26283.0
2018-03-13,16.69,17.4,16.55,17.01,61307.0
2018-03-14,17.05,17.76,16.63,17.09,124943.0
2018-03-15,17.17,17.6,16.91,17.09,90785.0
2018-03-16,17.04,17.2,16.43,16.65,675069.0
2018-03-19,16.55,16.72,16.48,16.69,60844.0
2018-03-20,16.98,17.34,16.4,16.56,120878.0
2018-03-21,16.79,16.96,16.49,16.94,23325.0
2018-03-22,16.8,16.92,16.4,16.47,22843.0
2018-03-23,16.55,16.55,15.27,15.93,41185.0
2018-03-26,16.19,16.19,14.13,14.9,27221.0
2018-03-27,14.96,15.02,12.62,13.54,56008.0
2018-03-28,13.44,14.38,13.44,13.84,27644.0
2018-03-29,13.88,14.13,13.6,14.05,61122.0
2018-04-02,13.97,14.0,13.7,13.91,11571.0
2018-04-03,13.95,14.0,13.9,14.0,16868.0
2018-04-04,13.81,13.82,12.28,13.62,32706.0
2018-04-05,13.74,13.88,13.71,13.87,10411.0
2018-04-06,13.86,13.91,12.68,12.86,26615.0
2018-04-09,12.95,13.66,12.95,13.66,13027.0
2018-04-10,13.8,13.8,13.4,13.53,4799.0
2018-04-11,13.45,13.55,13.34,13.4,4089.0
2018-04-12,13.53,13.83,13.53,13.8,9414.0
2018-04-13,13.84,14.05,13.76,14.0,11762.0
2018-04-16,14.15,14.35,13.71,14.13,8883.0
2018-04-17,14.22,14.22,13.76,13.82,6007.0
2018-04-18,13.83,13.83,13.55,13.77,7287.0
2018-04-19,13.7,13.7,13.25,13.31,4584.0
2018-04-20,13.18,13.47,13.18,13.36,4662.0
2018-04-23,13.42,13.55,13.39,13.55,16833.0
2018-04-24,13.64,13.65,13.43,13.43,2561.0
2018-04-25,13.47,13.53,13.4,13.45,5176.0
2018-04-26,13.53,13.53,13.24,13.31,9865.0
2018-04-27,13.3,13.3,11.96,11.97,26246.0
2018-04-30,11.96,12.13,10.87,11.04,39236.0
2018-05-01,10.93,11.21,10.4,10.93,22729.0
2018-05-02,10.96,11.595,10.96,11.49,8213.0
2018-05-03,11.5,11.99,11.5,11.57,9831.0
2018-05-04,11.57,12.0,11.57,11.95,4102.0
2018-05-07,11.95,12.22,11.95,12.16,4857.0
2018-05-08,12.18,12.18,11.94,11.99,7711.0
2018-05-09,12.0,12.2,11.9,12.03,10328.0
2018-05-10,12.6,13.5,12.6,13.47,32805.0
2018-05-11,13.6,14.43,13.59,14.31,15591.0
2018-05-14,14.31,14.48,14.04,14.32,18536.0
2018-05-15,14.24,14.44,14.09,14.22,14970.0
2018-05-16,14.32,14.5,14.3,14.31,12234.0
2018-05-17,14.33,14.75,14.17,14.2,43176.0
2018-05-18,14.4,14.8,14.01,14.4,15860.0
2018-05-21,14.53,14.55,14.16,14.28,22976.0
2018-05-22,14.39,14.39,14.05,14.05,4636.0
2018-05-23,14.01,14.01,13.59,13.7,10925.0
2018-05-24,13.76,13.76,12.8,13.19,6379.0
2018-05-25,13.17,13.88,13.02,13.67,7489.0
2018-05-29,13.61,13.73,13.31,13.33,5065.0
2018-05-30,13.44,13.6,12.955,13.06,7324.0
2018-05-31,13.08,13.08,12.66,12.81,8970.0
2018-06-01,13.1,13.66,12.96,13.6,11507.0
2018-06-04,13.68,13.68,12.46,13.17,13613.0
2018-06-05,13.14,13.39,13.05,13.19,12290.0
2018-06-06,13.24,13.97,13.18,13.6,55725.0
2018-06-07,13.65,13.87,13.4,13.65,20009.0
2018-06-08,13.65,14.33,13.64,14.22,45098.0
2018-06-11,14.22,14.64,14.22,14.48,31645.0
2018-06-12,14.45,14.45,13.97,14.24,13728.0
2018-06-13,14.19,14.25,13.935,13.97,19451.0
2018-06-14,13.96,14.15,13.7,13.84,29421.0
2018-06-15,13.67,13.67,13.22,13.25,47141.0
2018-06-18,13.15,13.39,12.77,12.88,23425.0
2018-06-19,12.73,13.18,12.73,13.01,30712.0
2018-06-20,13.06,13.06,12.22,12.24,22032.0
2018-06-21,12.27,12.78,11.95,12.44,30915.0
2018-06-22,12.39,12.8,12.05,12.57,790339.0
2018-06-25,12.47,13.35,12.23,12.9,50775.0
2018-06-26,12.93,13.09,12.54,12.97,27301.0
2018-06-27,12.9,13.15,12.51,12.62,16889.0
2018-06-28,12.6,12.95,11.97,12.16,18174.0
2018-06-29,12.2,12.23,11.83,11.86,17478.0
2018-07-02,12.05,12.12,11.5,11.75,28201.0
2018-07-03,11.82,11.85,11.58,11.8,21910.0
2018-07-05,11.88,12.12,11.68,11.77,32762.0
2018-07-06,11.84,11.84,11.65,11.76,23483.0
2018-07-09,11.75,12.09,11.57,11.78,18305.0
2018-07-10,11.75,11.75,11.13,11.25,29164.0
2018-07-11,11.23,11.38,10.94,11.26,35111.0
2018-07-12,11.78,12.08,11.27,11.89,39669.0
2018-07-13,11.92,11.96,11.38,11.83,12952.0
2018-07-16,11.79,11.79,11.25,11.62,34174.0
2018-07-17,11.64,12.0,11.25,11.28,24650.0
2018-07-18,11.25,11.29,10.78,11.15,30730.0
2018-07-19,11.05,11.15,10.86,11.07,32649.0
2018-07-20,11.06,11.46,11.01,11.22,22975.0
2018-07-23,11.18,11.61,10.92,11.54,34600.0
2018-07-24,11.58,11.95,11.38,11.86,24386.0
2018-07-25,11.8,11.93,10.74,10.92,32024.0
2018-07-26,10.95,11.42,10.86,10.91,23374.0
2018-07-27,10.91,10.91,9.95,10.12,26524.0
2018-07-30,10.13,10.33,9.37,9.44,29075.0
2018-07-31,9.55,9.93,8.9,9.06,46343.0
2018-08-01,9.09,9.91,9.045,9.54,22621.0
2018-08-02,9.45,9.66,8.57,8.67,31133.0
2018-08-03,8.69,8.945,8.5,8.6,23543.0
2018-08-06,8.55,8.745,7.89,8.66,43575.0
2018-08-07,8.61,8.9,8.13,8.33,12738.0
2018-08-08,8.32,8.52,8.24,8.41,10191.0
2018-08-09,8.42,8.44,8.22,8.36,6097.0
2018-08-10,8.31,8.45,8.0,8.32,7682.0
2018-08-13,8.36,8.37,8.12,8.16,3616.0
2018-08-14,8.25,8.57,8.16,8.26,3792.0
2018-08-15,8.25,8.25,7.9,7.92,15662.0
2018-08-16,8.01,8.43,7.62,8.14,36805.0
2018-08-17,8.1,8.17,7.91,7.91,9458.0
2018-08-20,7.97,8.15,7.91,8.09,13870.0
2018-08-21,8.21,9.35,8.11,9.03,40420.0
2018-08-22,9.03,9.27,8.57,9.2,45061.0
2018-08-23,9.4,9.4,8.13,8.35,82540.0
2018-08-24,8.35,8.8,8.26,8.58,41108.0
2018-08-27,8.62,8.91,8.15,8.64,28002.0
2018-08-28,8.7,8.9,8.38,8.61,19585.0
2018-08-29,8.63,8.66,8.45,8.55,53950.0
2018-08-30,8.58,9.13,8.5,9.03,16217.0
2018-08-31,9.0,9.89,9.0,9.62,55848.0
2018-09-04,9.64,9.64,9.31,9.34,26851.0
2018-09-05,9.3,9.53,9.12,9.53,13137.0
2018-09-06,9.57,9.57,9.15,9.24,7878.0
2018-09-07,9.18,9.28,9.0,9.24,7227.0
2018-09-10,9.32,9.51,9.3,9.39,11785.0
2018-09-11,9.44,9.55,9.08,9.4,11032.0
2018-09-12,9.4,9.4,9.11,9.26,14688.0
2018-09-13,9.32,9.58,9.01,9.05,15628.0
2018-09-14,9.0,9.05,8.89,9.05,10375.0
2018-09-17,9.08,9.19,8.81,9.09,11432.0
2018-09-18,9.12,9.35,9.1,9.16,7483.0
2018-09-19,9.18,9.66,9.18,9.25,9028.0
2018-09-20,9.29,9.4,8.59,9.19,14736.0
2018-09-21,9.19,9.33,9.15,9.19,124280.0
2018-09-24,9.16,9.27,9.1,9.15,33195.0
2018-09-25,9.18,9.38,8.89,9.03,26655.0
