Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-02-05,42.0,42.5,38.0,41.75,1569.0
2019-02-06,50.0,50.0,45.0,46.19,26659.0
2019-02-07,45.75,45.75,41.56,43.05,859829.0
2019-02-08,42.96,43.5,39.86,41.01,5176121.0
2019-02-11,40.16,40.99,36.78,37.56,1287987.0
2019-02-12,37.61,38.02,36.12,36.82,748638.0
2019-02-13,36.41,38.16,36.15,37.74,834512.0
2019-02-14,37.15,37.565,36.0,36.56,1083413.0
2019-02-15,36.6,36.91,35.83,36.55,531330.0
2019-02-19,36.14,39.5,36.14,39.35,830574.0
2019-02-20,39.01,39.01,35.05,35.09,650600.0
2019-02-21,34.68,35.74,34.39,35.45,423191.0
2019-02-22,35.42,38.19,35.42,37.19,4737780.0
2019-02-25,37.22,39.65,37.22,39.11,327268.0
2019-02-26,38.94,39.97,38.1,39.91,404305.0
2019-02-27,39.16,39.52,37.395,37.47,297868.0
2019-02-28,37.26,37.26,35.24,35.78,558907.0
2019-03-01,36.09,36.35,35.68,36.23,258123.0
2019-03-04,36.19,36.285,34.49,34.54,297926.0
2019-03-05,34.44,35.435,34.0,35.1,220438.0
2019-03-06,35.0,35.0,34.14,34.15,221364.0
2019-03-07,34.12,34.18,32.11,32.35,351857.0
2019-03-08,32.0,33.55,32.0,33.41,208739.0
2019-03-11,33.46,34.07,33.46,34.01,202582.0
2019-03-12,34.07,34.74,33.79,33.97,145561.0
2019-03-13,34.1,35.015,34.06,34.81,525155.0
2019-03-14,34.94,36.04,34.92,35.89,501317.0
2019-03-15,35.83,35.96,33.83,34.46,1069768.0
2019-03-18,34.53,35.11,34.07,34.23,754377.0
2019-03-19,34.23,34.97,34.07,34.77,354515.0
2019-03-20,35.0,35.3,34.38,35.06,148935.0
2019-03-21,34.84,36.91,34.8,36.06,194042.0
2019-03-22,35.71,35.88,34.73,34.78,226654.0
2019-03-25,34.69,34.7,32.73,33.57,296628.0
2019-03-26,33.93,33.93,33.18,33.51,116414.0
2019-03-27,33.3,33.35,32.01,32.39,284334.0
2019-03-28,32.35,32.65,30.77,31.52,408270.0
2019-03-29,32.06,32.12,31.41,31.85,326566.0
2019-04-01,32.24,32.725,31.86,32.35,287112.0
2019-04-02,32.4,33.18,32.16,32.45,225544.0
2019-04-03,32.53,32.53,31.73,32.23,209693.0
2019-04-04,32.26,32.55,32.1,32.23,138700.0
