Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-02-01,,1.75,1.75,1.75,200.0
1995-03-03,,1.75,1.71875,1.71875,20000.0
1995-03-27,,1.875,1.84375,1.84375,4200.0
1995-04-25,,2.0,2.0,2.0,2000.0
1995-05-05,,2.25,2.15625,2.15625,6000.0
1995-06-01,2.0,2.03125,2.0,2.03125,4000.0
1995-06-02,2.0,2.03125,2.0,2.03125,4000.0
1995-06-05,2.0,2.03125,2.0,2.03125,4000.0
1995-06-19,2.0,2.0,2.0,2.0,3800.0
1995-06-20,1.5,2.0,1.5,2.0,1000.0
1995-06-21,2.0,2.0,2.0,2.0,400.0
1995-07-18,1.75,1.75,1.75,1.75,4000.0
1995-08-03,1.75,1.75,1.75,1.75,2000.0
1995-08-09,1.75,1.75,1.75,1.75,2000.0
1995-08-11,1.75,1.75,1.75,1.75,4000.0
1995-08-16,1.875,1.875,1.875,1.875,1200.0
1995-08-21,,,,,1600.0
1995-08-22,1.75,1.75,1.75,1.75,12000.0
1995-09-05,1.875,1.875,1.875,1.875,1000.0
1995-09-06,1.875,1.90625,1.875,1.90625,10200.0
1995-09-07,2.0,2.0,2.0,2.0,2000.0
1995-09-08,2.0,2.0,2.0,2.0,1600.0
1995-09-18,2.0,2.25,2.0,2.0625,92800.0
1995-09-20,2.0625,2.140625,2.0625,2.140625,12000.0
1995-09-21,2.125,2.125,2.125,2.125,12600.0
1995-09-22,2.125,2.5,2.125,2.5,6000.0
1995-09-25,2.125,2.125,2.125,2.125,2000.0
1995-09-27,2.25,2.25,2.25,2.25,14000.0
1995-09-28,2.375,2.4375,2.375,2.4375,3200.0
1995-10-02,2.25,2.25,2.25,2.25,2000.0
1995-10-03,2.25,2.25,2.25,2.25,2000.0
1995-10-04,2.25,2.25,2.25,2.25,2000.0
1995-10-06,2.25,2.4375,2.25,2.4375,38000.0
1995-10-09,2.4375,2.4375,2.4375,2.4375,400.0
1995-10-10,2.25,2.25,2.125,2.125,19200.0
1995-10-13,2.125,2.375,2.125,2.25,14400.0
1995-10-16,2.1875,2.1875,2.1875,2.1875,2000.0
1995-10-19,2.1875,2.3125,2.1875,2.25,13600.0
1995-10-20,2.1875,2.1875,2.1875,2.1875,2000.0
1995-10-24,2.25,2.25,2.1875,2.1875,6000.0
1995-10-26,2.375,2.375,2.25,2.25,31800.0
1995-10-30,2.25,2.25,2.25,2.25,4000.0
1995-10-31,2.25,2.5,2.25,2.5,2200.0
1995-11-02,2.5,2.5,2.5,2.5,2600.0
1995-11-03,2.5,2.5,2.5,2.5,800.0
1995-11-06,2.4375,2.4375,2.25,2.25,5000.0
1995-11-07,2.375,2.375,2.25,2.25,29000.0
1995-11-08,2.375,2.375,2.34375,2.375,41800.0
1995-11-09,2.375,2.4375,2.375,2.375,118400.0
1995-11-13,2.4375,2.4375,2.4375,2.4375,4800.0
1995-11-14,2.5,2.5,2.5,2.5,8000.0
1995-11-20,2.625,2.625,2.5,2.5,6000.0
1995-11-21,,,,,1800.0
1995-11-22,2.625,2.625,2.53125,2.53125,13000.0
1995-11-24,2.5625,2.5625,2.5625,2.5625,1000.0
1995-11-27,2.5,2.5,2.5,2.5,5000.0
1995-11-30,2.5,2.5,2.5,2.5,2000.0
1995-12-04,2.5,2.5,2.5,2.5,28000.0
1995-12-05,2.5,2.5,2.5,2.5,6000.0
1995-12-06,2.625,2.625,2.5,2.5,24800.0
1995-12-07,2.625,2.625,2.625,2.625,1000.0
1995-12-08,2.625,2.625,2.625,2.625,1200.0
1995-12-11,2.5625,2.5625,2.5625,2.5625,2000.0
1995-12-15,2.5,2.5,2.5,2.5,4000.0
1995-12-18,2.625,2.625,2.5,2.5,3200.0
1995-12-19,2.5,2.5,2.5,2.5,2000.0
1995-12-21,2.53125,2.53125,2.53125,2.53125,4000.0
1995-12-26,2.5,2.53125,2.5,2.53125,6400.0
1995-12-27,2.5,2.5625,2.5,2.5625,4400.0
1995-12-28,2.5625,2.5625,2.5625,2.5625,400.0
1995-12-29,2.5,2.5,2.5,2.5,2000.0
1996-01-03,2.625,2.625,2.53125,2.53125,14200.0
1996-01-04,2.5,2.5,2.5,2.5,4000.0
1996-01-05,2.5,2.5,2.5,2.5,6000.0
1996-01-08,2.5,2.5,2.5,2.5,30800.0
1996-01-09,2.5,2.5,2.5,2.5,4400.0
1996-01-10,2.5,2.5,2.5,2.5,2000.0
1996-01-11,2.625,2.625,2.625,2.625,200.0
1996-01-17,2.5,2.5,2.5,2.5,5600.0
1996-01-18,2.5,2.5,2.5,2.5,16000.0
1996-01-22,2.59375,2.59375,2.59375,2.59375,9400.0
1996-01-25,2.5625,2.5625,2.5625,2.5625,2000.0
1996-02-01,2.5625,2.5625,2.5625,2.5625,12600.0
1996-02-02,2.5625,2.5625,2.5625,2.5625,800.0
1996-02-05,2.5625,2.5625,2.5625,2.5625,1000.0
1996-02-06,2.5625,2.5625,2.5625,2.5625,12000.0
1996-02-08,2.625,2.625,2.625,2.625,2000.0
1996-02-16,2.875,2.875,2.875,2.875,1000.0
1996-02-23,2.875,3.0,2.875,3.0,9000.0
1996-03-04,3.0625,3.0625,3.0625,3.0625,800.0
1996-03-06,3.0625,3.0625,3.0625,3.0625,800.0
1996-03-11,3.0625,3.0625,3.0625,3.0625,2000.0
1996-03-13,3.125,3.5,3.125,3.5,27000.0
1996-03-14,3.5625,3.5625,3.25,3.53125,24400.0
1996-03-15,3.5625,3.5625,3.4375,3.5625,28400.0
1996-03-19,3.25,3.25,3.25,3.25,2000.0
1996-03-20,3.0625,3.0625,3.0625,3.0625,17800.0
1996-03-21,3.0625,3.0625,3.0625,3.0625,4000.0
1996-03-26,3.4375,3.4375,3.25,3.25,2200.0
1996-03-27,3.4375,3.4375,3.4375,3.4375,1600.0
1996-03-28,3.4375,3.4375,3.0,3.4375,29800.0
1996-04-01,3.4375,3.4375,3.4375,3.4375,5000.0
1996-04-02,3.4375,3.5625,3.4375,3.5625,10000.0
1996-04-03,3.625,4.25,3.25,4.25,1525800.0
1996-04-04,4.25,4.5,3.875,4.5,365000.0
1996-04-08,4.375,4.5,4.125,4.375,59200.0
1996-04-09,4.5,4.5,3.75,4.375,575800.0
1996-04-10,4.0,4.375,4.0,4.25,78400.0
1996-04-11,4.375,4.375,4.0,4.125,21600.0
1996-04-12,3.875,4.125,3.875,4.0,88600.0
1996-04-15,3.875,4.25,3.875,4.25,244800.0
1996-04-16,4.25,4.25,2.75,3.75,246600.0
1996-04-17,3.5,3.75,3.375,3.625,179400.0
1996-04-18,3.5,4.0,3.375,4.0,204000.0
1996-04-19,4.0,4.3125,3.75,4.0,90200.0
1996-04-22,4.125,4.75,4.0625,4.75,188600.0
1996-04-23,4.625,4.625,4.25,4.25,275800.0
1996-04-24,4.25,4.5625,4.25,4.5625,137800.0
1996-04-25,4.375,4.5625,4.25,4.5,135600.0
1996-04-26,4.5625,4.5625,4.5625,4.5625,22000.0
1996-04-29,4.25,4.5625,4.25,4.5625,31400.0
1996-04-30,4.25,4.5,4.25,4.5,126200.0
1996-05-01,4.25,4.3125,4.25,4.3125,24600.0
1996-05-02,4.25,4.5625,4.25,4.5625,2400.0
1996-05-06,4.25,4.5625,4.25,4.3125,48000.0
1996-05-07,4.25,4.5625,4.25,4.25,8200.0
1996-05-08,4.25,4.5,4.25,4.5,9400.0
1996-05-09,4.375,4.375,4.25,4.25,44000.0
1996-05-10,4.25,4.5625,4.25,4.25,74400.0
1996-05-13,4.25,4.296875,4.25,4.296875,24400.0
1996-05-14,4.375,4.375,4.25,4.25,16600.0
1996-05-15,4.25,4.5,4.25,4.5,42000.0
1996-05-16,4.25,4.5625,4.125,4.125,39200.0
1996-05-17,4.125,4.25,4.125,4.25,27200.0
1996-05-21,4.125,4.5625,4.125,4.125,13400.0
1996-05-22,4.5625,4.5625,4.125,4.125,61400.0
1996-05-23,4.5625,4.5625,4.125,4.3125,59400.0
1996-05-24,4.25,4.5625,4.125,4.5625,33600.0
1996-05-28,4.125,4.4375,4.125,4.125,102000.0
1996-05-29,4.375,4.375,4.125,4.125,35800.0
1996-05-30,4.125,4.25,4.0,4.0,31400.0
1996-05-31,4.0,4.25,4.0,4.0,33400.0
1996-06-04,4.125,5.0625,4.125,5.0,292200.0
1996-06-05,4.625,5.125,4.625,4.6875,52600.0
1996-06-06,4.6875,5.0,4.625,4.625,60600.0
1996-06-07,4.8125,4.8125,4.625,4.625,79200.0
1996-06-10,4.625,4.625,4.5625,4.5625,19000.0
1996-06-11,4.5625,4.75,4.5625,4.5625,5800.0
1996-06-12,4.5625,4.5625,4.5625,4.5625,2200.0
1996-06-14,4.5625,4.5625,4.5,4.5,13400.0
1996-06-17,4.59375,4.59375,4.5,4.5,1800.0
1996-06-18,4.75,4.75,4.5,4.5,168000.0
1996-06-19,4.5,4.75,4.375,4.5,63400.0
1996-06-20,4.375,4.5,4.3125,4.3125,21400.0
1996-06-21,4.6875,4.6875,4.3125,4.5,328200.0
1996-06-24,4.5,4.6875,4.3125,4.3125,342000.0
1996-06-25,4.375,4.8125,4.375,4.8125,186400.0
1996-06-26,4.8125,4.8125,4.5,4.53125,53200.0
1996-06-27,4.8125,4.8125,4.5,4.625,435600.0
1996-07-01,4.8125,4.8125,4.625,4.8125,170000.0
1996-07-02,4.625,4.8125,4.625,4.8125,235600.0
1996-07-03,4.625,4.625,4.5,4.5,34600.0
1996-07-08,4.5,4.53125,4.5,4.5,9400.0
