Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-09-24,25.0,30.19,22.12,29.93,7502414.0
2014-09-25,33.15,35.86,30.52,31.39,3054060.0
2014-09-26,31.95,32.74,28.64,29.8,780587.0
2014-09-29,28.19,29.38,27.3,27.39,481909.0
2014-09-30,27.6,32.09,27.6,32.01,973913.0
2014-10-01,31.5,32.18,29.51,29.62,495454.0
2014-10-02,30.37,30.75,27.3,28.69,247259.0
2014-10-03,30.49,31.48,29.61,30.38,591953.0
2014-10-06,31.37,31.77,29.6,29.92,240816.0
2014-10-07,30.12,30.45,28.5,29.35,137403.0
2014-10-08,29.59,29.8,28.14,29.38,106327.0
2014-10-09,29.24,29.64,27.86,28.2,164988.0
2014-10-10,29.58,31.45,28.55,29.84,403526.0
2014-10-13,30.58,32.5,30.33,31.25,435351.0
2014-10-14,32.81,33.14,29.45,29.6,334173.0
2014-10-15,28.76,29.24,26.67,28.76,299071.0
2014-10-16,27.6,30.39,27.6,29.45,185385.0
2014-10-17,30.76,30.95,28.86,30.29,179135.0
2014-10-20,30.0,30.74,29.47,29.88,181095.0
2014-10-21,30.4,30.79,29.45,29.48,228024.0
2014-10-22,29.55,29.61,28.21,28.6,135843.0
2014-10-23,28.73,29.46,28.35,29.21,83879.0
2014-10-24,28.86,31.19,28.71,30.24,229981.0
2014-10-27,30.26,35.16,29.45,35.08,819384.0
2014-10-28,34.25,36.47,32.01,32.32,788378.0
2014-10-29,33.5,34.96,31.5,34.91,443365.0
2014-10-30,34.55,37.2,34.19,34.71,449681.0
2014-10-31,36.04,36.15,34.75,35.28,166391.0
2014-11-03,35.54,37.5,35.05,36.58,334207.0
2014-11-04,36.8,37.15,35.31,36.53,151176.0
2014-11-05,36.04,36.38,33.36,33.8,327242.0
2014-11-06,34.0,34.32,32.93,33.03,117376.0
2014-11-07,33.36,33.36,31.7,32.71,140016.0
2014-11-10,32.8,35.34,32.8,34.88,241440.0
2014-11-11,35.05,35.24,33.57,33.89,149959.0
2014-11-12,33.6,34.55,33.0,33.7,751094.0
2014-11-13,38.5,43.3,38.46,42.92,2471375.0
2014-11-14,42.2,44.88,40.02,44.37,979893.0
2014-11-17,43.91,45.68,43.1,43.45,530293.0
2014-11-18,43.61,44.46,41.65,42.67,292138.0
2014-11-19,43.31,43.58,41.81,42.41,195094.0
2014-11-20,42.16,44.28,42.0,42.64,230977.0
2014-11-21,43.52,44.29,42.53,42.81,170526.0
2014-11-24,42.98,47.01,42.95,47.01,514927.0
2014-11-25,44.9,46.06,42.47,42.59,740011.0
2014-11-26,42.97,44.13,41.7,43.16,285849.0
2014-11-28,42.68,43.63,41.09,41.32,120081.0
