Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2005-05-10,4.15,4.4,3.75,4.16,276063.0
2005-05-11,4.12,4.4,4.0,4.1,122776.0
2005-05-12,4.1,4.22,3.75,3.94,294424.0
2005-05-13,4.07,4.07,3.75,3.85,136236.0
2005-05-16,3.83,4.0,3.5,3.72,237189.0
2005-05-17,3.87,3.874,3.66,3.77,125546.0
2005-05-18,3.79,3.9,3.65,3.89,342170.0
2005-05-19,3.9,3.9,3.78,3.83,1008759.0
2005-05-20,3.85,3.98,3.85,3.95,326719.0
2005-05-23,4.0,4.14,3.9,3.95,758304.0
2005-05-24,3.98,3.98,3.7,3.95,425891.0
2005-05-25,3.75,3.95,3.7,3.9,239603.0
2005-05-26,3.9,3.95,3.79,3.95,95734.0
2005-05-27,3.92,3.966,3.86,3.93,41532.0
2005-05-31,4.0,4.02,3.8,3.97,596655.0
2005-06-01,3.97,4.05,3.97,4.05,593797.0
2005-06-02,4.08,4.14,3.99,3.99,168324.0
2005-06-03,3.98,4.15,3.98,4.13,1238981.0
2005-06-06,4.01,4.24,4.01,4.18,387700.0
2005-06-07,4.35,4.4,4.21,4.33,1287211.0
2005-06-08,4.34,4.35,4.2,4.3,370545.0
2005-06-09,4.25,4.34,4.2,4.33,358930.0
2005-06-10,4.3,4.4,4.25,4.35,240203.0
2005-06-13,4.31,4.64,4.31,4.6,471984.0
2005-06-14,4.6,4.72,4.4,4.5,295148.0
2005-06-15,4.6,4.75,4.39,4.65,876779.0
2005-06-16,4.72,4.75,4.51,4.74,265219.0
2005-06-17,4.74,4.75,4.63,4.75,274286.0
2005-06-20,4.75,4.79,4.56,4.65,384661.0
2005-06-21,4.62,4.64,4.37,4.5,457828.0
2005-06-22,4.52,4.48,4.36,4.47,115971.0
2005-06-23,4.6,4.75,4.35,4.44,959399.0
2005-06-24,4.46,4.84,4.4,4.75,8085217.0
2005-06-27,4.73,4.8,4.56,4.68,810389.0
2005-06-28,4.63,5.1,4.62,5.08,1339061.0
2005-06-29,5.05,5.8,4.96,5.2,668231.0
2005-06-30,5.21,5.29,4.94,5.0,459906.0
2005-07-01,5.03,5.3,5.01,5.24,628343.0
2005-07-05,5.25,5.53,5.25,5.5,494680.0
2005-07-06,5.5,5.69,5.3,5.47,675696.0
2005-07-07,5.31,5.5,5.3,5.44,1044285.0
2005-07-08,5.42,5.47,5.25,5.4,764546.0
2005-07-11,5.4,5.54,5.4,5.49,1912347.0
2005-07-12,5.45,5.95,5.45,5.84,1464342.0
2005-07-13,5.83,6.0,5.74,5.92,873175.0
2005-07-14,6.05,6.05,5.776,5.86,265287.0
2005-07-15,5.75,6.05,5.73,5.98,1407262.0
2005-07-18,6.01,6.15,5.92,6.12,865929.0
2005-07-19,6.19,6.2,6.03,6.11,746204.0
2005-07-20,6.06,6.15,5.98,6.105,628477.0
2005-07-21,6.06,6.12,6.02,6.04,421502.0
2005-07-22,5.99,6.0029,5.79,6.0,918754.0
2005-07-25,6.0,6.03,5.82,5.89,284289.0
2005-07-26,5.86,6.0,5.83,5.95,560790.0
2005-07-27,5.95,5.98,5.7,5.82,1105773.0
2005-07-28,5.79,5.86,5.26,5.86,325439.0
2005-07-29,5.7,5.85,5.35,5.62,1933967.0
2005-08-01,5.65,5.74,5.6,5.7,887408.0
2005-08-02,5.71,5.98,5.62,5.86,507847.0
2005-08-03,5.83,6.1,5.82,5.94,343125.0
2005-08-04,5.95,6.0,5.75,5.8,137283.0
2005-08-05,5.99,5.99,5.64,5.72,336580.0
2005-08-08,5.91,5.94,5.25,5.51,888976.0
2005-08-09,5.59,5.7,5.3,5.47,865542.0
2005-08-10,5.53,5.7,5.15,5.27,993310.0
2005-08-11,5.24,5.61,5.24,5.52,371582.0
2005-08-12,5.53,5.6,5.36,5.45,325640.0
2005-08-15,5.46,5.52,5.25,5.3,141906.0
2005-08-16,5.25,5.27,5.1,5.16,207803.0
2005-08-17,5.13,5.39,5.12,5.18,311242.0
2005-08-18,5.15,5.28,5.1,5.18,409994.0
2005-08-19,5.17,5.48,5.15,5.41,295774.0
2005-08-22,5.33,5.48,5.2,5.43,205554.0
2005-08-23,5.47,5.85,5.39,5.83,409261.0
2005-08-24,5.78,5.78,5.51,5.51,274423.0
2005-08-25,5.51,5.68,5.35,5.6,98813.0
2005-08-26,5.65,5.65,5.27,5.37,205919.0
2005-08-29,5.32,5.35,5.21,5.25,126929.0
2005-08-30,5.24,5.35,4.91,5.04,383244.0
2005-08-31,5.07,5.3,4.91,5.25,223092.0
2005-09-01,5.27,5.3,4.95,4.99,675491.0
2005-09-02,5.0,5.04,4.72,5.0,260488.0
2005-09-06,5.0,5.2,4.98,5.09,303332.0
2005-09-07,5.09,5.129,5.05,5.08,87859.0
2005-09-08,5.07,5.07,4.94,4.96,103688.0
2005-09-09,5.0,5.0,4.91,4.91,66146.0
2005-09-12,4.91,5.0,4.85,4.9,298785.0
2005-09-13,4.875,4.89,4.55,4.57,433811.0
2005-09-14,4.61,4.76,4.35,4.44,523608.0
2005-09-15,4.46,4.47,4.29,4.39,193272.0
2005-09-16,4.45,4.63,4.23,4.3,719136.0
2005-09-19,4.35,4.55,4.3,4.5,120835.0
2005-09-20,4.54,4.72,4.22,4.25,286111.0
2005-09-21,4.23,4.3399,4.21,4.22,240263.0
2005-09-22,4.2,4.32,4.0,4.26,211133.0
2005-09-23,4.29,4.5,4.17,4.4,141991.0
2005-09-26,4.45,4.61,4.3,4.4,179751.0
2005-09-27,4.41,4.45,4.26,4.34,233905.0
2005-09-28,4.35,4.4,4.12,4.23,117750.0
2005-09-29,4.22,4.3,4.15,4.3,93561.0
2005-09-30,4.3,4.3,4.05,4.15,1466439.0
2005-10-03,4.16,4.19,4.0,4.06,296929.0
2005-10-04,4.1,4.29,4.06,4.08,122340.0
2005-10-05,4.1,4.11,3.77,4.05,673726.0
2005-10-06,4.05,4.24,3.993,4.2,521947.0
2005-10-07,4.17,4.28,4.15,4.23,199900.0
2005-10-10,4.25,4.3,4.15,4.21,428582.0
2005-10-11,4.21,4.34,4.01,4.07,342304.0
2005-10-12,4.06,4.15,3.92,4.1,396485.0
2005-10-13,4.08,4.17,4.04,4.15,128978.0
2005-10-14,4.2,4.271,4.1,4.25,384743.0
2005-10-17,4.25,4.27,4.07,4.25,171263.0
2005-10-18,4.26,4.27,4.13,4.22,99468.0
2005-10-19,4.2,4.47,4.15,4.41,259781.0
2005-10-20,4.4,4.54,4.35,4.42,298603.0
2005-10-21,4.43,4.51,4.35,4.4,359598.0
2005-10-24,4.41,4.47,4.33,4.42,213693.0
2005-10-25,4.41,4.46,4.25,4.44,132035.0
