Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-08-15,19.4,19.4,18.42,18.42,10082.0
2017-08-21,19.28,19.36,19.28,19.36,918.0
2017-08-24,19.3,19.34,19.3,19.34,6994.0
2017-08-31,19.4,19.48,19.4,19.48,400.0
2017-09-08,19.44,19.44,19.44,19.44,5000.0
2017-09-11,19.4,19.4,19.4,19.4,500.0
2017-09-18,19.4,19.56,19.4,19.56,15700.0
2017-09-25,19.46,19.54,19.46,19.52,1600.0
2017-09-26,19.5,19.5,19.5,19.5,100.0
2017-09-27,19.5,19.5,19.5,19.5,7200.0
2017-10-09,19.1,19.46,19.1,19.46,15600.0
2017-10-10,19.48,19.52,19.48,19.52,500.0
2017-10-16,19.7,19.72,19.7,19.7,385.0
2017-10-17,19.5,19.5,19.5,19.5,7200.0
2017-10-23,19.5,19.5,19.5,19.5,500.0
2017-11-07,19.4,19.44,19.38,19.38,23900.0
2017-11-16,19.44,19.44,19.44,19.44,2400.0
2017-11-22,19.54,19.54,19.54,19.54,1.0
2017-12-07,19.46,19.46,19.46,19.46,1000.0
2017-12-11,19.46,19.54,19.46,19.54,4100.0
2017-12-12,19.54,19.54,19.54,19.54,100.0
2017-12-15,19.5,19.5,19.48,19.48,1100.0
2017-12-27,19.46,19.46,19.46,19.46,100.0
2018-01-02,19.44,19.44,19.44,19.44,3.0
2018-01-03,19.5,19.52,19.5,19.52,19645.0
2018-01-04,19.5,19.5,19.5,19.5,7100.0
2018-01-09,19.52,19.54,19.52,19.54,400.0
2018-01-23,19.54,19.54,19.54,19.54,300.0
2018-01-24,19.54,19.54,19.54,19.54,1500.0
2018-01-25,19.56,19.56,19.56,19.56,206.0
2018-02-06,19.54,19.54,19.54,19.54,4000.0
2018-02-07,19.5,19.5,19.48,19.5,4000.0
2018-02-13,19.52,19.52,19.5,19.5,200.0
2018-02-14,19.54,19.54,19.54,19.54,200.0
2018-02-15,19.44,19.46,19.44,19.46,200.0
2018-02-20,19.54,19.54,19.54,19.54,12.0
2018-02-21,19.58,19.6,19.58,19.58,45100.0
2018-02-22,19.58,19.6,19.58,19.58,50100.0
2018-02-26,19.56,19.64,19.56,19.64,75200.0
2018-03-01,19.64,19.64,19.64,19.64,2000.0
2018-03-05,19.6,19.62,19.6,19.62,550.0
2018-03-06,19.6,19.66,19.6,19.66,3200.0
2018-03-07,19.64,19.68,19.64,19.68,2500.0
2018-03-08,19.64,19.64,19.64,19.64,100.0
2018-03-09,19.64,19.66,19.64,19.66,802.0
2018-03-13,19.7,19.7,19.7,19.7,100.0
2018-03-14,19.78,19.78,19.7,19.7,300.0
2018-03-19,19.68,19.68,19.68,19.68,100.0
2018-03-22,19.68,19.7,19.68,19.7,500.0
2018-03-26,19.74,19.74,19.72,19.72,600.0
2018-03-27,19.9,19.9,19.74,19.76,1042.0
2018-03-28,19.76,19.78,19.76,19.78,121.0
2018-04-05,19.78,19.78,19.78,19.78,412.0
2018-04-06,19.78,19.84,19.78,19.8,3012.0
2018-04-10,19.82,19.82,19.82,19.82,200.0
2018-04-11,19.62,19.62,19.62,19.62,43.0
2018-04-12,19.6,19.6,19.6,19.6,44.0
2018-04-13,19.6,19.8,19.6,19.74,3246.0
2018-04-16,19.74,19.8,19.74,19.8,43.0
2018-04-17,19.6,19.6,19.6,19.6,45.0
2018-04-18,19.74,19.84,19.74,19.84,768.0
2018-04-19,19.74,19.74,19.74,19.74,43.0
2018-04-20,19.74,19.98,19.74,19.98,1241.0
2018-04-23,19.88,19.88,19.88,19.88,42.0
2018-04-24,19.74,19.86,19.74,19.86,843.0
2018-04-25,19.74,19.86,19.74,19.86,141.0
2018-04-26,19.74,19.88,19.74,19.88,942.0
2018-04-27,19.76,19.86,19.76,19.86,65.0
2018-04-30,19.76,19.86,19.76,19.86,442.0
2018-05-01,19.76,19.84,19.76,19.84,62.0
2018-05-03,19.94,19.94,19.94,19.94,1500.0
2018-05-07,19.9,19.96,19.86,19.96,1873.0
2018-05-08,19.92,19.96,19.88,19.88,102.0
2018-05-09,19.96,19.96,19.86,19.88,7820.0
2018-05-14,19.94,19.96,19.94,19.96,1200.0
2018-05-15,19.88,19.88,19.88,19.88,12100.0
2018-05-16,19.86,19.86,19.86,19.86,100.0
2018-05-18,19.84,19.84,19.84,19.84,2800.0
2018-05-21,19.9,19.9,19.84,19.84,710.0
2018-05-22,19.88,19.88,19.84,19.88,548.0
2018-05-23,19.84,19.84,19.84,19.84,9400.0
2018-05-24,19.88,19.88,19.88,19.88,76.0
2018-05-29,19.84,19.84,19.84,19.84,10000.0
2018-05-31,,,,,200.0
2018-06-04,19.9,19.9,19.9,19.9,9969.0
2018-06-05,19.88,19.88,19.78,19.78,3701.0
