Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-12-08,21.55,22.95,19.67,21.45,1763146.0
2017-12-11,21.52,21.61,20.5,20.99,78061.0
2017-12-12,20.97,20.99,20.16,20.16,30098.0
2017-12-13,20.22,20.66,19.98,20.04,53328.0
2017-12-14,20.1,20.16,18.51,18.99,640520.0
2017-12-15,19.25,19.58,18.77,19.04,133153.0
2017-12-18,19.05,19.32,18.57,18.71,76514.0
2017-12-19,18.72,18.72,18.2,18.28,49240.0
2017-12-20,18.3,18.51,17.51,17.7,134096.0
2017-12-21,18.01,18.01,16.39,16.45,108187.0
2017-12-22,16.6,16.6,15.75,15.78,84024.0
2017-12-26,15.9,16.5,15.07,15.46,61478.0
2017-12-27,15.48,16.3,15.4,15.85,66790.0
2017-12-28,15.94,15.94,14.83,15.04,84121.0
2017-12-29,15.15,15.78,14.8,15.64,73168.0
2018-01-02,16.0,16.46,15.99,16.13,112096.0
2018-01-03,16.41,16.78,16.26,16.65,67972.0
2018-01-04,16.7,16.725,16.01,16.08,55364.0
2018-01-05,16.88,17.51,16.33,16.8,122104.0
2018-01-08,16.8,16.82,16.45,16.48,86833.0
2018-01-09,16.46,16.5,15.49,15.5,91767.0
2018-01-10,15.5,15.5,14.97,15.36,65166.0
2018-01-11,15.43,16.95,15.43,16.53,98653.0
2018-01-12,16.64,17.24,16.45,17.16,58313.0
2018-01-16,17.16,17.75,16.94,17.1,98457.0
2018-01-17,17.11,17.75,16.87,17.62,64963.0
2018-01-18,17.62,18.41,17.62,18.32,38883.0
2018-01-19,18.41,20.04,18.41,19.76,83877.0
2018-01-22,19.8,23.0,19.8,21.56,122068.0
2018-01-23,21.7,22.15,21.17,21.85,90468.0
2018-01-24,22.0,22.11,21.58,21.8,56436.0
2018-01-25,21.83,21.9,19.09,21.15,98680.0
2018-01-26,21.37,22.31,20.89,22.2,41721.0
2018-01-29,22.32,24.0,22.32,23.95,90649.0
2018-01-30,23.75,23.9,23.34,23.67,40163.0
2018-01-31,23.82,24.0,23.13,23.26,109661.0
2018-02-01,23.32,23.32,21.06,21.18,46998.0
2018-02-02,20.87,20.87,19.84,20.39,33365.0
2018-02-05,20.12,20.85,19.2,19.26,48746.0
2018-02-06,18.76,19.93,18.5,19.38,64304.0
2018-02-07,19.4,20.32,19.27,20.27,68275.0
2018-02-08,20.3,20.95,20.3,20.89,67890.0
2018-02-09,21.12,21.6,20.48,21.49,47826.0
2018-02-12,21.61,21.61,20.71,21.22,21254.0
2018-02-13,21.26,21.26,20.5,20.59,23092.0
2018-02-14,20.56,21.12,20.54,20.93,14225.0
2018-02-15,21.09,23.55,21.09,23.34,68824.0
2018-02-16,23.42,25.02,23.42,24.8,93996.0
2018-02-20,24.86,25.5,23.45,23.68,67456.0
2018-02-21,23.9,24.74,22.75,23.02,48929.0
2018-02-22,22.9,23.34,22.25,22.42,52716.0
2018-02-23,22.73,23.12,22.0,22.4,80279.0
2018-02-26,22.37,23.15,21.42,22.16,80847.0
2018-02-27,22.05,22.07,21.48,21.51,83818.0
2018-02-28,21.54,23.34,21.02,22.89,77617.0
2018-03-01,22.98,22.98,21.55,21.57,95994.0
2018-03-02,21.55,22.92,21.0,22.59,68965.0
2018-03-05,22.59,22.82,21.1,22.55,85195.0
2018-03-06,22.63,22.98,21.63,21.96,76342.0
2018-03-07,21.75,22.05,21.15,21.57,53296.0
2018-03-08,21.7,21.7,20.38,20.56,55401.0
2018-03-09,20.52,20.73,20.24,20.37,60660.0
2018-03-12,19.96,20.285,18.6,20.18,131633.0
2018-03-13,20.31,20.51,19.55,20.12,49595.0
2018-03-14,20.18,22.12,19.7,21.89,89506.0
2018-03-15,21.98,21.98,19.51,19.58,82696.0
2018-03-16,19.73,21.65,19.73,21.535,1615017.0
2018-03-19,21.43,22.0,20.45,21.96,138391.0
2018-03-20,22.18,22.46,21.4,22.06,104934.0
2018-03-21,21.98,22.22,21.57,21.71,81718.0
2018-03-22,21.44,21.62,21.03,21.17,49832.0
2018-03-23,21.17,21.83,21.1,21.34,102153.0
2018-03-26,21.7,21.92,20.21,21.16,158916.0
2018-03-27,21.16,21.25,19.91,20.05,74122.0
2018-03-28,20.08,20.66,19.6,19.71,49257.0
2018-03-29,19.75,20.5,19.66,19.69,49094.0
2018-04-02,19.66,19.96,18.71,18.75,82432.0
2018-04-03,18.93,19.31,18.59,19.12,102176.0
2018-04-04,18.79,19.9,18.74,19.6,60053.0
2018-04-05,19.78,19.78,18.77,18.89,81129.0
2018-04-06,18.64,18.83,18.07,18.11,53870.0
2018-04-09,18.5,19.47,18.28,18.44,62301.0
2018-04-10,18.76,19.67,18.76,19.62,44400.0
2018-04-11,19.54,19.68,19.2,19.52,60915.0
2018-04-12,19.6,19.84,19.38,19.41,60016.0
2018-04-13,19.6,19.7,19.1,19.2,47334.0
2018-04-16,19.42,19.5,18.38,18.62,37043.0
2018-04-17,18.85,19.81,18.63,19.63,56509.0
2018-04-18,19.79,19.98,19.22,19.36,41035.0
2018-04-19,19.33,19.92,18.74,19.26,39518.0
2018-04-20,19.17,19.84,19.17,19.77,31242.0
2018-04-23,19.77,19.77,19.11,19.45,46417.0
2018-04-24,19.57,19.71,19.03,19.2,32282.0
2018-04-25,19.13,19.13,18.25,18.36,25700.0
