Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-04-27,38.0,40.88,37.0,39.73,8833058.0
2018-04-30,40.0,40.18,37.57,38.63,739490.0
2018-05-01,38.7,39.87,37.91,39.45,325802.0
2018-05-02,39.85,40.49,38.75,39.32,266895.0
2018-05-03,39.69,42.55,38.81,41.96,1530979.0
2018-05-04,42.4,42.5,41.02,41.09,167591.0
2018-05-07,41.65,41.91,41.04,41.31,100049.0
2018-05-08,41.5,43.67,40.51,43.22,148390.0
2018-05-09,44.44,44.87,43.5,44.1,181482.0
2018-05-10,44.88,46.67,43.68,44.01,266738.0
2018-05-11,44.56,45.86,44.21,44.37,156879.0
2018-05-14,44.99,45.44,43.39,44.19,224882.0
2018-05-15,44.39,45.73,43.56,45.46,103882.0
2018-05-16,45.34,45.63,44.57,45.23,64158.0
2018-05-17,45.2,46.24,44.55,44.9,84703.0
2018-05-18,44.75,44.94,44.36,44.78,53210.0
2018-05-21,45.5,45.5,41.72,42.98,178646.0
2018-05-22,43.24,44.44,42.86,43.05,181775.0
2018-05-23,43.64,45.62,43.1,45.42,297295.0
2018-05-24,45.94,47.69,45.68,46.8,196160.0
2018-05-25,47.23,48.9,46.14,46.37,135735.0
2018-05-29,46.67,49.32,45.89,48.43,226666.0
2018-05-30,48.9,51.0,48.56,49.99,194911.0
2018-05-31,50.13,51.14,49.55,49.81,211125.0
2018-06-01,50.28,50.7,49.76,50.12,137448.0
2018-06-04,51.0,54.14,50.56,53.65,187021.0
2018-06-05,54.29,58.25,52.0,54.59,432587.0
2018-06-06,55.63,57.38,54.36,57.36,197478.0
2018-06-07,58.95,59.86,53.55,55.99,551241.0
2018-06-08,58.25,60.38,55.31,57.92,1125952.0
2018-06-11,58.3,60.0,58.28,59.54,499320.0
2018-06-12,60.49,63.35,60.02,61.82,502333.0
2018-06-13,63.28,64.97,62.0,63.77,400803.0
2018-06-14,64.99,65.8,63.1,63.53,421585.0
2018-06-15,63.09,64.57,62.3,63.95,1627268.0
2018-06-18,63.51,66.19,61.74,63.9,284657.0
2018-06-19,62.14,64.68,57.7,63.87,799350.0
2018-06-20,64.67,66.78,62.06,62.46,437145.0
2018-06-21,63.06,63.06,57.48,57.59,694545.0
2018-06-22,58.9,58.98,55.0,57.55,1553067.0
2018-06-25,55.58,55.58,52.1,55.0,579836.0
2018-06-26,55.49,56.92,54.9,56.47,356591.0
2018-06-27,56.95,57.0,51.74,51.77,416449.0
2018-06-28,51.62,53.93,50.41,53.04,516198.0
2018-06-29,53.67,53.94,51.88,52.95,255829.0
2018-07-02,52.46,53.14,50.57,52.34,526657.0
2018-07-03,52.46,53.5,51.86,51.97,235597.0
2018-07-05,52.49,55.38,51.6,54.62,637586.0
2018-07-06,54.75,55.94,54.09,54.95,307557.0
2018-07-09,55.28,56.49,54.93,55.35,214141.0
2018-07-10,55.77,55.77,52.23,52.37,365210.0
2018-07-11,52.0,53.76,51.62,51.98,248257.0
2018-07-12,52.24,56.44,51.51,55.37,409545.0
2018-07-13,55.37,56.0,54.68,55.33,236300.0
2018-07-16,55.25,57.19,54.91,55.05,167689.0
2018-07-17,54.5,55.4,52.94,54.09,346241.0
2018-07-18,53.93,54.6,52.91,53.05,309470.0
2018-07-19,52.93,53.81,51.95,52.36,361466.0
2018-07-20,52.25,52.7,51.71,52.21,126035.0
2018-07-23,51.97,55.75,51.76,55.53,319829.0
2018-07-24,56.12,57.4,52.9,53.79,361276.0
2018-07-25,53.76,55.6,53.76,54.69,142098.0
2018-07-26,54.01,55.87,53.81,55.51,258137.0
2018-07-27,56.73,56.94,53.5,54.82,282672.0
2018-07-30,54.92,55.08,50.1,51.71,468904.0
2018-07-31,51.89,54.9,51.55,53.9,257477.0
2018-08-01,54.3,56.14,54.195,55.75,219195.0
2018-08-02,55.39,59.14,55.1,58.91,318066.0
2018-08-03,59.05,59.57,56.26,57.01,168347.0
2018-08-06,57.16,60.39,57.16,60.0,210983.0
2018-08-07,60.75,60.93,59.5,59.89,259496.0
2018-08-08,59.45,61.8,59.45,61.35,193362.0
2018-08-09,61.67,62.1,60.175,60.45,189819.0
2018-08-10,60.3,60.4,57.2,58.2,321027.0
2018-08-13,58.1,58.38,55.6,56.14,250976.0
2018-08-14,56.56,58.18,55.98,57.85,110381.0
2018-08-15,57.25,57.8,55.4,56.15,157888.0
2018-08-16,56.59,57.91,56.13,57.69,160978.0
2018-08-17,57.47,59.4,56.4,58.68,145342.0
2018-08-20,58.91,62.0,57.9,61.22,249550.0
2018-08-21,61.69,63.75,61.66,62.5,359156.0
2018-08-22,62.3,63.27,60.34,61.84,197743.0
2018-08-23,61.86,64.9,61.86,63.9,302651.0
2018-08-24,64.25,67.11,64.0,65.54,221427.0
2018-08-27,66.99,67.71,64.73,65.53,285974.0
2018-08-28,66.0,68.28,65.76,66.3,297872.0
2018-08-29,66.5,68.02,65.8,67.87,220724.0
2018-08-30,67.3,67.3,64.55,65.0,410588.0
2018-08-31,64.47,65.31,62.2,62.44,996309.0
2018-09-04,62.8,65.7,60.91,64.85,905254.0
2018-09-05,64.69,65.8,62.6,63.1,784828.0
2018-09-06,59.08,59.85,56.8,57.85,915455.0
2018-09-07,56.8,59.64,56.26,56.94,529787.0
2018-09-10,58.0,58.0,53.67,53.93,654033.0
2018-09-11,53.75,54.79,52.85,53.96,357124.0
2018-09-12,53.02,57.56,53.02,57.18,565037.0
2018-09-13,57.2,57.49,55.06,55.37,552320.0
2018-09-14,55.27,55.3,53.44,53.79,1864303.0
2018-09-17,53.99,54.84,51.6,52.18,636014.0
2018-09-18,52.23,53.29,51.65,53.03,308501.0
2018-09-19,52.77,53.1,51.51,51.73,280294.0
2018-09-20,52.32,52.62,51.15,52.23,615678.0
2018-09-21,52.93,53.22,51.8,52.54,882083.0
2018-09-24,52.1,52.29,51.4,51.83,368833.0
2018-09-25,52.16,53.71,51.65,53.4,417880.0
2018-09-26,53.51,54.02,52.44,52.54,391839.0
2018-09-27,52.64,53.75,52.39,52.82,395267.0
2018-09-28,52.77,53.0,52.1,52.57,635851.0
2018-10-01,52.98,52.98,48.575,48.85,833643.0
2018-10-02,49.19,49.2,45.04,46.4,1130641.0
2018-10-03,46.4,47.7,45.305,47.11,529121.0
2018-10-04,46.9,47.46,44.95,45.8,400041.0
2018-10-05,45.65,46.03,43.52,45.27,377996.0
2018-10-08,44.63,44.7,42.25,43.23,499206.0
2018-10-09,42.98,45.0,41.33,41.51,416277.0
2018-10-10,42.03,42.03,38.305,40.6,787715.0
2018-10-11,39.82,41.64,39.45,40.25,577445.0
2018-10-12,42.02,45.0,41.8,44.64,725957.0
2018-10-15,44.44,45.13,42.73,43.83,298987.0
2018-10-16,44.75,48.0,44.56,47.72,566244.0
2018-10-17,48.0,48.0,46.5,47.52,388674.0
2018-10-18,47.03,48.3,45.6,46.24,362642.0
