Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-12-20,5.8,6.27,5.5,6.0,131931.0
2017-12-21,6.0,6.12,5.68,5.7,40199.0
2017-12-22,6.14,6.14,5.7,5.85,16713.0
2017-12-26,5.95,5.95,5.75,5.8,2333.0
2017-12-27,5.61,5.77,5.61,5.71,6001.0
2017-12-28,5.98,5.98,5.76,5.88,19102.0
2017-12-29,5.75,5.99,5.75,5.9,21440.0
2018-01-02,5.85,5.85,5.62,5.62,18627.0
2018-01-03,5.6,5.71,5.52,5.7,20339.0
2018-01-04,5.61,5.62,5.2,5.2,18279.0
2018-01-05,5.37,5.37,4.84,4.85,20897.0
2018-01-08,4.8,4.8,4.17,4.56,24479.0
2018-01-09,4.64,4.79,4.57,4.78,4411.0
2018-01-10,4.72,4.84,4.72,4.84,11945.0
2018-01-11,4.98,5.0,4.8,4.91,2731.0
2018-01-12,5.0,5.0,4.75,4.75,5231.0
2018-01-16,4.77,4.77,4.47,4.77,2197.0
2018-01-17,4.51,4.7,4.51,4.7,1741.0
2018-01-18,4.68,4.68,4.56,4.56,2455.0
2018-01-19,4.55,4.75,4.51,4.68,12073.0
2018-01-22,4.64,4.64,4.58,4.58,2846.0
2018-01-23,4.53,4.56,4.53,4.53,5941.0
2018-01-24,4.53,4.53,4.4,4.4,13083.0
2018-01-25,4.4,4.49,4.4,4.41,3580.0
2018-01-26,4.49,4.49,4.41,4.41,1425.0
2018-01-29,4.5,4.5,4.4,4.4,646.0
2018-01-30,4.42,4.43,4.4,4.42,11144.0
2018-01-31,4.4,4.4,4.36,4.36,8451.0
2018-02-01,4.36,4.36,4.2,4.2,6260.0
2018-02-02,4.2,4.3,4.0,4.01,8496.0
2018-02-05,3.99,3.99,3.81,3.98,16139.0
2018-02-06,3.9,3.9,3.8,3.8,17704.0
2018-02-07,3.8,3.85,3.71,3.75,2820.0
2018-02-08,3.76,3.76,3.76,3.76,100.0
2018-02-09,3.79,3.79,3.75,3.75,2777.0
2018-02-12,3.87,3.87,3.78,3.78,510.0
2018-02-13,3.88,3.88,3.81,3.81,243.0
2018-02-14,3.88,4.2,3.88,4.2,1814.0
2018-02-15,4.29,4.69,4.29,4.69,2652.0
2018-02-16,5.0,5.0,4.9,4.9,2436.0
2018-02-20,4.81,4.81,4.8,4.8,500.0
2018-02-23,4.81,4.81,4.81,4.81,100.0
2018-02-26,4.61,4.61,4.6,4.6,1700.0
2018-02-27,4.56,4.56,4.56,4.56,1900.0
2018-02-28,4.5,4.5,3.94,3.94,1751.0
2018-03-01,4.43,4.49,4.41,4.43,1610.0
2018-03-02,4.44,4.44,4.4,4.41,600.0
2018-03-06,4.22,4.22,4.22,4.22,20.0
2018-03-07,4.18,4.18,4.18,4.18,5.0
2018-03-09,4.4,4.43,4.4,4.43,600.0
2018-03-12,4.14,4.37,4.13,4.18,400.0
2018-03-13,4.15,4.25,4.15,4.25,155.0
2018-03-14,4.25,4.25,4.25,4.25,100.0
2018-03-15,4.55,4.55,4.46,4.46,368.0
2018-03-16,4.33,4.33,4.33,4.33,321.0
2018-03-19,4.24,4.24,4.24,4.24,300.0
2018-03-20,4.05,4.15,3.68,3.68,21046.0
2018-03-21,3.57,4.1,3.57,3.95,15875.0
2018-03-22,3.79,3.79,3.79,3.79,300.0
2018-03-23,3.82,3.83,3.82,3.83,145.0
2018-03-26,3.92,3.92,3.75,3.75,179.0
2018-03-27,3.81,3.97,3.81,3.95,2584.0
2018-03-28,4.0,4.0,4.0,4.0,2.0
2018-03-29,3.9,4.25,3.69,4.07,7310.0
2018-04-02,4.0,4.1,3.92,3.92,2811.0
2018-04-03,3.95,3.98,3.68,3.98,2159.0
2018-04-04,3.9,3.9,3.9,3.9,600.0
2018-04-09,3.9,3.9,3.65,3.65,24.0
2018-04-10,3.77,3.77,3.77,3.77,48.0
2018-04-11,3.74,3.78,3.7,3.7,306.0
2018-04-12,3.59,3.59,3.59,3.59,1.0
2018-04-13,3.77,4.2,3.77,4.2,14556.0
2018-04-16,4.2,4.2,4.2,4.2,200.0
2018-04-17,3.85,3.88,3.85,3.88,213.0
2018-04-18,3.78,3.98,3.78,3.9,2855.0
2018-04-19,3.84,3.84,3.8,3.8,300.0
2018-04-20,3.81,4.0,3.81,4.0,480.0
2018-04-23,3.98,3.98,3.98,3.98,150.0
2018-04-24,3.98,4.0,3.75,3.75,1505.0
2018-04-25,3.7,3.81,3.7,3.81,338.0
2018-04-26,3.85,3.9,3.85,3.9,162.0
2018-04-27,3.82,3.85,3.82,3.85,181.0
2018-04-30,3.8,3.8,3.62,3.62,353.0
2018-05-01,3.77,3.79,3.76,3.76,457.0
2018-05-02,3.75,3.75,3.71,3.71,200.0
2018-05-03,3.6,3.74,3.6,3.74,103.0
2018-05-04,3.84,3.84,3.6,3.6,38.0
2018-05-07,3.6,3.61,3.6,3.61,113.0
2018-05-08,3.78,3.78,3.77,3.78,553.0
2018-05-09,3.76,3.81,3.76,3.81,205.0
2018-05-10,3.74,3.74,3.72,3.72,282.0
2018-05-11,3.78,3.89,3.78,3.89,1098.0
2018-05-16,3.7,3.7,3.7,3.7,400.0
2018-05-17,3.68,3.68,3.68,3.68,442.0
2018-05-21,3.77,3.8,3.77,3.8,1169.0
2018-05-22,3.79,3.83,3.79,3.83,3641.0
2018-05-23,4.08,4.28,4.05,4.18,9048.0
2018-05-24,4.17,4.17,4.0,4.01,405.0
2018-05-25,4.01,4.19,4.01,4.19,11343.0
2018-05-29,4.22,4.48,4.21,4.36,16357.0
2018-05-30,4.49,4.59,4.24,4.5,25235.0
2018-05-31,4.8,4.8,4.42,4.75,8062.0
2018-06-01,4.75,4.75,4.5,4.5,300.0
2018-06-04,4.7,4.75,4.7,4.75,4000.0
2018-06-05,4.72,4.85,4.72,4.76,17600.0
2018-06-06,4.92,4.92,4.6,4.9,668.0
2018-06-07,4.77,4.92,4.67,4.89,4497.0
2018-06-08,4.66,4.8,4.6,4.66,354.0
