Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1998-06-19,14.0,14.0625,14.0,14.0,4118300.0
1998-06-22,14.0625,14.0625,14.0,14.0,1430800.0
1998-06-23,14.0625,14.0625,14.0,14.0625,273500.0
1998-06-24,14.25,15.375,14.1875,14.9375,591600.0
1998-06-25,15.25,16.5,15.0,16.5,666600.0
1998-06-26,16.5,16.5,15.875,16.125,595500.0
1998-06-29,16.0,16.0,15.75,15.8125,264200.0
1998-06-30,15.375,15.375,14.375,15.125,93400.0
1998-07-01,15.25,15.375,14.25,14.375,230500.0
1998-07-02,14.375,14.75,14.0625,14.5,73800.0
1998-07-06,14.5625,14.5625,14.125,14.5,214100.0
1998-07-07,14.5,14.9375,14.0625,14.125,260200.0
1998-07-08,14.1875,14.625,14.1875,14.625,136600.0
1998-07-09,14.5625,14.6875,14.375,14.5,178600.0
1998-07-10,14.4375,15.625,14.125,15.0625,330200.0
1998-07-13,15.0,15.875,14.625,15.5,393900.0
1998-07-14,15.75,16.375,14.4375,15.3125,304300.0
1998-07-15,16.0,16.0,14.0625,14.625,259300.0
1998-07-16,14.75,14.8125,14.3125,14.375,228800.0
1998-07-17,14.8125,15.0,14.6875,14.6875,96700.0
1998-07-20,14.8125,14.875,14.0625,14.125,316100.0
1998-07-21,14.1875,14.1875,13.25,13.25,685000.0
1998-07-22,13.25,13.25,12.375,12.375,269600.0
1998-07-23,12.3125,13.1875,12.3125,13.0,186500.0
1998-07-24,13.0,13.75,12.625,13.1875,230700.0
1998-07-27,13.3125,13.3125,11.625,12.5,372500.0
1998-07-28,12.625,12.625,12.0,12.25,179000.0
1998-07-29,12.3125,13.375,12.3125,13.375,66500.0
1998-07-30,13.9375,14.0625,13.6875,13.9375,362200.0
1998-07-31,14.0,14.0625,13.6875,13.6875,105000.0
1998-08-03,13.6875,13.6875,12.625,13.0625,121300.0
1998-08-04,13.1875,13.75,12.875,12.9375,157800.0
1998-08-05,12.875,13.0,12.75,12.9375,188600.0
1998-08-06,13.0,13.0,12.6875,12.6875,30600.0
1998-08-07,12.8125,12.8125,11.625,11.6875,56700.0
1998-08-10,11.8125,11.875,11.25,11.25,40400.0
1998-08-11,11.125,11.125,10.3125,10.5,59200.0
1998-08-12,10.625,10.75,10.5,10.75,67900.0
1998-08-13,10.625,10.625,10.0,10.25,18300.0
1998-08-14,10.3125,10.3125,9.25,9.25,71300.0
1998-08-17,9.375,9.4375,8.1875,8.75,572400.0
1998-08-18,9.0,9.9375,9.0,9.75,521400.0
1998-08-19,10.0,10.75,10.0,10.625,97600.0
1998-08-20,10.75,10.9375,10.125,10.1875,45000.0
1998-08-21,10.75,10.75,10.125,10.625,81100.0
1998-08-24,10.75,10.875,10.375,10.4375,20200.0
1998-08-25,10.4375,10.5,10.25,10.375,78300.0
1998-08-26,10.625,10.625,10.25,10.375,10000.0
1998-08-27,10.4375,10.4375,9.25,9.6875,51600.0
1998-08-28,9.9375,10.0625,9.5625,9.5625,105700.0
1998-08-31,9.625,9.625,9.0,9.0,167000.0
1998-09-01,9.5,9.5,8.25,8.5,2008500.0
1998-09-02,8.375,8.9375,8.3125,8.375,125300.0
1998-09-03,8.4375,9.0,8.375,8.625,80800.0
1998-09-04,8.5,8.875,8.5,8.6875,30700.0
1998-09-08,8.9375,10.0,8.8125,9.75,161400.0
1998-09-09,9.875,9.875,9.1875,9.1875,58800.0
1998-09-10,8.5,8.5,8.1875,8.4375,50900.0
1998-09-11,8.3125,8.625,8.3125,8.4375,45700.0
1998-09-14,8.6875,9.0625,8.625,8.75,155000.0
1998-09-15,8.625,9.0,8.625,9.0,86100.0
1998-09-16,9.125,9.5625,9.125,9.5,91200.0
1998-09-17,9.5625,9.75,9.25,9.75,151000.0
1998-09-18,9.875,9.9375,9.75,9.9375,53200.0
1998-09-21,9.0625,9.875,9.0,9.875,73100.0
1998-09-22,9.8125,10.0,9.8125,9.875,100100.0
1998-09-23,10.125,10.25,9.875,10.25,520900.0
1998-09-24,10.125,10.4375,10.0,10.125,295100.0
1998-09-25,9.9375,11.125,9.8125,11.0,805800.0
1998-09-28,11.25,11.875,11.0625,11.375,295000.0
1998-09-29,11.25,11.6875,11.1875,11.6875,210800.0
1998-09-30,11.6875,11.6875,11.25,11.3125,84300.0
1998-10-01,11.0625,11.0625,10.25,10.5,82100.0
1998-10-02,10.375,11.125,10.1875,11.125,62200.0
1998-10-05,11.0625,11.0625,10.0,10.25,89300.0
1998-10-06,10.125,10.875,10.0,10.0625,119200.0
1998-10-07,10.125,10.25,9.5625,9.5625,269800.0
1998-10-08,9.4375,9.5,8.75,8.875,78200.0
1998-10-09,8.75,9.25,8.75,9.125,65900.0
1998-10-12,9.25,10.125,9.25,10.0,179700.0
1998-10-13,10.5625,10.6875,10.125,10.125,70000.0
1998-10-14,10.25,10.3125,10.0,10.25,35500.0
1998-10-15,10.25,10.4375,10.0625,10.4375,83000.0
1998-10-16,10.375,11.0,10.375,10.9375,107500.0
1998-10-19,11.0625,11.75,11.0625,11.75,52500.0
1998-10-20,12.0,12.0,11.0625,11.0625,244400.0
1998-10-21,11.125,11.625,11.125,11.4375,39300.0
1998-10-22,11.375,11.5,11.25,11.375,37500.0
1998-10-23,11.4375,11.75,11.4375,11.75,76800.0
1998-10-26,11.625,11.6875,11.25,11.6875,60600.0
1998-10-27,11.75,12.9375,11.75,12.5,187400.0
1998-10-28,12.375,13.0,12.375,13.0,47800.0
1998-10-29,13.1875,13.1875,12.25,12.375,123700.0
1998-10-30,12.375,13.0,12.375,13.0,206900.0
1998-11-02,12.875,12.875,12.5,12.6875,50000.0
1998-11-03,12.6875,12.6875,12.25,12.5625,57300.0
1998-11-04,12.625,13.1875,12.3125,12.3125,277200.0
1998-11-05,12.375,13.125,12.3125,13.125,109000.0
