Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-06-05,25.01,27.44,24.0,27.0,2828424.0
2015-06-08,27.45,29.69,27.1,28.81,357194.0
2015-06-09,29.7,29.97,29.0,29.6,119929.0
2015-06-10,29.79,29.79,27.55,27.74,74986.0
2015-06-11,27.56,28.17,26.98,27.06,52514.0
2015-06-12,27.04,27.68,26.9,26.98,49091.0
2015-06-15,27.07,27.3,26.65,27.25,22901.0
2015-06-16,27.5,29.16,27.1,29.16,47536.0
2015-06-17,24.9,26.66,21.9,22.0,337880.0
2015-06-18,22.0,22.21,21.03,21.32,66081.0
2015-06-19,21.2,22.11,20.75,22.0,58033.0
2015-06-22,22.26,22.26,20.46,21.81,54127.0
2015-06-23,21.96,22.5,21.96,22.41,44559.0
2015-06-24,22.51,22.99,22.1,22.24,27688.0
2015-06-25,22.15,23.0,22.01,22.77,26148.0
2015-06-26,22.88,22.9,22.35,22.57,4199.0
2015-06-29,22.48,22.48,22.19,22.48,9483.0
2015-06-30,22.21,22.21,21.16,21.49,58275.0
2015-07-01,21.59,21.69,20.81,20.94,22261.0
2015-07-02,20.92,21.35,20.92,21.16,9281.0
2015-07-06,21.15,21.3,20.9,20.91,12073.0
2015-07-07,21.16,21.3,20.93,21.19,16196.0
2015-07-08,21.28,21.28,18.94,19.0,24728.0
2015-07-09,18.91,19.93,18.91,19.2,43525.0
2015-07-10,19.22,21.9,19.0,20.51,45102.0
2015-07-13,20.45,20.45,19.19,19.64,12322.0
2015-07-14,19.54,19.7,19.27,19.47,5112.0
2015-07-15,19.52,19.55,19.27,19.46,5918.0
2015-07-16,19.55,19.6,19.22,19.52,7415.0
2015-07-17,19.41,20.3,19.41,20.04,7741.0
2015-07-20,20.24,20.24,19.7,19.82,27399.0
2015-07-21,19.94,20.34,19.71,19.95,16877.0
2015-07-22,19.93,19.93,19.55,19.73,55326.0
2015-07-23,19.85,19.95,19.75,19.86,55252.0
2015-07-24,19.95,19.95,19.19,19.63,18717.0
2015-07-27,19.42,19.7,17.73,17.83,30592.0
2015-07-28,18.0,18.14,15.97,16.21,47980.0
2015-07-29,16.12,16.82,15.7,16.68,19862.0
2015-07-30,16.68,17.4,16.68,17.1,10508.0
2015-07-31,17.22,17.22,16.38,16.54,19540.0
2015-08-03,16.54,16.54,15.9,16.11,58512.0
2015-08-04,16.16,16.16,14.91,15.11,37552.0
2015-08-05,15.15,15.9,14.84,14.9,12667.0
2015-08-06,14.81,15.25,14.205,14.7,83229.0
2015-08-07,14.67,14.67,14.17,14.41,25193.0
2015-08-10,14.44,14.84,14.32,14.66,6406.0
2015-08-11,14.65,14.65,13.87,13.93,45505.0
2015-08-12,13.8,14.2,13.4,13.45,58933.0
2015-08-13,13.38,13.38,12.53,12.64,22479.0
2015-08-14,12.73,12.95,12.0,12.86,21542.0
2015-08-17,12.76,14.39,12.49,13.49,33723.0
2015-08-18,13.55,13.975,12.73,12.73,16371.0
2015-08-19,12.6,12.66,12.4,12.47,13606.0
2015-08-20,12.43,13.05,11.76,12.96,35301.0
2015-08-21,12.7,13.83,12.6,13.49,56041.0
2015-08-24,12.75,13.39,12.74,13.085,31296.0
2015-08-25,13.4,13.99,12.95,13.08,33739.0
2015-08-26,13.13,13.31,12.67,12.91,26431.0
2015-08-27,12.97,12.97,12.48,12.77,21062.0
2015-08-28,12.76,13.22,12.53,13.15,17041.0
2015-08-31,13.22,14.25,13.22,13.79,26817.0
