Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2005-04-14,12.08,12.2,11.0,11.74,1583222.0
2005-04-15,11.66,11.66,10.23,10.25,214792.0
2005-04-18,10.4,10.818,10.4,10.5,33075.0
2005-04-19,11.0,11.0,10.58,10.58,81702.0
2005-04-20,10.55,10.7,10.5,10.6,7620.0
2005-04-21,10.63,10.63,10.5,10.5,13650.0
2005-04-22,10.76,10.97,10.5,10.52,21226.0
2005-04-25,10.659,10.7,10.51,10.55,53550.0
2005-04-26,10.51,10.65,10.5,10.5,24145.0
2005-04-27,10.5,10.54,9.61,9.79,49124.0
2005-04-28,9.67,10.16,9.67,9.9,35443.0
2005-04-29,10.0,10.3,10.0,10.0,17700.0
2005-05-02,9.88,10.1,9.87,9.91,14420.0
2005-05-03,9.98,10.1,9.9,10.0,7324.0
2005-05-04,10.0,10.1,9.9,10.1,14642.0
2005-05-05,10.01,10.09,9.9,9.9,12775.0
2005-05-06,9.9,10.0,9.9,10.0,16728.0
2005-05-09,10.09,10.1,9.9,9.9,35086.0
2005-05-10,10.47,11.752,10.1,11.4,99802.0
2005-05-11,11.41,11.75,11.3,11.51,53254.0
2005-05-12,11.5,11.7,10.95,11.31,48102.0
2005-05-13,11.59,11.662,11.36,11.5,10460.0
2005-05-16,11.6,12.9,11.51,12.57,268293.0
2005-05-17,12.58,14.74,12.45,13.95,156215.0
2005-05-18,14.3,14.3,13.65,13.99,211857.0
2005-05-19,14.0,14.03,13.93,13.99,28876.0
2005-05-20,14.0,14.04,13.79,13.88,34020.0
2005-05-23,14.0,14.02,13.37,14.0,76035.0
2005-05-24,14.03,14.2,13.9,14.0,62614.0
2005-05-25,13.85,14.12,13.5,14.05,34630.0
2005-05-26,14.05,14.6,13.95,14.01,30588.0
2005-05-27,14.22,14.25,14.0,14.2,4484.0
2005-05-31,14.32,14.32,13.69,13.95,819010.0
2005-06-01,14.25,14.25,13.58,13.91,14735.0
2005-06-02,13.84,13.84,13.5,13.56,30156.0
2005-06-03,13.54,13.81,13.5,13.74,11201.0
2005-06-06,13.84,14.0,13.75,14.0,15174.0
2005-06-07,14.05,14.59,14.02,14.59,6484.0
2005-06-08,14.58,15.0,14.58,14.86,21131.0
2005-06-09,15.0,15.29,14.46,14.89,63277.0
2005-06-10,14.96,15.58,14.65,15.15,10658.0
2005-06-13,15.59,15.99,15.2,15.3,18255.0
2005-06-14,15.9,15.9,14.95,15.05,36270.0
2005-06-15,14.92,15.5,14.92,15.4,12636.0
2005-06-16,15.395,15.5,15.07,15.23,21456.0
2005-06-17,15.5,15.5,15.0,15.2,26720.0
2005-06-20,15.05,15.29,14.9,15.0,10413.0
2005-06-21,14.95,15.0,14.01,14.44,38951.0
2005-06-22,14.25,14.26,13.226,13.53,26513.0
2005-06-23,13.28,13.45,12.5,12.73,14156.0
2005-06-24,12.48,12.98,11.9952,12.0,323050.0
2005-06-27,12.16,12.2,11.51,11.95,28917.0
