Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-04-17,3.75,3.75,3.27,3.4,12446.0
2019-04-18,3.21,3.55,3.15,3.55,29141.0
2019-04-22,3.7,3.7,3.47,3.56,44758.0
2019-04-23,3.6,3.6,3.49,3.53,13006.0
2019-04-24,3.56,3.57,3.54,3.54,11046.0
2019-04-25,3.54,3.55,3.49,3.55,23702.0
2019-04-26,3.6,3.68,3.5,3.6,45270.0
2019-04-29,3.6,3.6,3.47,3.5,10799.0
2019-04-30,3.55,3.6,3.5,3.5,9473.0
2019-05-01,3.45,3.45,3.36,3.36,7963.0
2019-05-02,3.36,3.36,3.2,3.32,18283.0
2019-05-03,3.28,3.41,3.21,3.41,8773.0
2019-05-06,3.37,3.37,3.2,3.26,8382.0
2019-05-07,3.32,3.38,3.26,3.3,11057.0
2019-05-08,3.29,3.6,3.25,3.6,19734.0
2019-05-09,3.5,4.025,3.5,3.9,36616.0
2019-05-10,4.1,4.87,4.08,4.45,43825.0
2019-05-13,4.39,4.54,4.29,4.45,22047.0
2019-05-14,4.5,4.5,4.35,4.36,9046.0
2019-05-15,4.31,4.36,4.04,4.34,7712.0
2019-05-16,4.3,4.3,4.05,4.19,15869.0
2019-05-17,4.12,4.2,4.11,4.14,4461.0
2019-05-20,4.12,4.13,3.84,3.88,17191.0
2019-05-21,3.89,4.49,3.89,3.92,5989.0
2019-05-22,4.03,4.55,4.03,4.54,63006.0
2019-05-23,4.54,4.54,4.18,4.18,11257.0
2019-05-24,4.19,4.26,4.03,4.08,7941.0
2019-05-28,4.04,4.14,3.95,3.95,28460.0
2019-05-29,4.0,4.17,4.0,4.0,13665.0
2019-05-30,4.05,4.35,4.05,4.25,5417.0
2019-05-31,4.25,4.53,4.25,4.45,37301.0
2019-06-03,4.45,5.59,4.45,5.15,169771.0
2019-06-04,5.5,5.91,5.48,5.64,82802.0
2019-06-05,5.77,5.77,5.46,5.7,38875.0
2019-06-06,5.75,6.12,5.7,6.0,91604.0
2019-06-07,6.0,6.05,5.71,6.0,81659.0
2019-06-10,6.18,6.18,5.44,5.445,69553.0
2019-06-11,5.5,5.87,5.5,5.66,39123.0
2019-06-12,5.71,5.92,5.56,5.88,32836.0
2019-06-13,6.02,6.02,5.61,5.97,30569.0
2019-06-14,5.95,5.95,5.78,5.83,2692.0
2019-06-17,5.9,6.34,5.87,6.24,55099.0
2019-06-18,6.41,6.69,6.17,6.46,68605.0
2019-06-19,6.48,7.3,6.48,6.95,109605.0
2019-06-20,7.03,7.13,6.88,6.9,77811.0
2019-06-21,6.96,6.96,6.6,6.69,472294.0
2019-06-24,6.69,6.69,6.16,6.17,73523.0
2019-06-25,6.12,6.12,5.73,5.83,97453.0
2019-06-26,5.81,6.05,5.81,6.0,29546.0
2019-06-27,6.02,6.56,5.99,6.51,28755.0
2019-06-28,6.53,6.71,6.22,6.26,86807.0
2019-07-01,6.28,6.39,5.62,5.91,49815.0
2019-07-02,5.88,5.96,5.79,5.86,14710.0
2019-07-03,5.84,5.9,5.7,5.75,29420.0
2019-07-05,5.75,5.97,5.75,5.82,25842.0
2019-07-08,5.84,5.93,5.8,5.92,14369.0
2019-07-09,5.93,6.12,5.9,5.9,11660.0
2019-07-10,5.9,5.95,5.78,5.78,30944.0
2019-07-11,5.81,5.81,5.6,5.63,14932.0
2019-07-12,5.61,5.68,5.55,5.63,22255.0
2019-07-15,5.63,5.67,5.12,5.14,41987.0
2019-07-16,5.03,5.11,4.75,5.0,56576.0
2019-07-17,4.96,5.03,4.91,4.98,18985.0
2019-07-18,4.96,5.15,4.95,5.1,22823.0
2019-07-19,5.1,5.14,5.0,5.09,9268.0
2019-07-22,5.08,5.17,5.04,5.09,12634.0
2019-07-23,5.11,5.12,4.95,5.04,8867.0
2019-07-24,5.02,5.16,5.0,5.12,17246.0
2019-07-25,5.05,5.27,5.05,5.16,7059.0
2019-07-26,5.16,5.8,5.16,5.74,11271.0
2019-07-29,5.82,6.05,5.75,6.02,17405.0
2019-07-30,6.01,6.48,6.01,6.44,10450.0
2019-07-31,6.5,6.5,5.59,5.79,17184.0
2019-08-01,5.79,6.33,5.72,6.11,16485.0
2019-08-02,6.02,6.15,5.855,6.13,14923.0
2019-08-05,6.07,6.07,5.39,5.64,19551.0
2019-08-06,5.69,6.08,5.69,6.01,7945.0
2019-08-07,6.1,6.4,6.05,6.34,16953.0
2019-08-08,6.48,6.48,6.0,6.19,18512.0
2019-08-09,6.19,6.19,5.62,5.9,20170.0
2019-08-12,5.86,5.86,5.58,5.67,9278.0
2019-08-13,5.71,6.1,5.67,6.1,12725.0
2019-08-14,6.3,6.3,5.39,6.09,26693.0
2019-08-15,5.95,6.27,5.66,6.15,16703.0
2019-08-16,6.17,6.19,5.98,6.03,5988.0
2019-08-19,6.05,6.74,6.01,6.6,32047.0
2019-08-20,6.6,6.68,6.11,6.2,16331.0
2019-08-21,6.22,6.62,6.22,6.42,9542.0
2019-08-22,6.41,6.9,6.275,6.36,34912.0
2019-08-23,6.35,6.68,6.2,6.5,32441.0
2019-08-26,6.7,6.8,6.51,6.7,60107.0
2019-08-27,6.78,6.87,6.25,6.38,53885.0
2019-08-28,6.36,6.63,6.34,6.38,21123.0
2019-08-29,6.4,6.53,6.11,6.16,14072.0
2019-08-30,6.17,6.2,5.95,6.1,25939.0
2019-09-03,5.99,6.31,5.84,5.84,23246.0
2019-09-04,5.9,6.02,5.71,5.845,40655.0
2019-09-05,5.89,5.99,5.73,5.96,14740.0
2019-09-06,5.97,5.97,5.815,5.88,8394.0
2019-09-09,5.84,5.95,5.42,5.44,22668.0
2019-09-10,5.41,5.43,5.25,5.3,38282.0
2019-09-11,5.31,5.32,5.2,5.22,17584.0
2019-09-12,5.25,5.31,4.94,5.27,46296.0
2019-09-13,5.29,5.65,5.29,5.55,17167.0
2019-09-16,5.6,5.87,5.5,5.72,63711.0
2019-09-17,5.75,6.11,5.75,6.1,16702.0
2019-09-18,6.15,6.15,5.95,6.06,25282.0
2019-09-19,6.06,6.06,5.85,5.96,36070.0
2019-09-20,5.95,6.13,5.92,6.13,15107.0
2019-09-23,6.12,6.56,6.12,6.56,35246.0
2019-09-24,6.5,6.54,6.15,6.27,41400.0
2019-09-25,6.25,6.43,6.17,6.25,15606.0
2019-09-26,6.3,6.31,6.06,6.3,26869.0
2019-09-27,6.3,6.4,5.84,5.91,19596.0
2019-09-30,5.91,6.22,5.91,6.13,38153.0
2019-10-01,6.16,6.3,6.05,6.06,18972.0
2019-10-02,6.1,6.1,5.76,5.87,22486.0
2019-10-03,5.87,6.16,5.87,6.07,10171.0
2019-10-04,6.12,6.35,6.07,6.35,16269.0
2019-10-07,6.31,6.65,6.3,6.52,17666.0
2019-10-08,6.39,6.57,6.36,6.41,7376.0
2019-10-09,6.5,6.5,6.24,6.29,15584.0
2019-10-10,6.29,6.29,5.93,5.93,18846.0
2019-10-11,5.97,6.55,5.95,6.52,29694.0
2019-10-14,6.42,6.56,6.35,6.39,13894.0
2019-10-15,6.49,6.67,6.4,6.64,9815.0
2019-10-16,6.7,6.855,6.51,6.63,12342.0
2019-10-17,6.63,6.7,6.52,6.53,5782.0
2019-10-18,6.52,6.63,6.36,6.48,16174.0
2019-10-21,6.53,6.71,6.49,6.6,6767.0
2019-10-22,6.66,6.67,6.55,6.64,4708.0
2019-10-23,6.65,6.68,6.25,6.29,30035.0
2019-10-24,6.31,6.33,6.11,6.33,17815.0
2019-10-25,6.36,6.5,6.32,6.48,2525.0
2019-10-28,6.54,6.75,6.15,6.32,31824.0
2019-10-29,6.45,6.53,6.16,6.23,45345.0
2019-10-30,6.2,6.4,6.18,6.35,13696.0
2019-10-31,6.36,6.4,6.19,6.23,11526.0
