Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-03-07,16.25,16.25,14.375,15.0,2860800.0
1997-03-10,14.875,15.125,13.625,13.875,493600.0
1997-03-11,14.125,14.5,14.125,14.25,72400.0
1997-03-12,14.375,14.375,13.875,14.0,131600.0
1997-03-13,13.875,14.0,13.5,13.75,177700.0
1997-03-14,13.5,14.375,13.5,14.125,122700.0
1997-03-17,14.125,14.25,13.875,14.125,407400.0
1997-03-18,14.0625,14.125,14.0625,14.125,43400.0
1997-03-19,14.25,14.25,14.0,14.0,120400.0
1997-03-20,14.375,14.375,13.625,13.75,89900.0
1997-03-21,13.875,13.875,13.75,13.875,19200.0
1997-03-24,13.75,13.875,13.625,13.75,42700.0
1997-03-25,13.875,13.875,13.625,13.875,32800.0
1997-03-26,13.75,14.0,13.75,13.875,53800.0
1997-03-27,13.875,14.0,13.5,13.5,90900.0
1997-03-31,13.875,13.875,12.75,12.75,43800.0
1997-04-01,12.75,13.0,12.625,13.0,223300.0
1997-04-02,12.875,13.125,12.75,13.125,270900.0
1997-04-03,13.25,13.5,13.25,13.375,96000.0
1997-04-04,13.25,14.0,13.25,14.0,121100.0
1997-04-07,14.5,14.625,14.125,14.25,168200.0
1997-04-08,14.25,14.25,13.75,13.75,101100.0
1997-04-09,13.875,13.875,13.75,13.75,4800.0
1997-04-10,14.0,14.25,13.75,14.125,79600.0
1997-04-11,14.0,14.0625,14.0,14.0,40000.0
1997-04-14,14.0,14.0625,14.0,14.0,27700.0
1997-04-15,14.625,14.625,14.0,14.0,77900.0
1997-04-16,14.25,14.25,14.0,14.0,56600.0
1997-04-17,13.875,13.875,13.875,13.875,300.0
1997-04-18,14.25,14.25,14.0,14.125,50200.0
1997-04-21,13.9375,13.9375,13.9375,13.9375,1000.0
1997-04-22,14.0,14.0,13.75,13.75,50000.0
1997-04-24,13.75,13.75,13.25,13.25,8600.0
1997-04-25,13.25,13.25,13.125,13.125,11000.0
1997-04-28,13.125,13.25,12.875,12.875,24700.0
1997-04-29,13.125,13.125,12.75,12.75,52500.0
1997-04-30,12.625,12.875,12.5625,12.5625,45000.0
1997-05-01,13.0,13.0,13.0,13.0,10100.0
1997-05-02,13.0,13.0,13.0,13.0,10000.0
1997-05-05,13.0,13.0,12.6875,12.6875,48300.0
1997-05-06,12.625,12.625,12.625,12.625,100.0
1997-05-08,12.5625,12.75,12.5,12.625,40000.0
1997-05-09,13.0,13.0,13.0,13.0,1300.0
1997-05-12,12.625,12.625,12.625,12.625,1000.0
1997-05-13,12.625,12.625,12.625,12.625,1000.0
1997-05-16,12.625,12.625,12.125,12.375,16000.0
1997-05-19,11.75,11.75,11.625,11.625,2300.0
1997-05-20,11.5,11.5,11.5,11.5,7500.0
1997-05-21,11.125,11.125,10.375,10.375,42500.0
1997-05-22,10.25,10.375,9.25,10.0,54400.0
1997-05-23,10.25,10.625,10.25,10.5,253700.0
1997-05-27,10.625,10.625,10.5,10.625,6300.0
1997-05-28,10.625,10.625,10.25,10.625,69100.0
1997-05-29,10.25,11.0,10.25,11.0,18500.0
1997-05-30,11.0,11.0,10.625,11.0,57400.0
1997-06-02,11.125,11.125,10.25,10.5,27400.0
1997-06-03,10.25,10.875,10.25,10.875,700.0
1997-06-04,10.375,10.375,9.75,9.875,46300.0
1997-06-05,10.125,10.125,9.625,9.625,13000.0
1997-06-06,9.875,9.875,9.5,9.875,16100.0
1997-06-09,10.0,10.0,9.75,9.75,50800.0
1997-06-10,10.0,10.125,9.75,10.0,64700.0
1997-06-11,10.125,10.75,10.125,10.75,4900.0
1997-06-12,11.375,12.625,11.375,11.625,58200.0
1997-06-13,11.5,11.625,11.0,11.0,22100.0
1997-06-16,11.375,12.0,11.25,12.0,28700.0
1997-06-17,12.0,12.125,12.0,12.125,4200.0
1997-06-18,12.125,12.125,12.125,12.125,400.0
1997-06-19,11.375,11.875,11.375,11.875,300.0
1997-06-23,11.875,11.875,11.5,11.625,27000.0
1997-06-24,11.625,12.0,11.625,11.75,28900.0
1997-06-25,11.875,11.875,11.375,11.625,45300.0
1997-06-26,11.5,11.875,11.5,11.875,27200.0
1997-06-27,11.875,11.875,11.0,11.0,76800.0
1997-06-30,11.0,11.25,11.0,11.0625,39100.0
1997-07-02,11.25,11.25,11.25,11.25,1700.0
1997-07-03,11.0625,11.0625,10.875,10.875,63300.0
1997-07-07,11.0,11.25,10.875,10.875,77200.0
1997-07-08,11.0,11.25,11.0,11.25,119400.0
1997-07-09,11.1875,11.5,11.0625,11.25,54600.0
1997-07-10,11.375,11.375,11.0,11.0,40400.0
1997-07-11,11.0,11.0,10.5,10.5,90700.0
1997-07-14,10.5,10.5,10.0,10.0,205200.0
1997-07-15,10.125,10.125,10.125,10.125,100.0
1997-07-16,10.125,10.5,10.0,10.5,86600.0
1997-07-21,10.625,11.0,10.625,10.75,31300.0
1997-07-22,11.125,11.25,11.125,11.25,5600.0
1997-07-23,11.375,11.375,11.125,11.25,65400.0
1997-07-25,11.125,11.625,11.125,11.625,203400.0
1997-07-28,11.75,11.75,11.75,11.75,6000.0
1997-07-29,11.75,11.75,11.75,11.75,14600.0
1997-07-30,11.875,11.875,11.875,11.875,2300.0
1997-07-31,11.875,11.875,11.5,11.875,2500.0
1997-08-01,11.875,11.875,11.875,11.875,400.0
1997-08-04,11.375,11.375,11.375,11.375,1400.0
1997-08-05,11.875,14.25,11.375,14.25,113100.0
1997-08-06,14.25,14.25,13.75,14.0,1700.0
1997-08-07,14.5,14.75,14.0,14.375,24500.0
1997-08-08,14.375,14.625,13.875,13.875,32100.0
1997-08-11,13.25,14.25,13.25,14.25,21200.0
1997-08-12,14.125,14.375,13.75,13.75,30800.0
1997-08-13,14.375,14.375,13.625,14.375,30300.0
1997-08-14,14.375,14.375,13.625,13.625,1000.0
1997-08-15,13.625,13.625,13.625,13.625,1000.0
1997-08-18,13.625,14.25,13.625,13.625,1300.0
1997-08-19,14.25,14.25,13.625,13.625,10200.0
1997-08-20,13.75,13.75,13.75,13.75,200.0
1997-08-21,13.75,13.875,13.125,13.125,26000.0
1997-08-22,13.125,13.375,13.125,13.375,16000.0
1997-08-25,13.5,14.0,13.5,14.0,16100.0
1997-08-26,13.625,14.375,13.5,14.375,29700.0
1997-08-27,13.625,13.625,13.625,13.625,5000.0
1997-08-29,13.5,13.625,13.0,13.25,22100.0
1997-09-03,13.0,13.375,13.0,13.25,11800.0
1997-09-05,12.875,13.375,12.875,13.25,3800.0
1997-09-08,13.25,13.25,13.25,13.25,300.0
1997-09-10,12.75,12.75,11.75,11.75,7500.0
1997-09-11,11.75,11.75,11.375,11.375,3600.0
1997-09-12,11.5,11.5,11.375,11.5,76700.0
1997-09-15,11.625,11.625,11.4375,11.4375,1100.0
1997-09-16,11.75,11.75,11.75,11.75,400.0
1997-09-17,11.75,12.0,11.5,12.0,18900.0
1997-09-18,11.5,12.25,11.5,12.25,13400.0
1997-09-19,11.25,11.875,11.25,11.875,1700.0
1997-09-22,11.0,11.5,11.0,11.5,1300.0
1997-09-23,11.375,11.375,11.0,11.0,3700.0
1997-09-24,10.5,10.75,10.5,10.75,97800.0
1997-09-25,11.25,11.25,10.625,10.75,145600.0
1997-09-26,11.0,11.25,10.625,11.125,145700.0
1997-09-29,11.0,11.25,11.0,11.25,30500.0
1997-09-30,11.5,11.5,11.5,11.5,13600.0
1997-10-01,12.0,12.375,11.875,12.375,16100.0
1997-10-02,12.5,12.5,12.0,12.125,60900.0
1997-10-03,12.625,12.625,12.625,12.625,1100.0
1997-10-06,12.75,12.75,12.0,12.0,2000.0
1997-10-09,12.0,12.625,12.0,12.625,1100.0
1997-10-10,12.75,12.75,12.75,12.75,100.0
1997-10-13,12.75,12.75,12.375,12.5,1700.0
1997-10-14,12.125,12.125,12.125,12.125,500.0
1997-10-15,12.125,12.75,12.125,12.75,600.0
1997-10-16,11.875,11.875,11.875,11.875,2000.0
1997-10-20,12.125,12.5,12.125,12.5,42100.0
1997-10-21,12.5,12.5,12.125,12.1875,5900.0
1997-10-23,10.875,11.625,10.5,10.5,31500.0
1997-10-24,11.5,11.5,10.875,11.5,20300.0
1997-10-27,10.5,10.5,9.5625,9.5625,30700.0
1997-10-28,9.25,10.625,8.875,10.625,12600.0
1997-10-29,9.875,10.125,9.875,10.125,1000.0
1997-10-30,10.25,10.25,9.0,9.0,27000.0
1997-10-31,9.75,10.25,9.75,10.0,108200.0
1997-11-04,10.25,10.25,10.25,10.25,700.0
1997-11-05,10.25,10.75,10.0,10.75,11300.0
1997-11-06,9.75,9.75,9.75,9.75,100.0
1997-11-07,9.75,10.125,9.75,10.125,1700.0
1997-11-10,10.0,10.0,10.0,10.0,7700.0
1997-11-11,9.75,10.0,9.75,9.875,12800.0
1997-11-12,9.875,9.875,8.25,8.25,115500.0
1997-11-13,9.0,9.0,8.5,8.5,7000.0
1997-11-14,8.5,8.625,8.375,8.5,114600.0
1997-11-17,8.5,8.75,8.375,8.375,79200.0
1997-11-18,8.5,8.5,8.5,8.5,200.0
1997-11-19,8.5,8.5,8.5,8.5,100.0
1997-11-20,8.5,8.5,8.25,8.5,3000.0
1997-11-21,8.25,8.25,8.125,8.125,6400.0
1997-11-24,8.375,8.375,8.375,8.375,5300.0
1997-11-25,8.125,8.25,8.0,8.25,10100.0
1997-11-26,7.75,7.75,7.75,7.75,1700.0
1997-11-28,7.25,7.25,7.25,7.25,1000.0
1997-12-01,7.5,7.625,6.1875,6.3125,159500.0
1997-12-02,6.5,7.5,6.5,7.5,99500.0
1997-12-03,7.5,8.25,7.5,8.125,42900.0
1997-12-04,8.25,8.25,7.625,7.75,130100.0
1997-12-05,7.75,8.125,7.5,7.625,14400.0
1997-12-08,8.0,8.0,7.5,7.75,249100.0
1997-12-09,8.25,8.25,7.875,7.875,4000.0
1997-12-10,7.875,7.875,7.875,7.875,3900.0
1997-12-11,7.5,7.5,7.5,7.5,18000.0
1997-12-12,7.5,7.5,7.125,7.125,1100.0
1997-12-15,7.5,7.5,7.25,7.25,91000.0
1997-12-16,6.9375,6.9375,6.9375,6.9375,200.0
1997-12-17,7.375,7.5,7.0,7.25,91400.0
1997-12-18,7.25,7.25,7.25,7.25,1500.0
1997-12-19,7.5,7.75,7.0,7.0,9000.0
1997-12-22,7.0,7.0,7.0,7.0,10700.0
1997-12-23,7.0,7.25,7.0,7.0,5200.0
1997-12-24,7.0,7.0,7.0,7.0,800.0
1997-12-26,7.0,7.0,7.0,7.0,100.0
1997-12-29,7.0625,7.25,7.0625,7.25,4200.0
1997-12-30,7.25,7.25,7.25,7.25,1000.0
1997-12-31,7.25,7.75,7.125,7.75,14100.0
1998-01-02,7.75,7.875,7.75,7.875,2300.0
1998-01-05,7.8125,8.25,7.8125,8.25,6700.0
1998-01-06,7.75,8.375,7.75,8.375,7200.0
1998-01-07,8.375,8.375,8.375,8.375,800.0
1998-01-08,8.375,9.0,8.375,9.0,73100.0
1998-01-09,9.0,9.0,9.0,9.0,600.0
1998-01-13,9.25,9.25,8.75,9.125,51100.0
1998-01-14,9.5,9.5,9.125,9.5,4400.0
1998-01-15,9.5,10.375,9.5,10.375,11000.0
1998-01-16,10.375,10.5,10.0,10.0,11700.0
1998-01-20,10.0,10.5,10.0,10.5,34300.0
1998-01-21,11.0,11.375,11.0,11.0,15900.0
1998-01-22,11.0,11.625,10.75,11.625,40000.0
1998-01-23,12.0,13.0,11.875,12.5,19000.0
1998-01-26,12.75,14.25,12.625,13.25,62500.0
1998-01-27,13.125,13.125,13.125,13.125,2700.0
1998-01-28,13.125,13.5,11.75,11.75,124000.0
1998-01-29,11.5,11.5,11.5,11.5,70000.0
1998-01-30,11.0,11.25,10.75,11.0,35700.0
1998-02-02,10.8125,11.25,10.8125,11.0,70500.0
1998-02-03,10.625,11.0,10.625,11.0,15400.0
1998-02-04,10.625,10.625,10.5,10.5,2300.0
1998-02-05,10.5,10.5,8.875,9.0,34200.0
1998-02-06,9.25,9.25,8.625,8.625,12300.0
1998-02-09,9.125,9.125,8.875,8.90625,21400.0
1998-02-10,9.0,9.0625,9.0,9.0,20500.0
1998-02-11,9.125,9.5,9.125,9.125,36000.0
1998-02-17,8.875,8.875,8.875,8.875,200.0
1998-02-18,9.0625,9.0625,8.875,8.875,9600.0
1998-02-19,8.875,8.875,8.875,8.875,10000.0
1998-02-20,8.875,9.0,8.875,9.0,25500.0
1998-02-23,8.875,8.875,8.75,8.75,31900.0
1998-02-24,9.0,9.0,8.625,8.875,11800.0
1998-02-25,8.5,9.0,8.5,8.75,38600.0
1998-02-26,8.75,8.75,8.75,8.75,5000.0
1998-02-27,8.75,8.75,8.75,8.75,100.0
1998-03-02,8.75,8.75,8.75,8.75,200.0
1998-03-03,8.625,8.75,8.25,8.75,18900.0
1998-03-04,8.75,8.75,8.375,8.5,14600.0
1998-03-06,8.75,8.75,8.75,8.75,800.0
1998-03-09,8.625,8.625,8.5,8.5,4700.0
1998-03-10,8.625,8.625,8.25,8.625,9500.0
1998-03-11,8.25,8.375,8.125,8.125,73600.0
1998-03-12,8.0,8.0,7.75,8.0,4300.0
1998-03-13,8.0,8.0,6.75,7.625,21200.0
1998-03-16,7.0,7.625,6.75,7.0,41000.0
1998-03-17,6.875,6.875,6.375,6.5,21100.0
1998-03-18,6.75,7.0,6.375,6.875,5800.0
1998-03-19,7.0,7.75,6.875,6.875,90700.0
1998-03-20,7.125,7.25,7.0,7.25,39200.0
1998-03-23,7.5,7.5,6.875,6.875,8800.0
1998-03-24,6.875,7.375,6.875,7.125,35900.0
1998-03-25,7.25,7.375,7.0,7.25,110100.0
1998-03-26,7.25,7.25,7.0,7.125,44600.0
1998-03-27,7.125,7.75,7.0625,7.75,116800.0
1998-03-30,7.625,7.625,7.5,7.5,26400.0
1998-03-31,7.5,7.625,7.5,7.625,9700.0
1998-04-01,7.625,7.625,7.25,7.5,152400.0
1998-04-02,7.5,7.5,7.25,7.375,9500.0
1998-04-03,7.25,7.3125,7.25,7.3125,1300.0
1998-04-06,7.25,7.25,7.0,7.0625,17300.0
1998-04-07,7.0,7.125,7.0,7.0625,2300.0
1998-04-08,7.125,7.125,7.125,7.125,600.0
1998-04-09,7.125,7.125,7.0,7.125,1010400.0
1998-04-13,7.125,7.125,7.0,7.0625,8100.0
1998-04-14,7.0,7.0,6.0,6.125,451200.0
1998-04-15,6.125,6.25,5.75,5.8125,97300.0
1998-04-16,6.0,6.5,5.9375,6.375,214500.0
1998-04-17,7.0,7.0,6.5,7.0,9500.0
1998-04-20,7.125,7.125,7.0,7.0,8900.0
1998-04-21,7.125,7.125,7.125,7.125,1300.0
1998-04-22,7.125,7.125,6.875,6.875,16300.0
1998-04-23,7.0,7.125,7.0,7.0625,43300.0
1998-04-24,7.0,7.125,7.0,7.125,134000.0
1998-04-27,7.125,7.125,7.0,7.125,61300.0
1998-04-28,7.125,7.125,6.75,7.0,35500.0
1998-04-29,6.875,6.875,6.625,6.75,13000.0
1998-04-30,6.5,6.875,6.5,6.75,11000.0
1998-05-04,7.0,7.125,7.0,7.125,21100.0
1998-05-05,7.125,7.125,7.0,7.0,41200.0
1998-05-06,7.0,7.0,6.875,6.875,69300.0
1998-05-07,6.875,6.875,6.5,6.5,45300.0
1998-05-08,6.5,6.5,6.375,6.375,279500.0
1998-05-11,6.625,6.875,6.0,6.0,261200.0
