Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-02-12,15.5,16.44,12.77,12.83,2353829.0
2014-02-13,12.51,13.46,12.51,13.22,176674.0
2014-02-14,13.2,13.59,12.77,12.8,36191.0
2014-02-18,13.0,13.05,12.65,12.94,24088.0
2014-02-19,12.71,12.94,11.75,12.14,66956.0
2014-02-20,12.0,12.0,11.55,11.65,27569.0
2014-02-21,11.61,12.25,11.45,12.05,83853.0
2014-02-24,12.2,12.44,11.92,12.05,29420.0
2014-02-25,12.26,13.5,12.05,13.35,75976.0
2014-02-26,13.5,14.3,13.5,14.0,85960.0
2014-02-27,14.0,14.45,13.57,13.89,41449.0
2014-02-28,13.95,14.4,13.07,13.76,35842.0
2014-03-03,13.72,13.9,13.38,13.49,14729.0
2014-03-04,13.7,13.9,13.22,13.26,38278.0
2014-03-05,13.49,14.95,13.45,14.79,86152.0
2014-03-06,14.97,15.1,14.22,14.49,81750.0
2014-03-07,14.82,15.07,14.14,14.92,41454.0
2014-03-10,15.1,15.16,14.7,14.89,98027.0
2014-03-11,15.01,15.01,13.87,14.17,37518.0
2014-03-12,14.23,14.54,13.73,14.1,31718.0
2014-03-13,14.23,14.89,13.54,14.78,61740.0
2014-03-14,14.69,14.77,14.21,14.5,21669.0
2014-03-17,14.57,14.57,14.11,14.11,14342.0
2014-03-18,14.07,14.49,14.07,14.3,17875.0
2014-03-19,14.41,14.76,14.41,14.48,63722.0
2014-03-20,15.31,15.48,14.5,14.7,73856.0
2014-03-21,14.7,14.7,14.19,14.6,54102.0
2014-03-24,14.69,14.69,13.18,13.61,36806.0
2014-03-25,13.75,13.95,13.4,13.55,20296.0
2014-03-26,13.6,13.76,12.56,12.81,29926.0
2014-03-27,12.85,13.06,12.32,12.63,30690.0
2014-03-28,12.61,12.82,11.8,12.36,48785.0
2014-03-31,12.42,12.88,12.42,12.75,141748.0
2014-04-01,12.81,13.12,12.6,12.9,30775.0
2014-04-02,12.96,13.36,12.94,13.17,28637.0
2014-04-03,13.15,13.15,12.62,13.1,27919.0
2014-04-04,13.12,13.15,12.24,12.96,63305.0
2014-04-07,12.91,12.91,12.25,12.76,19448.0
2014-04-08,12.78,12.85,12.32,12.67,16543.0
2014-04-09,12.65,13.06,12.63,12.67,16062.0
2014-04-10,12.65,12.65,11.72,11.92,23588.0
2014-04-11,11.92,12.18,11.75,11.88,20217.0
2014-04-14,12.0,12.67,11.6,12.05,30196.0
2014-04-15,12.05,12.34,11.43,12.0,16968.0
2014-04-16,12.12,12.36,11.99,12.35,14930.0
2014-04-17,12.37,12.61,11.94,12.05,22240.0
2014-04-21,12.01,12.29,11.73,11.8,19793.0
2014-04-22,11.82,12.09,11.82,12.06,10586.0
2014-04-23,12.06,12.06,11.47,11.51,24877.0
2014-04-24,11.54,11.57,11.4,11.46,15287.0
2014-04-25,11.47,11.56,10.0,10.23,42882.0
2014-04-28,10.28,10.47,9.59,9.68,33135.0
2014-04-29,9.7,9.93,9.25,9.88,30865.0
2014-04-30,9.83,9.88,9.4,9.86,9886.0
2014-05-01,9.8,9.82,9.62,9.71,5733.0
2014-05-02,9.69,9.77,9.4,9.72,12002.0
2014-05-05,9.71,10.06,9.71,9.99,8550.0
2014-05-06,9.95,10.11,9.77,9.82,10143.0
2014-05-07,9.83,9.83,9.39,9.53,15882.0
2014-05-08,9.56,9.56,9.355,9.4,5587.0
2014-05-09,9.38,9.45,9.21,9.38,5045.0
2014-05-12,9.45,9.63,9.19,9.33,16772.0
2014-05-13,9.3,9.56,9.25,9.56,8037.0
2014-05-14,9.29,9.95,9.29,9.76,6732.0
2014-05-15,9.7,9.91,9.6,9.83,5033.0
2014-05-16,9.87,9.87,9.64,9.68,3383.0
2014-05-19,9.69,9.75,9.64,9.73,5603.0
2014-05-20,9.7,9.79,9.54,9.59,8472.0
2014-05-21,9.59,9.65,9.3,9.31,10273.0
2014-05-22,9.37,9.8,9.37,9.42,8471.0
2014-05-23,9.35,9.87,9.35,9.87,14792.0
2014-05-27,9.97,10.54,9.86,10.49,8504.0
2014-05-28,10.58,11.11,10.5,11.0,36141.0
2014-05-29,11.0,11.79,11.0,11.68,21704.0
2014-05-30,11.73,11.91,11.5,11.85,31210.0
2014-06-02,11.91,11.91,11.45,11.65,10924.0
2014-06-03,11.56,11.63,11.15,11.25,8356.0
2014-06-04,11.17,11.17,10.63,10.83,3962.0
2014-06-05,10.89,11.2,10.8,11.18,9039.0
2014-06-06,11.23,11.52,11.11,11.44,15286.0
2014-06-09,11.51,12.45,11.51,12.19,20212.0
2014-06-10,12.23,12.24,12.0,12.19,11890.0
2014-06-11,12.15,12.54,12.0,12.36,19196.0
2014-06-12,12.39,12.39,12.0,12.32,7095.0
2014-06-13,12.31,12.31,12.0,12.26,6560.0
2014-06-16,12.21,12.6,12.1,12.22,14497.0
2014-06-17,12.27,12.39,12.04,12.37,21233.0
2014-06-18,12.4,12.93,12.25,12.61,19826.0
2014-06-19,12.7,13.31,12.58,13.24,25555.0
2014-06-20,13.28,13.32,12.76,12.78,63652.0
2014-06-23,13.0,13.2,12.91,13.07,22228.0
2014-06-24,13.12,13.16,12.92,12.92,27857.0
2014-06-25,12.85,13.08,12.74,12.96,14950.0
2014-06-26,13.02,13.47,12.83,13.07,33690.0
2014-06-27,13.01,13.57,12.99,13.57,187816.0
2014-06-30,13.52,14.45,13.32,14.33,41067.0
2014-07-01,14.53,14.61,14.06,14.4,76064.0
2014-07-02,14.54,14.75,13.75,14.25,52549.0
2014-07-03,14.25,14.27,13.93,14.2,11066.0
2014-07-07,14.18,14.42,13.79,14.42,65450.0
2014-07-08,14.4,14.4,13.8,14.02,32171.0
2014-07-09,14.05,14.05,13.74,13.82,7201.0
2014-07-10,13.5,13.82,13.4,13.75,11488.0
2014-07-11,13.8,13.93,13.65,13.79,9342.0
2014-07-14,13.8,13.8,13.49,13.62,9252.0
2014-07-15,13.65,13.67,13.34,13.58,9692.0
2014-07-16,13.66,13.66,13.44,13.48,5428.0
2014-07-17,13.47,13.47,12.5,12.57,27404.0
2014-07-18,12.5,13.41,12.44,13.21,17721.0
2014-07-21,13.29,13.47,13.22,13.425,8884.0
2014-07-22,13.46,13.71,12.91,13.07,13073.0
2014-07-23,13.63,13.7,12.43,12.61,78484.0
2014-07-24,12.61,12.79,12.17,12.41,14513.0
2014-07-25,12.45,12.75,12.42,12.66,16760.0
2014-07-28,12.65,12.66,12.55,12.6,12141.0
2014-07-29,12.59,12.6,11.72,11.81,31690.0
2014-07-30,11.87,12.13,11.43,11.53,13483.0
2014-07-31,11.58,11.58,11.1,11.365,22669.0
