Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-04-16,5.41,5.5,5.06,5.5,141990.0
2019-04-17,5.6,5.6,5.3,5.4,18246.0
2019-04-18,5.5,5.58,5.35,5.5,15750.0
2019-04-22,5.75,5.75,5.41,5.46,2591.0
2019-04-23,5.4,5.65,5.31,5.65,9208.0
2019-04-24,5.54,5.54,5.3,5.4,5012.0
2019-04-25,5.2,5.27,5.2,5.22,2850.0
2019-04-26,5.25,5.29,5.25,5.26,5422.0
2019-04-29,5.3,5.3,5.22,5.25,7067.0
2019-04-30,5.25,5.3,5.22,5.245,12361.0
2019-05-01,5.45,5.45,5.3,5.33,3108.0
2019-05-02,5.5,5.5,5.26,5.275,5366.0
2019-05-03,5.25,5.75,5.25,5.75,12038.0
2019-05-06,5.96,5.96,5.38,5.5,9520.0
2019-05-07,5.64,5.64,5.31,5.4,4403.0
2019-05-08,5.52,5.52,5.32,5.44,3638.0
2019-05-09,5.32,5.325,5.24,5.25,4563.0
2019-05-10,5.34,5.4,5.25,5.4,6660.0
2019-05-13,5.34,5.78,5.2,5.23,14885.0
2019-05-14,5.35,5.35,5.26,5.26,675.0
2019-05-15,5.44,5.44,5.21,5.22,1081.0
2019-05-16,5.21,5.47,5.21,5.23,1913.0
2019-05-17,5.42,5.42,5.23,5.27,2899.0
2019-05-20,5.24,5.45,5.24,5.45,3677.0
2019-05-21,5.29,5.49,5.29,5.49,10088.0
2019-05-22,5.48,5.615,5.45,5.45,3268.0
2019-05-23,5.49,5.55,5.32,5.55,2522.0
2019-05-24,5.49,5.49,5.3,5.315,990.0
2019-05-28,5.37,5.54,5.23,5.23,7444.0
2019-05-29,5.28,5.38,5.23,5.38,1322.0
2019-05-30,5.32,5.4,5.23,5.4,9683.0
2019-05-31,5.48,5.48,5.23,5.33,5814.0
2019-06-03,5.23,5.35,5.23,5.23,4835.0
2019-06-04,5.23,5.245,5.15,5.15,7065.0
2019-06-05,5.15,5.15,5.0,5.08,4677.0
2019-06-06,5.11,5.11,4.53,4.72,2060.0
2019-06-07,4.69,4.91,4.69,4.91,822.0
2019-06-10,4.97,4.97,4.85,4.9,1433.0
2019-06-11,4.94,4.94,4.9,4.9,129.0
2019-06-12,4.93,5.05,4.845,4.97,3226.0
2019-06-13,5.09,5.09,4.95,5.08,1687.0
2019-06-14,5.04,5.4,5.03,5.35,4210.0
2019-06-17,5.37,5.65,5.35,5.63,13081.0
2019-06-18,5.7,5.99,5.66,5.97,14748.0
2019-06-19,5.92,6.06,5.92,5.93,11822.0
2019-06-20,5.89,6.27,5.87,5.89,16520.0
