Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2003-01-15,15.5,15.75,14.51,14.81,3100.0
2003-01-16,15.25,15.25,14.25,14.25,3700.0
2003-01-17,14.1,15.0,14.1,14.75,12400.0
2003-01-21,15.0,15.399,14.85,15.05,4600.0
2003-01-22,15.01,15.1,15.01,15.1,3600.0
2003-01-23,15.24,15.4,15.123,15.4,2800.0
2003-01-24,15.45,15.45,15.45,15.45,200.0
2003-01-27,15.6,15.6,15.6,15.6,500.0
2003-01-28,15.6,15.6,15.6,15.6,200.0
2003-01-30,15.52,15.77,15.37,15.65,7200.0
2003-01-31,15.79,15.79,15.79,15.79,700.0
2003-02-05,15.8,15.8,15.53,15.53,1500.0
2003-02-06,15.53,15.64,15.5,15.64,2700.0
2003-02-13,15.53,15.53,15.53,15.53,200.0
2003-02-14,15.7,15.7,15.7,15.7,400.0
2003-02-18,15.84,15.85,15.84,15.85,600.0
2003-02-19,15.84,15.84,15.84,15.84,100.0
2003-02-20,16.0,16.0,16.0,16.0,200.0
2003-02-24,16.4,17.05,16.4,16.9,1600.0
2003-02-25,16.95,17.06,16.88,17.05,2900.0
2003-02-27,17.03,17.03,17.03,17.03,200.0
2003-03-03,17.09,17.09,17.09,17.09,500.0
2003-03-04,17.03,17.03,16.97,16.98,1100.0
2003-03-05,16.88,16.88,16.88,16.88,500.0
2003-03-06,16.89,16.89,16.89,16.89,300.0
2003-03-07,16.9,17.19,16.9,17.0,800.0
2003-03-10,16.86,16.86,15.38,15.9,3100.0
2003-03-11,15.28,15.85,15.28,15.8,4300.0
2003-03-12,16.0,16.11,15.96,16.11,5300.0
2003-03-14,16.24,16.24,16.24,16.24,100.0
2003-03-17,16.24,16.24,16.24,16.24,100.0
2003-03-20,16.24,16.24,16.24,16.24,100.0
2003-03-21,16.24,16.24,16.24,16.24,100.0
2003-03-24,16.14,16.5,16.14,16.48,1900.0
2003-03-25,16.48,16.48,16.48,16.48,500.0
2003-03-26,16.12,16.12,16.12,16.12,200.0
2003-03-28,16.35,16.35,16.35,16.35,200.0
2003-04-03,16.0,16.7,16.0,16.7,2500.0
2003-04-07,16.7,16.7,16.7,16.7,2000.0
2003-04-08,16.85,16.85,16.85,16.85,100.0
