Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1986-10-22,,37.0,35.0,35.0,400.0
1986-10-29,,37.0,35.5,35.5,700.0
1986-10-30,,37.5,35.5,35.5,200.0
1986-10-31,,38.5,37.0,37.0,500.0
1986-11-03,,38.0,37.0,37.0,300.0
1986-11-04,,39.0,38.0,38.0,4000.0
1986-11-05,,39.5,38.0,38.0,400.0
1986-11-06,,39.5,38.5,38.5,700.0
1986-11-11,,38.5,37.0,37.0,500.0
1986-11-12,,37.5,36.5,36.5,1700.0
1986-11-13,,36.0,34.5,34.5,500.0
1986-11-14,,36.0,34.5,34.5,200.0
1986-11-17,,35.5,34.0,34.0,1000.0
1986-11-19,,34.5,33.5,33.5,200.0
1986-11-20,,34.5,33.0,33.0,3100.0
1986-11-24,,34.5,33.0,33.0,400.0
1986-12-01,,33.5,32.0,32.0,700.0
1986-12-02,,33.5,31.0,31.0,2500.0
1986-12-03,,31.5,29.5,29.5,3700.0
1986-12-04,,28.5,27.5,27.5,1200.0
1986-12-05,,29.5,27.5,29.5,1400.0
1986-12-08,,29.0,27.5,29.0,72200.0
1986-12-09,,29.25,27.0,27.0,400.0
1986-12-10,,29.0,27.0,29.0,3400.0
1986-12-11,,29.0,27.5,27.5,1300.0
1986-12-12,,29.75,29.5,29.5,1200.0
1986-12-15,,29.5,28.0,29.5,2500.0
1986-12-16,,29.5,28.0,29.5,2700.0
1986-12-17,,29.5,28.0,28.0,5900.0
1986-12-18,,29.5,27.5,28.5,3200.0
1986-12-19,,29.0,27.0,28.0,7700.0
1986-12-22,,27.5,26.5,27.5,2600.0
1986-12-23,,28.25,26.75,26.75,14600.0
1986-12-24,,28.5,28.0,28.5,1200.0
1986-12-29,,29.0,29.0,29.0,300.0
1986-12-30,,29.0,27.625,28.0,2000.0
1986-12-31,,29.5,28.0,29.5,3100.0
1987-01-02,,30.0,28.0,30.0,5700.0
1987-01-05,,30.0,30.0,30.0,100.0
1987-01-07,,31.5,29.0,31.5,3500.0
1987-01-08,,32.0,32.0,32.0,2600.0
1987-01-09,,32.5,30.5,30.5,1100.0
1987-01-12,,32.5,30.5,32.5,1200.0
1987-01-13,,32.5,32.5,32.5,100.0
1987-01-14,,32.5,30.5,32.5,1100.0
1987-01-15,,32.5,31.0,31.0,200.0
1987-01-16,,33.0,31.5,33.0,600.0
1987-01-20,,33.5,32.25,32.25,1600.0
1987-01-21,,33.5,33.5,33.5,200.0
1987-01-22,,33.5,33.5,33.5,500.0
1987-01-23,,34.0,32.5,32.5,1200.0
1987-01-26,,34.0,34.0,34.0,200.0
1987-01-27,,33.0,32.5,33.0,500.0
1987-01-28,,34.0,34.0,34.0,100.0
1987-02-02,,34.0,32.5,32.5,1400.0
1987-02-03,,33.25,33.25,33.25,1500.0
1987-02-04,,32.5,32.5,32.5,400.0
1987-02-05,,32.0,31.5,31.5,2500.0
1987-02-06,,31.0,31.0,31.0,100.0
1987-02-10,,32.0,32.0,32.0,500.0
1987-02-11,,31.0,31.0,31.0,300.0
1987-02-13,,32.0,32.0,32.0,100.0
1987-02-17,,32.0,32.0,32.0,300.0
1987-02-18,,31.5,30.5,30.5,3200.0
1987-02-19,,32.0,31.0,31.0,7200.0
1987-02-24,,32.0,32.0,32.0,100.0
1987-02-25,,32.5,31.0,32.5,4700.0
1987-02-27,,32.5,32.5,32.5,300.0
1987-03-02,,33.0,33.0,33.0,300.0
1987-03-03,,33.0,31.0,33.0,900.0
1987-03-06,,33.0,32.0,33.0,1100.0
1987-03-09,,33.0,31.0,33.0,200.0
1987-03-11,,31.5,31.5,31.5,200.0
1987-03-12,,33.0,31.0,33.0,800.0
1987-03-13,,33.0,32.0,32.0,600.0
1987-03-16,,32.0,32.0,32.0,100.0
1987-03-17,,33.5,32.0,32.0,300.0
1987-03-18,,32.0,32.0,32.0,200.0
1987-03-20,,33.5,33.0,33.0,900.0
1987-03-23,,34.5,33.0,34.5,1400.0
1987-03-24,,33.0,33.0,33.0,100.0
1987-03-25,,34.5,33.0,33.0,300.0
1987-03-27,,35.0,34.0,35.0,700.0
1987-03-30,,34.0,33.0,34.0,800.0
1987-03-31,,35.0,35.0,35.0,1200.0
1987-04-01,,35.0,35.0,35.0,200.0
1987-04-02,,34.5,34.5,34.5,100.0
1987-04-03,,35.0,35.0,35.0,400.0
1987-04-06,,36.0,34.0,34.0,2900.0
1987-04-07,,36.0,34.0,36.0,2200.0
1987-04-08,,36.5,35.0,35.0,700.0
1987-04-10,,35.0,35.0,35.0,100.0
1987-04-13,,37.0,37.0,37.0,200.0
1987-04-14,,37.0,35.0,35.0,1700.0
1987-04-15,,35.5,35.5,35.5,500.0
1987-04-16,,37.0,37.0,37.0,600.0
1987-04-20,,37.0,37.0,37.0,200.0
1987-04-21,,37.0,37.0,37.0,100.0
1987-04-22,,37.5,37.5,37.5,400.0
1987-04-27,,37.0,35.5,37.0,500.0
1987-04-28,,35.75,35.5,35.5,1100.0
1987-04-30,,37.0,35.5,37.0,200.0
1987-05-01,,37.0,37.0,37.0,200.0
1987-05-05,,37.0,37.0,37.0,100.0
1987-05-06,,38.0,36.5,38.0,900.0
1987-05-07,,38.0,37.5,38.0,700.0
1987-05-08,,38.0,37.0,38.0,700.0
1987-05-12,,36.5,36.5,36.5,400.0
1987-05-13,,36.5,36.5,36.5,100.0
1987-05-15,,38.0,37.0,37.0,800.0
1987-05-20,,37.5,36.0,37.5,3200.0
1987-05-21,,37.5,37.5,37.5,500.0
1987-05-22,,37.5,37.5,37.5,300.0
1987-05-27,,36.0,36.0,36.0,100.0
1987-05-29,,35.5,35.5,35.5,300.0
1987-06-01,,36.5,36.5,36.5,200.0
1987-06-02,,37.5,37.5,37.5,300.0
1987-06-03,,37.5,35.5,37.5,1100.0
1987-06-04,,37.5,35.5,35.5,5700.0
1987-06-05,,37.0,37.0,37.0,100.0
1987-06-08,,35.5,35.5,35.5,1000.0
1987-06-10,,35.5,35.5,35.5,400.0
1987-06-12,,36.5,35.5,35.5,2700.0
1987-06-15,,35.5,35.5,35.5,500.0
1987-06-17,,34.5,34.0,34.0,900.0
1987-06-18,,36.0,36.0,36.0,100.0
1987-06-22,,35.5,33.0,33.0,2300.0
1987-06-23,,34.5,33.5,33.5,500.0
1987-06-25,,34.0,34.0,34.0,100.0
1987-06-26,,34.0,34.0,34.0,300.0
1987-06-29,,33.75,33.0,33.0,900.0
1987-06-30,,34.0,32.0,32.0,1100.0
1987-07-01,,34.0,34.0,34.0,1500.0
1987-07-02,,35.0,35.0,35.0,500.0
1987-07-07,,35.0,35.0,35.0,700.0
1987-07-08,,35.0,35.0,35.0,100.0
1987-07-15,,35.5,33.5,35.0,1000.0
1987-07-16,,34.0,34.0,34.0,200.0
1987-07-20,,35.0,35.0,35.0,200.0
1987-07-22,,34.0,34.0,34.0,400.0
1987-07-24,,34.0,34.0,34.0,1200.0
1987-07-28,,35.0,35.0,35.0,200.0
1987-07-29,,34.0,34.0,34.0,500.0
1987-08-03,,35.0,35.0,35.0,100.0
1987-08-04,,34.75,34.0,34.75,1600.0
1987-08-06,,33.5,33.5,33.5,200.0
1987-08-10,,35.0,33.5,35.0,4500.0
1987-08-11,,34.75,34.0,34.75,500.0
1987-08-12,,34.0,34.0,34.0,1600.0
1987-08-13,,34.375,34.375,34.375,200.0
1987-08-14,,34.75,34.75,34.75,100.0
1987-08-18,,34.5,33.75,33.75,1100.0
1987-08-20,,34.5,34.5,34.5,1500.0
1987-08-24,,34.5,34.5,34.5,600.0
1987-08-25,,34.5,32.5,34.5,600.0
1987-08-27,,34.5,32.5,34.5,1000.0
1987-08-28,,33.0,33.0,33.0,300.0
1987-09-01,,34.5,32.5,34.5,200.0
1987-09-10,,32.5,32.5,32.5,100.0
1987-09-14,,32.5,32.5,32.5,100.0
1987-09-15,,33.5,31.5,33.5,2000.0
1987-09-18,,33.0,31.5,33.0,1500.0
1987-09-21,,31.5,31.0,31.5,300.0
1987-09-22,,33.0,31.5,33.0,1200.0
1987-09-24,,33.0,31.5,33.0,400.0
1987-09-25,,33.0,31.5,31.5,600.0
1987-09-28,,33.0,33.0,33.0,400.0
1987-09-30,,33.0,31.0,32.0,2200.0
1987-10-01,,33.0,33.0,33.0,300.0
1987-10-02,,33.0,33.0,33.0,100.0
1987-10-05,,32.75,31.0,32.75,400.0
1987-10-06,,32.75,31.0,32.75,400.0
1987-10-07,,32.5,31.0,32.5,400.0
1987-10-08,,32.5,32.5,32.5,200.0
1987-10-12,,32.5,32.5,32.5,500.0
1987-10-13,,32.5,30.5,30.5,1300.0
1987-10-16,,32.0,30.0,30.0,800.0
1987-10-19,,29.5,27.75,29.0,6500.0
1987-10-20,,28.0,25.75,25.75,700.0
1987-10-21,,26.0,24.0,26.0,1500.0
1987-10-22,,26.0,24.0,25.0,1600.0
1987-10-23,,24.0,24.0,24.0,100.0
1987-10-26,,26.0,24.0,24.0,500.0
1987-10-27,,26.0,24.0,25.875,1600.0
1987-10-28,,24.0,24.0,24.0,1300.0
1987-10-29,,26.0,24.0,24.0,4000.0
1987-10-30,,26.0,25.5,25.5,1400.0
1987-11-02,,26.0,26.0,26.0,300.0
1987-11-03,,26.0,26.0,26.0,1100.0
1987-11-04,,28.0,27.0,28.0,300.0
1987-11-05,,28.5,27.0,28.5,600.0
1987-11-06,,28.75,27.0,27.5,16600.0
1987-11-09,,27.5,27.0,27.5,15900.0
1987-11-10,,28.375,28.375,28.375,14000.0
1987-11-11,,29.0,27.5,29.0,5700.0
1987-11-12,,28.5,27.0,28.5,5300.0
1987-11-13,,28.5,27.0,28.5,1600.0
1987-11-17,,27.5,27.5,27.5,200.0
1987-11-18,,27.5,27.5,27.5,1400.0
1987-11-19,,29.0,27.5,27.5,600.0
1987-11-20,,29.0,27.5,28.0,1800.0
1987-11-23,,29.0,28.0,28.0,500.0
1987-11-24,,29.5,28.0,29.0,500.0
1987-11-27,,29.5,28.5,28.5,800.0
1987-11-30,,30.0,28.5,29.75,1300.0
1987-12-03,,28.5,28.5,28.5,400.0
1987-12-04,,29.5,28.5,29.5,1800.0
1987-12-07,,29.75,29.75,29.75,400.0
1987-12-08,,30.0,29.75,29.75,400.0
1987-12-09,,29.75,28.5,29.75,1000.0
1987-12-10,,29.75,28.5,29.75,1200.0
1987-12-11,,29.75,28.5,29.75,400.0
1987-12-14,,28.5,28.5,28.5,500.0
