Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-12-19,34.04,44.56,33.44,44.32,763524.5
2006-12-20,46.8,49.84,40.32,41.0,425137.75
2006-12-21,40.8,44.8,39.0,40.92,140807.5
2006-12-22,42.0,50.28,40.8,50.12,400741.5
2006-12-26,57.64,63.16,52.52,54.0,1080976.5
2006-12-27,54.68,56.32,49.84,51.96,346953.0
2006-12-28,52.12,70.0,51.0,70.0,1061644.0
2006-12-29,67.32,73.72,63.0,63.0,1057924.25
2007-01-03,67.72,68.48,57.8,59.48,433089.75
2007-01-04,60.2,64.4,59.0,60.2,315764.25
2007-01-05,60.0,61.2,56.72,57.56,154658.0
2007-01-08,57.4,58.84,54.64,55.2,120277.5
2007-01-09,56.56,60.96,56.0,57.2,258279.0
2007-01-10,56.0,58.16,52.4,52.4,128406.5
2007-01-11,53.16,55.0,51.04,51.72,73825.25
2007-01-12,53.0,57.68,51.48,57.0,187299.0
2007-01-16,57.72,60.28,55.2,55.96,171017.5
2007-01-17,56.0,57.8,55.2,55.52,46761.75
2007-01-18,56.36,56.36,52.4,52.76,51517.75
2007-01-19,52.12,55.2,52.0,54.28,31469.25
2007-01-22,54.56,54.56,52.24,53.0,22391.5
2007-01-23,52.8,56.6,52.8,54.24,64237.25
2007-01-24,52.8,55.68,53.68,54.12,37291.5
2007-01-25,54.0,54.4,52.2,52.6,33184.75
2007-01-26,52.88,54.4,52.24,53.8,27558.0
2007-01-29,54.2,54.2,52.4,52.48,20161.5
2007-01-30,53.36,53.52,52.24,52.52,14881.75
2007-01-31,52.2,52.2,46.68,46.76,113041.0
2007-02-01,46.8,48.4,45.28,45.64,40113.5
2007-02-02,46.36,47.2,45.84,45.88,22958.25
2007-02-05,46.0,47.76,43.56,45.0,46453.5
2007-02-06,45.12,46.36,44.6,44.68,18933.0
2007-02-07,44.76,49.44,44.36,47.56,106535.0
2007-02-08,47.4,48.16,45.04,45.6,19487.25
2007-02-09,46.2,47.12,44.0,44.0,29268.25
2007-02-12,44.6,44.64,41.28,41.72,57900.0
2007-02-13,41.52,43.12,40.92,42.32,28399.0
2007-02-14,41.68,46.68,41.0,45.24,156919.0
2007-02-15,45.12,47.12,43.96,46.2,46148.75
2007-02-16,45.6,47.12,45.4,46.08,15131.25
2007-02-20,47.0,47.0,45.12,45.8,18640.0
2007-02-21,45.4,46.32,44.44,44.64,14547.75
2007-02-22,44.4,45.6,44.16,44.84,11121.5
2007-02-23,44.76,44.48,43.2,43.48,12794.75
2007-02-26,43.44,43.44,42.0,42.36,16498.25
2007-02-27,41.16,41.16,36.24,37.36,89474.25
2007-02-28,37.88,38.56,36.8,37.36,32110.75
2007-03-01,35.96,37.52,35.4,36.68,37110.75
2007-03-02,36.44,37.8,35.84,35.88,30083.0
2007-03-05,35.52,36.76,34.08,34.2,27162.5
2007-03-06,35.52,36.4,35.2,35.64,26006.75
2007-03-07,35.44,37.8,35.32,36.72,30583.5
2007-03-08,37.6,38.16,35.64,36.28,22018.25
2007-03-09,36.52,36.52,35.28,36.0,15529.0
2007-03-12,35.6,36.24,35.0,35.64,8662.25
2007-03-13,35.36,35.76,34.0,34.12,16587.25
2007-03-14,34.08,34.8,33.2,34.28,23538.5
2007-03-15,34.28,35.8,33.72,34.32,13524.75
2007-03-16,34.6,34.6,32.0,32.84,22738.75
2007-03-19,33.2,33.68,32.64,32.72,9021.75
2007-03-20,33.24,34.68,32.44,34.0,19950.75
2007-03-21,34.24,37.8,34.0,37.28,63708.5
2007-03-22,37.04,41.92,36.52,40.76,103952.5
2007-03-23,40.92,42.4,40.0,40.36,34761.75
2007-03-26,40.48,40.84,38.6,39.48,12898.25
2007-03-27,39.0,39.32,37.8,38.16,8351.5
2007-03-28,40.44,43.88,40.44,41.84,122927.5
2007-03-29,42.2,43.8,40.12,42.12,34859.5
2007-03-30,41.96,42.88,40.44,40.76,18965.0
2007-04-02,41.12,41.72,39.2,40.28,17725.25
2007-04-03,41.0,42.36,39.92,40.08,25082.0
2007-04-04,40.36,40.36,38.88,39.16,14966.5
