Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-10-10,11.5,11.75,11.45,11.73,2971315.0
2007-10-11,11.75,11.95,11.65,11.69,315996.0
2007-10-12,11.7,11.7,11.62,11.65,134540.0
2007-10-15,11.65,11.65,11.5,11.51,196576.0
2007-10-16,11.55,11.55,11.45,11.53,172137.0
2007-10-17,11.5,11.51,11.46,11.51,197888.0
2007-10-18,11.48,11.54,11.45,11.54,161430.0
2007-10-19,11.5,11.5,11.45,11.45,133818.0
2007-10-22,11.4,11.5,11.4,11.47,238856.0
2007-10-23,11.5,11.52,11.45,11.5,98022.0
2007-10-24,11.46,11.46,11.4,11.4,45575.0
2007-10-25,11.42,11.48,11.4,11.48,40209.0
2007-10-26,11.5,11.5,11.4,11.4,27600.0
2007-10-29,11.46,11.46,11.31,11.38,46701.0
2007-10-30,11.38,11.38,11.3,11.38,25357.0
2007-10-31,11.36,11.44,11.3,11.33,67400.0
2007-11-01,11.3,11.3,11.1,11.1,82003.0
2007-11-02,11.21,11.21,10.92,10.99,77300.0
2007-11-05,10.91,10.95,10.6,10.89,168512.0
2007-11-06,10.62,10.9,10.62,10.9,45547.0
2007-11-07,10.85,10.89,10.66,10.7,29579.0
2007-11-08,10.7,10.7,10.51,10.7,54547.0
2007-11-09,10.5,10.83,10.5,10.83,35316.0
2007-11-12,10.81,10.93,10.7,10.8,57374.0
2007-11-13,10.68,10.95,10.66,10.89,17160.0
2007-11-14,10.85,10.85,10.75,10.84,26259.0
2007-11-15,10.84,10.84,10.6,10.74,14333.0
2007-11-16,10.75,10.79,10.63,10.63,22277.0
2007-11-19,10.74,10.74,10.61,10.61,17541.0
2007-11-20,10.51,10.57,10.51,10.55,45241.0
2007-11-21,10.7,10.7,10.55,10.55,19400.0
2007-11-23,10.51,10.7,10.51,10.7,24999.0
2007-11-26,10.6,10.63,10.55,10.63,20200.0
2007-11-27,10.56,10.6,10.55,10.59,34785.0
2007-11-28,10.6,10.6,10.45,10.45,75285.0
2007-11-29,10.45,10.45,9.91,9.96,120440.0
2007-11-30,9.85,10.1,9.85,9.97,161008.0
2007-12-03,9.95,10.1,9.93,10.05,50042.0
2007-12-04,10.05,10.12,10.05,10.1,70512.0
2007-12-05,10.1,10.1,10.0,10.03,53049.0
2007-12-06,10.0,10.2,10.0,10.18,125201.0
2007-12-07,10.1,10.2,10.1,10.16,30495.0
2007-12-10,10.2,10.2,10.16,10.2,40800.0
2007-12-11,10.2,10.23,10.1,10.11,109884.0
2007-12-12,10.07,10.2,10.0,10.1,43904.0
2007-12-13,9.85,10.09,9.85,9.99,29292.0
2007-12-14,9.95,10.03,9.95,10.0,26219.0
2007-12-17,9.98,10.0,9.89,9.89,29243.0
2007-12-18,9.9,9.95,9.8,9.84,19400.0
2007-12-19,9.85,10.0,9.83,9.87,8500.0
2007-12-20,9.91,9.95,9.85,9.95,27740.0
2007-12-21,9.95,10.02,9.95,10.0,10364.0
2007-12-24,10.0,10.0,10.0,10.0,14043.0
2007-12-26,10.03,10.04,9.95,10.0,7900.0
2007-12-27,9.95,9.98,9.95,9.95,21600.0
2007-12-28,9.96,10.01,9.95,9.99,7900.0
2007-12-31,9.95,9.95,9.8,9.84,41931.0
2008-01-02,9.85,9.93,9.8,9.9,3900.0
2008-01-03,9.9,9.9,9.78,9.8,7500.0
2008-01-04,9.89,9.89,9.35,9.4,45363.0
2008-01-07,9.4,9.5,9.35,9.4,19024.0
2008-01-08,9.36,9.7,9.36,9.44,5021.0
2008-01-09,9.47,9.44,9.0,9.38,74895.0
2008-01-10,9.35,9.99,9.14,9.99,39235.0
2008-01-11,9.99,9.99,9.42,9.51,15134.0
2008-01-14,9.78,9.83,9.74,9.77,23200.0
2008-01-15,9.46,9.65,9.4,9.43,11910.0
2008-01-16,9.3,9.7,9.22,9.6,25681.0
2008-01-17,9.5,9.5,9.06,9.18,9717.0
2008-01-18,9.1,9.18,9.0,9.01,14348.0
2008-01-22,9.02,9.14,8.9,9.07,4802.0
2008-01-23,9.07,9.3,9.07,9.18,37271.0
2008-01-24,9.14,9.79,9.14,9.7,48433.0
2008-01-25,9.46,9.69,9.45,9.69,7424.0
2008-01-28,9.7,9.73,9.69,9.69,11300.0
2008-01-29,9.69,9.69,9.4,9.65,21681.0
2008-01-30,9.69,9.69,9.55,9.65,13472.0
2008-01-31,9.65,9.75,9.63,9.75,12513.0
2008-02-01,9.84,10.0,9.68,9.99,33564.0
2008-02-04,10.0,10.0,9.93,10.0,9559.0
2008-02-05,9.77,9.91,9.77,9.77,4800.0
2008-02-06,9.77,9.85,9.66,9.7,27945.0
2008-02-07,9.72,9.85,9.68,9.72,8370.0
2008-02-08,9.83,9.86,9.75,9.86,3541.0
2008-02-11,9.9,9.9,9.76,9.9,7585.0
2008-02-12,9.84,9.9,9.75,9.75,2750.0
2008-02-13,9.83,9.83,9.77,9.77,3490.0
2008-02-14,9.74,9.9,9.7,9.83,12266.0
2008-02-15,9.72,9.8,9.7,9.75,8600.0
2008-02-19,9.73,9.74,9.63,9.65,13900.0
2008-02-20,9.65,9.87,9.6,9.79,16629.0
2008-02-21,9.79,9.8,9.68,9.79,3232.0
2008-02-22,9.68,9.86,9.68,9.86,7578.0
2008-02-25,9.76,9.8,9.76,9.79,2451.0
2008-02-26,9.71,9.9,9.71,9.88,25599.0
2008-02-27,9.81,9.98,9.8,9.91,49445.0
2008-02-28,9.89,9.9,9.85,9.88,45348.0
2008-02-29,9.8,9.95,9.8,9.95,21050.0
