Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2011-02-10,13.5,14.47,13.5,14.02,1353164.0
2011-02-11,14.0,14.33,13.96,14.05,56337.0
2011-02-14,14.78,14.78,14.05,14.4,26707.0
2011-02-15,14.45,14.45,14.21,14.22,38083.0
2011-02-16,14.34,14.42,14.22,14.27,51924.0
2011-02-17,14.33,15.2,14.2,14.96,17707.0
2011-02-18,15.0,15.5,14.3,14.39,64093.0
2011-02-22,14.24,14.58,13.13,13.85,50773.0
2011-02-23,13.74,14.2,13.23,14.07,11900.0
2011-02-24,14.15,14.15,13.51,14.0,25750.0
2011-02-25,13.82,14.82,13.75,14.4,16345.0
2011-02-28,14.415,14.415,14.01,14.13,15005.0
2011-03-01,14.09,14.27,13.96,14.27,7900.0
2011-03-02,14.29,14.29,13.96,14.01,4376.0
2011-03-03,14.18,14.18,14.0,14.07,10085.0
2011-03-04,14.13,14.14,13.76,13.99,10240.0
2011-03-07,13.95,14.05,13.65,13.7,9055.0
2011-03-08,13.75,14.5,13.75,14.44,27561.0
2011-03-09,14.42,14.42,14.24,14.37,8219.0
2011-03-10,14.35,14.42,14.32,14.36,36662.0
2011-03-11,14.41,14.95,14.35,14.9,10237.0
2011-03-14,14.9,15.02,14.79,15.02,30778.0
2011-03-15,14.79,16.13,14.59,15.7,26286.0
2011-03-16,15.84,16.0,15.5,15.91,31907.0
2011-03-17,16.0,16.58,16.0,16.43,13439.0
2011-03-18,16.41,16.97,15.58,15.59,28284.0
2011-03-21,16.22,16.22,15.15,15.43,4908.0
2011-03-22,15.67,15.67,14.67,15.13,12627.0
2011-03-23,15.27,15.28,14.2,14.58,10821.0
2011-03-24,14.57,15.05,14.14,14.51,11605.0
2011-03-25,14.63,14.92,14.63,14.81,1469.0
2011-03-28,14.93,15.79,14.93,15.67,17729.0
2011-03-29,15.58,15.87,15.58,15.6,12024.0
2011-03-30,15.74,15.74,14.46,14.83,34182.0
2011-03-31,14.75,14.88,14.23,14.31,369411.0
2011-04-01,14.48,14.81,14.24,14.81,29345.0
2011-04-04,14.75,15.06,14.29,15.06,14937.0
2011-04-05,15.08,15.57,14.82,15.34,17532.0
2011-04-06,15.47,15.47,15.19,15.31,20791.0
2011-04-07,15.38,15.38,14.81,14.85,18723.0
2011-04-08,14.98,15.77,14.98,15.12,13276.0
2011-04-11,15.03,15.43,15.03,15.31,11020.0
2011-04-12,15.35,15.35,15.17,15.18,4131.0
2011-04-13,15.26,15.78,15.24,15.24,6967.0
2011-04-14,15.21,15.235,15.05,15.07,5175.0
2011-04-15,15.06,15.33,15.01,15.22,10980.0
2011-04-18,15.19,15.41,15.19,15.36,8021.0
2011-04-19,15.35,15.59,15.15,15.33,9659.0
2011-04-20,15.44,15.85,15.44,15.78,11594.0
2011-04-21,15.73,15.88,15.7,15.77,2128.0
2011-04-25,15.71,15.89,15.6,15.63,14134.0
2011-04-26,15.74,16.1,15.65,15.87,11316.0
2011-04-27,15.79,16.15,15.31,15.99,4089.0
2011-04-28,16.05,16.09,15.56,16.08,8925.0
2011-04-29,16.09,16.85,16.18,16.55,30383.0
2011-05-02,16.54,16.52,16.02,16.29,3152.0
2011-05-03,16.33,16.29,15.43,15.68,18477.0
2011-05-04,15.67,16.0,15.5,15.5,3942.0
2011-05-05,15.51,16.1,15.51,15.83,5298.0
2011-05-06,15.98,15.98,15.64,15.91,3066.0
2011-05-09,15.92,16.34,15.78,16.0,5506.0
2011-05-10,16.08,16.1,15.66,15.95,8859.0
2011-05-11,16.25,16.56,15.37,15.84,65658.0
2011-05-12,15.7,15.96,15.6,15.75,9382.0
2011-05-13,15.78,16.12,15.49,15.8,14500.0
2011-05-16,15.7,15.71,15.47,15.5,6353.0
2011-05-17,15.42,15.44,14.96,15.01,31612.0
2011-05-18,15.09,15.23,14.18,14.6,23624.0
2011-05-19,14.61,14.61,14.12,14.37,22244.0
2011-05-20,14.5,14.68,14.24,14.305,18794.0
2011-05-23,14.14,14.5,13.86,13.86,28156.0
2011-05-24,14.01,14.18,13.72,14.06,25039.0
2011-05-25,14.03,14.38,14.0,14.24,7190.0
2011-05-26,14.25,15.05,13.99,14.63,57255.0
2011-05-27,14.64,14.73,14.42,14.62,6429.0
2011-05-31,14.7,15.23,14.49,14.97,58464.0
2011-06-01,14.93,14.93,14.23,14.62,5697.0
2011-06-02,14.7,14.7,13.99,14.05,13361.0
2011-06-03,14.0,14.01,13.68,13.8,8176.0
2011-06-06,14.75,14.75,13.91,13.91,7562.0
2011-06-07,13.99,14.15,13.65,13.72,5877.0
2011-06-08,13.61,13.8,13.61,13.67,16723.0
2011-06-09,14.01,14.07,13.85,14.0,14422.0
2011-06-10,13.9,14.1,13.87,13.99,13931.0
2011-06-13,14.0,14.06,13.9,13.97,15188.0
2011-06-14,14.03,14.03,13.85,13.98,9595.0
2011-06-15,13.88,14.12,13.83,13.83,7757.0
2011-06-16,13.89,14.31,13.89,14.04,27751.0
2011-06-17,13.87,14.53,13.87,14.0,47148.0
2011-06-20,13.96,14.35,14.0,14.25,11642.0
2011-06-21,14.29,14.24,14.05,14.05,4048.0
2011-06-22,14.03,14.13,13.77,13.78,7304.0
2011-06-23,13.75,14.8,13.72,14.19,7662.0
2011-06-24,13.92,15.8,13.58,15.74,195857.0
2011-06-27,15.12,15.99,15.12,15.92,37409.0
2011-06-28,16.0,18.11,15.67,16.58,77880.0
2011-06-29,16.53,16.85,16.39,16.54,14251.0
2011-06-30,16.47,16.91,16.47,16.77,16005.0
2011-07-01,16.81,16.81,16.53,16.79,16079.0
2011-07-05,16.85,17.41,15.08,16.95,17297.0
2011-07-06,16.95,18.57,16.87,18.5,21034.0
2011-07-07,18.91,19.96,17.97,18.76,26678.0
2011-07-08,18.54,19.15,18.25,18.76,11933.0
2011-07-11,18.76,18.92,18.6,18.73,12988.0
2011-07-12,18.75,19.26,18.49,18.68,44787.0
2011-07-13,18.1,19.04,18.1,18.68,15029.0
2011-07-14,18.5,18.8,17.8,17.95,13923.0
2011-07-15,17.98,18.49,17.98,18.09,12087.0
2011-07-18,18.09,18.26,17.64,17.82,7165.0
2011-07-19,17.81,18.59,17.64,18.51,12080.0
2011-07-20,18.53,18.53,17.77,18.06,4082.0
2011-07-21,18.0,19.26,18.0,19.23,17430.0
2011-07-22,19.16,20.1,19.15,19.8,8593.0
2011-07-25,19.73,19.73,19.43,19.5,4351.0
2011-07-26,19.44,19.65,18.26,18.86,7514.0
2011-07-27,18.9,18.9,17.12,17.22,47985.0
2011-07-28,17.0,17.48,16.44,17.2,24810.0
2011-07-29,16.84,17.31,16.74,16.96,8715.0
2011-08-01,17.04,17.85,17.04,17.48,11097.0
2011-08-02,17.48,18.13,17.07,17.16,17775.0
2011-08-03,17.06,18.36,16.96,17.96,17334.0
2011-08-04,17.83,17.83,16.16,16.28,31053.0
2011-08-05,16.33,17.19,16.3,16.32,8570.0
2011-08-08,16.55,16.57,13.0,14.01,40870.0
2011-08-09,14.29,15.74,13.39,15.41,32859.0
2011-08-10,15.38,17.06,14.25,14.46,35869.0
2011-08-11,14.75,14.75,14.3,14.63,34995.0
2011-08-12,14.71,14.99,13.78,13.87,17807.0
2011-08-15,14.0,14.81,14.0,14.69,14814.0
2011-08-16,14.54,14.54,13.72,13.84,10318.0
2011-08-17,13.94,14.26,13.15,13.45,15928.0
2011-08-18,13.09,13.38,12.02,12.33,21360.0
2011-08-19,12.22,13.32,11.855,12.15,24045.0
2011-08-22,12.49,12.49,11.85,11.85,7236.0
2011-08-23,11.92,12.21,11.92,12.2,9604.0
2011-08-24,12.28,12.63,12.15,12.44,8370.0
2011-08-25,12.65,12.94,12.15,12.15,8269.0
2011-08-26,12.66,12.96,11.99,12.47,18776.0
2011-08-29,11.96,12.98,11.65,12.98,93136.0
2011-08-30,12.92,13.7,12.12,13.08,56977.0
2011-08-31,13.16,13.5,12.77,13.49,43454.0
2011-09-01,13.25,13.5,12.8,12.89,41000.0
2011-09-02,12.6,13.09,12.6,12.99,30619.0
2011-09-06,12.53,12.98,12.53,12.91,32557.0
2011-09-07,13.29,13.29,12.84,12.96,40442.0
2011-09-08,12.94,13.19,12.94,13.08,33275.0
2011-09-09,13.1,13.45,13.07,13.43,27374.0
2011-09-12,13.29,13.78,13.03,13.72,19859.0
2011-09-13,13.84,14.2,13.53,14.17,38199.0
2011-09-14,14.2,14.49,13.6,14.4,31022.0
2011-09-15,14.5,14.64,14.28,14.5,53975.0
2011-09-16,14.5,14.99,14.31,14.98,120619.0
2011-09-19,14.7,14.7,14.12,14.41,20210.0
2011-09-20,14.56,15.0,14.39,14.55,36644.0
2011-09-21,14.49,14.75,14.49,14.52,9603.0
2011-09-22,14.07,14.64,14.07,14.46,33028.0
2011-09-23,14.4,14.77,14.4,14.5,20289.0
2011-09-26,14.6,14.69,14.1,14.29,20078.0
2011-09-27,14.53,14.79,14.28,14.64,24034.0
2011-09-28,14.59,14.7,14.46,14.52,28535.0
2011-09-29,14.72,14.72,14.33,14.53,32681.0
2011-09-30,14.32,14.52,13.9,13.93,28994.0
2011-10-03,13.89,14.0,13.71,13.79,29879.0
2011-10-04,13.66,14.33,13.39,14.32,41223.0
2011-10-05,14.49,14.52,14.0,14.4,17792.0
2011-10-06,14.35,15.0,14.4,14.71,31365.0
2011-10-07,14.58,14.58,13.53,13.59,30033.0
2011-10-10,13.64,14.15,13.64,13.78,19854.0
2011-10-11,13.74,14.22,13.66,14.18,15987.0
2011-10-12,14.25,14.46,14.15,14.33,24763.0
2011-10-13,14.24,14.34,14.16,14.3,25874.0
2011-10-14,14.52,14.52,13.96,14.25,10443.0
2011-10-17,14.13,14.05,13.8,13.91,14307.0
2011-10-18,13.96,14.1,13.74,14.09,7163.0
2011-10-19,14.07,14.17,13.42,13.52,14452.0
2011-10-20,13.21,13.62,13.07,13.4,8025.0
2011-10-21,13.59,14.08,13.18,13.97,31179.0
2011-10-24,14.0,14.92,13.77,14.76,24864.0
2011-10-25,14.68,14.69,14.11,14.51,19859.0
2011-10-26,14.64,14.64,14.29,14.53,6287.0
2011-10-27,14.82,14.95,14.38,14.61,27901.0
2011-10-28,14.54,14.87,14.34,14.38,15791.0
2011-10-31,14.22,14.79,13.91,13.96,8733.0
2011-11-01,13.57,13.83,13.44,13.54,14039.0
2011-11-02,13.79,13.93,13.45,13.79,8948.0
2011-11-03,13.94,13.94,13.34,13.8,7581.0
2011-11-04,13.67,13.76,13.55,13.65,11346.0
2011-11-07,13.63,13.64,13.4,13.43,20743.0
2011-11-08,13.24,13.82,13.24,13.65,21684.0
2011-11-09,13.18,13.6,13.13,13.18,19207.0
2011-11-10,13.34,13.41,13.05,13.4,14022.0
2011-11-11,13.47,14.19,13.19,14.09,41866.0
2011-11-14,13.5,14.06,13.5,13.99,18791.0
2011-11-15,13.91,14.15,13.73,14.02,23222.0
2011-11-16,13.89,14.49,13.67,14.07,46380.0
2011-11-17,14.08,14.35,13.94,13.98,40761.0
2011-11-18,14.0,14.18,13.99,14.11,40167.0
2011-11-21,13.92,14.0,13.87,14.0,33559.0
2011-11-22,13.98,14.0,13.86,14.0,57438.0
2011-11-23,13.9,13.9,13.5,13.69,43430.0
2011-11-25,13.66,13.93,13.4,13.56,5193.0
2011-11-28,13.79,13.79,13.54,13.7,39715.0
2011-11-29,13.65,13.76,13.49,13.67,34201.0
2011-11-30,13.9,14.0,13.49,13.49,522176.0
2011-12-01,13.53,13.53,13.31,13.4,21037.0
2011-12-02,13.46,13.75,13.46,13.58,33371.0
2011-12-05,13.74,13.74,13.4,13.43,24622.0
2011-12-06,13.39,13.39,12.92,13.14,46999.0
2011-12-07,13.01,13.07,12.83,12.94,20273.0
2011-12-08,12.86,12.89,12.07,12.26,98720.0
2011-12-09,12.26,12.5,12.18,12.45,62956.0
2011-12-12,12.26,12.59,12.21,12.57,53276.0
2011-12-13,12.58,12.65,12.42,12.55,40444.0
2011-12-14,12.57,13.03,12.52,12.6,30658.0
2011-12-15,12.7,12.79,12.41,12.77,47079.0
2011-12-16,12.8,13.13,12.74,13.11,43716.0
2011-12-19,13.1,13.27,13.01,13.12,36942.0
2011-12-20,13.31,13.49,12.76,13.38,20384.0
2011-12-21,13.31,13.31,13.07,13.19,8592.0
2011-12-22,13.19,13.68,13.19,13.43,55324.0
2011-12-23,13.44,13.55,13.42,13.44,7445.0
2011-12-27,13.37,13.55,13.27,13.55,11270.0
2011-12-28,13.49,13.5,13.34,13.41,13898.0
2011-12-29,13.4,13.4,13.12,13.36,6793.0
2011-12-30,13.31,13.31,13.02,13.16,14739.0
2012-01-03,13.34,13.49,13.18,13.32,29127.0
2012-01-04,13.23,13.23,12.87,12.99,20306.0
2012-01-05,12.94,13.01,12.73,12.98,18396.0
2012-01-06,12.93,12.95,12.55,12.94,11511.0
2012-01-09,12.93,12.96,12.65,12.96,20844.0
2012-01-10,13.04,13.28,13.04,13.28,11899.0
2012-01-11,13.16,13.32,13.04,13.21,15658.0
2012-01-12,13.18,13.24,13.0,13.0,31113.0
2012-01-13,12.79,13.0,12.52,12.62,28932.0
