Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-03-13,38.6,39.3,38.0,39.2,96516.0
2019-03-14,39.5,40.6,39.32,39.96,130426.0
2019-03-15,40.55,41.05,40.5,41.02,39921.0
2019-03-18,41.73,41.73,40.47,40.86,318108.0
2019-03-19,41.4,41.4,39.06,39.55,928006.0
2019-03-20,39.85,39.85,37.465,37.6,1757820.0
2019-03-21,38.0,38.91,37.865,38.88,2284831.0
2019-03-22,38.76,38.84,36.56,37.46,1233296.0
2019-03-25,37.57,37.81,36.35,36.45,1389051.0
2019-03-26,36.46,37.35,36.46,36.71,958876.0
2019-03-27,36.75,37.17,36.065,36.2,750457.0
2019-03-28,36.11,36.47,35.55,35.67,968440.0
2019-03-29,35.88,36.17,35.4,35.88,608858.0
2019-04-01,36.17,36.33,35.94,36.15,563884.0
2019-04-02,36.21,36.44,35.21,35.7,676088.0
2019-04-03,35.78,35.89,35.32,35.5,540841.0
2019-04-04,35.56,36.07,35.44,36.03,618821.0
2019-04-05,35.99,37.085,35.99,36.98,707247.0
2019-04-08,36.94,36.94,36.66,36.85,598602.0
2019-04-09,36.81,37.06,36.59,36.89,558127.0
2019-04-10,36.91,37.05,35.86,35.93,309917.0
2019-04-11,35.98,36.5,35.54,36.41,506310.0
2019-04-12,36.47,37.08,35.92,36.95,1306350.0
2019-04-15,36.91,36.99,36.48,36.98,335734.0
2019-04-16,37.11,37.28,36.93,37.21,543250.0
2019-04-17,37.18,38.24,37.18,38.21,684488.0
2019-04-18,38.34,38.36,37.92,37.92,808027.0
2019-04-22,37.84,37.87,37.12,37.24,592791.0
2019-04-23,37.22,37.815,37.07,37.6,1902973.0
2019-04-24,37.51,37.76,37.33,37.45,469685.0
2019-04-25,37.48,37.67,37.05,37.64,715392.0
2019-04-26,37.8,37.94,37.4,37.91,1155314.0
2019-04-29,37.74,38.91,37.69,38.73,684227.0
2019-04-30,38.59,38.78,37.89,38.5,541094.0
2019-05-01,38.66,38.8,38.09,38.74,517889.0
2019-05-02,38.8,38.8,36.5,36.84,999901.0
2019-05-03,36.86,37.26,36.66,37.02,481397.0
2019-05-06,36.72,37.39,36.48,37.31,316425.0
2019-05-07,36.97,37.22,36.58,36.7,511098.0
2019-05-08,36.56,37.08,36.27,36.82,863985.0
2019-05-09,37.98,38.62,36.95,37.97,1349332.0
2019-05-10,37.9,38.25,36.98,38.05,497528.0
2019-05-13,37.48,38.14,37.22,37.5,689518.0
2019-05-14,37.54,38.02,37.41,37.48,558248.0
2019-05-15,37.24,37.47,37.13,37.23,312908.0
2019-05-16,37.28,37.59,36.28,36.32,1211580.0
2019-05-17,36.08,37.07,36.08,36.83,365283.0
2019-05-20,36.54,37.13,36.54,36.68,343869.0
2019-05-21,36.82,37.52,36.64,37.18,380498.0
2019-05-22,37.1,37.28,36.62,36.67,245174.0
2019-05-23,36.39,36.63,36.19,36.51,455007.0
2019-05-24,36.51,36.76,36.4,36.45,233051.0
2019-05-28,36.59,36.95,36.12,36.16,974060.0
2019-05-29,36.0,36.15,35.28,35.3,482000.0
2019-05-30,35.36,35.69,34.69,34.81,372954.0
2019-05-31,34.55,34.81,34.26,34.71,866213.0
2019-06-03,34.61,34.8,33.33,33.78,925871.0
2019-06-04,34.03,34.8,33.75,34.09,650610.0
2019-06-05,34.24,34.57,33.9,34.02,517135.0
2019-06-06,34.01,34.21,33.61,33.74,373734.0
2019-06-07,33.84,34.05,33.67,33.68,363966.0
2019-06-10,33.86,34.03,33.57,33.74,458744.0
2019-06-11,33.77,34.04,33.65,33.83,318691.0
2019-06-12,33.81,34.735,33.8,34.7,745328.0
2019-06-13,34.96,35.12,34.62,34.94,467420.0
2019-06-14,34.99,35.155,34.58,34.96,587322.0
2019-06-17,35.18,35.96,35.05,35.8,545998.0
2019-06-18,36.09,36.72,35.71,35.83,679797.0
2019-06-19,35.88,36.05,35.35,35.74,645621.0
2019-06-20,36.15,36.15,35.31,35.35,529824.0
2019-06-21,35.36,36.94,35.05,35.88,2431691.0
2019-06-24,35.72,35.79,35.39,35.54,504811.0
2019-06-25,35.45,35.51,34.93,35.19,504101.0
2019-06-26,35.46,35.89,35.16,35.31,680207.0
2019-06-27,35.36,36.12,35.08,35.75,747838.0
2019-06-28,35.89,36.64,35.68,36.53,2018780.0
2019-07-01,36.82,36.86,35.72,35.96,859939.0
2019-07-02,35.96,36.57,35.96,36.53,431971.0
2019-07-03,36.7,36.77,36.32,36.35,285757.0
2019-07-05,36.28,36.77,36.1,36.56,412797.0
2019-07-08,36.36,36.52,36.06,36.13,290209.0
2019-07-09,35.98,36.27,35.87,36.01,390203.0
2019-07-10,36.11,36.41,36.03,36.14,392028.0
2019-07-11,36.13,36.37,35.86,36.31,431646.0
2019-07-12,36.32,37.01,36.32,36.96,453409.0
2019-07-15,37.12,37.16,36.62,37.04,460898.0
2019-07-16,37.08,37.11,36.61,36.69,380873.0
2019-07-17,36.62,36.71,36.1,36.17,472736.0
2019-07-18,36.1,36.76,36.0,36.61,907010.0
2019-07-19,36.71,36.76,36.21,36.45,690541.0
2019-07-22,36.47,36.625,36.28,36.32,478367.0
2019-07-23,36.35,36.545,35.99,36.51,546895.0
2019-07-24,36.46,37.08,36.45,36.89,414862.0
2019-07-25,36.91,37.53,36.9,37.43,417700.0
2019-07-26,37.37,38.03,37.33,37.49,287141.0
2019-07-29,37.44,37.84,37.35,37.69,244772.0
2019-07-30,37.5,38.06,37.5,37.85,507830.0
2019-07-31,37.7,37.7,36.78,37.2,560623.0
2019-08-01,37.16,37.45,36.7,36.84,432194.0
2019-08-02,36.84,36.84,36.3,36.56,283873.0
2019-08-05,36.28,36.48,35.76,36.0,563990.0
2019-08-06,35.93,36.5,35.87,36.4,431518.0
2019-08-07,36.05,36.93,35.79,36.79,526186.0
2019-08-08,37.34,37.34,34.89,35.0,1089030.0
2019-08-09,34.95,35.55,34.88,35.37,398261.0
2019-08-12,35.28,35.28,34.68,34.81,378713.0
2019-08-13,34.67,35.53,34.67,35.0,619644.0
2019-08-14,34.78,34.78,33.38,33.66,407732.0
2019-08-15,33.65,34.03,32.715,32.81,577006.0
2019-08-16,33.09,33.28,32.71,33.01,512011.0
2019-08-19,33.31,33.89,33.31,33.6,490812.0
2019-08-20,33.5,33.8,33.26,33.36,459988.0
2019-08-21,33.47,33.51,32.87,33.15,402323.0
2019-08-22,33.19,33.28,32.74,32.82,488461.0
2019-08-23,32.66,32.71,31.33,31.44,489188.0
2019-08-26,31.67,31.81,31.29,31.71,551747.0
2019-08-27,31.9,32.04,31.61,31.62,541288.0
2019-08-28,31.67,31.92,31.33,31.56,318309.0
2019-08-29,31.78,32.8,31.7,32.45,460227.0
2019-08-30,33.27,33.31,32.47,32.8,446282.0
2019-09-03,32.4,32.735,32.21,32.43,243086.0
2019-09-04,32.65,33.26,32.54,33.21,293266.0
2019-09-05,33.52,34.03,33.23,33.91,318255.0
2019-09-06,33.95,34.35,33.73,33.87,278065.0
2019-09-09,33.68,34.015,33.32,33.99,275248.0
2019-09-10,33.76,34.42,33.76,34.22,451228.0
2019-09-11,34.1,34.185,33.63,33.97,376088.0
2019-09-12,34.12,34.12,33.6,33.7,280552.0
2019-09-13,33.68,34.06,33.45,33.71,280284.0
2019-09-16,33.52,33.65,33.37,33.49,172064.0
2019-09-17,33.46,33.46,32.72,32.82,290434.0
2019-09-18,32.68,32.84,32.045,32.5,450865.0
2019-09-19,32.57,32.65,31.9,31.97,230474.0
2019-09-20,31.89,32.3,31.63,32.08,902480.0
2019-09-23,32.16,32.335,31.9,32.18,308775.0
2019-09-24,32.32,32.35,31.41,31.53,387874.0
2019-09-25,31.48,32.17,31.48,32.0,741392.0
2019-09-26,32.06,32.06,31.35,31.47,429820.0
2019-09-27,31.51,31.68,31.14,31.48,281103.0
2019-09-30,31.68,31.84,31.34,31.54,226556.0
2019-10-01,31.7,32.01,31.13,31.18,282848.0
2019-10-02,30.99,31.19,30.26,30.31,326402.0
2019-10-03,30.25,30.42,29.69,30.39,272208.0
2019-10-04,30.5,30.69,30.34,30.485,370420.0
2019-10-07,30.51,31.01,30.48,30.49,327873.0
2019-10-08,30.21,30.21,29.62,30.035,449798.0
2019-10-09,30.21,30.41,29.95,30.26,366267.0
2019-10-10,30.22,30.53,30.07,30.425,297744.0
2019-10-11,30.65,31.47,30.65,31.16,458682.0
2019-10-14,31.06,31.125,30.75,31.01,332519.0
2019-10-15,31.02,31.51,30.8,31.44,309707.0
2019-10-16,31.35,31.59,31.27,31.585,380542.0
2019-10-17,31.72,31.72,31.16,31.49,381407.0
2019-10-18,31.63,32.07,31.48,31.525,689049.0
2019-10-21,31.71,32.15,31.58,32.09,345256.0
2019-10-22,32.16,32.85,31.93,32.77,405807.0
2019-10-23,32.87,33.01,32.5,32.61,278386.0
2019-10-24,32.56,32.73,31.2,31.6,388056.0
2019-10-25,31.62,32.06,31.62,31.7,269852.0
