Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-11-07,19.75,20.45,18.52,19.11,4606109.0
2014-11-10,19.1,19.1,18.08,18.42,212649.0
2014-11-11,18.5,19.3,17.1,18.51,146279.0
2014-11-12,18.06,18.51,18.01,18.3,33523.0
2014-11-13,18.05,18.99,18.05,18.21,37032.0
2014-11-14,18.5,19.08,18.31,18.84,59298.0
2014-11-17,19.19,19.46,18.85,19.2,77675.0
2014-11-18,19.1,20.16,19.1,19.45,96204.0
2014-11-19,19.1,19.44,18.61,18.7,71559.0
2014-11-20,18.65,18.65,17.32,17.59,78357.0
2014-11-21,17.6,17.9,17.07,17.2,57747.0
2014-11-24,17.11,17.84,16.76,17.66,48486.0
2014-11-25,17.49,17.93,17.43,17.8,32259.0
2014-11-26,17.68,17.68,17.01,17.09,45743.0
2014-11-28,16.91,16.91,16.44,16.71,27412.0
2014-12-01,16.73,16.73,15.83,16.73,80191.0
2014-12-02,17.0,17.89,16.9,17.23,143392.0
2014-12-03,17.53,17.71,17.06,17.18,47547.0
2014-12-04,17.24,17.24,16.68,17.0,67358.0
2014-12-05,17.03,17.14,16.59,16.88,132389.0
2014-12-08,16.6,18.39,16.55,17.37,158976.0
2014-12-09,17.5,17.59,17.0,17.48,196220.0
2014-12-10,16.5,18.73,16.41,18.52,280807.0
2014-12-11,18.65,18.76,17.59,18.02,293633.0
2014-12-12,17.86,18.0,16.965,17.14,98509.0
2014-12-15,16.88,17.33,16.8,16.93,123103.0
2014-12-16,16.89,17.21,16.73,16.95,176374.0
2014-12-17,17.06,18.0,15.83,16.45,163883.0
2014-12-18,16.69,16.92,16.17,16.22,145162.0
2014-12-19,16.06,16.06,14.65,15.01,1127250.0
2014-12-22,15.09,15.1,14.05,14.37,112737.0
2014-12-23,14.5,14.51,13.4,14.23,171078.0
2014-12-24,14.36,15.83,14.36,15.3,46488.0
2014-12-26,15.03,15.35,15.0,15.29,27014.0
2014-12-29,15.25,16.23,15.0,15.99,90271.0
2014-12-30,15.94,17.37,15.58,17.37,51604.0
2014-12-31,17.47,17.86,16.93,17.06,38864.0
2015-01-02,17.12,17.4,16.15,16.5,59327.0
2015-01-05,16.9,16.9,15.17,15.28,72827.0
2015-01-06,15.58,15.66,14.84,14.86,42452.0
2015-01-07,15.02,16.19,15.02,15.69,71548.0
2015-01-08,15.72,16.85,15.6,16.6,33136.0
2015-01-09,16.52,17.35,16.45,16.96,84755.0
2015-01-12,17.07,17.23,16.58,16.96,45698.0
2015-01-13,16.9,16.9,15.5,16.16,46546.0
2015-01-14,16.08,16.2,15.755,15.78,27634.0
2015-01-15,15.9,16.22,14.86,14.91,55403.0
2015-01-16,14.91,14.91,14.22,14.32,49997.0
2015-01-20,14.5,14.82,13.98,14.22,87330.0
2015-01-21,14.15,14.32,13.49,13.58,40625.0
2015-01-22,13.65,14.06,13.16,13.55,39127.0
2015-01-23,13.52,13.68,13.35,13.47,38448.0
