Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-07-09,21.875,21.875,21.875,21.875,400.0
1997-07-11,8.875,8.875,8.875,8.875,1000.0
1997-08-04,11.0,11.0,11.0,11.0,1400.0
1997-11-03,16.5,16.5,16.0,16.5,6000.0
1997-11-04,18.0,18.0,17.5,17.5,12000.0
1997-11-14,18.5,19.0,18.5,19.0,10000.0
1997-11-17,18.5,19.0,18.5,19.0,2800.0
1997-12-02,18.75,18.75,18.75,18.75,4000.0
1997-12-03,18.75,18.75,18.75,18.75,3000.0
1997-12-04,18.0,18.75,18.0,18.75,2800.0
1997-12-10,19.75,19.75,19.75,19.75,2800.0
1998-01-05,19.25,19.25,19.25,19.25,1800.0
1998-01-07,19.0,19.5,19.0,19.5,2200.0
1998-01-14,19.25,19.25,19.25,19.25,11600.0
1998-01-15,18.75,18.9375,18.75,18.9375,5200.0
1998-01-16,19.875,19.875,19.875,19.875,2600.0
1998-01-20,19.0,19.5625,19.0,19.2265625,9800.0
1998-01-22,18.75,19.0,18.75,19.0,3000.0
1998-01-26,18.75,18.75,18.75,18.75,800.0
1998-01-27,18.75,19.875,18.75,19.875,6200.0
1998-01-29,19.5,19.5,18.75,19.5,8000.0
1998-02-03,18.75,18.75,18.75,18.75,1200.0
1998-02-04,19.0,19.25,18.75,19.25,6000.0
1998-02-06,18.75,18.75,18.75,18.75,200.0
1998-02-09,18.75,19.0,18.75,19.0,6400.0
1998-02-10,18.75,18.75,18.75,18.75,4400.0
1998-02-18,19.3999995,19.3999995,19.3999995,19.3999995,2000.0
1998-03-02,19.0,19.0,19.0,19.0,200.0
1998-03-06,18.75,18.875,18.75,18.875,1600.0
1998-03-13,18.75,19.0,18.5,19.0,4400.0
1998-03-26,18.75,19.0,18.75,19.0,1600.0
1998-04-01,18.75,18.75,18.75,18.75,600.0
1998-04-13,19.0,19.0,19.0,19.0,4400.0
1998-04-20,19.0,19.0,19.0,19.0,1200.0
1998-04-21,19.0,19.0,18.75,18.75,6600.0
1998-04-27,18.625,18.625,18.625,18.625,11800.0
1998-04-29,19.75,19.75,19.625,19.625,800.0
1998-05-01,19.25,19.25,19.0,19.25,6800.0
1998-05-05,18.75,18.75,18.75,18.75,800.0
1998-05-06,18.75,18.75,18.75,18.75,400.0
1998-05-08,18.75,19.0,18.75,19.0,3200.0
1998-05-14,18.75,18.75,18.75,18.75,200.0
1998-05-19,18.75,18.75,18.75,18.75,200.0
1998-05-20,18.75,19.25,18.75,18.8125,6000.0
1998-05-22,18.5,18.5,18.5,18.5,2600.0
1998-05-27,18.5,18.5,18.0,18.0,2600.0
1998-05-29,18.5,18.5,18.5,18.5,2000.0
1998-06-03,18.0,18.0,18.0,18.0,5200.0
