Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-03-27,15.0,15.0,14.75,15.0,395226.0
2013-03-28,15.0,15.2,15.0,15.13,56805.0
2013-04-01,15.19,15.19,15.0,15.0,4200.0
2013-04-02,15.04,15.18,15.0,15.15,27222.0
2013-04-03,15.0,15.2,14.94,15.05,21080.0
2013-04-04,15.15,15.15,14.95,15.0,18546.0
2013-04-05,15.19,15.19,15.07,15.15,5600.0
2013-04-08,15.2,15.2,15.0,15.2,31547.0
2013-04-09,15.21,15.25,15.14,15.21,11578.0
2013-04-10,15.25,15.29,15.16,15.24,22730.0
2013-04-11,15.29,15.29,15.21,15.29,20859.0
2013-04-12,15.28,15.28,15.01,15.15,13597.0
2013-04-15,15.14,15.23,15.14,15.15,2720.0
2013-04-16,15.24,15.29,15.14,15.29,3560.0
2013-04-17,15.26,15.26,15.1,15.2,3291.0
2013-04-18,15.05,15.1,15.01,15.1,10230.0
2013-04-19,15.1,15.29,15.1,15.15,6850.0
2013-04-22,15.18,15.28,15.16,15.16,4400.0
2013-04-23,15.26,15.26,15.1,15.15,7497.0
2013-04-24,15.14,15.19,15.0,15.18,3244.0
2013-04-25,15.11,15.29,15.03,15.21,5823.0
2013-04-26,15.18,15.29,15.13,15.29,3181.0
2013-04-29,15.27,15.28,15.07,15.2,16658.0
2013-04-30,15.08,15.18,15.05,15.14,8561.0
2013-05-01,15.18,15.19,15.08,15.15,3000.0
2013-05-02,15.18,15.22,15.07,15.22,11169.0
2013-05-03,15.29,15.29,15.15,15.16,16722.0
2013-05-06,15.2,15.27,15.07,15.15,12814.0
2013-05-07,15.22,15.24,15.07,15.24,16670.0
2013-05-08,15.21,15.25,15.13,15.15,4600.0
2013-05-09,15.22,15.29,15.14,15.29,8301.0
2013-05-10,15.2,15.29,15.2,15.29,16873.0
2013-05-13,15.25,15.78,15.2,15.5,40607.0
2013-05-14,15.31,15.58,15.16,15.45,6723.0
2013-05-15,15.5,15.66,15.37,15.5,32616.0
2013-05-16,15.39,15.86,15.39,15.59,6336.0
2013-05-17,15.73,15.73,15.53,15.72,15025.0
2013-05-20,15.72,15.72,15.57,15.65,7694.0
2013-05-21,15.7,15.7,15.5,15.68,15550.0
2013-05-22,15.65,15.75,15.43,15.55,30623.0
2013-05-23,15.4,15.4,15.25,15.35,6547.0
2013-05-24,15.34,15.48,15.15,15.4,17883.0
2013-05-28,15.4,15.5,15.23,15.31,5482.0
2013-05-29,15.25,15.35,15.2,15.35,4977.0
2013-05-30,15.32,15.32,15.09,15.23,4292.0
2013-05-31,15.21,15.48,15.2,15.47,7839.0
2013-06-03,15.41,15.5,15.28,15.5,1300.0
2013-06-04,15.46,15.71,15.22,15.57,3696.0
2013-06-05,15.49,15.49,15.12,15.3,4100.0
2013-06-06,15.26,15.29,15.14,15.29,12428.0
2013-06-07,15.25,15.38,15.2,15.28,2248.0
2013-06-10,15.28,15.28,15.16,15.16,3784.0
2013-06-11,14.95,14.95,14.63,14.78,16207.0
2013-06-12,14.8,15.05,14.8,14.91,24938.0
2013-06-13,14.6,14.94,14.39,14.87,14717.0
2013-06-14,14.73,14.94,14.73,14.92,4833.0
2013-06-17,14.93,15.0,14.58,14.88,9246.0
2013-06-18,14.81,15.13,14.81,15.08,11990.0
2013-06-19,15.05,15.17,14.69,15.16,5177.0
2013-06-20,15.03,15.18,14.81,15.18,17796.0
2013-06-21,15.18,15.18,14.66,14.7,72812.0
2013-06-24,14.94,15.15,14.5,14.99,16216.0
2013-06-25,15.03,15.03,14.47,14.94,8768.0
2013-06-26,14.93,15.08,14.9,14.93,3961.0
2013-06-27,15.29,15.29,14.88,14.97,14735.0
2013-06-28,15.12,15.56,14.92,15.42,301031.0
2013-07-01,15.5,15.64,15.14,15.35,9950.0
2013-07-02,15.31,15.39,14.94,15.39,9436.0
