Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1999-06-11,605.25,747.0,603.0,722.25,458077.77777777775
1999-06-14,733.5,733.5,585.0,632.25,97944.44444444444
1999-06-15,642.375,643.5,580.5,596.25,46116.666666666664
1999-06-16,594.0,666.0,585.0,663.75,26294.44444444444
1999-06-17,650.25,702.0,630.0,693.0,13694.444444444445
1999-06-18,690.75,699.75,619.875,670.5,22916.666666666668
1999-06-21,670.5,873.0,670.5,828.0,47061.11111111112
1999-06-22,832.5,1068.75,814.5,955.125,64438.88888888888
1999-06-23,963.0,1064.25,886.5,1062.0,21033.333333333332
1999-06-24,1110.375,1180.125,936.0,949.5,27050.0
1999-06-25,994.5,1001.25,828.0,843.75,18372.222222222223
1999-06-28,861.75,877.5,779.625,814.5,11388.888888888889
1999-06-29,823.5,927.0,821.25,873.0,16433.333333333332
1999-06-30,891.0,1046.25,875.25,1008.0,42577.777777777774
1999-07-01,963.0,1093.5,918.0,1032.75,16022.22222222222
1999-07-02,1059.75,1242.0,1035.0,1233.0,31150.0
1999-07-06,1249.875,1422.0,1248.75,1305.0,40566.666666666664
1999-07-07,1379.25,1509.75,1332.0,1386.0,44266.666666666664
1999-07-08,1434.375,1444.5,1309.5,1354.5,21538.888888888887
1999-07-09,1361.25,1372.5,1320.75,1323.0,15094.444444444445
1999-07-12,1307.25,1311.75,1212.75,1299.9375,30183.333333333332
1999-07-13,1206.0,1440.0,1197.0,1434.9375,21583.333333333332
1999-07-14,1440.0,1546.875,1440.0,1476.0,14661.111111111111
1999-07-15,1487.25,1497.375,1387.125,1440.0,8583.333333333334
1999-07-16,1449.0,1615.5,1399.5,1476.0,19294.444444444445
1999-07-19,1521.0,1534.5,1386.0,1395.0,11088.888888888889
1999-07-20,1377.0,1400.625,1248.75,1309.5,10116.666666666666
1999-07-21,1315.125,1494.0,1300.5,1494.0,21811.111111111113
1999-07-22,1476.0,1494.0,1330.875,1417.5,14533.333333333334
1999-07-23,1442.25,1479.375,1334.25,1410.75,14216.666666666666
1999-07-26,1393.875,1399.5,1305.0,1318.5,14666.666666666666
1999-07-27,1359.0,1395.0,1282.5,1302.75,12005.555555555555
1999-07-28,1297.125,1297.125,1212.75,1237.5,6738.88888888889
1999-07-29,1185.75,1219.5,1149.75,1188.0,7744.444444444444
1999-07-30,1204.875,1204.875,1048.5,1119.375,15255.555555555555
1999-08-02,1117.125,1125.0,936.0,945.0,8788.888888888889
1999-08-03,1030.5,1035.0,870.75,875.25,25122.222222222223
1999-08-04,938.25,942.75,786.375,816.75,23000.0
1999-08-05,819.0,1111.5,713.25,1102.5,46500.0
1999-08-06,1032.75,1154.25,1005.75,1086.75,22911.11111111111
1999-08-09,1116.0,1118.25,1005.75,1006.875,9761.111111111111
1999-08-10,1002.375,1165.5,990.0,1165.5,22694.44444444444
1999-08-11,1219.5,1602.0,1177.875,1514.25,69666.66666666667
1999-08-12,1476.0,1829.25,1476.0,1711.125,115005.55555555556
1999-08-13,1786.5,1800.0,1638.0,1746.0,47155.555555555555
1999-08-16,1732.5,2067.75,1703.25,1896.75,80766.66666666667
1999-08-17,1890.0,1941.75,1667.25,1765.125,57844.444444444445
1999-08-18,1765.125,1836.0,1638.0,1746.0,39705.555555555555
1999-08-19,1676.25,1836.0,1659.9375,1770.75,24927.777777777777
1999-08-20,1793.25,1908.0,1752.75,1815.75,19477.777777777777
1999-08-23,1851.75,2290.5,1838.25,2260.125,57283.333333333336
1999-08-24,2205.0,2661.75,2205.0,2553.75,107211.11111111111
1999-08-25,2574.0,2574.0,2272.5,2373.75,54022.22222222222
1999-08-26,2342.25,2373.75,2065.5,2070.0,34488.88888888889
1999-08-27,2106.0,2340.0,2076.75,2241.0,67277.77777777778
1999-08-30,2304.0,2304.0,2079.0,2144.25,18816.666666666668
1999-08-31,2178.0,2226.375,2020.5,2126.25,24538.88888888889
1999-09-01,2112.75,2218.5,2009.25,2074.5,22505.55555555556
1999-09-02,1984.5,2448.0,1941.75,2389.5,66188.88888888889
1999-09-03,2466.0,2700.0,2459.25,2645.4375,57366.666666666664
1999-09-07,2646.0,2836.125,2587.5,2700.0,55700.0
1999-09-08,2772.0,3051.0,2766.375,3030.75,76372.22222222222
1999-09-09,3039.75,3171.375,2898.0,3081.375,35044.444444444445
1999-09-10,3159.0,3200.625,2934.0,3019.5,20950.0
1999-09-13,2977.875,3151.125,2949.75,2971.125,20116.666666666668
1999-09-14,2970.0,3013.875,2787.75,2893.5,20505.555555555555
1999-09-15,2914.875,2925.0,2601.0,2642.625,26455.55555555556
1999-09-16,2647.125,2657.25,2317.5,2473.875,84377.77777777778
1999-09-17,2542.5,2652.75,2378.25,2443.5,44511.11111111112
1999-09-20,2529.0,2641.5,2470.5,2572.875,32916.666666666664
1999-09-21,2552.625,2596.5,2416.5,2418.75,25916.666666666668
1999-09-22,2466.0,2916.0,2427.75,2895.75,68833.33333333333
1999-09-23,2961.0,3258.0,2787.75,2816.4375,115288.88888888889
1999-09-24,2781.0,3321.0,2772.0,3294.0,93700.0
1999-09-27,3280.5,3335.625,2979.0,3048.75,76638.88888888889
1999-09-28,3013.875,3133.125,2747.25,2895.75,66572.22222222222
