Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-12-27,5.0,7.0,5.0,6.45,10543.0
2006-12-28,6.45,6.45,6.3,6.35,30300.0
2006-12-29,6.35,6.45,6.34,6.45,15900.0
2007-01-03,6.6,6.6,6.45,6.5,18450.0
2007-01-04,6.79,6.81,6.56,6.74,53580.0
2007-01-05,6.99,6.99,6.7,6.9,61800.0
2007-01-08,7.48,7.48,6.98,7.18,37800.0
2007-01-09,7.25,7.25,7.13,7.19,19100.0
2007-01-10,7.44,7.44,6.82,6.89,7100.0
2007-01-11,7.3,7.3,6.82,7.0,10641.0
2007-01-12,7.0,7.0,6.71,6.8,8877.0
2007-01-16,6.72,6.8,6.6,6.74,20700.0
2007-01-17,6.71,6.75,6.42,6.42,6800.0
2007-01-18,6.49,6.54,6.44,6.54,67000.0
2007-01-19,6.64,6.87,6.6,6.87,50260.0
2007-01-22,6.85,6.85,6.62,6.67,7925.0
2007-01-23,6.72,6.75,6.49,6.75,26700.0
2007-01-24,6.72,6.84,6.74,6.84,19779.0
2007-01-25,6.8,6.8,6.75,6.8,42045.0
2007-01-26,6.77,6.8,6.77,6.8,56300.0
2007-01-29,6.83,6.85,6.81,6.85,54820.0
2007-01-30,6.85,6.85,6.82,6.82,5611.0
2007-01-31,6.95,6.95,6.81,6.84,10542.0
2007-02-01,6.95,6.95,6.8,6.85,160350.0
2007-02-02,6.88,6.88,6.82,6.87,60010.0
2007-02-05,6.8,6.8,6.8,6.8,1000.0
2007-02-06,6.83,6.92,6.78,6.78,4809.0
2007-02-07,6.8,6.8,6.8,6.8,275.0
2007-02-08,6.84,6.85,6.77,6.85,27400.0
2007-02-09,6.84,6.84,6.82,6.82,10000.0
2007-02-12,6.82,6.98,6.82,6.86,19100.0
2007-02-13,6.88,6.88,6.84,6.86,30200.0
2007-02-14,6.87,6.9,6.79,6.9,34267.0
2007-02-15,6.85,6.86,6.85,6.86,6000.0
2007-02-16,6.93,7.19,6.93,7.19,75749.0
2007-02-20,7.39,7.39,7.14,7.25,120358.0
2007-02-21,7.25,7.33,7.17,7.26,240758.0
2007-02-22,7.42,7.42,7.25,7.33,14764.0
2007-02-23,7.32,7.39,7.3,7.35,5700.0
2007-02-26,7.35,7.39,7.17,7.32,16100.0
2007-02-27,7.09,7.31,7.09,7.15,9200.0
2007-02-28,7.0,7.15,7.0,7.1,21800.0
2007-03-01,7.2,7.2,7.05,7.08,6115.0
2007-03-02,7.06,7.25,7.05,7.18,31300.0
2007-03-05,7.17,7.2,7.06,7.11,4590.0
2007-03-06,7.17,7.17,7.12,7.14,24530.0
2007-03-07,7.15,7.2,7.05,7.14,10560.0
2007-03-08,7.27,7.27,7.13,7.18,4974.0
2007-03-09,7.18,7.18,7.05,7.18,10134.0
2007-03-12,7.12,7.18,7.01,7.15,11963.0
2007-03-13,7.19,7.19,6.92,6.96,13065.0
2007-03-14,6.97,6.97,6.78,6.88,6850.0
2007-03-15,6.82,6.83,6.76,6.8,11700.0
2007-03-16,6.76,6.91,6.76,6.9,19400.0
2007-03-19,6.9,6.92,6.73,6.82,28396.0
2007-03-20,6.78,6.9,6.76,6.83,5525.0
2007-03-21,6.9,6.9,6.76,6.8,5000.0
2007-03-22,6.85,6.85,6.76,6.81,2700.0
2007-03-23,6.81,6.88,6.75,6.8,5987.0
2007-03-26,6.8,6.8,6.71,6.71,4358.0
2007-03-27,6.82,6.82,6.67,6.69,5140.0
2007-03-28,6.75,6.75,6.11,6.58,19237.0
