Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1993-01-21,5.375,5.5,5.0,5.125,14019200.0
1993-01-22,5.125,5.625,5.09375,5.5,5277200.0
1993-01-25,5.4375,5.5625,5.3125,5.375,1238400.0
1993-01-26,5.3125,5.4375,5.0625,5.3125,2542400.0
1993-01-27,5.3125,5.375,5.1875,5.1875,1360000.0
1993-01-28,5.3125,5.375,5.1875,5.3125,1150400.0
1993-01-29,5.3125,5.4375,5.3125,5.3125,639600.0
1993-02-01,5.3125,5.8125,5.3125,5.8125,1100000.0
1993-02-02,5.6875,5.8125,5.5625,5.625,1118800.0
1993-02-03,5.625,5.75,5.5625,5.75,985200.0
1993-02-04,5.6875,5.8125,5.6875,5.6875,562400.0
1993-02-05,5.6875,5.8125,5.6875,5.6875,126000.0
1993-02-08,5.8125,5.9375,5.6875,5.8125,821600.0
1993-02-09,5.9375,6.0,5.8125,5.8125,518400.0
1993-02-10,5.8125,5.9375,5.75,5.78125,399600.0
1993-02-11,5.75,5.8125,5.625,5.625,116800.0
1993-02-12,5.75,5.8125,5.625,5.8125,187200.0
1993-02-16,5.625,5.75,4.875,5.125,1697600.0
1993-02-17,5.125,5.125,4.9375,4.9375,403600.0
1993-02-18,5.0625,5.0625,4.875,5.0,878800.0
1993-02-19,4.875,5.0625,4.875,4.875,151600.0
1993-02-22,4.96875,5.0625,4.875,5.0625,104800.0
1993-02-23,4.9375,5.0625,4.9375,5.0625,330000.0
1993-02-24,5.0,5.4375,5.0,5.4375,328400.0
1993-02-25,5.375,5.4375,5.1875,5.375,163200.0
1993-02-26,5.25,5.375,5.25,5.375,155200.0
1993-03-01,5.3125,5.75,5.3125,5.75,400000.0
1993-03-02,5.75,5.75,5.625,5.6875,328400.0
1993-03-03,5.6875,5.8125,5.6875,5.6875,49600.0
1993-03-04,5.8125,5.8125,5.6875,5.75,164000.0
1993-03-05,5.6875,5.8125,5.6875,5.8125,198000.0
1993-03-08,5.8125,6.125,5.6875,6.0,494000.0
1993-03-09,6.0,6.625,6.0,6.5,1187600.0
1993-03-10,6.59375,6.8125,6.5625,6.6875,1097200.0
1993-03-11,6.75,7.25,6.71875,7.15625,1537600.0
1993-03-12,7.0625,7.125,6.75,6.9375,1028400.0
1993-03-15,6.9375,7.0625,6.875,7.0,323600.0
1993-03-16,6.8125,6.875,6.4375,6.5625,527600.0
1993-03-17,6.5,6.5,6.3125,6.5,392800.0
1993-03-18,6.5,6.5,6.3125,6.3125,36400.0
1993-03-19,6.5,6.5,6.3125,6.375,45600.0
1993-03-22,6.3125,6.5,6.3125,6.40625,276000.0
