Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-09-28,15.2,15.6,13.5,14.24,695871.0
2018-10-01,14.5,14.5,13.08,13.45,76580.0
2018-10-02,13.5,14.14,12.5,12.55,141899.0
2018-10-03,12.61,13.12,12.5,12.55,34427.0
2018-10-04,12.5,12.8,12.32,12.33,55360.0
2018-10-05,12.4,12.92,12.06,12.37,43135.0
2018-10-08,12.56,12.56,11.865,11.95,60590.0
2018-10-09,12.1,12.1,11.56,11.61,82457.0
2018-10-10,11.61,12.0,11.5,11.65,25109.0
2018-10-11,11.95,12.7,11.7,12.28,16398.0
2018-10-12,12.31,13.0,12.25,12.45,32199.0
2018-10-15,12.5,13.2,12.2,12.2,44683.0
2018-10-16,12.28,12.8,11.73,12.5,56865.0
2018-10-17,12.5,13.15,12.18,12.99,23976.0
2018-10-18,13.1,15.5,13.1,15.49,29944.0
2018-10-19,15.36,15.72,14.45,15.01,57966.0
2018-10-22,14.92,16.0,14.7,15.17,30686.0
2018-10-23,14.85,16.33,14.85,15.29,64803.0
2018-10-24,15.34,16.0,14.58,14.86,47588.0
2018-10-25,15.1,16.02,15.05,15.88,27576.0
2018-10-26,15.71,17.49,15.71,16.83,22838.0
2018-10-29,17.07,17.53,16.5,16.58,35484.0
2018-10-30,16.49,16.76,16.25,16.46,14223.0
2018-10-31,16.57,17.23,16.57,17.01,12882.0
2018-11-01,17.13,19.51,17.1,19.04,35206.0
2018-11-02,19.0,19.98,19.0,19.17,26974.0
2018-11-05,19.19,21.4,19.19,20.98,13676.0
2018-11-06,20.96,23.13,20.96,22.58,28076.0
2018-11-07,22.6,24.9,22.35,24.47,23504.0
2018-11-08,24.74,26.87,24.19,25.81,24943.0
2018-11-09,25.88,27.63,23.57,23.6,45648.0
2018-11-12,23.2,23.2,20.27,20.84,29814.0
2018-11-13,20.84,22.11,20.84,20.86,25332.0
2018-11-14,20.8,21.44,19.8,19.99,25226.0
2018-11-15,19.86,21.53,19.86,20.29,11276.0
2018-11-16,20.12,23.25,20.0,23.0,25304.0
2018-11-19,22.8,24.23,22.49,23.7,25911.0
2018-11-20,23.47,23.87,21.83,21.93,18609.0
2018-11-21,21.74,22.35,21.69,22.06,8635.0
2018-11-23,21.82,22.99,21.82,22.74,6463.0
2018-11-26,22.96,24.4,22.89,23.7,54032.0
2018-11-27,23.76,24.22,23.12,23.28,67964.0
2018-11-28,23.13,24.73,23.13,24.36,16619.0
2018-11-29,24.14,26.55,23.72,25.24,23734.0
2018-11-30,25.16,28.25,24.72,28.04,43532.0
2018-12-03,28.6,29.5,28.25,28.91,33912.0
2018-12-04,29.28,30.3,28.47,30.23,18777.0
2018-12-06,30.41,31.41,30.28,31.1,22748.0
2018-12-07,31.39,32.8,28.18,29.46,41658.0
2018-12-10,29.67,29.67,24.52,26.11,47321.0
2018-12-11,26.36,26.36,24.6,25.18,50502.0
2018-12-12,25.4,25.4,24.17,24.65,29327.0
2018-12-13,24.65,26.53,23.9,24.28,28316.0
2018-12-14,24.25,24.265,22.0,22.18,41721.0
2018-12-17,22.04,23.15,19.92,20.61,72119.0
2018-12-18,20.61,21.06,19.24,19.53,57885.0
2018-12-19,19.71,20.09,17.49,17.71,78219.0
2018-12-20,17.28,17.28,13.04,14.7,109973.0
2018-12-21,17.41,17.66,13.005,15.01,850973.0
2018-12-24,15.1,15.42,14.175,14.26,22908.0
2018-12-26,14.41,16.52,14.41,16.29,57315.0
2018-12-27,16.5,16.74,14.65,15.76,48320.0
2018-12-28,15.79,15.92,15.25,15.61,40435.0
2018-12-31,15.8,16.0,14.31,15.45,43445.0
2019-01-02,15.12,16.83,15.0,16.29,63211.0
2019-01-03,16.18,17.74,15.7,17.05,92784.0
2019-01-04,17.45,17.98,16.77,17.97,55481.0
2019-01-07,18.24,19.51,18.08,18.49,43611.0
2019-01-08,18.6,18.82,16.27,16.44,24929.0
2019-01-09,16.25,17.4,15.4,17.23,34754.0
2019-01-10,17.15,18.42,16.87,17.82,56837.0
2019-01-11,17.73,19.3,17.73,18.72,47989.0
2019-01-14,18.5,19.19,17.82,18.96,51062.0
2019-01-15,19.14,19.33,16.6,16.61,25879.0
2019-01-16,16.71,17.5,15.65,16.18,40487.0
2019-01-17,16.21,16.51,15.47,15.77,40004.0
2019-01-18,15.78,16.26,15.5,15.6,14279.0
2019-01-22,15.48,15.75,14.47,14.58,22598.0
2019-01-23,14.68,14.98,13.0,13.06,31208.0
2019-01-24,13.17,14.45,13.17,13.85,24405.0
2019-01-25,13.92,14.27,13.24,14.18,29530.0
2019-01-28,13.9,14.7,13.62,13.87,24237.0
2019-01-29,13.91,14.13,13.5,13.66,12838.0
2019-01-30,13.8,13.81,12.4,12.73,27668.0
2019-01-31,12.7,13.4,12.7,12.8,23908.0
2019-02-01,12.83,13.2,11.69,12.68,47786.0
2019-02-04,12.79,13.65,12.69,13.57,34520.0
2019-02-05,13.7,13.7,12.72,13.12,18369.0
2019-02-06,13.2,14.6,13.2,13.54,62140.0
2019-02-07,13.42,13.53,12.82,13.24,17883.0
2019-02-08,13.14,13.39,12.59,12.88,19755.0
2019-02-11,12.91,13.14,12.75,12.86,15553.0
2019-02-12,12.97,13.64,12.58,12.69,36819.0
2019-02-13,12.73,12.99,12.02,12.02,12867.0
2019-02-14,12.15,12.15,10.96,11.26,34505.0
2019-02-15,11.32,12.32,11.32,11.62,28563.0
2019-02-19,11.6,12.24,11.6,11.65,24591.0
2019-02-20,11.67,12.19,11.67,12.08,12335.0
2019-02-21,12.06,12.35,11.85,11.99,13250.0
2019-02-22,12.07,13.18,12.02,12.57,27888.0
2019-02-25,12.7,12.86,12.16,12.34,12464.0
2019-02-26,12.37,13.3,12.01,12.99,24268.0
2019-02-27,12.94,13.28,12.72,12.9,20019.0
2019-02-28,13.08,13.08,12.23,12.86,43132.0
2019-03-01,12.9,13.25,12.88,13.1,13480.0
2019-03-04,13.21,13.87,12.77,13.09,18925.0
2019-03-05,13.09,13.09,11.75,12.03,29851.0
2019-03-06,12.1,12.14,11.01,11.64,37812.0
2019-03-07,12.5,12.5,11.54,11.61,18110.0
2019-03-08,11.6,11.63,10.81,10.93,27878.0
2019-03-11,11.0,11.1,10.55,10.62,14800.0
2019-03-12,10.75,11.02,10.5,10.51,21343.0
2019-03-13,10.64,10.83,10.44,10.74,19776.0
2019-03-14,10.73,10.79,9.75,9.97,22788.0
2019-03-15,10.13,10.3,9.82,10.15,83000.0
2019-03-18,10.5,13.44,10.5,13.34,85898.0
2019-03-19,13.57,14.11,11.8,11.92,78819.0
2019-03-20,11.82,11.82,11.31,11.7,29316.0
2019-03-21,11.51,12.0,11.0,11.45,34010.0
2019-03-22,11.35,11.71,11.22,11.45,53045.0
2019-03-25,11.44,11.44,9.8,10.93,63572.0
2019-03-26,11.28,11.57,10.97,11.5,19142.0
2019-03-27,11.74,12.46,11.69,11.89,36103.0
2019-03-28,11.88,12.83,11.6,12.54,30815.0
2019-03-29,13.0,13.76,12.68,13.3,90950.0
